,compOrig,baseOrig,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compStr,baseStr,bRange,cRange,compOrder,baseOrder,dam-lev,jac,compWork,canonCite,refRange
1937,ref-bible.0301.18.13.2-ref-bible.0301.18.13.7,ref-mek.2.3.3.243-ref-mek.2.3.3.247,1162494,1162522,196779,196784,ref-bible.0301.18.13.2,ref-bible.0301.18.13.7,107324,107347,17085,17089,ref-mek.2.3.3.243,ref-mek.2.3.3.247,נגדו עביו עברו ברד וגחלי אש ,נגדו עברו ברד וגחלי אש ,6,5,1089,362,0.17857142857142858,0.16666666666666666,ref-bible,ref-mek.2.3.3,ref-mek.2.3.3.242-ref-mek.2.3.3.297
1938,ref-bible.0204.22.14.5-ref-bible.0204.22.15.5,ref-mek.2.3.3.273-ref-mek.2.3.3.287,638914,638961,107923,107930,ref-bible.0204.22.14.5,ref-bible.0204.22.15.5,107488,107579,17114,17128,ref-mek.2.3.3.273,ref-mek.2.3.3.287,ועליון יתן קולו וישלח חצים ויפיצם ברק ויהמם ,ועליון יתן קולו כנגד צחצוח חרבות שלהם וישלח חציו ויפיצם כנגד חצים שלהם וברקים ויהומם כנ,8,16,784,363,0.5057471264367817,0.5,ref-bible,ref-mek.2.3.3,ref-mek.2.3.3.242-ref-mek.2.3.3.297
1939,ref-bible.0301.18.14.4-ref-bible.0301.18.15.6,ref-mek.2.3.3.273-ref-mek.2.3.3.287,1162542,1162609,196788,196799,ref-bible.0301.18.14.4,ref-bible.0301.18.15.6,107488,107579,17114,17128,ref-mek.2.3.3.273,ref-mek.2.3.3.287,ועליון יתן קלו ברד וגחלי אש וישלח חציו ויפיצם וברקים רב ויהמם ,ועליון יתן קולו כנגד צחצוח חרבות שלהם וישלח חציו ויפיצם כנגד חצים שלהם וברקים ויהומם כנ,12,16,1090,364,0.4252873563218391,0.5294117647058824,ref-bible,ref-mek.2.3.3,ref-mek.2.3.3.242-ref-mek.2.3.3.297
1940,ref-y.03.05.8.00.350-ref-y.03.05.8.00.381,ref-mek.2.3.3.274-ref-mek.2.3.3.326,2615245,2615429,397503,397532,ref-y.03.05.8.00.350,ref-y.03.05.8.00.381,107496,107784,17115,17165,ref-mek.2.3.3.274,ref-mek.2.3.3.326,והיו החיצים מפזרין אותן והברקים מכניסין אותן ברקים כנגד החרבות שלהן ויהמם הממם ועירבבם והפיל סגנם שלהם רבי אומר אין לשון הזה ויהמם אלא לשון מגיפה כמה דאת אמר והמם מהומה גדולה ,יתן קולו כנגד צחצוח חרבות שלהם וישלח חציו ויפיצם כנגד חצים שלהם וברקים ויהומם כנגד צוחה שלהם דבר אחר ישלח חציו שהיו חצים של פרעה מפזרים אותם לישראל וברקים מכנסין אותם ויהומם הממם ערבבם נטל סגניות שלהם ולא היו יודעים מה היו עושין דבר אחר אין הממה אלא מגפה שנאמר והמם מהומה גדולה ,53,32,921,383,0.6474820143884892,0.6341463414634146,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.242-ref-mek.2.3.3.297
1941,ref-y.03.05.8.00.350-ref-y.03.05.8.00.381,ref-mek.2.3.3.286-ref-mek.2.3.3.326,2615245,2615429,397503,397532,ref-y.03.05.8.00.350,ref-y.03.05.8.00.381,107562,107784,17127,17165,ref-mek.2.3.3.286,ref-mek.2.3.3.326,והיו החיצים מפזרין אותן והברקים מכניסין אותן ברקים כנגד החרבות שלהן ויהמם הממם ועירבבם והפיל סגנם שלהם רבי אומר אין לשון הזה ויהמם אלא לשון מגיפה כמה דאת אמר והמם מהומה גדולה ,וברקים ויהומם כנגד צוחה שלהם דבר אחר ישלח חציו שהיו חצים של פרעה מפזרים אותם לישראל וברקים מכנסין אותם ויהומם הממם ערבבם נטל סגניות שלהם ולא היו יודעים מה היו עושין דבר אחר אין הממה אלא מגפה שנאמר והמם מהומה גדולה ,41,32,922,384,0.6028037383177571,0.6578947368421053,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.242-ref-mek.2.3.3.297
1942,ref-y.03.05.8.00.326-ref-y.03.05.8.00.334,ref-mek.2.3.3.288-ref-mek.2.3.3.297,2615113,2615164,397482,397490,ref-y.03.05.8.00.326,ref-y.03.05.8.00.334,107578,107624,17129,17137,ref-mek.2.3.3.288,ref-mek.2.3.3.297,כנגד קול הקרנות שלהן וישלח חציו כנגד החיצים שלהן ,כנגד צוחה שלהם דבר אחר ישלח חציו שהיו חצים של ,10,9,920,385,0.4693877551020408,0.75,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.242-ref-mek.2.3.3.297
1943,ref-y.02.09.2.00.2374-ref-y.02.09.2.00.2385,ref-mek.2.3.3.329-ref-mek.2.3.3.346,1730790,1730846,263843,263852,ref-y.02.09.2.00.2374,ref-y.02.09.2.00.2385,107792,107895,17168,17183,ref-mek.2.3.3.329,ref-mek.2.3.3.346,נחזור למצרים אמר להן משה כי את שאר ראיתם את מצרים היום ,ראיתם את מצרים בשלשה מקומות הזהיר המקום לישראל שלא לחזור למצרים שנאמר כי אשר ראיתם את מצרים היום ,18,12,562,388,0.5773195876288659,0.5882352941176471,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.329-ref-mek.2.3.3.352
1944,ref-y.02.06.5.00.497-ref-y.02.06.5.00.543,ref-mek.2.3.3.329-ref-mek.2.3.3.377,1586644,1586896,241451,241494,ref-y.02.06.5.00.497,ref-y.02.06.5.00.543,107792,108076,17168,17212,ref-mek.2.3.3.329,ref-mek.2.3.3.377,מקומו הוזהרו ישראל שלא לשוב ארץ מצרים שנאמר כי אשר ראיתם את מצרים היום לא תוסיפו לראותם עוד עד עולם וה' אמר לכם לא תספון לשוב בדרך הזה עוד והשיבך ה' מצרים באניות ובשלשתן חזרו ובשלשתן נפלו אחת בימי סנחריב מלך אשור שנא' הוי הירדים מצרים לעזרה ,ראיתם את מצרים בשלשה מקומות הזהיר המקום לישראל שלא לחזור למצרים שנאמר כי אשר ראיתם את מצרים היום לא תוסיפו לראותם עוד עד עולם ואומר לא תוסיפו לשוב בדרך הזה עוד ואומר בדרך אשר אמרתי לך בשלושתם חזרו שם ובשלושתם נפלו הראשונה בימי סנחריב שנאמר הוי היורדים למצרים לעזרה ,49,47,498,389,0.3584905660377358,0.4634146341463414,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.329-ref-mek.2.3.3.352
1945,ref-bible.0102.14.13.16-ref-bible.0102.14.13.27,ref-mek.2.3.3.341-ref-mek.2.3.3.352,133837,133892,23559,23568,ref-bible.0102.14.13.16,ref-bible.0102.14.13.27,107868,107924,17179,17188,ref-mek.2.3.3.341,ref-mek.2.3.3.352,כי אשר ראיתם את מצרים היום לא תסיפו לראתם עוד עד עולם ,כי אשר ראיתם את מצרים היום לא תוסיפו לראותם עוד עד עולם ,12,12,184,365,0.03571428571428571,0.0,ref-bible,ref-mek.2.3.3,ref-mek.2.3.3.329-ref-mek.2.3.3.352
1946,ref-y.02.06.5.00.555-ref-y.02.06.5.00.567,ref-mek.2.3.3.379-ref-mek.2.3.3.392,1586956,1587019,241504,241514,ref-y.02.06.5.00.555,ref-y.02.06.5.00.567,108084,108152,17214,17225,ref-mek.2.3.3.379,ref-mek.2.3.3.392,בימי יוחנן בן קרח והיתה החרב אשר אתם יראים ממנה שם תשיג אתכם ,בימי יוחנן בן קרח שנאמר והיתה חרב אשר אתם יראים ממנה שם תשיג אתכם ,14,13,500,390,0.10606060606060606,0.0714285714285714,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.379-ref-mek.2.3.3.397
1947,ref-bible.0208.42.16.1-ref-bible.0208.42.16.21,ref-mek.2.3.3.384-ref-mek.2.3.3.404,955417,955525,161792,161811,ref-bible.0208.42.16.1,ref-bible.0208.42.16.21,108110,108217,17217,17236,ref-mek.2.3.3.384,ref-mek.2.3.3.404,והיתה החרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והרעב אשר אתם דאגים ממנו שם ידבק אחריכם מצרים ושם ,והיתה חרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והחרב אשר אתם דואגים ממנו שם ידבק אחריכם מצרים ושם ,21,21,966,366,0.038461538461538464,0.06666666666666665,ref-bible,ref-mek.2.3.3,ref-mek.2.3.3.379-ref-mek.2.3.3.397
1948,ref-bible.0208.25.15.16-ref-bible.0208.25.16.7,ref-mek.2.3.3.385-ref-mek.2.3.3.397,914995,915078,155371,155384,ref-bible.0208.25.15.16,ref-bible.0208.25.16.7,108117,108179,17218,17229,ref-mek.2.3.3.385,ref-mek.2.3.3.397,אתו את כל הגוים אשר אנכי שלח אותך אליהם ושתו והתגעשו והתהללו מפני החרב אשר אנכי ,חרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והחרב אשר אתם ,16,13,950,367,0.6375,0.9047619047619048,ref-bible,ref-mek.2.3.3,ref-mek.2.3.3.379-ref-mek.2.3.3.397
1949,ref-y.02.09.2.00.2337-ref-y.02.09.2.00.2406,ref-mek.2.3.3.423-ref-mek.2.3.3.486,1730592,1730954,263807,263873,ref-y.02.09.2.00.2337,ref-y.02.09.2.00.2406,108318,108648,17253,17312,ref-mek.2.3.3.423,ref-mek.2.3.3.486,כיתים נעשו אבותינו על הים אחת אומרת נפול לים ואחת אומרת נחזור למצרים ואחת אומרת נעשה עמהן מלחמה ואחת אומרת נצווח כנגדן זו שאמרה נפול לים אמר להן משה התיצבו וראו את ישועת ה' וגו' זו שאמרה נחזור למצרים אמר להן משה כי את שאר ראיתם את מצרים היום וגו' וזו שאמרה נעשה עמהן מלחמה אמר להן משה ה' ילחם לכם וזו שאמרה נצווח כנגדן אמר להן משה ואתם תחרישון ,כתין נעשו עוד על הים אחת אומרת ליפול אל הים ואחת אומרת לשוב למצרים ואחת אומרת לעשות מלחמה כנגדו ואחת אומרת נצווח כנגדן זאת שאמרה ליפול אל הים נאמר להם התיצבו וראו את ישועת ה' זו שאמרה נשוב למצרים נאמר להם כי אשר ראיתם את מצרים זו שאמרה נעשה מלחמה כנגדו נאמר להם ה' ילחם לכם זו שאמרה נצווח כנגדן נאמר להם ואתם תחרישון ,64,70,558,391,0.26744186046511625,0.3142857142857143,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1950,ref-sifre-d.319.3.17-ref-sifre-d.319.3.31,ref-mek.2.3.3.426-ref-mek.2.3.3.436,330381,330470,55323,55337,ref-sifre-d.319.3.17,ref-sifre-d.319.3.31,108332,108388,17256,17266,ref-mek.2.3.3.426,ref-mek.2.3.3.436,על הים ואמרתם זה אלי ואנוהו ובקשתי להיטיב אתכם וחזרתם ואמרתם נתנה ראש ונשובה מצרים ,על הים אחת אומרת ליפול אל הים ואחת אומרת לשוב למצרים ,11,15,850,224,0.5662650602409639,0.8888888888888888,ref-sifre-d,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1951,ref-y.02.04.5.00.491-ref-y.02.04.5.00.501,ref-mek.2.3.3.433-ref-mek.2.3.3.447,1398494,1398560,211559,211569,ref-y.02.04.5.00.491,ref-y.02.04.5.00.501,108364,108453,17263,17277,ref-mek.2.3.3.433,ref-mek.2.3.3.447,אחת אומרת לעינתי ואחת אומרת לימתי ואחת אומרת לזיבתי זו שאומרת ,ואחת אומרת לשוב למצרים ואחת אומרת לעשות מלחמה כנגדו ואחת אומרת נצווח כנגדן זאת שאמרה ,15,11,426,392,0.4705882352941176,0.875,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1952,ref-t.2.5.2.7.51-ref-t.2.5.2.7.57,ref-mek.2.3.3.438-ref-mek.2.3.3.454,397440,397474,62001,62007,ref-t.2.5.2.7.51,ref-t.2.5.2.7.57,108395,108489,17268,17284,ref-mek.2.3.3.438,ref-mek.2.3.3.454,אמ' למעלה עשן כנגדי אמרתי לו הראהו ,אומרת לעשות מלחמה כנגדו ואחת אומרת נצווח כנגדן זאת שאמרה ליפול אל הים נאמר להם התיצבו וראו ,7,17,101,135,0.7252747252747253,0.8333333333333334,ref-t,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1953,ref-sifre-d.310.7.23-ref-sifre-d.310.8.12,ref-mek.2.3.3.447-ref-mek.2.3.3.463,317659,317733,53139,53151,ref-sifre-d.310.7.23,ref-sifre-d.310.8.12,108447,108533,17277,17292,ref-mek.2.3.3.447,ref-mek.2.3.3.463,מוריך זקניך ויאמרו לך מה שהראיתי לזקנים בהר כענין שנאמר ואל משה אמר ,שאמרה ליפול אל הים נאמר להם התיצבו וראו את ישועת ה' זו שאמרה נשוב למצרים נאמר להם ,17,13,825,226,0.7195121951219512,0.8571428571428572,ref-sifre-d,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1954,ref-bible.0102.14.13.7-ref-bible.0102.14.13.20,ref-mek.2.3.3.453-ref-mek.2.3.3.468,133791,133858,23552,23562,ref-bible.0102.14.13.7,ref-bible.0102.14.13.20,108477,108555,17283,17296,ref-mek.2.3.3.453,ref-mek.2.3.3.468,התיצבו וראו את ישועת יהוה אשר יעשה לכם היום כי אשר ראיתם את מצרים ,התיצבו וראו את ישועת ה' זו שאמרה נשוב למצרים נאמר להם כי אשר ראיתם את מצרים ,14,16,183,368,0.3026315789473684,0.5,ref-bible,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1955,ref-b.4.04.109a.128-ref-b.4.04.109a.139,ref-mek.2.3.3.457-ref-mek.2.3.3.474,6253628,6253692,911685,911696,ref-b.4.04.109a.128,ref-b.4.04.109a.139,108499,108587,17286,17302,ref-mek.2.3.3.457,ref-mek.2.3.3.474,מלחמה זו שאומרת נעלה ונשב שם הפיצם ה' וזו שאומרת נעלה ונעשה ,ה' זו שאמרה נשוב למצרים נאמר להם כי אשר ראיתם את מצרים זו שאמרה נעשה מלחמה כנגדו נאמר ,18,12,2090,705,0.6395348837209303,0.85,ref-b,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1956,ref-y.02.06.5.00.501-ref-y.02.06.5.00.509,ref-mek.2.3.3.460-ref-mek.2.3.3.468,1586668,1586711,241455,241461,ref-y.02.06.5.00.501,ref-y.02.06.5.00.509,108512,108555,17289,17296,ref-mek.2.3.3.460,ref-mek.2.3.3.468,לשוב ארץ מצרים שנאמר כי אשר ראיתם את מצרים ,נשוב למצרים נאמר להם כי אשר ראיתם את מצרים ,9,9,499,393,0.2325581395348837,0.5,ref-y,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1957,ref-t.2.5.2.7.51-ref-t.2.5.2.7.59,ref-mek.2.3.3.462-ref-mek.2.3.3.480,397440,397481,62001,62009,ref-t.2.5.2.7.51,ref-t.2.5.2.7.59,108525,108613,17291,17306,ref-mek.2.3.3.462,ref-mek.2.3.3.480,אמ' למעלה עשן כנגדי אמרתי לו הראהו לי אמ' ,נאמר להם כי אשר ראיתם את מצרים זו שאמרה נעשה מלחמה כנגדו נאמר להם ה' ילחם לכם זו שאמרה ,9,19,102,136,0.7011494252873564,0.9444444444444444,ref-t,ref-mek.2.3.3,ref-mek.2.3.3.423-ref-mek.2.3.3.480
1958,ref-sifre-d.310.8.9-ref-sifre-d.310.8.16,ref-mek.2.3.4.71-ref-mek.2.3.4.87,317714,317747,53148,53155,ref-sifre-d.310.8.9,ref-sifre-d.310.8.16,109018,109107,17369,17383,ref-mek.2.3.4.71,ref-mek.2.3.4.87,שנאמר ואל משה אמר עלה אל ה' אתה ,שנאמר רוממות אל בגרונם ואומר רומה על השמים אלהים על כל הארץ כבודך ואומר ה' אלהי אתה ,17,8,828,227,0.6547619047619048,0.5384615384615384,ref-sifre-d,ref-mek.2.3.4,ref-mek.2.3.4.71-ref-mek.2.3.4.97
1959,ref-bible.0301.57.6.1-ref-bible.0301.57.6.8,ref-mek.2.3.4.76-ref-mek.2.3.4.83,1191209,1191246,202132,202137,ref-bible.0301.57.6.1,ref-bible.0301.57.6.8,109050,109088,17374,17379,ref-mek.2.3.4.76,ref-mek.2.3.4.83,רומה על השמים אלהים על כל הארץ כבודך ,רומה על השמים אלהים על כל הארץ כבודך ,8,8,1112,369,0.0,0.0,ref-bible,ref-mek.2.3.4,ref-mek.2.3.4.71-ref-mek.2.3.4.97
1960,ref-bible.0301.57.12.1-ref-bible.0301.57.12.8,ref-mek.2.3.4.76-ref-mek.2.3.4.83,1191446,1191481,202177,202182,ref-bible.0301.57.12.1,ref-bible.0301.57.12.8,109050,109088,17374,17379,ref-mek.2.3.4.76,ref-mek.2.3.4.83,רומה על שמים אלהים על כל הארץ כבודך ,רומה על השמים אלהים על כל הארץ כבודך ,8,8,1113,370,0.027027027027027032,0.0,ref-bible,ref-mek.2.3.4,ref-mek.2.3.4.71-ref-mek.2.3.4.97
1961,ref-y.01.02.1.00.3352-ref-y.01.02.1.00.3359,ref-mek.2.3.4.76-ref-mek.2.3.4.83,207951,207989,32785,32790,ref-y.01.02.1.00.3352,ref-y.01.02.1.00.3359,109050,109088,17374,17379,ref-mek.2.3.4.76,ref-mek.2.3.4.83,רומה על השמים אלהים על כל הארץ כבודך ,רומה על השמים אלהים על כל הארץ כבודך ,8,8,131,394,0.0,0.0,ref-y,ref-mek.2.3.4,ref-mek.2.3.4.71-ref-mek.2.3.4.97
1962,ref-bible.0207.24.23.14-ref-bible.0207.25.1.13,ref-mek.2.3.4.83-ref-mek.2.3.4.97,808741,808809,136663,136676,ref-bible.0207.24.23.14,ref-bible.0207.25.1.13,109083,109158,17379,17393,ref-mek.2.3.4.83,ref-mek.2.3.4.97,כבוד יהוה אלהי אתה ארוממך אודה שמך כי עשית פלא עצות מרחוק אמונה אמן ,כבודך ואומר ה' אלהי אתה ארוממך אודה שמך כי עשית פלא עצות מרחוק אמונה אומן ,14,15,842,371,0.10810810810810813,0.2857142857142857,ref-bible,ref-mek.2.3.4,ref-mek.2.3.4.71-ref-mek.2.3.4.97
1963,ref-sifre-n.105.1.524-ref-sifre-n.105.1.534,ref-mek.2.4.1.50-ref-mek.2.4.1.61,144832,144875,22633,22643,ref-sifre-n.105.1.524,ref-sifre-n.105.1.534,109463,109511,17436,17446,ref-mek.2.4.1.50,ref-mek.2.4.1.61,אל נא רפא נא לה יש שעה לקצר ויש שעה להאריך ,להאריך ויש שעה לקצר אל נא רפא נא לה הרי זה לקצר ,12,11,417,236,0.6875,0.25,ref-sifre-n,ref-mek.2.4.1,ref-mek.2.4.1.50-ref-mek.2.4.1.61
1964,ref-bible.0207.51.9.1-ref-bible.0207.51.9.4,ref-mek.2.4.1.103-ref-mek.2.4.1.106,847843,847860,143778,143781,ref-bible.0207.51.9.1,ref-bible.0207.51.9.4,109727,109746,17479,17482,ref-mek.2.4.1.103,ref-mek.2.4.1.106,עורי עורי לבשי עז ,עורי עורי לבשי עוזך ,4,4,893,372,0.1,0.5,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.103-ref-mek.2.4.1.121
1965,ref-bible.0207.52.1.1-ref-bible.0207.52.1.19,ref-mek.2.4.1.103-ref-mek.2.4.1.121,848954,849044,143974,143991,ref-bible.0207.52.1.1,ref-bible.0207.52.1.19,109727,109818,17479,17496,ref-mek.2.4.1.103,ref-mek.2.4.1.121,עורי עורי לבשי עזך ציון לבשי בגדי תפארתך ירושלם עיר הקדש כי לא יוסיף יבא בך עוד ערל וטמא ,עורי עורי לבשי עוזך ציון לבשי בגדי תפארתך ירושלם עיר הקדש כי לא יוסיף יבא בך עוד ערל וטמא ,19,19,897,373,0.011111111111111113,0.0,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.103-ref-mek.2.4.1.121
1966,ref-bible.0207.52.1.1-ref-bible.0207.52.1.4,ref-mek.2.4.1.123-ref-mek.2.4.1.126,848954,848972,143974,143977,ref-bible.0207.52.1.1,ref-bible.0207.52.1.4,109826,109844,17498,17501,ref-mek.2.4.1.123,ref-mek.2.4.1.126,עורי עורי לבשי עזך ,עורי עורי לבשי עוז ,4,4,896,374,0.10526315789473684,0.5,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.123-ref-mek.2.4.1.154
1967,ref-bible.0207.51.9.1-ref-bible.0207.51.10.14,ref-mek.2.4.1.123-ref-mek.2.4.1.154,847843,848002,143778,143807,ref-bible.0207.51.9.1,ref-bible.0207.51.10.14,109826,109984,17498,17527,ref-mek.2.4.1.123,ref-mek.2.4.1.154,עורי עורי לבשי עז זרוע יהוה עורי כימי קדם דרות עולמים הלוא את היא המחצבת רהב מחוללת תנין הלוא את היא המחרבת ים מי תהום רבה השמה מעמקי ים דרך לעבר גאולים ,עורי עורי לבשי עוז זרוע ה' עורי כימי קדם דורות עולמים הלא את היא המחצבת רהב מחוללת תנין הלא את היא המחרבת ים מי תהום רבה השמה מעמקי ים דרך לעבור גאולים ,32,32,894,375,0.052287581699346414,0.04545454545454541,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.123-ref-mek.2.4.1.154
1968,ref-bible.0101.28.13.18-ref-bible.0101.28.14.7,ref-mek.2.4.1.165-ref-mek.2.4.1.175,53457,53514,9486,9495,ref-bible.0101.28.13.18,ref-bible.0101.28.14.7,110042,110099,17537,17545,ref-mek.2.4.1.165,ref-mek.2.4.1.175,לך אתננה ולזרעך והיה זרעך כעפר הארץ ופרצת ימה וקדמה ,לכם את הים שנאמר והיה זרעך כעפר הארץ ופרצת ימה וקדמה ,10,11,40,376,0.22641509433962265,0.5,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.165-ref-mek.2.4.1.175
1969,ref-bible.0102.15.19.13-ref-bible.0102.15.19.19,ref-mek.2.4.1.198-ref-mek.2.4.1.205,136295,136333,23983,23989,ref-bible.0102.15.19.13,ref-bible.0102.15.19.19,110209,110254,17561,17568,ref-mek.2.4.1.198,ref-mek.2.4.1.205,הים ובני ישראל הלכו ביבשה בתוך הים ,הים לחרבה ובני ישראל הלכו ביבשה בתוך הים ,7,8,230,377,0.14634146341463414,0.16666666666666666,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.198-ref-mek.2.4.1.212
1970,ref-bible.0102.14.29.1-ref-bible.0102.14.29.9,ref-mek.2.4.1.200-ref-mek.2.4.1.212,135076,135124,23761,23769,ref-bible.0102.14.29.1,ref-bible.0102.14.29.9,110221,110285,17563,17571,ref-mek.2.4.1.200,ref-mek.2.4.1.212,ובני ישראל הלכו ביבשה בתוך הים והמים להם חמה ,ובני ישראל הלכו ביבשה בתוך הים ר' שמעון בן יוחאי אומר כבר חמה ,9,13,204,378,0.3709677419354839,0.5384615384615384,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.198-ref-mek.2.4.1.212
1971,ref-bible.0208.31.35.4-ref-bible.0208.31.35.16,ref-mek.2.4.1.225-ref-mek.2.4.1.237,930049,930116,157776,157788,ref-bible.0208.31.35.4,ref-bible.0208.31.35.16,110342,110413,17579,17591,ref-mek.2.4.1.225,ref-mek.2.4.1.237,נתן שמש לאור יומם חקת ירח וכוכבים לאור לילה רגע הים ויהמו גליו ,נותן שמש לאור יומם חוקות ירח וכוכבים לאור לילה רוגע הים ויהמו גליו ,13,13,955,379,0.059701492537313425,0.16666666666666666,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.225-ref-mek.2.4.1.243
1972,ref-b.2.04.118a.245-ref-b.2.04.118a.248,ref-mek.2.4.1.234-ref-mek.2.4.1.237,1613748,1613769,233877,233880,ref-b.2.04.118a.245,ref-b.2.04.118a.248,110392,110413,17588,17591,ref-mek.2.4.1.234,ref-mek.2.4.1.237,רוגע הים ויהמו גליו ,רוגע הים ויהמו גליו ,4,4,464,706,0.0,0.0,ref-b,ref-mek.2.4.1,ref-mek.2.4.1.225-ref-mek.2.4.1.243
1973,ref-sifre-d.43.19.30-ref-sifre-d.43.19.37,ref-mek.2.4.1.235-ref-mek.2.4.1.243,81024,81062,13630,13636,ref-sifre-d.43.19.30,ref-sifre-d.43.19.37,110397,110439,17589,17597,ref-mek.2.4.1.235,ref-mek.2.4.1.243,הים וישפכם ה' צבאות שמו ר' יצחק אומר ,הים ויהמו גליו ה' צבאות שמו ר' בנאה אומר ,9,8,180,228,0.2926829268292683,0.5,ref-sifre-d,ref-mek.2.4.1,ref-mek.2.4.1.225-ref-mek.2.4.1.243
1974,ref-t.3.3.2.7.11-ref-t.3.3.2.7.21,ref-mek.2.4.1.273-ref-mek.2.4.1.283,591580,591632,92632,92641,ref-t.3.3.2.7.11,ref-t.3.3.2.7.21,110592,110645,17620,17629,ref-mek.2.4.1.273,ref-mek.2.4.1.283,שנ' אם לא בריתי יומם ולילה חקות שמים וארץ לא שמתי ,אם לא בריתי יומם ולילה חוקות שמים וארץ לא שמתי אמרת ,11,11,156,138,0.19230769230769232,0.2,ref-t,ref-mek.2.4.1,ref-mek.2.4.1.273-ref-mek.2.4.1.282
1975,ref-m.3.3.3.11.191-ref-m.3.3.4.1.1,ref-mek.2.4.1.273-ref-mek.2.4.1.284,351069,351121,54413,54422,ref-m.3.3.3.11.191,ref-m.3.3.4.1.1,110592,110648,17620,17630,ref-mek.2.4.1.273,ref-mek.2.4.1.284,אם לא בריתי יומם ולילה חוקות שמים וארץ לא שמתי אין ,אם לא בריתי יומם ולילה חוקות שמים וארץ לא שמתי אמרת אי ,11,12,127,117,0.10909090909090907,0.11111111111111116,ref-m,ref-mek.2.4.1,ref-mek.2.4.1.273-ref-mek.2.4.1.282
1976,ref-bible.0208.33.25.6-ref-bible.0208.33.25.13,ref-mek.2.4.1.275-ref-mek.2.4.1.282,936525,936566,158793,158800,ref-bible.0208.33.25.6,ref-bible.0208.33.25.13,110598,110640,17621,17628,ref-mek.2.4.1.275,ref-mek.2.4.1.282,בריתי יומם ולילה חקות שמים וארץ לא שמתי ,בריתי יומם ולילה חוקות שמים וארץ לא שמתי ,8,8,959,380,0.024390243902439025,0.0,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.273-ref-mek.2.4.1.282
1977,ref-bible.0207.63.12.6-ref-bible.0207.63.12.12,ref-mek.2.4.1.401-ref-mek.2.4.1.409,862191,862223,146389,146395,ref-bible.0207.63.12.6,ref-bible.0207.63.12.12,111254,111294,17728,17735,ref-mek.2.4.1.401,ref-mek.2.4.1.409,בוקע מים מפניהם לעשות לו שם עולם ,בוקע מים מפניהם מפני מה לעשות לו שם עולם ,7,9,918,381,0.1951219512195122,0.16666666666666666,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.401-ref-mek.2.4.1.409
1978,ref-bible.0301.105.42.1-ref-bible.0301.105.43.3,ref-mek.2.4.1.439-ref-mek.2.4.1.447,1228251,1228301,208946,208954,ref-bible.0301.105.42.1,ref-bible.0301.105.43.3,111443,111487,17756,17763,ref-mek.2.4.1.439,ref-mek.2.4.1.447,כי זכר את דבר קדשו את אברהם עבדו ויוצא עמו בששון ,כי זכר את דבר קדשו וכתיב ויוציא עמו בששון ,11,9,1162,382,0.2653061224489796,0.30000000000000004,ref-bible,ref-mek.2.4.1,ref-mek.2.4.1.439-ref-mek.2.4.1.447
