,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
478,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.62.4.5-ref-sifre-d.62.4.18,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,110332,110398,18467,18478,ref-sifre-d.62.4.5,ref-sifre-d.62.4.18,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן לשום את שמו ונאמר להלן ושמו את שמי מה שמי האמור להלן ,10,14,478,418,0.43548387096774194,0.4347826086956522,0.4032258064516129
480,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.69.1.2-ref-sifre-d.69.1.11,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,114321,114374,19130,19139,ref-sifre-d.69.1.2,ref-sifre-d.69.1.11,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן ,10,10,480,618,0.3269230769230769,0.31034482758620685,0.25
482,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.86.6.4-ref-sifre-d.86.6.13,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,131306,131359,21925,21934,ref-sifre-d.86.6.4,ref-sifre-d.86.6.13,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן ,10,10,482,832,0.3269230769230769,0.3389830508474576,0.25
484,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.103.3.7-ref-sifre-d.103.3.16,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,141400,141447,23636,23645,ref-sifre-d.103.3.7,ref-sifre-d.103.3.16,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן ,10,10,484,1118,0.2391304347826087,0.2962962962962963,0.21739130434782608
486,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.111.1.12-ref-sifre-d.111.1.21,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,150485,150529,25160,25169,ref-sifre-d.111.1.12,ref-sifre-d.111.1.21,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן ,10,10,486,1384,0.17391304347826086,0.18367346938775508,0.15217391304347827
488,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.122.3.2-ref-sifre-d.122.3.11,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,159893,159943,26768,26777,ref-sifre-d.122.3.2,ref-sifre-d.122.3.11,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן אזנו ונאמר להלן אזנו מה אזנו האמור להלן ,10,10,488,1501,0.2857142857142857,0.3620689655172413,0.2653061224489796
490,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.138.1.6-ref-sifre-d.138.1.15,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,170594,170645,28530,28539,ref-sifre-d.138.1.6,ref-sifre-d.138.1.15,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן ,10,10,490,1694,0.3,0.2857142857142857,0.22
492,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.149.4.17-ref-sifre-d.149.4.26,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,179909,179963,30019,30028,ref-sifre-d.149.4.17,ref-sifre-d.149.4.26,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן שעריך ונאמר להלן שעריך מה שעריך האמור להלן ,10,10,492,1829,0.3269230769230769,0.3666666666666667,0.3076923076923077
494,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.194.6.12-ref-sifre-d.194.6.21,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,206762,206809,34504,34513,ref-sifre-d.194.6.12,ref-sifre-d.194.6.21,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן ,10,10,494,2025,0.2391304347826087,0.32727272727272727,0.21739130434782608
496,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.195.7.13-ref-sifre-d.195.7.22,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,207312,207359,34601,34610,ref-sifre-d.195.7.13,ref-sifre-d.195.7.22,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן ,10,10,496,2118,0.2391304347826087,0.32727272727272727,0.21739130434782608
498,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.261.2.25-ref-sifre-d.261.2.34,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,251780,251833,42029,42038,ref-sifre-d.261.2.25,ref-sifre-d.261.2.34,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן ,10,10,498,2397,0.36538461538461536,0.3389830508474576,0.2692307692307692
500,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,253239,253286,42294,42303,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,10,10,500,2477,0.2391304347826087,0.32727272727272727,0.21739130434782608
502,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.284.6.4-ref-sifre-d.284.6.16,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,268475,268534,44842,44854,ref-sifre-d.284.6.4,ref-sifre-d.284.6.16,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן גר יתום ונאמר להלן גר יתום מה גר יתום האמור להלן ,10,13,502,2608,0.39655172413793105,0.4477611940298507,0.3793103448275862
504,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.285.4.3-ref-sifre-d.285.4.15,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,269137,269196,44955,44967,ref-sifre-d.285.4.3,ref-sifre-d.285.4.15,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן גר יתום ונאמר להלן גר יתום מה גר יתום האמור להלן ,10,13,504,2692,0.39655172413793105,0.4477611940298507,0.3793103448275862
506,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.289.3.11-ref-sifre-d.289.3.25,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,274573,274645,45894,45907,ref-sifre-d.289.3.11,ref-sifre-d.289.3.25,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן ,10,15,506,2777,0.4857142857142857,0.43243243243243246,0.45714285714285713
508,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.289.9.18-ref-sifre-d.289.9.27,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,275341,275385,46033,46042,ref-sifre-d.289.9.18,ref-sifre-d.289.9.27,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן שם ונאמר להלן שם מה שם האמור להלן ,10,10,508,2827,0.2391304347826087,0.2549019607843137,0.21739130434782608
510,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.26,ref-sifre-d.291.6.2-ref-sifre-d.291.6.12,105133,105180,15206,15215,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.26,276844,276905,46303,46313,ref-sifre-d.291.6.2,ref-sifre-d.291.6.12,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,ואמרה נאמר כאן ענייה ונאמר להלן ענייה מה ענייה האמורה להלן ,10,11,510,2931,0.3898305084745763,0.40909090909090906,0.3389830508474576
512,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.30,ref-sifre-d.90.2.4-ref-sifre-d.90.2.14,105133,105195,15206,15217,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.30,133293,133348,22275,22285,ref-sifre-d.90.2.4,ref-sifre-d.90.2.14,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן בית דין אף כאן ,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן ,14,11,512,941,0.4262295081967213,0.3802816901408451,0.29508196721311475
514,ref-Sifra.3.04-00.15.17-ref-Sifra.3.04-00.15.30,ref-sifre-d.107.18.9-ref-sifre-d.107.18.25,105133,105195,15206,15217,ref-Sifra.3.4-00.15.17,ref-Sifra.3.4-00.15.30,147877,147963,24697,24713,ref-sifre-d.107.18.9,ref-sifre-d.107.18.25,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן בית דין אף כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן ,14,17,514,1259,0.47619047619047616,0.4065934065934066,0.42857142857142855
516,ref-Sifra.3.04-00.15.18-ref-Sifra.3.04-00.15.26,ref-sifre-d.302.1.23-ref-sifre-d.302.1.34,105140,105180,15207,15215,ref-Sifra.3.4-00.15.18,ref-Sifra.3.4-00.15.26,288631,288685,48307,48318,ref-sifre-d.302.1.23,ref-sifre-d.302.1.34,כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,מה קץ האמור להלן חג המצות אף כאן חג המצות נאמר להלן ,9,12,516,3149,0.5769230769230769,0.38596491228070173,0.5
518,ref-Sifra.3.04-00.16.14-ref-Sifra.3.04-00.16.25,ref-sifre-d.302.1.4-ref-sifre-d.302.1.15,105265,105326,15229,15240,ref-Sifra.3.4-00.16.14,ref-Sifra.3.4-00.16.25,288545,288602,48288,48299,ref-sifre-d.302.1.4,ref-sifre-d.302.1.15,וכולן פטורים שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,יכול בחנוכה נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן ,12,12,518,3059,0.4067796610169492,0.2727272727272727,0.3050847457627119
520,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,51448,51495,8632,8641,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,10,10,520,85,0.41304347826086957,0.32727272727272727,0.2826086956521739
521,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.36.2.102-ref-sifre-d.36.2.111,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,51683,51730,8674,8683,ref-sifre-d.36.2.102,ref-sifre-d.36.2.111,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,10,10,521,161,0.41304347826086957,0.32727272727272727,0.2826086956521739
522,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.43.25.1-ref-sifre-d.43.25.12,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,82638,82690,13898,13909,ref-sifre-d.43.25.1,ref-sifre-d.43.25.12,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן ,10,12,522,299,0.43137254901960786,0.3833333333333333,0.35294117647058826
523,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.69.1.2-ref-sifre-d.69.1.11,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,114321,114374,19130,19139,ref-sifre-d.69.1.2,ref-sifre-d.69.1.11,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן ,10,10,523,620,0.46153846153846156,0.31034482758620685,0.3269230769230769
524,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.86.6.4-ref-sifre-d.86.6.13,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,131306,131359,21925,21934,ref-sifre-d.86.6.4,ref-sifre-d.86.6.13,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן ,10,10,524,834,0.46153846153846156,0.3389830508474576,0.3269230769230769
525,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.103.3.7-ref-sifre-d.103.3.16,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,141400,141447,23636,23645,ref-sifre-d.103.3.7,ref-sifre-d.103.3.16,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן ,10,10,525,1120,0.41304347826086957,0.2962962962962963,0.2826086956521739
526,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.111.1.12-ref-sifre-d.111.1.21,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,150485,150529,25160,25169,ref-sifre-d.111.1.12,ref-sifre-d.111.1.21,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן ,10,10,526,1386,0.34782608695652173,0.18367346938775508,0.2391304347826087
527,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.122.3.2-ref-sifre-d.122.3.11,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,159893,159943,26768,26777,ref-sifre-d.122.3.2,ref-sifre-d.122.3.11,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן אזנו ונאמר להלן אזנו מה אזנו האמור להלן ,10,10,527,1503,0.4489795918367347,0.3620689655172413,0.32653061224489793
528,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.138.1.6-ref-sifre-d.138.1.15,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,170594,170645,28530,28539,ref-sifre-d.138.1.6,ref-sifre-d.138.1.15,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן ,10,10,528,1696,0.44,0.2857142857142857,0.3
529,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.149.4.17-ref-sifre-d.149.4.26,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,179909,179963,30019,30028,ref-sifre-d.149.4.17,ref-sifre-d.149.4.26,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן שעריך ונאמר להלן שעריך מה שעריך האמור להלן ,10,10,529,1831,0.46153846153846156,0.3666666666666667,0.36538461538461536
530,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.194.6.12-ref-sifre-d.194.6.21,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,206762,206809,34504,34513,ref-sifre-d.194.6.12,ref-sifre-d.194.6.21,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן ,10,10,530,2027,0.41304347826086957,0.32727272727272727,0.2826086956521739
531,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.195.7.13-ref-sifre-d.195.7.22,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,207312,207359,34601,34610,ref-sifre-d.195.7.13,ref-sifre-d.195.7.22,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן ,10,10,531,2120,0.41304347826086957,0.32727272727272727,0.2826086956521739
532,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,253239,253286,42294,42303,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,10,10,532,2479,0.41304347826086957,0.32727272727272727,0.2826086956521739
533,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.289.9.18-ref-sifre-d.289.9.27,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,275341,275385,46033,46042,ref-sifre-d.289.9.18,ref-sifre-d.289.9.27,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן שם ונאמר להלן שם מה שם האמור להלן ,10,10,533,2829,0.391304347826087,0.2549019607843137,0.2826086956521739
534,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.25,ref-sifre-d.291.6.3-ref-sifre-d.291.6.12,105279,105326,15231,15240,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.25,276851,276905,46304,46313,ref-sifre-d.291.6.3,ref-sifre-d.291.6.12,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן ,נאמר כאן ענייה ונאמר להלן ענייה מה ענייה האמורה להלן ,10,10,534,2974,0.4528301886792453,0.35,0.33962264150943394
535,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.29,ref-sifre-d.90.2.4-ref-sifre-d.90.2.14,105279,105341,15231,15242,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.29,133293,133348,22275,22285,ref-sifre-d.90.2.4,ref-sifre-d.90.2.14,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן בית דין אף כאן ,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן ,14,11,535,943,0.5409836065573771,0.3802816901408451,0.36065573770491804
537,ref-Sifra.3.04-00.16.16-ref-Sifra.3.04-00.16.29,ref-sifre-d.107.18.9-ref-sifre-d.107.18.25,105279,105341,15231,15242,ref-Sifra.3.4-00.16.16,ref-Sifra.3.4-00.16.29,147877,147963,24697,24713,ref-sifre-d.107.18.9,ref-sifre-d.107.18.25,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן בית דין אף כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן ,14,17,537,1261,0.5595238095238095,0.4065934065934066,0.47619047619047616
539,ref-Sifra.3.04-06.4.4-ref-Sifra.3.04-06.4.26,ref-sifre-d.138.1.2-ref-sifre-d.138.1.20,105956,106076,15336,15358,ref-Sifra.3.4-06.4.4,ref-Sifra.3.4-06.4.26,170579,170671,28528,28544,ref-sifre-d.138.1.2,ref-sifre-d.138.1.20,לפני השם בצפון נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן ,לפני ה' א להיך נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,23,19,539,1692,0.5258620689655172,0.5179856115107914,0.4827586206896552
541,ref-sifra.3.04-06.4.5-ref-sifra.3.04-06.4.26,ref-sifre-d.289.3.11-ref-sifre-d.289.3.30,105961,106076,15337,15358,ref-sifra.3.4-06.4.5,ref-sifra.3.4-06.4.26,274573,274669,45894,45912,ref-sifre-d.289.3.11,ref-sifre-d.289.3.30,השם בצפון נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן ,נאמר כאן שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן לנחלה אף שם האמור כאן ,22,20,541,2803,0.5945945945945946,0.45038167938931295,0.46846846846846846
542,ref-Sifra.3.04-06.4.5-ref-Sifra.3.04-06.4.26,ref-sifre-d.289.9.14-ref-sifre-d.289.9.32,105961,106076,15337,15358,ref-Sifra.3.4-06.4.5,ref-Sifra.3.4-06.4.26,275324,275407,46031,46047,ref-sifre-d.289.9.14,ref-sifre-d.289.9.32,השם בצפון נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן ,שם ר' יהודה אומר נאמר כאן שם ונאמר להלן שם מה שם האמור להלן נחלה אף שם האמור כאן ,22,19,542,2824,0.5495495495495496,0.4516129032258065,0.4864864864864865
544,ref-Sifra.3.04-06.4.5-ref-Sifra.3.04-06.4.29,ref-sifre-d.62.4.1-ref-sifre-d.62.4.26,105961,106092,15337,15361,ref-Sifra.3.4-06.4.5,ref-Sifra.3.4-06.4.29,110316,110443,18464,18486,ref-sifre-d.62.4.1,ref-sifre-d.62.4.26,השם בצפון נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן פני פרוכת הקדש ,לשום את שמו שם נאמר כאן לשום את שמו ונאמר להלן ושמו את שמי מה שמי האמור להלן בלשון הקדש אף שמי האמור כאן בלשון הקדש ,25,26,544,416,0.48412698412698413,0.43870967741935485,0.40476190476190477
546,ref-Sifra.3.04-06.4.7-ref-Sifra.3.04-06.4.19,ref-sifre-d.103.3.7-ref-sifre-d.103.3.16,105973,106039,15339,15351,ref-Sifra.3.4-06.4.7,ref-Sifra.3.4-06.4.19,141400,141447,23636,23645,ref-sifre-d.103.3.7,ref-sifre-d.103.3.16,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן ,נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן ,13,10,546,1121,0.3787878787878788,0.4,0.36363636363636365
548,ref-Sifra.3.04-06.4.7-ref-Sifra.3.04-06.4.22,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,105973,106054,15339,15354,ref-Sifra.3.4-06.4.7,ref-Sifra.3.4-06.4.22,51448,51511,8632,8644,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,16,14,548,104,0.45,0.4222222222222223,0.4125
550,ref-Sifra.3.04-06.4.7-ref-Sifra.3.04-06.4.22,ref-sifre-d.43.25.1-ref-sifre-d.43.25.12,105973,106054,15339,15354,ref-Sifra.3.4-06.4.7,ref-Sifra.3.4-06.4.22,82638,82690,13898,13909,ref-sifre-d.43.25.1,ref-sifre-d.43.25.12,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף ,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן ,16,12,550,300,0.5125,0.4767441860465116,0.5
551,ref-Sifra.3.04-06.4.7-ref-Sifra.3.04-06.4.26,ref-sifre-d.36.2.102-ref-sifre-d.36.2.118,105973,106076,15339,15358,ref-Sifra.3.4-06.4.7,ref-Sifra.3.4-06.4.26,51683,51764,8674,8690,ref-sifre-d.36.2.102,ref-sifre-d.36.2.118,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על הספר ובדיו אף כתב האמור כאן ,20,17,551,183,0.42574257425742573,0.38181818181818183,0.37623762376237624
553,ref-Sifra.3.04-06.4.7-ref-Sifra.3.04-06.4.26,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,105973,106076,15339,15358,ref-Sifra.3.4-06.4.7,ref-Sifra.3.4-06.4.26,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,20,15,553,577,0.5346534653465347,0.5537190082644627,0.49504950495049505
555,ref-Sifra.3.04-06.4.7-ref-Sifra.3.04-06.4.26,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,105973,106076,15339,15358,ref-Sifra.3.4-06.4.7,ref-Sifra.3.4-06.4.26,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,20,15,555,646,0.5445544554455446,0.564516129032258,0.48514851485148514
557,ref-Sifra.3.04-06.4.7-ref-Sifra.3.04-06.4.26,ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,105973,106076,15339,15358,ref-Sifra.3.4-06.4.7,ref-Sifra.3.4-06.4.26,131306,131387,21925,21939,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף פני פרוכת' האמור כאן ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,20,15,557,858,0.5346534653465347,0.5564516129032258,0.48514851485148514
