ref-Sifra.1.1,רבי ישמעאל אומ׳ 
ref-Sifra.2.12-00.1,אילו אומר אשר תקריבו לשם לא תעשה חמץ׳ יכול אין לי בלא תעשה חמץ אלא הקומץ בלבד ומנין לרבות את המנחה תלמוד לומר ׳מנחה׳ ומנין לרבות את כל המנחות תלמוד לומר כל המנחה 
ref-Sifra.2.12-00.2,אין לי אלא מנחות ששיריהן נאכלים מנחות שאין שיריהם נאכלים מנין תלמוד לומר כל המנחה ״אשר תקריבו לה׳ לא תעשה חמץ אשר תקריבו לה׳ לא תעשה חמץ״ ר׳ יוסי הגלילי אומר להביא את לחם הפנים ר׳ עקיבא אומר להביא מנחת נסכים ר׳ יוסי הגלילי אומר להביא את לחם הפנים ר׳ עקיבא אומר להביא מנחת נסכים 
ref-Sifra.2.12-00.3,לא תעשה חמץ יכול לאו אחד לכולם תלמוד לומר לא תאפה חמץ אפיה בכלל היתה ולמה יצאת להקיש אליה ולומר מה אפיה מיוחדת שהיא מעשה יחידי וחייבים עליה בפני עצמה אף אני ארבה לישתה ועריכתה וכל מעשה ומעשה שיש בה לחייב עליו בפני עצמו 
ref-Sifra.2.12-00.4, לא תקטירו אין לי אלא המרובה הממועט מנין תלמוד לומר כל  אין לי אלא הוא עצמו עירובו מנין תלמוד לומר כי כל  יכול מנחות שהן ב מצה תהיה יהיו בבל תקטירו מנחות שאינם ב מצה תהיה לא יהיו בבל תקטירו תלמוד לומר כי כל  וכל דבש ׳דבש לא תקטירו׳ אין לי אלא המרובה הממועט מנין תלמוד לומר ׳כל דבש׳ אין לי אלא הוא עצמו עירובו מנין תלמוד לומר וכל דבש אין לי אלא דברים שאין הדבש יפה להם דברים שהדבש יפה להם מנין שהפטמין אומרים יפה הדבש לקטורת מנין תלמוד לומר וכל דבש 
ref-Sifra.2.12-00.5,מה תלמוד לומר כל שאר ומה תלמוד לומר וכל דבש לפי שיש בשאור מה שאין בדבש ובדבש מה שאין בשאור שאור הותר מכללו למקדש ודבש לא הותר מכללו למקדש דבש הותר בשירי מנחות ושאור לא הותר בשירי מנחות הא לפי שיש בשאור מה שאין בדבש ובדבש מה שאין בשאור צריך לומר כל שאר וצריך לומר וכל דבש 
ref-Sifra.2.12-00.6,ומנין המעלה מבשר חטאת ומבשר אשם ומבשר קדשי קדשים ומבשר קדשים קלים ומותר העומר ושתי הלחם ולחם הפנים ושירי מנחות והקטירם מן השאור ומן הדבש עובר בלא תעשה תלמוד לומר כי כל שאר וכל דבש לא תקטירו ממנו אשה לשם הא כל שיש ממנו לאשים הרי הוא בבל תקטירו 
ref-Sifra.2.12-00.7,קרבן ראשית שיהיה ראשית לכל המנחות וכך הוא אומר והקרבתם מנחה חדשה לשם שתהיה חדשה לכל המנחות אין לי אלא מנחת חטין למנחת שעורין מנין כשהוא אומר וביום הבכורים בהקריבכם מנחה חדשה לה׳ בשבועותיכם אם אינו ענין למנחת חטין תנהו ענין למנחת שעורים 
ref-Sifra.2.12-00.8,ומנין שיקדימו לבכורים תלמוד לומר בכורי קציר חטים אין לי אלא של חטין של שעורים מנין תלמוד לומר וחג הקציר בכורי מעשיך ״אשר תזרע אשר תזרע״ אין לי אלא שיזרע עלה מאליו מנין תלמוד לומר אשר בשדה אין לי אלא שבשדה שבגג ושבחצר ושבחורבה מנין תלמוד לומר בכורי כל אשר בארצם ומנין שיקדימו לנסכים ולפירות האילן תלמוד לומר בכורי מעשיך ואומר באספך את מעשיך מן השדה 
ref-Sifra.2.12-00.9,יכול אם קדמן דבר אחד לא יקרבו תלמוד לומר תקריבו יכול אם לא קרבו בעצרת יקרבו לאחר עצרת תלמוד לומר אותם יכול יביא היחיד כיוצא בהם נדבה תלמוד לומר תקריבו יכול לא יביא היחיד כיוצא בהן נדבה שכן אינו מביא כיוצא בהן חובה אבל יביא הציבור כיוצא בהן נדבה שכן הוא מביא כיוצא בהן חובה תלמוד לומר אותם ״המזבח המזבח״ אין לי אלא המזבח ומנין לרבות את הכבש תלמוד לומר אין לי אלא המזבח ומנין לרבות את הכבש תלמוד לומר ואל המזבח לא יעלו יכול לעבודה ושלא לעבודה תלמוד לומר לריח ניחח לא אמרתי אלא לעבודה 
ref-Sifra.2.12-14.1,או אומר כל קורבנך תקריב מלח יכול אף על העצים אף על הדם תלמוד לומר קרבן מנחתך מה קרבן מנחתך דבר שאחרים באים חובה לו יצאו העצים והדם שאין אחרים באים חובה להן 
ref-Sifra.2.12-14.2,אי מה קרבן מנחתך דבר שהוא מתיר אף אני אביא את הדם שהוא מתיר תלמוד לומר מעל מנחתך לא מעל דמך אי מעל מנחתך יכול תהיה מנחה כולה טעונה מלח תלמוד לומר קרבן הקומץ טעון מלח ואין מנחה כולה טעונה מלח 
ref-Sifra.2.12-14.3,אין לי אלא הקומץ מנין לרבות את הלבונה תלמוד לומר על כל קרבנך תקריב מלח ארבה את הלבונה הבאה עם המנחה מנין לבונה הבאה בפני עצמה ולבונה הבאה עם לחם הפנים ואמורי חטאת ואמורי אשם ואמורי קדשי קדשים ואמורי קדשים קלים מנחת כהנים ומנחת כהן משיח ומנחת נסכים ואיברי עולה ועולת העוף מנין תלמוד לומר וכל קרבן 
ref-Sifra.2.12-14.4,ר׳ ישמעאל בנו של ר׳ יוחנן בן ברוקה אומר ומה קרבן מנחתך דבר שיש בו טומאה ועולה לאשים על מזבח החיצון יצאו העצים שאין בהם טומאה יצא דם שאינו עולה לאשים יצא הקטורת שאינו על מזבח החיצון במלח יכול תבונהו תלמוד לומר תמלח אי תמלח יכול במי מלח תלמוד לומר במלח ״לא תשבית מלח לא תשבית מלח״ הבא מלח שאינה שובתת ואיזו זו מלח סדומית ומנין אם לא מצא סדומית יביא אסתרוקנית תלמוד לומר ׳תקריב מלח׳ ריבה יכול המתנדב מנחה מביא עמה מלח כדרך שהוא מביא לבונה מתוך ביתו ודין הוא נאמר הבא מלח שאינה שובתת ואיזו זו מלח סדומית ומנין אם לא מצא סדומית יביא אסתרוקנית תלמוד לומר ׳תקריב מלח׳ ריבה יכול המתנדב מנחה מביא עמה מלח כדרך שהוא מביא לבונה מתוך ביתו ודין הוא נאמר הבא מנחה והבא לבונה ״הבא מנחה והבא מלח הבא מנחה והבא מלח״ מה לבונה משל בעל המנחה אף מלח משל בעל המנחה מה לבונה משל בעל המנחה אף מלח משל בעל המנחה 
ref-Sifra.2.12-14.5,או כלך לדרך זו נאמר הבא מנחה והבא עצים ״הבא מנחה והבא מלח הבא מנחה והבא מלח״ מה עצים משל ציבור אף המלח משל ציבור מה עצים משל ציבור אף המלח משל ציבור 
ref-Sifra.2.12-14.6,נראה למי דומה דנין דבר שהוא קרב עם כל הזבחים מדבר שהוא קרב עם כל הזבחים ואל תוכיח לבונה שאינה קריבה עם כל הזבחים או כלך לדרך זו דנים דבר שהוא קרב עם מנחה עצמה מדבר שהוא קרב עם מנחה עצמה ואל יוכיחו עצים שאינם קרבים עם מנחה עצמה תלמוד לומר ולא תשבית מלח ברית אלהיך מעל מנחתך ולהלן הוא אומר מאת בני ישראל ברית עולם מה ברית אמורה להלן משל ציבור אף כאן משל ציבור 
ref-Sifra.2.12-14.7,תקריב אף בשבת תקריב אף בטומאה תקריב מלח כל שהוא תקריב מלח מכל מקום 
ref-Sifra.2.13-00.1,ואם תקריב מנחת בכורים לשם ר׳ יהודה אומר עתידה מנחת בכורים לפסוק ולחזור וכן הוא אומר ואם יהיה היבל לבני ישראל עתיד היובל לפסק ולחזור 
ref-Sifra.2.13-00.2,ר׳ שמעון אומר ואם תקריב מנחת בכורים לשם זו מנחה באה חובה יכול נדבה כשהוא אומר והבאתם את עמר ראשית קצירכם אל הכהן למד שאינה באה אלא חובה 
ref-Sifra.2.13-00.3,ואם כן למה נאמר ואם לומר אם אתם מביאים אותה לרצון מעלה אני עליכם כאילו נדבה הבאתם אותה ואם אין אתם מביאים אותה לרצון מעלה אני עליכם כאילו לא הבאתם אותה אלא לצורך עצמכם 
ref-Sifra.2.13-00.4,וכן הוא אומר ולחם וקלי וכרמל לא תאכלו עד עצם היום הזה עד הביאכם את קרבן אלהיכם ״ואם תקריב מנחת בכורים לשם ואם תקריב מנחת בכורים לשם״ זו מנחת העומר מנין היא באה מן השעורים או יכול מן החטין אמר ר׳ אליעזר נאמר כאן זו מנחת העומר מנין היא באה מן השעורים או יכול מן החטין אמר ר׳ אליעזר נאמר כאן אביב ונאמר אביב במצרים מה אביב במצרים שעורים אף כאן שעורים ר׳ עקיבא אומר נאמר לציבור  בכורים בפסח  בכורים בעצרת במה מצינו שממין שהיחיד מביא חובתו ממנו יהא הציבור מביא בכוריו בעצרת אף ממין שהיחיד מביא חובתו ממנו יהא הציבור מביא בכוריו בפסח מאיזה מין היחיד מביא חובתו מן השעורין אף ציבור לא יביא אלא מן השעורין אם תאמר מן החטין אין שתי הלחם בכורים 
ref-Sifra.2.13-00.5,ר׳ ישמעאל בנו של ר׳ יוחנן בן ברוקה אומר יכול תבוא מן הכוסמין ושבולת שועל ושיפון ודין הוא מה אם החטין שכשרו לשאר כל המנחות לא כשרו למנחת העומר כוסמין ושבולת שועל ושיפון שלא כשרו לשאר כל המנחות אינו דין שלא יכשרו למנחת העומר השעורין יוכיחו שלא כשרו לשאר כל המנחות וכשרו למנחת העומר לא אם אמרת בשעורין שמנחת סוטה באה מהן תאמר בכוסמין ושבולת שועל ושיפון שאין מנחת סוטה באה מהן יצאו חטין מן הכתוב וכוסמין ושבולת שועל ושיפון מקל וחומר 
ref-Sifra.2.13-00.6,אביב קלוי באש גרש כרמל מלמד שמהבהבין אותו באור כדי לקיים בו מצות קלוי דברי ר׳ מאיר וחכמים אומרים אין לשון קלוי אלא בדבר אחר אבוב של קלאים היה שם ומנוקב כמין נפה כדי שיהיה האור שולט בכולו 
ref-Sifra.2.13-00.7,אביב אילו נאמר אביב קלוי גרש הדבר שקול אפשר יקלנו גרש כשהוא אומר אביב קלוי באש גרש ״באש באש״ הפסיק הענין ויקלנו אביב הפסיק הענין ויקלנו אביב 
ref-Sifra.2.13-00.8,כרמל רך מל וכן הוא אומר               ״כרמל כרמל״ רך מל רך מל  בא ויצק לנו ואכלנו ונאוה היה 
ref-Sifra.2.13-00.9,וכן הוא אומר    נושא ועולה ומתחטא וכן הוא אומר   נישא וניתן ונעלה ונתחטא באהבים וכן הוא אומר כי ירט הדרך לנגדי יראה ראתה נטתה 
ref-Sifra.2.13-15.1,תקריב מנחת בכוריך מה תלמוד לומר לפי שנאמר כרמל מצוה להביא רך מל מנין לא מצא רך מל יביא יבש תלמוד לומר תקריב את מנחת בכוריך מצותו להביא מן הקציר לא מצא מן הקציר מנין אף מן העליה תלמוד לומר תקריב מנחת בכוריך מכל מקום 
ref-Sifra.2.13-15.2,בכוריך בכורי כל יחיד ויחיד מלמד שאינה באה אלא משל צבור דברי רבי עקיבא ר׳ שמעון אומר נאמר כאן בכורי כל יחיד ויחיד מלמד שאינה באה אלא משל צבור דברי רבי עקיבא ר׳ שמעון אומר נאמר כאן ״בכורים לה׳ ״ ונאמר להלן לה׳ בכורי כל יחיד ויחיד מלמד שאינה באה אלא משל צבור דברי רבי עקיבא ר׳ שמעון אומר נאמר כאן ״בכורים לה׳ ״ ונאמר להלן ונאמר להלן בכורים לה׳ בכורים לה׳ ״ מה ״בכורים לה׳ ״ אמורים להלן משל ציבור אף כאן משל ציבור אם תאמר זו משל יחיד והלן משל ציבור אמרת לאו אם זו ״בכורים לה׳ ״ אין הלן ״ראשית קציר מה בכורים לה׳ ״ מה ״בכורים לה׳ ״ אמורים להלן משל ציבור אף כאן משל ציבור אם תאמר זו משל יחיד והלן משל ציבור אמרת לאו אם זו ״בכורים לה׳ ״ אין הלן ״ראשית קציר לה׳ בכורים לה׳ ״ מה ״בכורים לה׳ ״ אמורים להלן משל ציבור אף כאן משל ציבור אם תאמר זו משל יחיד והלן משל ציבור אמרת לאו אם זו ״בכורים לה׳ ״ אין הלן ״ראשית קציר אמורים להלן משל ציבור אף כאן משל ציבור אם תאמר זו משל יחיד והלן משל ציבור אמרת לאו אם זו בכורים לה׳ ״ מה ״בכורים לה׳ ״ אמורים להלן משל ציבור אף כאן משל ציבור אם תאמר זו משל יחיד והלן משל ציבור אמרת לאו אם זו ״בכורים לה׳ ״ אין הלן ״ראשית קציר לה׳ בכורים לה׳ ״ מה ״בכורים לה׳ ״ אמורים להלן משל ציבור אף כאן משל ציבור אם תאמר זו משל יחיד והלן משל ציבור אמרת לאו אם זו ״בכורים לה׳ ״ אין הלן ״ראשית קציר אין הלן בכורים לה׳ ״ מה ״בכורים לה׳ ״ אמורים להלן משל ציבור אף כאן משל ציבור אם תאמר זו משל יחיד והלן משל ציבור אמרת לאו אם זו ״בכורים לה׳ ״ אין הלן ״ראשית קציר קציר ואם הלן ראשית קציר אין זו אין זו ״בכורים לה׳ ״ דברים מחוסרים כאן אמרן הכתוב להלן לה׳ אין זו ״בכורים לה׳ ״ דברים מחוסרים כאן אמרן הכתוב להלן דברים מחוסרים כאן אמרן הכתוב להלן 
ref-Sifra.2.13-15.3,ונתת עליה שמן עליה שמן ולא על לחם הפנים הלא דין הוא מה אם מנחת נסכים שאינה טעונה לבונה טעונה שמן לחם הפנים שהוא טעון לבונה אינו דין שיטעון שמן תלמוד לומר עליה שמן עליה שמן ולא על לחם הפנים 
ref-Sifra.2.13-15.4,עליה לבונה לא על מנחת נסכים הלא דין הוא מה אם לחם הפנים שאין טעון שמן טעון לבונה מנחת נסכים שהיא טעונה שמן אינו דין שתטעון לבונה תלמוד לומר עליה לבונה לא על מנחת נסכים 
ref-Sifra.2.13-15.5,מנחה לרבות מנחת יום השמיני ללבונה  פרט לשתי הלחם שלא יטענו לא שמן ולא לבונה 
ref-Sifra.2.13-15.6,הלא דין הוא אם מעטתים מן השמן שהוא נוהג במנחת נסכים לא אמעטם מן הלבונה שאינה נוהגת במנחת נסכים אם מעטתים מן הלבונה שהיא נוהגת בלחם הפנים לא אמעטם מן השמן שאינו נוהג בלחם הפנים הוא הדין אם מעטתים מן השמן שאינו נוהג בלחם הפנים אמעטם מן הלבונה שהיא נוהגת בלחם הפנים הין אם מעטתים מן הלבונה שאינה נוהגת במנחת נסכים אמעטם מן השמן שהיא נוהג במנחת נסכים תלמוד לומר  פרט לשתי הלחם שלא יטענו לא שמן ולא לבונה 
ref-Sifra.2.13-16.1,ואם זבח שלמים קרבנו ר׳ יהודה אומר כל המביא שלמים מביא שלום לעולם אין לי אלא שלמים ומנין לרבות את העולה ארבה אני את העולה שהיא באה בנדר ובנדבה ומנין לרבות את הבכור ואת המעשר ואת הפסח ארבה אני את הבכור ואת המעשר ואת הפסח שאינם באים על חטא ומנין לרבות חטאת ואשם תלמוד לומר זבח ומנין לרבות את העופות והמנחות והיין והלבונה והעצים תלמוד לומר שלמים קרבנו הא כל קרבן שהוא מביא מביא שלום לעולם 
ref-Sifra.2.13-16.2,דבר אחר שלמים שהכל שלום בהן הדם והאימורין למזבח החזה ושוק לכהנים העור והבשר לבעלים 
ref-Sifra.2.13-16.3,ר׳ שמעון אומר מי שהוא שלם מביא שלמים ואין האונן מביא שלמים אין לי אלא שלמים שהן שמחה ומנין לרבות את התודה ארבה אני את התודה שהיא באה שלמים ומנין לרבות את העולה ארבה אני את העולה שהיא באה בנדר ובנדבה ומנין לרבות את הבכור ואת המעשר ואת הפסח ארבה אני את הבכור ואת המעשר ואת הפסח שאינם באים על חטא ומנין לרבות חטאת ואשם תלמוד לומר זבח ומנין לרבות העופות והמנחות והיין והלבונה והעצים תלמוד לומר שלמים קרבנו הא כל קרבן שהוא מביא היה שלם מביא היה אונן אינו מביא 
ref-Sifra.2.13-16.4,הבקר לרבות את אחד עשר מן הבקר להוציא את התשיעי מה ראית לרבות את אחד עשר ולהוציא את התשיעי אחר שריבה הכתוב מיעט שתמצא אומר אימתי הקדש עושה תמורה לפניו או לאחריו הוי אומר לאחריו מרבה אני את אחד עשר שהוא לאחר הקדושה ומוציא אני את התשיעי שהוא לפני הקדושה 
ref-Sifra.2.13-16.5,הוא היחיד מביא שלמים ואין הציבור מביא שלמים נדבה הלא דין הוא עולת בהמה באה בנדר ובנדבה ושלמים באים בנדר ובנדבה מה עולת בהמה שהיא באה בנדר ובנדבה הרי היא באה נדבת ציבור אף שלמים שהן באים בנדר ובנדבה יבואו נדבת ציבור 
ref-Sifra.2.13-16.6,מנחה תוכיח שהיא באה בנדר ובנדבה ואינה באה נדבת ציבור לא אם אמרת במנחה שאין באה נדבת שנים תאמר בשלמים שהן באים נדבת שנים עולה העוף תוכיח שהיא באה נדבת שנים ואינה באה נדבת ציבור 
ref-Sifra.2.13-16.7,לא אם אמרת בעולת העוף שאין באה חובת ציבור תאמר בשלמים שהן באים חובת ציבור הואיל והן באים חובת ציבור יבואו נדבת ציבור תלמוד לומר הוא היחיד מביא שלמים נדבה ואין הציבור מביא שלמים נדבה 
ref-Sifra.2.13-16.8,׳זכר׳ לרבות את הולד ׳ונקבה׳ לרבות את התמורה ׳זכר׳ לרבות את הולד הלא דין הוא מה אם תמורה שאינה גידולי הקדש כשרה לקרב הולד שהוא גידול הקדש אינו דין שיכשר לקרב לא אם אמרת בתמורה שהיא נוהגת בכל הקדשים תאמר בולד שאינו נוהג בכל הקדשים הואיל ואינו נוהג בכל הקדשים לא יכשר לקרב תלמוד לומר ׳זכר׳ לרבות את הוולד 
ref-Sifra.2.13-16.9,׳נקבה׳ לרבות את התמורה הלא דין הוא מה אם הולד שאינו נוהג בכל הקדשים כשר לקרב תמורה שהיא נוהגת בכל הקדשים אינו דין שתכשר לקרב לא אם אמרת בולד שהוא גידול הקדש תאמר בתמורה שאינה גדולי הקדש הואיל ואינה גידול הקדש לא תכשר לקרב תלמוד לומר ׳נקבה׳ לרבות את התמורה 
ref-Sifra.2.13-16.10,אין לי אלא ולדות ותמורות של תמימים ולדות ותמורות של בעלי מום מנין תלמוד לומר אם זכר לרבות ולד בעל מום אם נקבה לרבות תמורת בעל מום אלו הן בעלי מום כל שקדם הקדשן את מומן הא אם קדם מום קבוע להקדשן ונפדו הרי אלו כהקדש נכסים ר׳ יהודה אומר הרי הוא אומר ׳ארי ודוב הכה עבדך׳ אין לי אלא ארי ודוב ומנין לרבות את הארי עם הדוב ואת הדוב עם הארי תלמוד לומר        
ref-Sifra.2.13-17.1,וסמך ידו לא יד עבדו לא יד שלוחו לא יד אשתו ידו על ראש לא ידו על גב ידו על ראש לא על הצואר על ראש לא על הגביים אוציא את כולם ולא אוציא את החזה ודין הוא ומה אם הראש שאינו טעון תנופה טעון סמיכה החזה שטעונה תנופה אינו דין שיטעון סמיכה תלמוד לומר על ראש ולא על החזה 
ref-Sifra.2.13-17.2,קרבנו קרבנו קרבנו לרבות כל בעלי קרבן הלא דין הוא מה אם תנופה שהיא נוהגת בחיים ובשחוטין נתמעטה בחוברין סמיכה שאינה נוהגת אלא בחיים אינו דין שתתמעט בחוברין תלמוד לומר קרבנו לרבות כל בעלי קרבן 
ref-Sifra.2.13-17.3,קרבנו לא קרבן אביו קרבנו לא קרבן אחר קרבנו לא קרבן עובד כוכבים שר׳ יהודה אומר אין היורש סומך 
ref-Sifra.2.13-17.4,קרבנו לא הבכור הלא דין הוא ומה אם שלמים שאין קדושתן מרחם טעונים סמיכה הבכור שקדושתו מרחם אינו דין שיטעון סמיכה תלמוד לומר קרבנו ולא הבכור 
ref-Sifra.2.13-17.5,קרבנו ולא המעשר הלא דין הוא מה אם שלמים שאינם בעמוד והבא טעונים סמיכה המעשר שהוא בעמוד והבא אינו דין שיטעון סמיכה תלמוד לומר קרבנו ולא המעשר 
ref-Sifra.2.13-17.6,קרבנו ולא הפסח הלא דין הוא ומה אם שלמים שלא ריבה בהן הכתוב מצוות יתירות טעונים סמיכה הפסח שריבה בו הכתוב מצוות יתירות אינו דין שיטעון סמיכה תלמוד לומר קרבנו ולא הפסח 
ref-Sifra.2.13-17.7, ושחט אותו ושחט אותו מה תלמוד לומר לפי שנאמר וכי ירחק ממך המקום וזבחת בריחוק מקום אתה זובח ואי אתה זובח בקירוב מקום פרט לחולין שלא ישחטו בעזרה 
ref-Sifra.2.13-17.8,אין לי אלא תמימים שהן כשרים לקרב ומנין לרבות את בעלי מומין ארבה אני את בעלי מומין שהן ממין הכשר ומנין לרבות את החיה ארבה אני את החיה שהיא בשחיטה כבהמה ומנין לרבות העופות תלמוד לומר  ״ושחט אותו ״ושחט אותו אותו 
ref-Sifra.2.13-17.9,יכול לא ישחוט ואם שחט יהיה מותר באכילה תלמוד לומר כי ירחק ממך המקום וזבחת ואכלת מה שאתה זובח בריחוק מקום אתה אוכל ואין אתה אוכל מה שאתה זובח בקירוב מקום פרט לחולין שנשחטו בעזרה 
ref-Sifra.2.13-17.10,יכול לא יאכלנו אבל ישליכנו לכלב תלמוד לומר לכלב תשליכון אותו אותו אתה משליך לכלב ואין אתה משליך לכלב חולין שנשחטו בעזרה 
ref-Sifra.2.13-17.11,פתח אהל מועד לפני אהל מועד להכשיר כל הרוחות קל וחומר לצפון הלא דין הוא מה אם שאר הרוחות שלא כשרו לשחיטת קדשי קדשים כשרו לשחיטת קדשים קלים צפון שכשר לשחיטת קדשי קדשים אינו דין שיכשר לשחיטת קדשים קלים ר׳ אליעזר אומר לפני אהל מועד להכשיר בצפון 
ref-Sifra.2.13-17.12,הלא דין הוא מה אם שלמים שכשרו לשחט בכל הרוחות לא כשר מקומן לשחיטת קדשי קדשים עולה שלא כשרה לשחט אלא בצפון אינו דין שלא יכשר מקומה לשחט קדשים קלים תלמוד לומר לפני אהל מועד להכשיר בצפון 
ref-Sifra.2.14-00.1,והקריב מזבח השלמים  אף על פי ששחטו שלא לשמו מזבח השלמים אף על פי שלא סמך עליהם אשה לשם אישים לשם אישים ״לה׳ ״ לשם מי שעשה את העולם לשם אישים ״לה׳ ״ לשם מי שעשה את העולם לשם מי שעשה את העולם 
ref-Sifra.2.14-00.2,מיכן אמרו לשם ששה דברים הזבח נזבח לשם זבח לשם זובח לשם השם לשם אשים לשם ריח לשם נחוח חטאת ואשם לשם חטא אמר ר׳ יוסי אף מי שלא היה בלבו לשם אחד מכל אלו כשר שהוא תנאי בית דין ואין המחשבה הולכת אלא אחר העובד 
ref-Sifra.2.14-00.3,׳את החלב המכסה את הקרב ואת כל החלב אשר על הקרב׳ מה תלמוד לומר לפי שנאמר מה תלמוד לומר לפי שנאמר ״כל חלב לה׳ ״ חלב לה׳ מה תלמוד לומר לפי שנאמר ״כל חלב לה׳ ״ כל חלב וכל דם לא תאכלו כל חלב שור וכשב ועז לא תאכלו כי כל אוכל חלב מן הבהמה ונכרתה יכול אף חלב דפנות בכ תלמוד לומר ׳את החלב המכסה את הקרב׳יכול לא יהיה בכלל עונש אבל יהיה בכלל אזהרה תלמוד לומר ׳את החלב המכסה את הקרב׳ אוציא את חלב החולין ולא אוציא את חלב המוקדשין תלמוד לומר ׳את החלב המכסה את הקרב׳ יכול לא יהיה בכלל עונש אבל יהיה בכלל אזהרה תלמוד לומר ׳את החלב המכסה את הקרב׳ יכול לא יהיה בכלל אזהרה אבל יהיה בכלל  תלמוד לומרויקרא ג ט עיין במלבי״ם ׳את החלב המכסה את הקרב׳ 
ref-Sifra.2.14-00.4,אוציא את כולם ולא אוציא את חלב השליל המכסה את הקרב תלמוד לומר ׳חלב ושתי הכליות׳ יכול לא יהיה בכלל עונש אבל יהיה בכלל אזהרה תלמוד לומר ׳חלב ושתי הכליות׳ יכול לא יהיה בכלל אזהרה אבל יהיה בכלל  תלמוד לומר ׳חלב ושתי הכליות׳ באשם שאין תלמוד לומר שכבר קל וחומר הוא 
ref-Sifra.2.14-00.5,מה אם השלמים שאין כל מינם טעון אליה טעונים חלב ושתי הכליות אשם שכל מינו טעון אליה אינו דין שיטעון חלב ושתי הכליות ואם כן למה נאמר ׳חלב ושתי הכליות׳ באשם נלמד ממנו מה חלב ושתי הכליות אמורים באשם מוצא מכלל השליל אף חלב ושתי כליות אמורים כאן מוצא מכלל השליל 
ref-Sifra.2.14-00.6,את כל החלב אשר על הקרב ר׳ ישמעאל אומר להביא את החלב שעל הקיבה ר׳ עקיבא אומר להביא את החלב שעל הדקים 
ref-Sifra.2.14-00.7,ואת שתי  לא בעל כוליא אחת ולא בעל שלש ואת החלב אשר עליהן ולא הבשר שעליהן אשר על הכסלים זה החלב שבין הפקוקלות דברי ר׳ יוסי הגלילי ר׳ עקיבא אומר להביא את חלב שעל העוקץ ר׳ ישמעאל אומר מה חלב המכסה את הקרב קרום ונקלף אין לי אלא קרום ונקלף ר׳ עקיבא אומר מה חלב המכסה את הקרב תותב קרום ונקלף אף אין לי אלא תותב קרום ונקלף 
ref-Sifra.2.14-00.8,ואת היתרת על הכבד הדבר שקול שיטול מן הכבד על היתרת או מן היתרת על הכבד כשהוא אומר ואת היתרת מן הכבד מן החטאת הקטיר המזבחה שיטול מן הכבד על היותרת 
ref-Sifra.2.14-00.9,׳יסיר׳ יותרת אף על פי שאין כליות ׳יסיר׳ כליות אף על פי שאין יותרת יסירנה אפילו כוליא אחת 
ref-Sifra.2.14-00.10,   והקטירם מה תלמוד לומר   כשר ולא הפסול  שלא יערב חלבים בחלבים והקטירם כולם כאחת נאמר כאן אשה ולא נאמר לחם נאמר למטה לחם ולא נאמר ריח ניחח נאמר למטה ריח ניחח ולא נאמר לה׳ לה׳ ״ ומנין ליתן את האמור בכולן בכל אחד ואחד תלמוד לומר ״אשה אשה אשה ומנין ליתן את האמור בכולן בכל אחד ואחד תלמוד לומר לה׳ ״ ומנין ליתן את האמור בכולן בכל אחד ואחד תלמוד לומר ״אשה אשה אשה אשה אשה לגזירה שוה 
ref-Sifra.2.14-18.1,ומה תלמוד לומר שלמים מבן הבקר ומה תלמוד לומר שלמים מבן הצאן לפי שיש בבן הבקר מה שאין בבן הצאן ובבן הצאן מה שאין בבן הבקר בן הבקר נתרבה בנסכים ובן הצאן נתמעט בנסכים בן הצאן נתרבה בצבור ובן הבקר נתמעט בצבור הא לפי שיש בבן הבקר מה שאין בבן הצאן ובבן הצאן מה שאין בבן הבקר צריך לומר שלמים מבן הבקר וצריך לומר שלמים מבן הצאן 
ref-Sifra.2.14-18.2,זכר או נקבה זכר ודאי ונקבה ודאית ולא טומטום ואנדרוגינוס הלא דין הוא ומה אם עולה שכשרה לבא מן העוף לא כשרה לבא טומטום ואנדרוגינוס שלמים שלא כשרו לבא מן העוף אינו דין שלא יכשרו לבא טומטום ואנדרוגינוס לא אם אמרת בעולה שלא כשרה לבא נקבות כזכרים תאמר בשלמים שכשרו לבא נקבות כזכרים חטאת תוכיח שכשרה לבא נקבות כזכרים ולא כשרה לבא טומטום ואנדרוגינוס 
ref-Sifra.2.14-18.3,לא אם אמרת בחטאת שלא כשרה לבא כל מין זכרים וכל מין נקבות תאמר בשלמים שכשרו לבא כל מין זכרים וכל מין נקבות המעשר יוכיח שכשר לבא כל מין זכרים וכל מין נקבות ולא כשר לבא טומטום ואנדרוגינוס לא אם אמרת במעשר שהוא אחד מעשרה תאמר בשלמים שהן אחד מאחד והואיל והן אחד מאחד יכשרו לבא טומטום ואנדרוגינוס תלמוד לומר זכר או נקבה הזכר ודאי והנקבה ודאית לא טומטום ואנדרוגינוס 
