baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-m,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-m.2.2.9.2.4-ref-m.2.2.9.2.15,ref-y.2.2.1.6.2.56-ref-y.2.2.1.6.2.72,175122,175195,ref-m.2.2.9.2.4,ref-m.2.2.9.2.15,1117044,1117151,ref-y.2.2.1.6.2.56,ref-y.2.2.1.6.2.72,חצר דולה שנפרצה לקטנה הגדולה מותרת והקטנה אסורה וייעשו כותלי גדולה בלחיים אצל כותלי קטנה והותרה קטנה,חצר דולה שנפרצה לקטנה הגדולה מותרת והקטנה אסורה וייעשו כותלי גדולה בלחיים אצל כותלי קטנה והותרה קטנה,17,17,2253,2253.0,1783,1783.0,0.0,0.0,17,חצר דולה שנפרצה לקטנה הגדולה מותרת והקטנה אסורה וייעשו כותלי גדולה בלחיים אצל כותלי קטנה והותרה קטנה,1070001335,17,17
ref-m.2.2.9.2.1-ref-m.2.2.9.2.10,ref-y.2.2.9.1.1.98-ref-y.2.2.9.1.1.107,175109,175161,ref-m.2.2.9.2.1,ref-m.2.2.9.2.10,1205543,1205597,ref-y.2.2.9.1.1.98,ref-y.2.2.9.1.1.107,גג גדול סמוך לקטן הגדול מותר והקטן אסור חצר גדולה ,גג גדול סמוך לקטן הגדול מותר והקטן אסור ניחא הגדול ,10,10,2437,2437.0,1781,1780.0,0.1176470588235294,0.25,8,גג גדול סמוך לקטן הגדול מותר והקטן אסור,1070001336,10,10
ref-m.2.2.9.2.1-ref-m.2.2.9.2.8,ref-y.2.2.9.1.7.38-ref-y.2.2.9.1.7.45,175109,175151,ref-m.2.2.9.2.1,ref-m.2.2.9.2.8,1207401,1207443,ref-y.2.2.9.1.7.38,ref-y.2.2.9.1.7.45,גג גדול סמוך לקטן הגדול מותר והקטן אסור ,גג גדול סמוך לקטן הגדול מותר והקטן אסור ,8,8,2441,2441.0,1780,1780.0,0.0,0.0,8,גג גדול סמוך לקטן הגדול מותר והקטן אסור,1070001337,8,8
ref-m.2.2.9.2.2-ref-m.2.2.9.2.15,ref-y.2.2.9.1.7.59-ref-y.2.2.9.1.7.71,175112,175195,ref-m.2.2.9.2.2,ref-m.2.2.9.2.15,1207506,1207585,ref-y.2.2.9.1.7.59,ref-y.2.2.9.1.7.71,חצר גדולה שנפרצה לקטנה הגדולה מותרת והקטנה אסורה,מותר מתניתא פליגא על שמואל חצר גדולה שנפרצה לקטנה הגדולה מותרת והקטנה אסורה,8,10,2442,2442.0,1782,1782.0,0.36,0.25,8,חצר גדולה שנפרצה לקטנה הגדולה מותרת והקטנה אסורה,1070001338,8,10
ref-m.2.2.9.2.27-ref-m.2.2.9.2.47,ref-y.2.1.10.2.2.118-ref-y.2.1.10.2.2.125,175263,175388,ref-m.2.2.9.2.27,ref-m.2.2.9.2.47,1038496,1038543,ref-y.2.1.10.2.2.118,ref-y.2.1.10.2.2.125,מתוכה לרשות היחיד או מרשות היחיד לתוכה חייב דברי רבי אליעזר וחכמים אומרים מתוכה לרשות הרבים או מרשות הרבים לתוכה פטור ,מתוכה לרשות הרבים או מדשות הרבים לתוכה פטור ,17,8,2133,2133.0,1787,1786.0,0.635593220338983,0.5,7,מתוכה לרשות הרבים או הרבים לתוכה פטור,1070001339,17,8
ref-m.2.2.9.2.27-ref-m.2.2.9.2.33,ref-y.2.2.8.8.3.26-ref-y.2.2.8.8.3.31,175263,175305,ref-m.2.2.9.2.27,ref-m.2.2.9.2.33,1202483,1202516,ref-y.2.2.8.8.3.26,ref-y.2.2.8.8.3.31,מתוכה לרשות היחיד או מרשות היחיד לתוכה ,"מתוכה לרשות הרבים או מר""ה לתוכה ",7,6,2432,2432.0,1786,1786.0,0.282051282051282,0.6,4,מתוכה לרשות או לתוכה,1070001340,7,6
ref-m.2.2.9.2.40-ref-m.2.2.9.2.46,ref-y.2.2.8.8.3.26-ref-y.2.2.8.8.3.31,175341,175383,ref-m.2.2.9.2.40,ref-m.2.2.9.2.46,1202483,1202516,ref-y.2.2.8.8.3.26,ref-y.2.2.8.8.3.31,מתוכה לרשות הרבים או מרשות הרבים לתוכה ,"מתוכה לרשות הרבים או מר""ה לתוכה ",7,6,2433,2432.0,1788,1788.0,0.2051282051282051,0.25,5,מתוכה לרשות הרבים או לתוכה,1070001341,7,6
ref-m.2.2.9.3.12-ref-m.2.2.9.3.17,ref-y.2.12.3.4.5.60-ref-y.2.12.3.4.5.65,175478,175511,ref-m.2.2.9.3.12,ref-m.2.2.9.3.17,1982447,1982479,ref-y.2.12.3.4.5.60,ref-y.2.12.3.4.5.65,וכן מבוי שנטלו קורותיו או לחייו ,וכן מבוי שניטלה קורתו או לחייו ,6,6,3913,3913.0,1789,1789.0,0.125,0.0,4,וכן מבוי או לחייו,1070001342,6,6
ref-m.2.2.10.1.1-ref-m.2.2.10.1.5,ref-y.2.2.10.1.1.1-ref-y.2.2.10.1.1.8,175815,175843,ref-m.2.2.10.1.1,ref-m.2.2.10.1.5,1210627,1210673,ref-y.2.2.10.1.1.1,ref-y.2.2.10.1.1.8,המוצא תפילין מכניסן זוג זוג ,המוצא תפילין כו' המוצא תפילין מכניסן זוג זוג ,5,8,2455,2455.0,1790,1790.0,0.3777777777777777,0.1999999999999999,5,המוצא תפילין מכניסן זוג זוג,1070001343,5,8
ref-m.2.2.10.3.18-ref-m.2.2.10.3.26,ref-y.2.2.10.3.1.18-ref-y.2.2.10.3.1.26,176301,176352,ref-m.2.2.10.3.18,ref-m.2.2.10.3.26,1213377,1213428,ref-y.2.2.10.3.1.18,ref-y.2.2.10.3.1.26,עד שלא הגיע לעשרה טפחים גוללו אצלו משהגיע לעשרה ,עד שלא הגיע לעשרה טפחים גוללו אצלו משהגיע לעשרה ,9,9,2457,2457.0,1791,1791.0,0.0,0.0,9,עד שלא הגיע לעשרה טפחים גוללו אצלו משהגיע לעשרה,1070001344,9,9
ref-m.2.2.10.3.20-ref-m.2.2.10.3.30,ref-y.2.2.10.3.1.43-ref-y.2.2.10.3.2.6,176309,176373,ref-m.2.2.10.3.20,ref-m.2.2.10.3.30,1213508,1213554,ref-y.2.2.10.3.1.43,ref-y.2.2.10.3.2.6,משהגיע לעשרה טפחים הופכו על הכתב,עשרה טפחים משהגיע לעשרה טפחים הופכו על הכתב,6,8,2458,2458.0,1792,1792.0,0.2558139534883721,0.0,6,משהגיע לעשרה טפחים הופכו על הכתב,1070001345,6,8
ref-m.2.2.10.3.28-ref-m.2.2.10.3.43,ref-y.2.2.10.3.2.24-ref-y.2.2.10.3.3.13,176359,176438,ref-m.2.2.10.3.28,ref-m.2.2.10.3.43,1213640,1213736,ref-y.2.2.10.3.2.24,ref-y.2.2.10.3.3.13,הופכו על הכתב רבי יהודה אומר אפילו אין מסולק מן הארץ אלא כמלא מחט גוללו אצלו ,הופכו על הכתב שלא יתבזה הכתב רבי יודה אומר אפילו אינו מסולק מן הארץ אלא מלא החוט גוללו אצלו ,13,17,2460,2460.0,1794,1791.0,0.2391304347826087,0.375,9,הופכו על הכתב מסולק מן הארץ אלא גוללו אצלו,1070001346,13,17
ref-m.2.2.10.3.52-ref-m.2.2.10.3.60,ref-y.2.1.16.3.4.9-ref-y.2.1.16.3.4.16,176482,176526,ref-m.2.2.10.3.52,ref-m.2.2.10.3.60,1074817,1074856,ref-y.2.1.16.3.4.9,ref-y.2.1.16.3.4.16,שאין לך דבר משום שבות עומד בפני כתבי הקודש ,אין דבר משום שבות עומד בפני כתבי הקודש ,9,8,2190,2190.0,1795,1795.0,0.0930232558139534,0.3,7,דבר משום שבות עומד בפני כתבי הקודש,1070001347,9,8
ref-m.2.2.10.4.9-ref-m.2.2.10.4.23,ref-y.2.2.10.4.1.47-ref-y.2.2.10.4.1.60,176575,176673,ref-m.2.2.10.4.9,ref-m.2.2.10.4.23,1214160,1214254,ref-y.2.2.10.4.1.47,ref-y.2.2.10.4.1.60,עומד אדם ברשות היחיד ומטלטל ברשות הרבים ברשות הרבים ומטלטל ברשות היחיד ובלבד שלא יוציא ,עומד ברשות היחיד ומטלטל ברשות הרבים ברשות הרבים ומטלטל ברשות היחיד ובלבד שלא יוציא ,15,14,2461,2461.0,1796,1796.0,0.0459770114942528,0.1111111111111111,14,עומד ברשות היחיד ומטלטל ברשות הרבים ברשות הרבים ומטלטל ברשות היחיד ובלבד שלא יוציא,1070001348,15,14
ref-m.2.2.10.5.2-ref-m.2.2.10.5.11,ref-y.2.2.10.5.3.4-ref-y.2.2.10.5.3.15,176693,176760,ref-m.2.2.10.5.2,ref-m.2.2.10.5.11,1214530,1214605,ref-y.2.2.10.5.3.4,ref-y.2.2.10.5.3.15,יעמוד אדם ברשות היחיד וישתין ברשות הרבים ברשות הרבים וישתין ,עומד ברשות היחיד ומשתין ברשות הרבים אלא אפילו עומד ברשות הרבים ומשתין ,10,10,2464,2464.0,1797,1797.0,0.3428571428571428,0.6,4,ברשות היחיד ברשות הרבים,1070001349,10,10
ref-m.2.2.10.5.2-ref-m.2.2.10.5.11,ref-y.2.2.10.5.3.36-ref-y.2.2.10.5.3.44,176693,176760,ref-m.2.2.10.5.2,ref-m.2.2.10.5.11,1214714,1214772,ref-y.2.2.10.5.3.36,ref-y.2.2.10.5.3.44,יעמוד אדם ברשות היחיד וישתין ברשות הרבים ברשות הרבים וישתין ,ומשתין ברשות היחיד אלא אפילו עומד ברשות היחיד ומשתין ,10,9,2465,2465.0,1798,1797.0,0.4666666666666667,0.6666666666666667,3,ברשות היחיד ברשות,1070001350,10,9
ref-m.2.2.10.9.4-ref-m.2.2.10.9.22,ref-y.2.2.10.4.1.72-ref-y.2.2.10.4.1.92,177427,177547,ref-m.2.2.10.9.4,ref-m.2.2.10.9.22,1214305,1214437,ref-y.2.2.10.4.1.72,ref-y.2.2.10.4.1.92,ברשות היחיד ויפתח ברשות הרבים ברשות הרבים ויפתח ברשות היחיד אלא אם כן עשה מחיצה גבוהה עשרה טפחים דברי רבי מאיר ,ברשות היחיד ויפתח בדשות הרבים ברשות הרבים ויפתח ברשות היחיד אלא אם כן הכנים ועשה לו מחיצה גבוהה עשרה טפחים דברי רבי מאיר ,17,19,2462,2462.0,1799,1799.0,0.0909090909090909,0.1538461538461538,15,ברשות היחיד ויפתח הרבים ברשות הרבים ויפתח ברשות היחיד אלא_אם_כן מחיצה גבוהה עשרה טפחים דברי_רבי_מאיר,1070001351,17,19
ref-m.2.2.10.9.46-ref-m.2.2.10.10.9,ref-y.2.4.2.5.3.103-ref-y.2.4.2.5.3.114,177664,177727,ref-m.2.2.10.9.46,ref-m.2.2.10.10.9,1511861,1511927,ref-y.2.4.2.5.3.103,ref-y.2.4.2.5.3.114,של צמרים היה נגר שיש בראשו גלוסטרא רבי אליעזר אוסר ורבי יוסי ,של טרסיי' היה כנגר שיש בראשה גלוסטר' שנחלקו ר' אלעזר ורבי יוסי ,12,12,3135,3135.0,1800,1800.0,0.3174603174603174,0.6,5,של היה שיש ורבי יוסי,1070001352,12,12
ref-m.2.2.10.10.18-ref-m.2.2.10.10.33,ref-y.3.4.5.2.1.66-ref-y.3.4.5.2.1.76,177775,177856,ref-m.2.2.10.10.18,ref-m.2.2.10.10.33,2761824,2761876,ref-y.3.4.5.2.1.66,ref-y.3.4.5.2.1.76,נוהגין בו היתר עד שבא רבן גמליאל והזקנים ואסרו להן רבי יוסי אומר איסור נהגו בה ,לו אלא אם כן נהג בהן באיסור כימים שנהג בהן בהיתר ,14,9,5993,5993.0,1801,1801.0,0.7721518987341772,0.7142857142857143,0,,1070001353,14,9
ref-m.2.2.10.12.4-ref-m.2.2.10.13.32,ref-y.2.3.6.1.16.5-ref-y.2.3.6.1.16.14,178027,178290,ref-m.2.2.10.12.4,ref-m.2.2.10.13.32,1314510,1314562,ref-y.2.3.6.1.16.5,ref-y.2.3.6.1.16.14,יבלת במקדש אבל לא במדינה ואם בכלי כאן וכאן אסו',יבלת במקדש אבל לא במדינה ואם בכלי כאן וכאן אסו',10,10,2657,2657.0,1802,1802.0,0.0,0.0,10,יבלת במקדש אבל לא במדינה ואם בכלי כאן וכאן אסו',1070001354,10,10
ref-m.2.2.10.14.25-ref-m.2.2.10.14.34,ref-y.2.2.2.1.2.46-ref-y.2.2.2.1.2.64,178417,178487,ref-m.2.2.10.14.25,ref-m.2.2.10.14.34,1126774,1126885,ref-y.2.2.2.1.2.46,ref-y.2.2.2.1.2.64,וממלאים מבור הגולה ומבור הגדול בגלגל בשבת ומבאר הקר ביום טוב ,ממלין מבור הגולה מבוי פרק ראשון בגלנו בגלגל בשבת מבור הגדול בו' מפני מה ממלין מבאר הקר בגלגל ביום טוב ,11,20,2258,2258.0,1805,1804.0,0.5,0.5294117647058824,7,מבור הגולה בגלגל בשבת הקר ביום טוב,1070001355,11,20
ref-m.2.2.10.14.25-ref-m.2.2.10.14.31,ref-y.2.2.10.13.3.2-ref-y.2.2.10.13.3.8,178417,178465,ref-m.2.2.10.14.25,ref-m.2.2.10.14.31,1221225,1221269,ref-y.2.2.10.13.3.2,ref-y.2.2.10.13.3.8,וממלאים מבור הגולה ומבור הגדול בגלגל בשבת ,ממלין מבור הגולה בגלגל בשבת מבור הגדול ,7,7,2467,2467.0,1804,1804.0,0.5476190476190477,0.375,4,מבור הגולה בגלגל בשבת,1070001356,7,7
ref-m.2.2.10.15.45-ref-m.2.2.10.15.51,ref-y.2.5.8.6.4.5-ref-y.2.5.8.6.4.11,178725,178762,ref-m.2.2.10.15.45,ref-m.2.2.10.15.51,1488677,1488712,ref-y.2.5.8.6.4.5,ref-y.2.5.8.6.4.11,שחייבין על זדונו כרת ועל שגגתו חטאת ,חייבין על זדונן ברת ועל שגגתן חטאת ,1,7,3057,3055.0,1806,1806.0,0.1111111111111111,0.6666666666666667,3,על ועל חטאת,1070001357,7,7
ref-m.2.2.10.15.45-ref-m.2.2.10.15.51,ref-y.3.1.1.1.10.92-ref-y.3.1.1.1.10.98,178725,178762,ref-m.2.2.10.15.45,ref-m.2.2.10.15.51,2051231,2051268,ref-y.3.1.1.1.10.92,ref-y.3.1.1.1.10.98,שחייבין על זדונו כרת ועל שגגתו חטאת ,שחייבין על זדונה כרת ועל שגגתה חטאת ,1,1,4018,4018.0,1807,1807.0,0.0555555555555555,0.0,5,שחייבין על כרת ועל חטאת,1070001358,7,7
ref-m.2.2.10.15.45-ref-m.2.2.10.15.51,ref-y.3.1.1.1.10.106-ref-y.3.1.1.1.10.112,178725,178762,ref-m.2.2.10.15.45,ref-m.2.2.10.15.51,2051302,2051339,ref-y.3.1.1.1.10.106,ref-y.3.1.1.1.10.112,שחייבין על זדונו כרת ועל שגגתו חטאת ,שחייבין על זדונה כרת ועל שגגתה חטאת ,1,1,4026,4026.0,1808,1807.0,0.0555555555555555,0.0,5,שחייבין על כרת ועל חטאת,1070001359,7,7
ref-m.2.2.10.15.45-ref-m.2.2.10.15.51,ref-y.3.1.1.1.12.37-ref-y.3.1.1.1.12.56,178725,178762,ref-m.2.2.10.15.45,ref-m.2.2.10.15.51,2051521,2051627,ref-y.3.1.1.1.12.37,ref-y.3.1.1.1.12.56,שחייבין על זדונו כרת ועל שגגתו חטאת ,שחייבין עליה זדונה כרת ועל שנגתה חטאת הרי זה אסורה להתייבם זה הואיל ואין חייבין על זדונה כרת ועל שגגתה ,1,16,4032,4032.0,1809,1806.0,0.6796116504854369,0.5,4,שחייבין כרת ועל חטאת,1070001360,7,16
ref-m.2.2.10.15.45-ref-m.2.2.10.15.53,ref-y.4.6.1.2.3.113-ref-y.4.6.1.2.3.120,178725,178775,ref-m.2.2.10.15.45,ref-m.2.2.10.15.53,3336212,3336254,ref-y.4.6.1.2.3.113,ref-y.4.6.1.2.3.120,שחייבין על זדונו כרת ועל שגגתו חטאת משם מוציאין ,שחייבין על זדונה כרת ועל שגגתה חטאת יצאת ,3,2,7182,7179.0,1810,1806.0,0.2291666666666666,0.3333333333333333,5,שחייבין על כרת ועל חטאת,1070001361,9,8
ref-m.2.3.1.1.42-ref-m.2.3.1.2.18,ref-y.2.3.1.1.16.198-ref-y.2.3.1.1.16.216,179112,179225,ref-m.2.3.1.1.42,ref-m.2.3.1.2.18,1229752,1229852,ref-y.2.3.1.1.16.198,ref-y.2.3.1.1.16.216,שהן העליונות אין חוששין שמא גררה חולדה מבית לבית וממקום למקום דאם כן מחצר לחצר ומעיר לעיר אין לדבר סוף ,היא אין חוששין שמא גררה חולדה מבית לבית וממקום למקום אם כן מחצר לחצר ומעיר לעיר אין לדבר סוף ,20,19,2479,2479.0,1811,1811.0,0.1067961165048543,0.2352941176470588,17,אין חוששין שמא גררה חולדה מבית לבית וממקום למקום כן מחצר לחצר ומעיר לעיר אין לדבר סוף,1070001362,20,19
ref-m.2.3.1.3.4-ref-m.2.3.1.3.12,ref-y.2.3.1.1.4.13-ref-y.2.3.1.1.4.21,179241,179295,ref-m.2.3.1.3.4,ref-m.2.3.1.3.12,1224336,1224393,ref-y.2.3.1.1.4.13,ref-y.2.3.1.1.4.21,בודקין אור ארבעה עשר ובארבעה עשר שחרית ובשעת הביעור ,בודקין אור לארבעה עשר ובארבעה עשר בשחרית ובשעת הביעור ,9,7,2475,2475.0,1812,1812.0,0.074074074074074,0.3333333333333333,5,בודקין ובארבעה עשר ובשעת הביעור,1070001363,9,7
ref-m.2.3.1.3.4-ref-m.2.3.1.3.21,ref-y.2.3.1.1.16.352-ref-y.2.3.1.1.16.373,179241,179349,ref-m.2.3.1.3.4,ref-m.2.3.1.3.21,1230512,1230638,ref-y.2.3.1.1.16.352,ref-y.2.3.1.1.16.373,בודקין אור לארבעה עשר ובארבעה עשר בשחרית ובשעת הביעור וחכמים אומרים אם לא בדק אור לארבעה עשר יבדוק בארבעה עשר צריך לבדוק,בודקין אור לארבעה עשר ובארבעה עשר בשחרית ובשעת הביעור וחכמים אומרים אם לא בדק אור לארבעה עשר יבדוק בארבעה עשר צריך לבדוק,18,18,2481,2480.0,1813,1813.0,0.0,0.0,18,בודקין אור_לארבעה_עשר ובארבעה עשר בשחרית ובשעת הביעור וחכמים אומרים אם לא בדק אור_לארבעה_עשר יבדוק בארבעה עשר צריך לבדוק,1070001364,18,18
ref-m.2.3.1.3.24-ref-m.2.3.1.3.46,ref-y.2.3.1.1.16.401-ref-y.2.3.1.3.3.11,179353,179481,ref-m.2.3.1.3.24,ref-m.2.3.1.3.46,1230764,1230859,ref-y.2.3.1.1.16.401,ref-y.2.3.1.3.3.11,בדק בארבעה עשר יבדוק בתוך המועד לא בדק בתוך המועד יבדוק לאחר המועד ומה שמשייר יניחנו בצינעא כדי שלא יהא צריך בדיקה אחריו ,בדק בתוך המועד יבדוק לאחר המועד ומה שהוא משייר יניחינו בצינעה כדי שלא יהא צריך בדיקה אחריו ,23,17,2482,2482.0,1815,1815.0,0.3388429752066115,0.3125,13,בדק בתוך המועד יבדוק לאחר המועד ומה כדי שלא יהא צריך בדיקה אחריו,1070001365,23,17
ref-m.2.3.1.3.29-ref-m.2.3.1.3.36,ref-y.2.11.3.3.2.104-ref-y.2.11.3.3.2.114,179380,179423,ref-m.2.3.1.3.29,ref-m.2.3.1.3.36,2017991,2018062,ref-y.2.11.3.3.2.104,ref-y.2.11.3.3.2.114,במועד לעשותה לאחר המועד ואין מקבלין קיבולת במועד לעשותה בתוך המועד,במועד לעשותה לאחר המועד ואין מקבלין קיבולת במועד לעשותה בתוך המועד,11,11,3983,3983.0,1816,1816.0,0.0,0.0,11,במועד לעשותה לאחר המועד ואין מקבלין קיבולת במועד לעשותה בתוך המועד,1070001366,11,11
ref-m.2.3.1.7.19-ref-m.2.3.1.7.47,ref-y.1.6.8.4.2.78-ref-y.1.6.8.4.2.93,180225,180388,ref-m.2.3.1.7.19,ref-m.2.3.1.7.47,613977,614065,ref-y.1.6.8.4.2.78,ref-y.1.6.8.4.2.93,מודי רבי ליעזר ורבי יהושע ששורפין זו לעצמה וזו לעצמה,מודי רבי ליעזר ורבי יהושע ששורפין זו לעצמה וזו לעצמה,7,7,1126,1126.0,1818,1818.0,0.0,0.0,7,מודי רבי_ליעזר_ורבי_יהושע ששורפין זו לעצמה וזו לעצמה,1070001367,7,7
ref-m.2.3.1.7.24-ref-m.2.3.1.7.48,ref-y.1.6.8.4.5.63-ref-y.1.6.8.4.5.70,180255,180394,ref-m.2.3.1.7.24,ref-m.2.3.1.7.48,616256,616306,ref-y.1.6.8.4.5.63,ref-y.1.6.8.4.5.70,ששורפין זו לעצמה וזו לעצמה וישרוף שתיהן כאחת,ששורפין זו לעצמה וזו לעצמה וישרוף שתיהן כאחת,8,8,1129,1129.0,1820,1820.0,0.0,0.0,8,ששורפין זו לעצמה וזו לעצמה וישרוף שתיהן כאחת,1070001368,8,8
ref-m.2.3.1.7.24-ref-m.2.3.1.7.48,ref-y.2.3.1.8.8.66-ref-y.2.3.1.8.8.73,180255,180394,ref-m.2.3.1.7.24,ref-m.2.3.1.7.48,1242209,1242259,ref-y.2.3.1.8.8.66,ref-y.2.3.1.8.8.73,ששורפין זו לעצמה וזו לעצמה וישרוף שתיהן כאחת,ששורפין זו לעצמה וזו לעצמה וישרוף שתיהן כאחת,8,8,2501,2501.0,1821,1821.0,0.0,0.0,8,ששורפין זו לעצמה וזו לעצמה וישרוף שתיהן כאחת,1070001369,8,8
ref-m.2.3.2.3.1-ref-m.2.3.2.3.15,ref-y.2.3.2.2.15.67-ref-y.2.3.2.2.15.75,180696,180774,ref-m.2.3.2.3.1,ref-m.2.3.2.3.15,1253735,1253782,ref-y.2.3.2.2.15.67,ref-y.2.3.2.2.15.75,ישראל שהלוה את הנכרי על חמיצו לאחר הפסח מותר,ישראל שהלוה את הנכרי על חמיצו לאחר הפסח מותר,9,9,2514,2514.0,1825,1825.0,0.0,0.0,9,ישראל שהלוה את הנכרי על חמיצו לאחר הפסח מותר,1070001370,9,9
ref-m.2.3.2.3.2-ref-m.2.3.2.3.10,ref-y.3.6.4.4.6.32-ref-y.3.6.4.4.6.40,180701,180746,ref-m.2.3.2.3.2,ref-m.2.3.2.3.10,2651175,2651222,ref-y.3.6.4.4.6.32,ref-y.3.6.4.4.6.40,שהלוה את ישראל על חמצו אחר הפסח מותר בהנאה ,שהלוה את הנברי על חמיצו אחר הפסח מותר בהנאה ,9,9,5695,5695.0,1826,1825.0,0.1363636363636363,0.1999999999999999,7,שהלוה את על אחר הפסח מותר בהנאה,1070001371,9,9
ref-m.2.3.2.4.1-ref-m.2.3.2.4.13,ref-y.2.3.2.3.5.74-ref-y.2.3.2.3.5.87,180896,180974,ref-m.2.3.2.4.1,ref-m.2.3.2.4.13,1256318,1256397,ref-y.2.3.2.3.5.74,ref-y.2.3.2.3.5.87,האוכל תרומת חמץ בפסח בשוגג משלם קרן וחומש במזיד פטור מתשלומים ומדמי עצים ,האוכל תרומת חמץ בפסח שוגג משלם קרן וחומש מזיד פטור מן התשלומין ומדמי העצים ,11,12,2516,2516.0,1828,1828.0,0.0933333333333333,0.3571428571428571,7,האוכל תרומת חמץ בפסח משלם_קרן_וחומש פטור ומדמי,1070001372,11,12
ref-m.2.3.2.5.9-ref-m.2.3.2.5.14,ref-y.1.9.1.1.1.34-ref-y.1.9.1.1.1.39,181016,181064,ref-m.2.3.2.5.9,ref-m.2.3.2.5.14,757159,757197,ref-y.1.9.1.1.1.34,ref-y.1.9.1.1.1.39,בחיטים בשעורים בכוסמין ובשיפון ובשבולת שועל ,חיטין ושעורין בלבד כוסמין שיבולת שועל ,6,6,1492,1491.0,1829,1829.0,0.3863636363636363,0.9090909090909092,1,שועל,1070001373,6,6
ref-m.2.3.2.5.30-ref-m.2.3.2.5.36,ref-y.1.6.8.1.9.27-ref-y.1.6.8.1.9.33,181163,181203,ref-m.2.3.2.5.30,ref-m.2.3.2.5.36,601398,601433,ref-y.1.6.8.1.9.27,ref-y.1.6.8.1.9.33,בטבל ולא במעשר ראשון שלא נטלה תרומתו ,טבל או מעשר ראשון שלא ניטלה תרומתו ,7,7,1122,1119.0,1830,1830.0,0.1351351351351351,0.375,3,ראשון שלא תרומתו,1070001374,7,7
ref-m.2.3.2.5.32-ref-m.2.3.2.5.43,ref-y.1.9.1.3.3.1-ref-y.1.9.1.3.3.9,181174,181239,ref-m.2.3.2.5.32,ref-m.2.3.2.5.43,766519,766579,ref-y.1.9.1.3.3.1,ref-y.1.9.1.3.3.9,במעשר ראשון שלא נטלה תרומתו ולא במעשר שני והקדש שלא נפדו חלות ,מעשר ראשון שניטלה תרומתו ומביון שניטלה תרומהו לאו כחולין ,9,9,1519,1519.0,1831,1830.0,0.4677419354838709,0.8461538461538461,2,ראשון תרומתו,1070001375,9,9
ref-m.2.3.2.5.43-ref-m.2.3.2.5.51,ref-y.2.10.1.12.5.227-ref-y.2.10.1.12.7.8,181235,181284,ref-m.2.3.2.5.43,ref-m.2.3.2.5.51,1884371,1884430,ref-y.2.10.1.12.5.227,ref-y.2.10.1.12.7.8,חלות תודה ורקיקי נזיר עשאן לעצמו אין יוצאין בהן ,אין יוצאין בה יכול יצאו ידי חובתן בחלות תודה וברקיקי נזיר ,9,11,3669,3669.0,1832,1830.0,0.7586206896551724,0.6153846153846154,2,אין יוצאין,1070001376,9,11
ref-m.2.3.2.6.20-ref-m.2.3.2.6.26,ref-y.1.1.6.1.6.113-ref-y.1.1.6.1.6.119,181430,181469,ref-m.2.3.2.6.20,ref-m.2.3.2.6.26,129301,129340,ref-y.1.1.6.1.6.113,ref-y.1.1.6.1.6.119,אבל לא כבושין ולא שלוקין ולא מבושלין ,אבל לא כבושין ולא שלוקין ולא מבושלין ,7,7,152,152.0,1833,1833.0,0.0,0.0,7,אבל לא כבושין ולא שלוקין ולא מבושלין,1070001377,7,7
ref-m.2.3.2.6.20-ref-m.2.3.2.6.26,ref-y.2.3.2.5.3.39-ref-y.2.3.2.5.3.45,181430,181469,ref-m.2.3.2.6.20,ref-m.2.3.2.6.26,1261826,1261865,ref-y.2.3.2.5.3.39,ref-y.2.3.2.5.3.45,אבל לא כבושין ולא שלוקין ולא מבושלין ,אבל לא כבושין ולא שלוקין ולא מבושלין ,7,7,2532,2532.0,1834,1833.0,0.0,0.0,7,אבל לא כבושין ולא שלוקין ולא מבושלין,1070001378,7,7
ref-m.2.3.2.7.31-ref-m.2.3.2.8.12,ref-y.2.3.2.6.2.32-ref-y.2.3.2.7.1.15,181728,181795,ref-m.2.3.2.7.31,ref-m.2.3.2.8.12,1262621,1262697,ref-y.2.3.2.6.2.32,ref-y.2.3.2.7.1.15,מחמיצות אין נותנין קמח לתוך חרוסת או לתוך החרדל ואם נתן יאכל מיד ,נתחמצה הלכה תני אין נותנין את הקמח לתוך חרוסת או לתוך חרדל אם נתן יאכל מיד ,13,16,2533,2533.0,1835,1835.0,0.24,0.2857142857142857,9,אין נותנין לתוך חרוסת או לתוך נתן יאכל מיד,1070001379,13,16
ref-m.2.3.2.8.30-ref-m.2.3.2.8.37,ref-y.2.3.2.7.4.1-ref-y.2.3.2.7.4.8,181887,181929,ref-m.2.3.2.8.30,ref-m.2.3.2.8.37,1263574,1263617,ref-y.2.3.2.7.4.1,ref-y.2.3.2.7.4.8,מי תשמישו של נחתום ישפכו מפני שהן מחמיצין ,מי תשמישיו של נחתום ישפכו מפני שהן מחמיצין ,8,8,2536,2536.0,1836,1836.0,0.0232558139534883,0.0,7,מי של נחתום ישפכו מפני שהן מחמיצין,1070001380,8,8
