baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-n.44.1.134-ref-sifre-n.44.1.147,ref-bible.0104.26.60.2-ref-bible.104.26.61.6,73876,73946,ref-sifre-n.44.1.134,ref-sifre-n.44.1.147,315503,315583,ref-bible.0104.26.60.2,ref-bible.0104.26.61.6,הקריבו בני אהרן אש זרה שנאמר ויקרא י ויקחו שני בני אהרן נדב ואביהוא ,לאהרן את נדב ואת אביהוא את אלעזר ואת איתמר וימת נדב ואביהוא בהקריבם אש זרה ,14,15,644,644.0,259,259.0,0.7466666666666667,0.6875,2,נדב ואביהוא,5090000219,14,15
ref-sifre-n.44.1.144-ref-sifre-n.44.1.149,ref-bible.0312.24.1.4-ref-bible.0312.24.2.4,73925,73959,ref-sifre-n.44.1.144,ref-sifre-n.44.1.149,1502762,1502821,ref-bible.0312.24.1.4,ref-bible.0312.24.2.4,בני אהרן נדב ואביהוא אלעזר ואיתמר וימת נדב ואביהוא לפני,בני אהרן נדב ואביהוא אלעזר ואיתמר וימת נדב ואביהוא לפני,10,10,1267,1267.0,262,262.0,0.0,0.0,10,בני אהרן נדב ואביהוא אלעזר ואיתמר וימת נדב ואביהוא לפני,5090000220,10,10
ref-sifre-n.44.1.172-ref-sifre-n.44.1.180,ref-bible.0103.10.4.11-ref-bible.103.10.4.19,74075,74121,ref-sifre-n.44.1.172,ref-sifre-n.44.1.180,208852,208896,ref-bible.0103.10.4.11,ref-bible.0103.10.4.19,ויאמר אליהם קרבו שאו את אחיכם מאת פני הקודש ,ויאמר אלהם קרבו שאו את אחיכם מאת פני הקדש ,9,9,178,178.0,264,264.0,0.0454545454545454,0.0,7,ויאמר קרבו שאו את אחיכם מאת פני,5090000221,9,9
ref-sifre-n.44.1.172-ref-sifre-n.44.1.181,ref-bible.0209.38.3.1-ref-bible.209.38.4.7,74075,74126,ref-sifre-n.44.1.172,ref-sifre-n.44.1.181,1054128,1054233,ref-bible.0209.38.3.1,ref-bible.0209.38.4.7,ויאמר אליהם קרבו שאו את אחיכם מאת פני הקודש מאת ,ואמרת כה אמר אדני יהוה הנני אליך גוג נשיא ראש משך ותבל ושובבתיך ונתתי חחים בלחייך והוצאתי אותך ואת ,10,15,1123,1123.0,265,264.0,0.7373737373737373,0.9047619047619048,0,,5090000222,10,15
ref-sifre-n.44.1.209-ref-sifre-n.44.1.230,ref-bible.0102.30.27.8-ref-bible.0102.30.30.7,74272,74391,ref-sifre-n.44.1.209,ref-sifre-n.44.1.230,168197,168348,ref-bible.0102.30.27.8,ref-bible.0102.30.30.7,ואת כליה ואת מזבח הקטרת ואת מזבח העלה ואת כל כליו ואת הכיר ואת כנו וקדשת אתם והיו קדש קדשים כל הנגע בהם יקדש ואת אהרן ואת בניו תמשח וקדשת אתם,ואת כליה ואת מזבח הקטרת ואת מזבח העלה ואת כל כליו ואת הכיר ואת כנו וקדשת אתם והיו קדש קדשים כל הנגע בהם יקדש ואת אהרן ואת בניו תמשח וקדשת אתם,24,24,110,110.0,266,266.0,0.0,0.0,24,ואת כליה ואת מזבח הקטרת ואת מזבח_העלה_ואת_כל_כליו_ואת הכיר ואת כנו וקדשת אתם והיו קדש קדשים כל הנגע בהם יקדש ואת אהרן_ואת_בניו תמשח וקדשת אתם,5090000223,24,24
ref-sifre-n.44.1.221-ref-sifre-n.44.1.235,ref-bible.0102.40.9.12-ref-bible.0102.40.10.13,74337,74415,ref-sifre-n.44.1.221,ref-sifre-n.44.1.235,189770,189869,ref-bible.0102.40.9.12,ref-bible.0102.40.10.13,וקדשת אתו ואת כל כליו והיה קדש ומשחת את מזבח העלה ואת כל כליו וקדשת את המזבח והיה המזבח קדש,וקדשת אתו ואת כל כליו והיה קדש ומשחת את מזבח העלה ואת כל כליו וקדשת את המזבח והיה המזבח קדש,15,15,134,134.0,268,268.0,0.0,0.0,15,וקדשת אתו ואת_כל_כליו והיה קדש ומשחת את מזבח_העלה_ואת_כל כליו וקדשת את המזבח והיה המזבח קדש,5090000224,15,15
ref-sifre-n.44.1.280-ref-sifre-n.44.1.286,ref-bible.0103.23.17.1-ref-bible.103.23.17.7,74665,74709,ref-sifre-n.44.1.280,ref-sifre-n.44.1.286,239592,239634,ref-bible.0103.23.17.1,ref-bible.0103.23.17.7,ממושבותיכם תביאו לחם תנופה שתים שני עשרונים ,ממושבתיכם תביאו לחם תנופה שתים שני עשרנים ,7,7,236,236.0,270,270.0,0.0454545454545454,0.0,5,תביאו לחם תנופה שתים שני,5090000225,7,7
ref-sifre-n.44.1.300-ref-sifre-n.44.1.315,ref-bible.0102.30.28.9-ref-bible.102.30.30.5,74776,74865,ref-sifre-n.44.1.300,ref-sifre-n.44.1.315,168260,168337,ref-bible.0102.30.28.9,ref-bible.0102.30.30.5,ויקדש אותם למה נאמר והלא כבר נאמר וימשח אותו ויקדש אותו ומה תלמוד לומר וימשחם ויקדש ,ואת כנו וקדשת אתם והיו קדש קדשים כל הנגע בהם יקדש ואת אהרן ואת בניו תמשח ,10,14,112,110.0,274,271.0,0.7619047619047619,0.8,0,,5090000226,10,14
ref-sifre-n.44.1.300-ref-sifre-n.44.1.315,ref-bible.0102.40.9.12-ref-bible.0102.40.11.7,74776,74865,ref-sifre-n.44.1.300,ref-sifre-n.44.1.315,189770,189910,ref-bible.0102.40.9.12,ref-bible.0102.40.11.7,וקדשת אתו ואת כל כליו והיה קדש ומשחת את מזבח העלה ואת כל כליו וקדשת את המזבח והיה המזבח קדש קדשים ומשחת את הכיר ואת כנו וקדשת אתו,וקדשת אתו ואת כל כליו והיה קדש ומשחת את מזבח העלה ואת כל כליו וקדשת את המזבח והיה המזבח קדש קדשים ומשחת את הכיר ואת כנו וקדשת אתו,23,23,135,135.0,275,275.0,0.0,0.0,23,וקדשת אתו ואת_כל_כליו והיה קדש ומשחת את מזבח_העלה_ואת_כל כליו וקדשת את המזבח והיה המזבח קדש קדשים ומשחת את הכיר ואת כנו וקדשת אתו,5090000227,23,23
ref-sifre-n.44.1.299-ref-sifre-n.44.1.316,ref-bible.0102.40.13.6-ref-bible.0102.40.15.2,74768,74870,ref-sifre-n.44.1.299,ref-sifre-n.44.1.316,189993,190072,ref-bible.0102.40.13.6,ref-bible.0102.40.15.2,ומשחת אתו וקדשת אתו וכהן לי ואת בניו תקריב והלבשת אתם כתנת ומשחת אתם,הקדש ומשחת אתו וקדשת אתו וכהן לי ואת בניו תקריב והלבשת אתם כתנת ומשחת אתם,14,15,138,138.0,272,272.0,0.0684931506849315,0.0999999999999999,14,ומשחת אתו וקדשת אתו וכהן לי ואת בניו תקריב והלבשת אתם כתנת ומשחת אתם,5090000228,14,15
ref-sifre-n.44.1.299-ref-sifre-n.44.1.310,ref-bible.0104.7.1.8-ref-bible.104.7.1.22,74768,74834,ref-sifre-n.44.1.299,ref-sifre-n.44.1.310,268114,268191,ref-bible.0104.7.1.8,ref-bible.0104.7.1.22,וימשחם ויקדש אותם למה נאמר והלא כבר נאמר וימשח אותו ויקדש אותו ,וימשח אתו ויקדש אתו ואת כל כליו ואת המזבח ואת כל כליו וימשחם ויקדש אתם ,8,10,347,347.0,271,271.0,0.5352112676056338,0.4444444444444444,2,וימשח ויקדש,5090000229,8,10
ref-sifre-n.45.1.1-ref-sifre-n.45.1.13,ref-bible.0104.7.2.1-ref-bible.104.7.2.6,74922,74999,ref-sifre-n.45.1.1,ref-sifre-n.45.1.13,268192,268226,ref-bible.0104.7.2.1,ref-bible.0104.7.2.6,ויקריבו נשיאי ישראל שומע אני שהיו הדיוטות ונתמנו תלמוד לומר ראשי בית אבותם ,ויקריבו נשיאי ישראל ראשי בית אבתם ,13,6,349,347.0,277,277.0,0.5466666666666666,0.5,5,ויקריבו נשיאי ישראל ראשי בית,5090000230,13,6
ref-sifre-n.45.1.26-ref-sifre-n.45.1.31,ref-bible.0104.7.2.7-ref-bible.104.7.2.13,75061,75097,ref-sifre-n.45.1.26,ref-sifre-n.45.1.31,268227,268262,ref-bible.0104.7.2.7,ref-bible.0104.7.2.13,הם נשיאי המטות העומדים על הפקודים ,הם נשיאי המטת הם העמדים על הפקדים ,6,7,350,350.0,280,277.0,0.1764705882352941,0.0,3,הם נשיאי על,5090000231,6,7
ref-sifre-n.45.1.11-ref-sifre-n.45.1.27,ref-bible.0201.22.14.2-ref-bible.0201.22.14.16,74985,75069,ref-sifre-n.45.1.11,ref-sifre-n.45.1.27,457499,457571,ref-bible.0201.22.14.2,ref-bible.0201.22.14.16,נשאים עמו נשיא אחד נשיא אחד לבית אב לכל מטות ישראל ואיש ראש בית אבותם,נשאים עמו נשיא אחד נשיא אחד לבית אב לכל מטות ישראל ואיש ראש בית אבותם,15,15,959,959.0,278,278.0,0.0,0.0,15,נשאים עמו נשיא אחד נשיא אחד לבית אב לכל מטות ישראל ואיש ראש בית אבותם,5090000232,15,15
ref-sifre-n.45.1.73-ref-sifre-n.45.1.85,ref-bible.0207.66.20.1-ref-bible.207.66.20.13,75319,75401,ref-sifre-n.45.1.73,ref-sifre-n.45.1.85,865867,865952,ref-bible.0207.66.20.1,ref-bible.0207.66.20.13,והביאו את כל אחיכם מכל הגוים מנחה לה' בסוסים וברכב ובצבים ובפרדים ובכרכרות ,והביאו את כל אחיכם מכל הגוים מנחה ליהוה בסוסים וברכב ובצבים ובפרדים ובכרכרות ,13,13,1070,1070.0,281,281.0,0.0389610389610389,0.0769230769230768,12,והביאו את כל אחיכם מכל הגוים מנחה בסוסים וברכב ובצבים ובפרדים ובכרכרות,5090000233,13,13
ref-sifre-n.45.1.86-ref-sifre-n.45.1.115,ref-bible.0104.7.3.6-ref-bible.104.7.3.21,75402,75552,ref-sifre-n.45.1.86,ref-sifre-n.45.1.115,268290,268372,ref-bible.0104.7.3.6,ref-bible.0104.7.3.21,שש עגלות צב שומע אני עגלה על כל אחד ואחד תלמוד לומר עגלה על שני הנשיאים שומע אני שור על שני הנשיאים תלמוד לומר ושור לאחד ויקריבו אותם לפני המשכן ,שש עגלת צב ושני עשר בקר עגלה על שני הנשאים ושור לאחד ויקריבו אותם לפני המשכן ,28,16,351,351.0,282,282.0,0.503448275862069,0.35,11,שש צב עגלה על שני ושור לאחד ויקריבו אותם לפני המשכן,5090000234,28,16
ref-sifre-n.45.1.110-ref-sifre-n.45.1.118,ref-bible.0104.16.9.10-ref-bible.0104.16.10.2,75515,75568,ref-sifre-n.45.1.110,ref-sifre-n.45.1.118,291360,291436,ref-bible.0104.16.9.10,ref-bible.0104.16.10.2,להקריב אתכם אליו לעבד את עבדת משכן יהוה ולעמד לפני העדה לשרתם ויקרב אתך,להקריב אתכם אליו לעבד את עבדת משכן יהוה ולעמד לפני העדה לשרתם ויקרב אתך,12,12,509,509.0,283,283.0,0.0,0.0,12,להקריב אתכם אליו לעבד_את_עבדת משכן יהוה ולעמד לפני העדה לשרתם ויקרב אתך,5090000235,12,12
ref-sifre-n.45.1.169-ref-sifre-n.45.1.179,ref-bible.0221.3.13.4-ref-bible.0221.3.14.2,75842,75912,ref-sifre-n.45.1.169,ref-sifre-n.45.1.179,1151426,1151467,ref-bible.0221.3.13.4,ref-bible.0221.3.14.2,אמר יהוה ואמרתם מה נדברנו עליך אמרתם שוא,אמר יהוה ואמרתם מה נדברנו עליך אמרתם שוא,8,8,1150,1150.0,285,285.0,0.0,0.0,8,אמר יהוה ואמרתם מה נדברנו עליך אמרתם שוא,5090000236,8,8
ref-sifre-n.46.1.5-ref-sifre-n.46.1.30,ref-bible.0104.7.6.5-ref-bible.104.7.8.9,75983,76122,ref-sifre-n.46.1.5,ref-sifre-n.46.1.30,268489,268623,ref-bible.0104.7.6.5,ref-bible.0104.7.8.9,ואת הבקר הרי משה נוטלו ומחלקן לפי דעתו את שתי העגלות ואת ארבעת הבקר נתן לבני גרשון ואת ארבע העגלות ואת שמונת הבקר נתן לבני מררי ,ואת הבקר ויתן אותם אל הלוים את שתי העגלת ואת ארבעת הבקר נתן לבני גרשון כפי עבדתם ואת ארבע העגלת ואת שמנת הבקר נתן לבני מררי ,26,26,352,352.0,287,287.0,0.2734375,0.4285714285714286,17,ואת הבקר את שתי ואת ארבעת הבקר נתן לבני גרשון ואת ארבע ואת הבקר נתן לבני מררי,5090000237,26,26
ref-sifre-n.46.1.72-ref-sifre-n.46.1.80,ref-bible.0309.10.21.4-ref-bible.309.10.23.2,76363,76410,ref-sifre-n.46.1.72,ref-sifre-n.46.1.80,1392159,1392255,ref-bible.0309.10.21.4,ref-bible.0309.10.23.2,אלה וגו' ויכתבם שמעיה בן נתנאל הסופר מן הלוי ,ואליה ושמעיה ויחיאל ועזיה ומבני פשחור אליועיני מעשיה ישמעאל נתנאל יוזבד ואלעשה ומן הלוים ,9,14,1222,1222.0,295,288.0,0.6179775280898876,0.8333333333333334,1,נתנאל,5090000238,9,14
ref-sifre-n.46.1.53-ref-sifre-n.46.1.60,ref-bible.0312.9.9.10-ref-bible.312.9.11.4,76251,76298,ref-sifre-n.46.1.53,ref-sifre-n.46.1.60,1475164,1475242,ref-bible.0312.9.9.10,ref-bible.0312.9.11.4,בני איתמר ויחלקום לבני אלעזר ראשים לבית אבות ,ראשי אבות לבית אבתיהם ומן הכהנים ידעיה ויהויריב ויכין ועזריה בן חלקיה בן ,8,13,1250,1250.0,290,288.0,0.7397260273972602,0.875,1,אבות,5090000239,8,13
ref-sifre-n.46.1.56-ref-sifre-n.46.1.76,ref-bible.0312.9.12.17-ref-bible.0312.9.14.4,76270,76388,ref-sifre-n.46.1.56,ref-sifre-n.46.1.76,1475368,1475476,ref-bible.0312.9.12.17,ref-bible.0312.9.14.4,בן אמר ואחיהם ראשים לבית אבותם אלף ושבע מאות וששים גבורי חיל מלאכת עבודת בית האלהים ומן הלוים שמעיה בן אמר ואחיהם ראשים לבית אבותם אלף ושבע מאות וששים גבורי חיל מלאכת עבודת בית האלהים ומן הלוים שמעיה בן,בן אמר ואחיהם ראשים לבית אבותם אלף ושבע מאות וששים גבורי חיל מלאכת עבודת בית האלהים ומן הלוים שמעיה בן אמר ואחיהם ראשים לבית אבותם אלף ושבע מאות וששים גבורי חיל מלאכת עבודת בית האלהים ומן הלוים שמעיה בן,35,35,1251,1251.0,291,291.0,0.0,0.0,35,בן אמר ואחיהם ראשים לבית אבותם אלף_ושבע_מאות וששים גבורי חיל מלאכת עבודת בית האלהים ומן הלוים שמעיה בן אמר ואחיהם ראשים לבית אבותם אלף_ושבע_מאות וששים גבורי חיל מלאכת עבודת בית האלהים ומן הלוים שמעיה בן,5090000240,35,35
ref-sifre-n.46.1.40-ref-sifre-n.46.1.72,ref-bible.0312.24.3.8-ref-bible.0312.24.5.5,76172,76366,ref-sifre-n.46.1.40,ref-sifre-n.46.1.72,1502910,1503095,ref-bible.0312.24.3.8,ref-bible.0312.24.5.5,איתמר לפקדתם בעבדתם וימצאו בני אלעזר רבים לראשי הגברים מן בני איתמר ויחלקום לבני אלעזר ראשים לבית אבות ששה עשר ולבני איתמר לבית אבותם שמונה ויחלקום בגורלות אלה עם אלה,מן בני איתמר לפקדתם בעבדתם וימצאו בני אלעזר רבים לראשי הגברים מן בני איתמר ויחלקום לבני אלעזר ראשים לבית אבות ששה עשר ולבני איתמר לבית אבותם שמונה ויחלקום בגורלות אלה עם אלה,30,32,1269,1269.0,288,288.0,0.0404624277456647,0.0,30,איתמר לפקדתם בעבדתם וימצאו בני אלעזר רבים לראשי הגברים מן בני איתמר ויחלקום לבני אלעזר ראשים לבית אבות ששה עשר ולבני איתמר לבית אבותם שמונה ויחלקום בגורלות אלה עם אלה,5090000241,30,32
ref-sifre-n.46.1.74-ref-sifre-n.46.1.88,ref-bible.0312.24.6.1-ref-bible.312.24.6.15,76372,76460,ref-sifre-n.46.1.74,ref-sifre-n.46.1.88,1503150,1503238,ref-bible.0312.24.6.1,ref-bible.0312.24.6.15,ויכתבם שמעיה בן נתנאל הסופר מן הלוי לפני המלך והשרים וצדוק הכהן ואחימלך בן אביתר ,ויכתבם שמעיה בן נתנאל הסופר מן הלוי לפני המלך והשרים וצדוק הכהן ואחימלך בן אביתר ,15,15,1271,1271.0,296,288.0,0.0,0.0,15,ויכתבם שמעיה בן נתנאל הסופר מן הלוי לפני המלך והשרים וצדוק הכהן ואחימלך בן אביתר,5090000242,15,15
ref-sifre-n.46.1.56-ref-sifre-n.46.1.76,ref-bible.0312.26.5.9-ref-bible.0312.26.6.7,76270,76388,ref-sifre-n.46.1.56,ref-sifre-n.46.1.76,1506326,1506375,ref-bible.0312.26.5.9,ref-bible.0312.26.6.7,אלהים ולשמעיה בנו נולד בנים הממשלים לבית אביהם,אלהים ולשמעיה בנו נולד בנים הממשלים לבית אביהם,8,8,1274,1274.0,292,292.0,0.0,0.0,8,אלהים ולשמעיה בנו נולד בנים הממשלים לבית אביהם,5090000243,8,8
ref-sifre-n.46.1.125-ref-sifre-n.46.1.135,ref-bible.0204.6.8.1-ref-bible.204.6.9.2,76640,76694,ref-sifre-n.46.1.125,ref-sifre-n.46.1.135,598488,598574,ref-bible.0204.6.8.1,ref-bible.0204.6.9.2,"ויחר לדוד על אשר פרץ ה' פרץ בעוזא א""ל אחיתופל לדוד ",ויחר לדוד על אשר פרץ יהוה פרץ בעזה ויקרא למקום ההוא פרץ עזה עד היום הזה וירא דוד ,11,16,989,989.0,297,297.0,0.5061728395061729,0.5384615384615384,6,ויחר לדוד על אשר פרץ פרץ,5090000244,11,16
ref-sifre-n.46.1.125-ref-sifre-n.46.1.135,ref-bible.0312.13.11.1-ref-bible.312.13.12.2,76640,76694,ref-sifre-n.46.1.125,ref-sifre-n.46.1.135,1484976,1485061,ref-bible.0312.13.11.1,ref-bible.0312.13.12.2,"ויחר לדוד על אשר פרץ ה' פרץ בעוזא א""ל אחיתופל לדוד ",ויחר לדויד כי פרץ יהוה פרץ בעזא ויקרא למקום ההוא פרץ עזא עד היום הזה ויירא דויד ,11,15,1257,1257.0,298,297.0,0.6125,0.6923076923076923,3,ויחר פרץ פרץ,5090000245,11,15
ref-sifre-n.46.1.153-ref-sifre-n.46.1.158,ref-bible.0104.7.9.5-ref-bible.104.7.9.10,76780,76811,ref-sifre-n.46.1.153,ref-sifre-n.46.1.158,268676,268705,ref-bible.0104.7.9.5,ref-bible.0104.7.9.10,כי עבודת הקדש עליהם בכתף ישאו ,כי עבדת הקדש עלהם בכתף ישאו ,6,6,353,353.0,299,299.0,0.0666666666666666,0.0,4,כי הקדש בכתף ישאו,5090000246,6,6
ref-sifre-n.46.1.169-ref-sifre-n.46.1.220,ref-bible.0312.15.11.1-ref-bible.312.15.15.14,76864,77176,ref-sifre-n.46.1.169,ref-sifre-n.46.1.220,1486892,1487272,ref-bible.0312.15.11.1,ref-bible.0312.15.15.14,ויקרא דויד לצדוק ואביתר הכהנים וללוים לאוריאל עשיה ויואל שמעיה ואליאל ועמינדב ויאמר להם אתם ראשי האבות ללוים התקדשו אתם ואחיכם והעליתם את ארון ה' אלהי ישראל וגו' כי למבראשונה לא אתם פרץ ה' וכתיב ויתקדשו הכהנים והלוים וגו' וישאו בני הלוים את ארון האלהים כאשר צוה משה וגו' בכתפם במוטות עליהם ,ויקרא דויד לצדוק ולאביתר הכהנים וללוים לאוריאל עשיה ויואל שמעיה ואליאל ועמינדב ויאמר להם אתם ראשי האבות ללוים התקדשו אתם ואחיכם והעליתם את ארון יהוה אלהי ישראל אל הכינותי לו כי למבראשונה לא אתם פרץ יהוה אלהינו בנו כי לא דרשנהו כמשפט ויתקדשו הכהנים והלוים להעלות את ארון יהוה אלהי ישראל וישאו בני הלוים את ארון האלהים כאשר צוה משה כדבר יהוה בכתפם במטות עליהם ,52,53,1259,1259.0,300,300.0,0.2541899441340782,0.4130434782608695,34,ויקרא דויד לצדוק הכהנים וללוים לאוריאל עשיה ויואל שמעיה ואליאל ועמינדב ויאמר להם אתם ראשי האבות ללוים התקדשו אתם ואחיכם והעליתם כי למבראשונה לא אתם פרץ ויתקדשו הכהנים והלוים וישאו בני הלוים בכתפם עליהם,5090000247,52,53
ref-sifre-n.46.1.231-ref-sifre-n.46.1.242,ref-bible.0312.24.19.1-ref-bible.312.24.19.12,77224,77290,ref-sifre-n.46.1.231,ref-sifre-n.46.1.242,1503711,1503778,ref-bible.0312.24.19.1,ref-bible.0312.24.19.12,אלה פקודתם לעבודתם לבא לבית ה' כמשפטם ביד אהרן אביהם כאשר צוהו ,אלה פקדתם לעבדתם לבוא לבית יהוה כמשפטם ביד אהרן אביהם כאשר צוהו ,12,12,1272,1272.0,301,301.0,0.09375,0.0833333333333333,8,אלה לבית כמשפטם ביד אהרן אביהם כאשר צוהו,5090000248,12,12
ref-sifre-n.46.2.37-ref-sifre-n.46.2.47,ref-bible.0204.6.8.1-ref-bible.204.6.9.2,77558,77612,ref-sifre-n.46.2.37,ref-sifre-n.46.2.47,598488,598574,ref-bible.0204.6.8.1,ref-bible.0204.6.9.2,"ויחר לדוד על אשר פרץ ה' פרץ בעוזא א""ל אחיתופל לדוד ",ויחר לדוד על אשר פרץ יהוה פרץ בעזה ויקרא למקום ההוא פרץ עזה עד היום הזה וירא דוד ,11,16,990,989.0,302,302.0,0.5061728395061729,0.5384615384615384,6,ויחר לדוד על אשר פרץ פרץ,5090000249,11,16
ref-sifre-n.46.2.37-ref-sifre-n.46.2.47,ref-bible.0312.13.11.1-ref-bible.312.13.12.2,77558,77612,ref-sifre-n.46.2.37,ref-sifre-n.46.2.47,1484976,1485061,ref-bible.0312.13.11.1,ref-bible.0312.13.12.2,"ויחר לדוד על אשר פרץ ה' פרץ בעוזא א""ל אחיתופל לדוד ",ויחר לדויד כי פרץ יהוה פרץ בעזא ויקרא למקום ההוא פרץ עזא עד היום הזה ויירא דויד ,11,15,1258,1257.0,303,302.0,0.6125,0.6923076923076923,3,ויחר פרץ פרץ,5090000250,11,15
ref-sifre-n.46.2.65-ref-sifre-n.46.2.70,ref-bible.0104.7.9.5-ref-bible.104.7.9.10,77698,77728,ref-sifre-n.46.2.65,ref-sifre-n.46.2.70,268676,268705,ref-bible.0104.7.9.5,ref-bible.0104.7.9.10,כי עבודת הקדש עליהם בכתף ישאו ,כי עבדת הקדש עלהם בכתף ישאו ,6,6,354,353.0,304,304.0,0.0666666666666666,0.0,4,כי הקדש בכתף ישאו,5090000251,6,6
ref-sifre-n.46.2.81-ref-sifre-n.46.2.132,ref-bible.0312.15.11.1-ref-bible.312.15.15.14,77781,78093,ref-sifre-n.46.2.81,ref-sifre-n.46.2.132,1486892,1487272,ref-bible.0312.15.11.1,ref-bible.0312.15.15.14,ויקרא דויד לצדוק ואביתר הכהנים וללוים לאוריאל עשיה ויואל שמעיה ואליאל ועמינדב ויאמר להם אתם ראשי האבות ללוים התקדשו אתם ואחיכם והעליתם את ארון ה' אלהי ישראל וגו' כי למבראשונה לא אתם פרץ ה' וכתיב ויתקדשו הכהנים והלוים וגו' וישאו בני הלוים את ארון האלהים כאשר צוה משה וגו' בכתפם במוטות עליהם ,ויקרא דויד לצדוק ולאביתר הכהנים וללוים לאוריאל עשיה ויואל שמעיה ואליאל ועמינדב ויאמר להם אתם ראשי האבות ללוים התקדשו אתם ואחיכם והעליתם את ארון יהוה אלהי ישראל אל הכינותי לו כי למבראשונה לא אתם פרץ יהוה אלהינו בנו כי לא דרשנהו כמשפט ויתקדשו הכהנים והלוים להעלות את ארון יהוה אלהי ישראל וישאו בני הלוים את ארון האלהים כאשר צוה משה כדבר יהוה בכתפם במטות עליהם ,52,53,1260,1259.0,305,305.0,0.2541899441340782,0.4130434782608695,34,ויקרא דויד לצדוק הכהנים וללוים לאוריאל עשיה ויואל שמעיה ואליאל ועמינדב ויאמר להם אתם ראשי האבות ללוים התקדשו אתם ואחיכם והעליתם כי למבראשונה לא אתם פרץ ויתקדשו הכהנים והלוים וישאו בני הלוים בכתפם עליהם,5090000252,52,53
ref-sifre-n.46.2.143-ref-sifre-n.46.2.154,ref-bible.0312.24.19.1-ref-bible.312.24.19.12,78141,78207,ref-sifre-n.46.2.143,ref-sifre-n.46.2.154,1503711,1503778,ref-bible.0312.24.19.1,ref-bible.0312.24.19.12,אלה פקודתם לעבודתם לבא לבית ה' כמשפטם ביד אהרן אביהם כאשר צוהו ,אלה פקדתם לעבדתם לבוא לבית יהוה כמשפטם ביד אהרן אביהם כאשר צוהו ,12,12,1273,1272.0,306,306.0,0.09375,0.0833333333333333,8,אלה לבית כמשפטם ביד אהרן אביהם כאשר צוהו,5090000253,12,12
ref-sifre-n.47.1.16-ref-sifre-n.47.1.35,ref-bible.0104.7.10.9-ref-bible.0104.7.11.15,78397,78509,ref-sifre-n.47.1.16,ref-sifre-n.47.1.35,268753,268869,ref-bible.0104.7.10.9,ref-bible.0104.7.11.15,ויקריבו הנשיאם את קרבנם לפני המזבח ויאמר יהוה אל משה נשיא אחד ליום נשיא אחד ליום יקריבו את קרבנם לחנכת המזבח,ויקריבו הנשיאם את קרבנם לפני המזבח ויאמר יהוה אל משה נשיא אחד ליום נשיא אחד ליום יקריבו את קרבנם לחנכת המזבח,18,18,360,359.0,307,307.0,0.0,0.0,18,ויקריבו הנשיאם את קרבנם לפני המזבח ויאמר_יהוה_אל_משה נשיא אחד ליום נשיא אחד ליום יקריבו את קרבנם לחנכת המזבח,5090000254,18,18
ref-sifre-n.49.1.51-ref-sifre-n.49.1.58,ref-bible.0104.7.85.9-ref-bible.104.7.85.16,79129,79171,ref-sifre-n.49.1.51,ref-sifre-n.49.1.58,272947,272989,ref-bible.0104.7.85.9,ref-bible.0104.7.85.16,כל כסף הכלים אלפים וארבע מאות בשקל הקדש ,כל כסף הכלים אלפים וארבע מאות בשקל הקדש ,8,8,365,365.0,309,309.0,0.0,0.0,8,כל כסף הכלים אלפים וארבע מאות בשקל הקדש,5090000255,8,8
ref-sifre-n.52.1.1-ref-sifre-n.52.1.7,ref-bible.0104.7.18.1-ref-bible.104.7.19.1,80247,80284,ref-sifre-n.52.1.1,ref-sifre-n.52.1.7,269215,269263,ref-bible.0104.7.18.1,ref-bible.0104.7.19.1,ביום השני הקריב נתנאל בן צוער הקריב ,ביום השני הקריב נתנאל בן צוער נשיא יששכר הקרב ,7,9,362,362.0,310,310.0,0.2608695652173913,0.25,6,ביום השני הקריב נתנאל בן צוער,5090000256,7,9
ref-sifre-n.52.1.84-ref-sifre-n.52.1.88,ref-bible.0312.12.33.1-ref-bible.312.12.33.5,80691,80720,ref-sifre-n.52.1.84,ref-sifre-n.52.1.88,1483437,1483466,ref-bible.0312.12.33.1,ref-bible.0312.12.33.5,ומבני יששכר יודעי בינה לעתים ,ומבני יששכר יודעי בינה לעתים ,5,5,1256,1256.0,311,311.0,0.0,0.0,5,ומבני יששכר יודעי בינה לעתים,5090000257,5,5
ref-sifre-n.52.1.90-ref-sifre-n.52.1.97,ref-bible.0202.5.15.1-ref-bible.202.5.15.8,80728,80771,ref-sifre-n.52.1.90,ref-sifre-n.52.1.97,474748,474790,ref-bible.0202.5.15.1,ref-bible.0202.5.15.8,ושרי ביששכר עם דבורה ויששכר כן ברק בעמק ,ושרי ביששכר עם דברה ויששכר כן ברק בעמק ,8,8,964,964.0,312,312.0,0.025,0.0,7,ושרי ביששכר עם ויששכר כן ברק בעמק,5090000258,8,8
