,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-mek,dam-lev,jac,id
190,237,ref-b.2.7.4.30b.9.13-ref-b.2.7.4.30b.9.18,ref-mek.1.8.3.211-ref-mek.1.8.3.219,2215921,2215952,305499,305504,ref-b.2.7.4.30b.9.13,ref-b.2.7.4.30b.9.18,28754,28795,4575,4581,ref-mek.1.8.3.211,ref-mek.1.8.3.219,שנאמר חג הסוכות שבעת ימים לה' ,חג אמור ומה אני מקיים שבעת ימים תחוג לה' ,5,6,820.0,227.0,0.5121951219512195,0.6,3050000191
191,238,ref-b.2.7.4.30b.9.40-ref-b.2.7.4.30b.9.46,ref-mek.1.8.3.211-ref-mek.1.8.3.219,2216054,2216084,303417,305523,ref-b.2.7.4.30b.9.40,ref-b.2.7.4.30b.9.46,28754,28795,4566,4581,ref-mek.1.8.3.211,ref-mek.1.8.3.219,חג הסוכות שבעת ימים לה' מה חג לה' חג הסוכות שבעת ימים לה' מה חג,חג אמור ומה אני מקיים שבעת ימים תחוג לה' חג אמור ומה אני מקיים שבעת ימים,63,72,821.0,227.0,0.5833333333333334,0.5555555555555556,3050000192
192,240,ref-b.2.4.2.35a.6.2-ref-b.2.4.2.35a.6.9,ref-mek.1.9.1.32-ref-mek.1.9.1.37,1378507,1378554,187914,189203,ref-b.2.4.2.35a.6.2,ref-b.2.4.2.35a.6.9,29079,29126,4614,4628,ref-mek.1.9.1.32,ref-mek.1.9.1.37,כוסמין מין חיטין שיבולת שועל ושיפון כוסמין מין חיטין שיבולת שועל ושיפון מין שעורין,החטים והשעורים והכוסמים ושבולת שועל ושיפון החטים והשעורים והכוסמים ושבולת שועל ושיפון,82,85,445.0,240.0,0.6235294117647059,0.2857142857142857,3050000193
193,242,ref-b.5.2.6.70a.17.2-ref-b.5.2.6.70a.17.9,ref-mek.1.9.1.32-ref-mek.1.9.1.37,7355725,7355772,1033200,1033257,ref-b.5.2.6.70a.17.2,ref-b.5.2.6.70a.17.9,29079,29126,4614,4621,ref-mek.1.9.1.32,ref-mek.1.9.1.37,כוסמין מין חיטים שיבולת שועל ושיפון כוסמין מין חיטים שיבולת שועל ושיפון מין שעורין,החטים והשעורים והכוסמים ושבולת שועל ושיפון שועל ושיפון,82,54,2971.0,240.0,0.573170731707317,0.2857142857142857,3050000194
194,244,ref-b.2.6.2.27a.8.29-ref-b.2.6.2.27a.9.10,ref-mek.1.9.1.136-ref-mek.1.9.1.153,2029971,2030054,278518,280440,ref-b.2.6.2.27a.8.29,ref-b.2.6.2.27a.9.10,29663,29761,4688,4708,ref-mek.1.9.1.136,ref-mek.1.9.1.153,הראשון חובה מכאן ואילך רשות והתם מנלן אמר קרא בערב תאכלו מצות הכתוב קבעו חובה הראשון חובה מכאן ואילך רשות אף כאן לילה הראשון חובה מכאן ואילך רשות והתם מנלן אמר קרא בערב תאכלו מצות הכתוב,הכתוב קבעו חובה הא אין עליך לומר כלשון האחרון הכתוב קבעו חובה הא אין עליך לומר כלשון האחרון אלא כראשון לעשות,185,108,768.0,244.0,0.6594594594594595,0.7142857142857143,3050000195
195,246,ref-b.2.4.1.5a.16.7-ref-b.2.4.1.5a.16.15,ref-mek.1.9.1.268-ref-mek.1.9.1.277,1279100,1279141,176158,176166,ref-b.2.4.1.5a.16.7,ref-b.2.4.1.5a.16.15,30325,30369,4782,4790,ref-mek.1.9.1.268,ref-mek.1.9.1.277,חמץ דם זבחי לא תשחט הפסח ועדין חמץ קיים ,חמץ דם זבחי לא תשחט את הפסח ועדין חמץ קיים ,8,8,411.0,246.0,0.06976744186046512,0.125,3050000196
196,247,ref-b.2.4.1.5a.18.24-ref-b.2.4.1.5a.18.33,ref-mek.1.9.1.268-ref-mek.1.9.1.277,1279296,1279341,176182,176190,ref-b.2.4.1.5a.18.24,ref-b.2.4.1.5a.18.33,30325,30369,4782,4790,ref-mek.1.9.1.268,ref-mek.1.9.1.277,חמץ דם זבחי לא תשחט את הפסח ועדיין חמץ קיים ,חמץ דם זבחי לא תשחט את הפסח ועדין חמץ קיים ,8,8,413.0,246.0,0.022727272727272728,0.0,3050000197
197,248,ref-b.2.4.2.27b.9.22-ref-b.2.4.2.27b.12.39,ref-mek.1.9.1.323-ref-mek.1.9.1.404,1355160,1355679,184950,186288,ref-b.2.4.2.27b.9.22,ref-b.2.4.2.27b.12.39,30584,31017,4803,4880,ref-mek.1.9.1.323,ref-mek.1.9.1.404,תשביתו שאור מבתיכם בכל דבר שאתה יכול להשביתו חזר רבי יהודה ודנו דין אחר נותר אסור באכילה וחמץ אסור באכילה מה נותר בשריפה אף חמץ בשריפה אמרו לו נבילה תוכיח שאסורה באכילה ואינה טעונה שריפה אמר להן הפרש נותר ובהנאה וחמץ אסור באכילה ובהנאה מה נותר טעון שריפה אף חמץ טעון שריפה אמרו לו שור הנסקל יוכיח שאסור באכילה ובהנאה ואינו טעון שריפה אמר להן הפרש נותר אסור באכילה ובהנאה וענוש כרת וחמץ אסור באכילה ובהנאה וענוש כרת מה נותר בשריפה אף חמץ בשריפה תשביתו שאור מבתיכם בכל דבר שאתה יכול להשביתו חזר רבי יהודה ודנו דין אחר נותר אסור באכילה וחמץ אסור באכילה מה נותר בשריפה אף חמץ בשריפה לו נבילה תוכיח שאסורה באכילה ואינה טעונה שריפה אמר להן הפרש נותר אסור באכילה ובהנאה וחמץ אסור באכילה ובהנאה מה נותר טעון שריפה אף חמץ טעון שריפה אמרו לו שור הנסקל יוכיח שאסור באכילה ובהנאה ואינו טעון שריפה אמר להן הפרש נותר אסור באכילה ובהנאה וענוש כרת וחמץ אסור באכילה ובהנאה וענוש כרת מה נותר בשריפה אף חמץ בשריפה חלבו של שור הנסקל,"תשביתו שאור מבתיכם בשריפה אתה אומר בשריפה או אינו תשביתו שאור מבתיכם בשריפה אתה אומר בשריפה או אינו אלא בכל דבר הרי אתה דן נותר אסור באכילה וחמץ אסור באכילה מה נותר בשריפה אף חמץ בשריפה יהא אלא בשריפה נבלה תוכיח שהיא אסורה באכילה ואינה בשריפה היא תוכיח על חמץ אע""פ שהוא אסור באכילה לא יהא בשריפה אמרת הפרש נותר בהנאה אם למדת על נותר שאינו אלא בשריפה אף חמץ לא יהא אלא בשריפה והרי שור הנסקל שור",912,393,425.0,248.0,0.6600877192982456,0.5853658536585367,3050000198
198,252,ref-b.2.4.2.28a.1.11-ref-b.2.4.2.28a.1.19,ref-mek.1.9.1.341-ref-mek.1.9.1.349,1355780,1355827,186306,186314,ref-b.2.4.2.28a.1.11,ref-b.2.4.2.28a.1.19,30679,30728,4826,4834,ref-mek.1.9.1.341,ref-mek.1.9.1.349,וחמץ בבל תותירו מה נותר בשריפה אף חמץ בשריפה ,וחמץ אסור באכילה מה נותר בשריפה אף חמץ בשריפה ,8,8,442.0,248.0,0.1956521739130435,0.5,3050000199
199,253,ref-b.5.1.11.98a.4.2-ref-b.5.1.11.98a.4.13,ref-mek.1.9.1.343-ref-mek.1.9.1.352,7067967,7068040,991482,991513,ref-b.5.1.11.98a.4.2,ref-b.5.1.11.98a.4.13,30690,30741,4819,4830,ref-mek.1.9.1.343,ref-mek.1.9.1.352,מה מלואים מותריהן בשריפה ואין בעלי חיים במותריהן אף כל מותריהן בשריפה ואין מה מלואים מותריהן בשריפה ואין בעלי חיים במותריהן אף כל מותריהן,באכילה מה באכילה מה נותר בשריפה אף חמץ בשריפה אם למדת נותר,137,58,2845.0,248.0,0.6861313868613139,0.8333333333333334,3050000200
200,255,ref-b.5.2.8.83a.6.2-ref-b.5.2.8.83a.6.14,ref-mek.1.9.1.343-ref-mek.1.9.1.356,7396869,7396948,1038800,1038865,ref-b.5.2.8.83a.6.2,ref-b.5.2.8.83a.6.14,30690,30763,4819,4834,ref-mek.1.9.1.343,ref-mek.1.9.1.356,מה מלואים מותריהן בשריפה ואין בעלי חיים מותריהן בשריפה אף כל מותריהן בשריפה ואין מה מלואים מותריהן בשריפה ואין בעלי חיים מותריהן בשריפה אף כל מותריהן,באכילה מה נותר בשריפה אף חמץ בשריפה אם למדת נותר שאינו אלא בשריפה אלא בשריפה אף,149,79,3012.0,248.0,0.6174496644295302,0.75,3050000201
201,260,ref-b.2.4.2.27b.11.22-ref-b.2.4.2.27b.12.39,ref-mek.1.9.1.434-ref-mek.1.9.1.449,1355428,1355679,184995,186288,ref-b.2.4.2.27b.11.22,ref-b.2.4.2.27b.12.39,31169,31247,4892,4914,ref-mek.1.9.1.434,ref-mek.1.9.1.449,נותר טעון שריפה אף חמץ טעון שריפה אמרו לו שור הנסקל יוכיח נותר טעון שריפה אף חמץ טעון שריפה אמרו לו שור הנסקל יוכיח שאסור באכילה ובהנאה ואינו טעון שריפה אמר להן הפרש נותר נותר בשריפה אף חמץ בשריפה אמרו לו חלבו של שור הנסקל,נותר בשרפה אמרת הפרש נותר חייבין עליו כרת וחמץ חייבין עליו כרת אם למדת על נותר שאינו אלא בשריפה אף חמץ לא יהא,222,109,425.0,260.0,0.6891891891891891,0.7916666666666666,3050000202
202,263,ref-b.2.4.2.27b.10.7-ref-b.2.4.2.27b.12.42,ref-mek.1.9.1.474-ref-mek.1.9.1.506,1355236,1355702,184963,186291,ref-b.2.4.2.27b.10.7,ref-b.2.4.2.27b.12.42,31386,31585,4925,4961,ref-mek.1.9.1.474,ref-mek.1.9.1.506,נותר אסור באכילה וחמץ אסור באכילה מה נותר בשריפה אף חמץ בשריפה אמרו לו נבילה תוכיח שאסורה באכילה ואינה נותר אסור באכילה ובהנאה וחמץ אסור באכילה שור הנסקל יוכיח שאסור באכילה ובהנאה ואינו טעון שריפה אמר להן הפרש נותר אסור באכילה ובהנאה וענוש כרת וחמץ אסור באכילה שור הנסקל יוכיח שאסור באכילה ובהנאה נותר אסור באכילה וחמץ אסור באכילה מה נותר בשריפה אף חמץ בשריפה אמרו לו נבילה תוכיח שאסורה באכילה ואינה טעונה שריפה אמר להן הפרש נותר אסור באכילה ובהנאה וחמץ אסור שור הנסקל יוכיח שאסור באכילה ובהנאה ואינו טעון שריפה אמר להן הפרש נותר אסור באכילה ובהנאה וענוש כרת וחמץ אסור באכילה שור הנסקל יוכיח שאסור באכילה ובהנאה,"נותר אסור באכילה ובהנאה וחייבין עליו כרת והזמן גרם וחמץ אסור באכילה ואסור בהנאה וחייבין עליו כרת והזמן גרם ואל תאמר נבלה תוכיח שאע""פ שאסורה באכילה אינה גרם ואל תאמר נבלה תוכיח שאע""פ שאסורה באכילה אינה אסורה",611,206,425.0,263.0,0.7315875613747954,0.6153846153846154,3050000203
203,269,ref-b.2.4.2.23b.1.13-ref-b.2.4.2.23b.1.30,ref-mek.1.9.1.484-ref-mek.1.9.1.499,1340910,1341010,184422,184433,ref-b.2.4.2.23b.1.13,ref-b.2.4.2.23b.1.30,31447,31545,4942,4954,ref-mek.1.9.1.484,ref-mek.1.9.1.499,איסור אכילה בין איסור הנאה וכי אתא קרא למישרייה לנבילה בהנאה הוא דאתא ורבי עקיבא סבר איסור אכילה ,"אסור באכילה ואסור בהנאה וחייבין עליו כרת והזמן גרם ואל תאמר נבלה תוכיח שאע""פ שאסורה באכילה ",11,12,420.0,263.0,0.5773195876288659,0.8695652173913043,3050000204
204,271,ref-b.3.1.1.10b.7.2-ref-b.3.1.1.10b.8.13,ref-mek.1.9.1.511-ref-mek.1.9.1.523,2868900,2869036,395796,395815,ref-b.3.1.1.10b.7.2,ref-b.3.1.1.10b.8.13,31610,31679,4956,4968,ref-mek.1.9.1.511,ref-mek.1.9.1.523,חייבין על החלוצה כרת על הצרה בין הוא ובין האחים חייבין על הצרה כרת ורבי יוחנן אמר בין הוא ובין האחין אינן חייבין לא על החלוצה כרת ,"אין חייבים עליו כרת ולא חלב שור הנסקל יוכיח שאע""פ שחייבים עליו כרת ",19,12,1118.0,271.0,0.676923076923077,0.8333333333333334,3050000205
205,272,ref-b.2.4.2.35a.6.3-ref-b.2.4.2.35a.6.10,ref-mek.1.9.1.670-ref-mek.1.9.1.676,1378514,1378561,189197,189204,ref-b.2.4.2.35a.6.3,ref-b.2.4.2.35a.6.10,32394,32445,5103,5109,ref-mek.1.9.1.670,ref-mek.1.9.1.676,מין חיטין שיבולת שועל ושיפון מין שעורין כוסמין ,המינין החטים והשעורים והכוסמים שבולת שועל שיפון ,7,6,445.0,272.0,0.6875,0.375,3050000206
206,273,ref-b.2.8.1.21b.5.11-ref-b.2.8.1.21b.5.15,ref-mek.1.10.1.28-ref-mek.1.10.1.32,2309843,2309866,318607,318611,ref-b.2.8.1.21b.5.11,ref-b.2.8.1.21b.5.15,33134,33157,5208,5212,ref-mek.1.10.1.28,ref-mek.1.10.1.32,מועדי ה' אשר תקראו אותם ,מועדי ה' אשר תקראו אותם ,4,4,879.0,273.0,0.0,0.0,3050000207
207,274,ref-b.2.12.2.18a.6.43-ref-b.2.12.2.18a.6.57,ref-mek.1.10.1.58-ref-mek.1.10.1.79,2823020,2823094,392191,392203,ref-b.2.12.2.18a.6.43,ref-b.2.12.2.18a.6.57,33287,33409,5226,5241,ref-mek.1.10.1.58,ref-mek.1.10.1.79,מקרא קדש תאמר בחולו של מועד שקרוי מקרא קדש הואיל וקרוי מקרא קדש דין הוא ,מקרא קדש אין לי אלא יום טוב הראשון והאחרון שהן אסורין בעשיית מלאכה שנאמר ביום הראשון מקרא קדש וביום השביעי מקרא קדש ,12,15,1080.0,274.0,0.6293103448275862,0.85,3050000208
208,275,ref-b.2.5.1.2b.10.14-ref-b.2.5.1.2b.10.26,ref-mek.1.10.1.105-ref-mek.1.10.1.122,1681421,1681493,229719,231277,ref-b.2.5.1.2b.10.14,ref-b.2.5.1.2b.10.26,33533,33634,5241,5266,ref-mek.1.10.1.105,ref-mek.1.10.1.122,שאין קדושה לפניו ואין דנין דבר שיש קדושה לפניו קדושה לפניו מדבר שאין קדושה לפניו ואין דנין דבר שיש קדושה לפניו מדבר שאין,שאין קדושה לא לפניהם ולא לאחריהם הרי הן אסורין במלאכה חולו של מועד שיש קדושה לפניו לאחריהם הרי הן אסורין במלאכה חולו של מועד שיש קדושה,120,134,600.0,275.0,0.6044776119402985,0.75,3050000209
209,276,ref-b.2.12.2.18a.5.11-ref-b.2.12.2.18a.6.50,ref-mek.1.10.1.105-ref-mek.1.10.1.216,2822565,2823060,389559,392196,ref-b.2.12.2.18a.5.11,ref-b.2.12.2.18a.6.50,33533,34145,5241,5345,ref-mek.1.10.1.105,ref-mek.1.10.1.216,לימד על חולו של מועד שאסור בעשיית מלאכה דברי רבי יאשיה רבי יונתן אומר אינו צריך קל וחומר ומה ראשון ושביעי שאין קדושה לפניהן ולאחריהן אסור בעשיית מלאכה חולו של מועד שיש קדושה לפניהן ולאחריהן אינו דין שיהא אסור בעשיית מלאכה ששת ימי בראשית יוכיחו שיש קדושה לפניהן ולאחריהן ומותרין בעשיית מלאכה מה לששת ימי בראשית שאין בהן קרבן מוסף תאמר בחולו של מועד שיש בו קרבן מוסף ראש חדש יוכיח שיש בו קרבן מוסף ומותר בעשיית מלאכה מה לראש חדש שאין קרוי מקרא קדש תאמר בחולו של מועד שקרוי מקרא שאין קדושה לפניהן ולאחריהן אסור בעשיית מלאכה חולו של מועד שיש קדושה לפניהן ולאחריהן אינו דין שיהא אסור בעשיית מלאכה ששת ימי בראשית יוכיחו שיש קדושה לפניהן ולאחריהן ומותרין בעשיית מלאכה מה לששת ימי בראשית שאין בהן קרבן מוסף תאמר בחולו של מועד שיש בו קרבן מוסף ראש חדש יוכיח שיש בו קרבן מוסף ומותר בעשיית,"שאין קדושה לא לפניהם ולא לאחריהם הרי הן אסורין במלאכה חולו שאין קדושה לא לפניהם ולא לאחריהם הרי הן אסורין במלאכה חולו של מועד שיש קדושה לפניו ולאחריו אינו דין שיאסר במלאכה ו' ימי בראשית יוכיחו שיש קדושה לפניהם ולאחריהם ומותרים במלאכה ולאחריו מותר במלאכה לא אם אמרת בששת ימי בראשית שאין בהן קרבן מוסף לכך מותרין במלאכה תאמר בחולו של מועד שיש בו קרבן מוסף לכך יהא אסור במלאכה והרי ראשי חדשים שיש בהן קרבן מוסף ומותרין במלאכה הם יוכיחו על חולו של מועד שאע""פ שיש בו קרבן מוסף יהא מותר במלאכה לא אם אמרת בראשי חדשים שאין קרויין מקרא קדש לכך מותרין במלאכה",778,549,1080.0,275.0,0.5655526992287918,0.56,3050000210
210,279,ref-b.2.8.1.19a.3.9-ref-b.2.8.1.19a.3.19,ref-mek.1.10.1.132-ref-mek.1.10.1.148,2302479,2302550,315379,315387,ref-b.2.8.1.19a.3.9,ref-b.2.8.1.19a.3.19,33687,33786,5264,5277,ref-mek.1.10.1.132,ref-mek.1.10.1.148,לפניהם בין לאחריהם שבתות וימים טובים הם אסורים לפניהן ולאחריהן מותרין ,"לפניהם ולאחריהם ומותרים במלאכה הם יוכיחו על חולו של מועד שאע""פ שיש לו קדושה לפניו ולאחריו מותר ",8,13,877.0,275.0,0.6210526315789474,0.8636363636363636,3050000211
211,280,ref-b.2.9.2.17b.12.7-ref-b.2.9.2.17b.12.17,ref-mek.1.10.1.132-ref-mek.1.10.1.148,2426496,2426571,332906,332914,ref-b.2.9.2.17b.12.7,ref-b.2.9.2.17b.12.17,33687,33786,5264,5277,ref-mek.1.10.1.132,ref-mek.1.10.1.148,לפניהם ולאחריהם אסורין שבתות וימים טובים הן אסורין לפניהן ולאחריהן מותרין ,"לפניהם ולאחריהם ומותרים במלאכה הם יוכיחו על חולו של מועד שאע""פ שיש לו קדושה לפניו ולאחריו מותר ",8,13,947.0,275.0,0.5473684210526316,0.8181818181818181,3050000212
212,283,ref-b.2.5.8.81a.14.9-ref-b.2.5.8.81a.14.24,ref-mek.1.10.1.304-ref-mek.1.10.1.320,1929067,1929153,264665,266486,ref-b.2.5.8.81a.14.9,ref-b.2.5.8.81a.14.24,34561,34641,5389,5414,ref-mek.1.10.1.304,ref-mek.1.10.1.320,יהא מוזהר על תוספת עינוי ודין הוא ומה מלאכה שנוהגת בשבתות ויום טוב אינו מוזהר עליה יהא מוזהר על תוספת עינוי ודין הוא ומה מלאכה שנוהגת בשבתות ויום טוב אינו,שבת חמורה אינו מוזהר על מלאכת גוי במלאכתך יום טוב הקל דין שבת חמורה אינו מוזהר על מלאכת גוי במלאכתך יום טוב הקל דין הוא שלא,154,123,714.0,283.0,0.6428571428571429,0.5882352941176471,3050000213
213,285,ref-b.2.7.2.21a.15.4-ref-b.2.7.2.21a.15.21,ref-mek.1.10.1.466-ref-mek.1.10.1.477,2184330,2184415,301302,301317,ref-b.2.7.2.21a.15.4,ref-b.2.7.2.21a.15.21,35336,35385,5509,5517,ref-mek.1.10.1.466,ref-mek.1.10.1.477,אך אשר יאכל לכל נפש הוא לבדו יעשה לכם ממשמע שנאמר לכל נפש שומע אני אפילו נפש בהמה ,אך אשר יאכל לכל נפש וגו'  שומע אני אף נפשות בהמה ,15,8,815.0,285.0,0.4878048780487805,0.5333333333333333,3050000214
214,286,ref-b.2.7.2.21a.15.4-ref-b.2.7.2.21a.15.22,ref-mek.1.10.1.497-ref-mek.1.10.1.505,2184330,2184422,301302,301318,ref-b.2.7.2.21a.15.4,ref-b.2.7.2.21a.15.22,35490,35531,5529,5537,ref-mek.1.10.1.497,ref-mek.1.10.1.505,אך אשר יאכל לכל נפש הוא לבדו יעשה לכם ממשמע שנאמר לכל נפש שומע אני אפילו נפש בהמה במשמע ,אך אשר יאכל לכל נפש אף נפשות בהמה במשמע ,16,8,815.0,286.0,0.5681818181818182,0.5714285714285714,3050000215
215,287,ref-b.2.7.2.21a.15.4-ref-b.2.7.2.21a.15.22,ref-mek.1.10.1.520-ref-mek.1.10.1.528,2184330,2184422,301302,301318,ref-b.2.7.2.21a.15.4,ref-b.2.7.2.21a.15.22,35603,35642,5548,5556,ref-mek.1.10.1.520,ref-mek.1.10.1.528,אך אשר יאכל לכל נפש הוא לבדו יעשה לכם ממשמע שנאמר לכל נפש שומע אני אפילו נפש בהמה במשמע ,אך אשר יאכל לכל נפש אף נפש בהמה במשמע ,16,8,815.0,287.0,0.5795454545454546,0.5714285714285714,3050000216
216,288,ref-b.2.4.3.48b.14.21-ref-b.2.4.3.48b.14.26,ref-mek.1.10.2.27-ref-mek.1.10.2.32,1425486,1425527,195433,195438,ref-b.2.4.3.48b.14.21,ref-b.2.4.3.48b.14.26,35919,35960,5605,5610,ref-mek.1.10.2.27,ref-mek.1.10.2.32,כקרני חגבים סידוק שנתערבו סדקין זה בזה ,כקרני חגבים סידוק שנתערבו סדקיו זה בזה ,5,5,472.0,288.0,0.02564102564102564,0.0,3050000217
217,289,ref-b.2.4.3.48b.14.5-ref-b.2.4.3.48b.14.10,ref-mek.1.10.2.47-ref-mek.1.10.2.52,1425388,1425425,195421,195426,ref-b.2.4.3.48b.14.5,ref-b.2.4.3.48b.14.10,36028,36065,5621,5626,ref-mek.1.10.2.47,ref-mek.1.10.2.52,כל שהכסיפו פניו כאדם שעמדו שערותיו ,כל שהכסיפו פניו כאדם שעמדו שערותיו ,5,5,471.0,289.0,0.0,0.0,3050000218
218,290,ref-b.2.4.6.69a.8.11-ref-b.2.4.6.69a.8.22,ref-mek.1.10.2.152-ref-mek.1.10.2.173,1500174,1500240,205914,205925,ref-b.2.4.6.69a.8.11,ref-b.2.4.6.69a.8.22,36567,36677,5696,5714,ref-mek.1.10.2.152,ref-mek.1.10.2.173,שחל שביעי שלו להיות בשבת ובערב הפסח שהיא מצוה והיא משום שבות ,שהם משום שבות מנין תלמוד לומר ושמרתם את היום הזה להביא דברים שהם משום שבות ואף חלו של מועד יהא משום שבות ,11,18,497.0,290.0,0.6285714285714286,0.8636363636363636,3050000219
219,291,ref-b.5.5.4.18b.2.2-ref-b.5.5.4.18b.2.8,ref-mek.1.11.1.8-ref-mek.1.11.1.36,8175599,8175636,1149846,1149852,ref-b.5.5.4.18b.2.2,ref-b.5.5.4.18b.2.8,36958,37103,5736,5753,ref-mek.1.11.1.8,ref-mek.1.11.1.36,עד יום האחד ועשרים לחודש בערב רבי ,עד יום האחד ועשרים לחדש בערב מה תלמוד לומר לפי שהוא אומר שבעת ימים מצות תאכלו אין לי אלא ימים לילות מנין תלמוד לומר עד יום האחד ועשרים לרבות ,6,17,3195.0,291.0,0.7730496453900709,0.5625,3050000220
220,292,ref-b.2.4.10.106a.7.10-ref-b.2.4.10.106a.7.17,ref-mek.1.11.1.24-ref-mek.1.11.1.33,1624682,1624736,222859,222864,ref-b.2.4.10.106a.7.10,ref-b.2.4.10.106a.7.17,37039,37083,5761,5766,ref-mek.1.11.1.24,ref-mek.1.11.1.33,היין בכניסתו אין לי אלא בלילה ביום מנין תלמוד לומר ,אין לי אלא ימים לילות מנין תלמוד לומר עד יום ,5,5,556.0,291.0,0.5294117647058824,0.375,3050000221
221,293,ref-b.2.7.1.7b.8.9-ref-b.2.7.1.7b.8.27,ref-mek.1.11.2.37-ref-mek.1.11.2.46,2137426,2137518,295171,295185,ref-b.2.7.1.7b.8.9,ref-b.2.7.1.7b.8.27,37279,37329,5797,5806,ref-mek.1.11.2.37,ref-mek.1.11.2.46,חמץ ולא בעי שאור ואנא אמינא ומה חמץ שאין חמוצו קשה בכזית שאור שחמוצו קשה לא כל שכן שאור ,חמץ ולא יראה לך שאור הקיש שאור לחמץ וחמץ לשאור ,14,9,807.0,293.0,0.5909090909090909,0.7142857142857143,3050000222
222,294,ref-b.2.4.2.28b.5.7-ref-b.2.4.2.28b.5.25,ref-mek.1.11.3.1-ref-mek.1.11.3.28,1357795,1357891,185309,186570,ref-b.2.4.2.28b.5.7,ref-b.2.4.2.28b.5.25,38876,39008,6014,6049,ref-mek.1.11.3.1,ref-mek.1.11.3.28,מחמצת מבעי ליה לכדתניא אין לי אלא שנתחמץ מאליו מחמת דבר אחר מנין תלמוד לומר כל מחמצת לא תאכלו מחמצת מבעי ליה לכדתניא אין לי אלא שנתחמץ מאליו מחמת דבר,כל מחמצת לא תאכלו למה נאמר לפי שנאמר כי כל אוכל חמץ ונכרתה כי כל אוכל מחמצת ונכרתה אין לי אלא אלו תערובתן מנין תלמוד לומר שנאמר כי כל אוכל חמץ ונכרתה כי כל אוכל מחמצת,149,166,443.0,294.0,0.7108433734939759,0.6842105263157895,3050000223
223,295,ref-b.2.4.3.43a.20.8-ref-b.2.4.3.43a.22.17,ref-mek.1.11.3.1-ref-mek.1.11.3.28,1408764,1408925,193260,193280,ref-b.2.4.3.43a.20.8,ref-b.2.4.3.43a.22.17,38876,39008,6033,6049,ref-mek.1.11.3.1,ref-mek.1.11.3.28,כל מחמצת לא תאכלו אי הכי כרת נמי לחייב דהא כתיב כי כל אכל מחמצת ונכרתה ההוא מיבעי ליה לכדתניא אין לי אלא שנתחמץ מאליו מחמת דבר אחר מניין תלמוד לומר כל מחמצת ,כל מחמצת לא תאכלו למה נאמר לפי שנאמר כי כל אוכל חמץ ונכרתה כי כל אוכל מחמצת ונכרתה אין לי אלא אלו תערובתן מנין תלמוד לומר כל מחמצת ,20,16,468.0,294.0,0.42038216560509556,0.625,3050000224
224,296,ref-b.2.4.1.5a.2.15-ref-b.2.4.1.5a.3.13,ref-mek.1.11.3.1-ref-mek.1.11.3.34,1277670,1277757,174776,175970,ref-b.2.4.1.5a.2.15,ref-b.2.4.1.5a.3.13,38876,39043,6014,6055,ref-mek.1.11.3.1,ref-mek.1.11.3.34,מחמצת ונכרתה ואכילת חמץ לאכילת מצה דכתיב כל מחמצת לא תאכלו בכל מושבתיכם תאכלו מצות אכל מחמצת ונכרתה ואכילת חמץ לאכילת מצה דכתיב כל מחמצת לא תאכלו בכל מושבתיכם תאכלו מצות,כל מחמצת לא תאכלו למה נאמר לפי שנאמר כי כל אוכל חמץ ונכרתה כי כל אוכל מחמצת ונכרתה אין כל מחמצת לא תאכלו למה נאמר לפי שנאמר כי כל אוכל חמץ ונכרתה כי כל אוכל מחמצת ונכרתה אין לי אלא אלו תערובתן,169,192,405.0,294.0,0.6458333333333334,0.6,3050000225
225,299,ref-b.2.4.3.46b.8.4-ref-b.2.4.3.46b.8.32,ref-mek.1.11.3.27-ref-mek.1.11.3.39,1419364,1419509,194613,194636,ref-b.2.4.3.46b.8.4,ref-b.2.4.3.46b.8.32,39000,39069,6048,6057,ref-mek.1.11.3.27,ref-mek.1.11.3.39,לא ישחוט אלא כדי שיכול לאכול הימנה כזית צלי מבעוד יום יכול לאכול אף על גב דלא בעי למיכל בשלמא לדידי דאמרי הואיל הואיל ואי בעי למיכל מצי אכיל ,כל מחמצת לא תאכלו בכל מושבותיכם תאכלו מצות למה נאמר לפי שנאמר ואכלת ,23,9,469.0,294.0,0.7163120567375887,0.8076923076923077,3050000226
226,300,ref-b.2.4.2.36a.18.12-ref-b.2.4.2.36a.18.22,ref-mek.1.11.3.30-ref-mek.1.11.3.39,1383869,1383941,189852,189862,ref-b.2.4.2.36a.18.12,ref-b.2.4.2.36a.18.22,39012,39069,6051,6057,ref-mek.1.11.3.30,ref-mek.1.11.3.39,מושבותיכם תאכלו מצות מצה הנאכלת בכל מושבותיכם יצאו בכורים שאין נאכלין ,תאכלו בכל מושבותיכם תאכלו מצות למה נאמר לפי שנאמר ואכלת ,10,6,450.0,294.0,0.6285714285714286,0.6666666666666667,3050000227
