,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-mek,dam-lev,jac,id
288,375,ref-y.1.2.8.8.13.101-ref-y.1.2.8.8.13.107,ref-mek.2.3.2.293-ref-mek.2.3.2.299,294005,294038,45837,45843,ref-y.1.2.8.8.13.101,ref-y.1.2.8.8.13.107,104135,104168,16598,16604,ref-mek.2.3.2.293,ref-mek.2.3.2.299,הגבר אשר יבטה בה' והיה ה' מבטחו ,הגבר אשר יבטח ביי והיה ה' מבטחו ,6,6,180.0,375.0,0.09375,0.19999999999999996,4050000289
289,376,ref-y.1.1.9.1.8.72-ref-y.1.1.9.1.8.79,ref-mek.2.3.2.326-ref-mek.2.3.2.342,172002,172036,26936,26943,ref-y.1.1.9.1.8.72,ref-y.1.1.9.1.8.79,104306,104397,16630,16646,ref-mek.2.3.2.326,ref-mek.2.3.2.342,דכתיב אל אלהים ה' אל אלהים ה' הוא,אליך בשם ה' צבאות אלהי ישראל וכתיב אלה ברכב ואלה בסוסים ואנחנו בשם ה' אלהינו נזכיר המה,8,17,128.0,376.0,0.7209302325581395,0.8571428571428572,4050000290
290,377,ref-y.1.1.2.1.19.67-ref-y.1.1.2.1.19.72,ref-mek.2.3.2.328-ref-mek.2.3.2.340,36493,36523,5875,5880,ref-y.1.1.2.1.19.67,ref-y.1.1.2.1.19.72,104315,104387,16632,16644,ref-mek.2.3.2.328,ref-mek.2.3.2.340,אני ה' אלהיכם וכתיב וה' אלהים,ה' צבאות אלהי ישראל וכתיב אלה ברכב ואלה בסוסים ואנחנו בשם ה' אלהינו,6,13,58.0,376.0,0.7014925373134329,0.75,4050000291
291,379,ref-y.1.1.1.5.2.164-ref-y.1.1.1.5.2.169,ref-mek.2.3.2.332-ref-mek.2.3.2.340,22008,22037,3458,3463,ref-y.1.1.1.5.2.164,ref-y.1.1.1.5.2.169,104335,104387,16636,16644,ref-mek.2.3.2.332,ref-mek.2.3.2.340,אני ה' אלהיכם וכת' וה' אלהים ,וכתיב אלה ברכב ואלה בסוסים ואנחנו בשם ה' אלהינו ,5,8,39.0,376.0,0.6041666666666666,0.8181818181818181,4050000292
292,381,ref-y.1.1.1.5.2.30-ref-y.1.1.1.5.2.50,ref-mek.2.3.2.359-ref-mek.2.3.2.363,21351,21436,3341,3355,ref-y.1.1.1.5.2.30,ref-y.1.1.1.5.2.50,104490,104512,16661,16665,ref-mek.2.3.2.359,ref-mek.2.3.2.363,ה' אלהיך שמע יש' ה' אלהינו לא יהיה לך אלהי' אחרי' על פני ה' אחד,בשם ה' אלהיו ויאמר ה',15,5,27.0,381.0,0.7301587301587301,0.9285714285714286,4050000293
293,383,ref-y.2.9.3.1.1.17-ref-y.2.9.3.1.1.27,ref-mek.2.3.3.193-ref-mek.2.3.3.199,1780816,1780869,265542,265551,ref-y.2.9.3.1.1.17,ref-y.2.9.3.1.1.27,106775,106806,17038,17044,ref-mek.2.3.3.193,ref-mek.2.3.3.199,ויאמר אלי אל תירא דניאל כי מן היום הראשון אשר נתתה ,ויאמר אל תירא כי רבים אשר אתנו ,9,6,603.0,383.0,0.49019607843137253,0.6363636363636364,4050000294
294,384,ref-y.3.5.8.3.1.8-ref-y.3.5.8.3.1.47,ref-mek.2.3.3.242-ref-mek.2.3.3.297,2328846,2329076,348627,348666,ref-y.3.5.8.3.1.8,ref-y.3.5.8.3.1.47,107027,107335,17080,17133,ref-mek.2.3.3.242,ref-mek.2.3.3.297,מנוגה נגדו עביו עברו בנגד טומיות שלהן עברו כנגד הכיתים שלהן ברד כנגד בליצטירא שלהן וגחלי כנגד טרמנטן שלהן אש כנגד הנפט שלהן וירעם משמים כנגד הלפידים שלהן ועליון יתן קולו בנגד קול הקרנות שלהן וישלח חציו כנגד החיצים שלהן,מנוגה נגדו עברו ברד וגחלי אש עבים כנגד תורמיות שלהם ברד כנגד בלסטראות שלהם גחלי כנגד טרמנסנה שלהם אש כנגד הנפש שלהם ירעם מן השמים כנגד אגפת תריסין ושפעת עקלנסין שלהם ועליון יתן קולו כנגד צחצוח חרבות שלהם וישלח חציו ויפיצם כנגד חצים שלהם כנגד צוחה שלהם דבר אחר ישלח חציו שהיו חצים,40,54,852.0,384.0,0.45161290322580644,0.6153846153846154,4050000295
295,385,ref-y.3.5.8.3.1.63-ref-y.3.5.8.3.1.74,ref-mek.2.3.3.274-ref-mek.2.3.3.304,2329157,2329235,348679,348690,ref-y.3.5.8.3.1.63,ref-y.3.5.8.3.1.74,107207,107380,17111,17140,ref-mek.2.3.3.274,ref-mek.2.3.3.304,והיו החיצים מפזרין אותן והברקים מכניסין אותן ברקים כנגד החרבות שלהן ויהמם,יתן קולו כנגד צחצוח חרבות שלהם וישלח חציו ויפיצם כנגד חצים שלהם וברקים ויהומם כנגד צוחה שלהם דבר אחר ישלח חציו שהיו חצים של פרעה מפזרים אותם לישראל וברקים מכנסין,12,30,854.0,384.0,0.7577639751552795,0.6521739130434783,4050000296
296,388,ref-y.3.5.8.3.1.82-ref-y.3.5.8.3.1.94,ref-mek.2.3.3.319-ref-mek.2.3.3.326,2329277,2329342,348698,348708,ref-y.3.5.8.3.1.82,ref-y.3.5.8.3.1.94,107453,107495,17154,17161,ref-mek.2.3.3.319,ref-mek.2.3.3.326,אין לשון הזה ויהמם אלא לשון מגיפה כמה דאת אמר והמם מהומה גדולה ,אין הממה אלא מגפה שנאמר והמם מהומה גדולה ,10,7,856.0,388.0,0.4126984126984127,0.5,4050000297
297,389,ref-y.2.6.5.1.4.6-ref-y.2.6.5.1.4.53,ref-mek.2.3.3.327-ref-mek.2.3.3.377,1621603,1621868,241513,241558,ref-y.2.6.5.1.4.6,ref-y.2.6.5.1.4.53,107496,107787,17162,17209,ref-mek.2.3.3.327,ref-mek.2.3.3.377,בשלשה מקומות הוזהרו ישראל שלא לשוב ארץ מצרים שנאמר כי אשר ראיתם את מצרים היום לא תוסיפו לראותם עוד עד עולם וי' אמר לכם לא תוסיפון לשוב בדרך הזה עוד והשיבך י' מצרים באניות ובשלשתן חזרו ובשלשתן נפלו אחת בימי סנחריב מלך אשור שנאמר הוי היורדים,כי אשר ראיתם את מצרים בשלשה מקומות הזהיר המקום לישראל שלא לחזור למצרים שנאמר כי אשר ראיתם את מצרים היום לא תוסיפו לראותם עוד עד עולם ואומר לא תוסיפו לשוב בדרך הזה עוד ואומר בדרך אשר אמרתי לך בשלושתם חזרו שם ובשלושתם נפלו הראשונה בימי סנחריב שנאמר הוי,46,48,551.0,389.0,0.388,0.46153846153846156,4050000298
298,390,ref-y.2.9.2.5.1.41-ref-y.2.9.2.5.1.52,ref-mek.2.3.3.328-ref-mek.2.3.3.346,1772753,1772808,264378,264387,ref-y.2.9.2.5.1.41,ref-y.2.9.2.5.1.52,107499,107606,17163,17179,ref-mek.2.3.3.328,ref-mek.2.3.3.346,נחזור למצרים אמר להן משה ב את אשר ראיתם את מצרי' היום ,אשר ראיתם את מצרים בשלשה מקומות הזהיר המקום לישראל שלא לחזור למצרים שנאמר כי אשר ראיתם את מצרים היום ,9,16,599.0,389.0,0.594059405940594,0.6666666666666667,4050000299
299,392,ref-y.2.6.5.1.4.65-ref-y.2.6.5.1.4.77,ref-mek.2.3.3.379-ref-mek.2.3.3.392,1621928,1621992,241568,241579,ref-y.2.6.5.1.4.65,ref-y.2.6.5.1.4.77,107795,107863,17211,17222,ref-mek.2.3.3.379,ref-mek.2.3.3.392,בימי יוחנן בן קרה והיתה החרב אשר אתם יריאים ממנה שם תשיג אתכם ,בימי יוחנן בן קרח שנאמר והיתה חרב אשר אתם יראים ממנה שם תשיג אתכם ,11,11,554.0,392.0,0.13636363636363635,0.19999999999999996,4050000300
300,393,ref-y.2.9.2.5.1.5-ref-y.2.9.2.5.1.74,ref-mek.2.3.3.424-ref-mek.2.3.3.486,1772558,1772921,264343,264409,ref-y.2.9.2.5.1.5,ref-y.2.9.2.5.1.74,108034,108359,17251,17309,ref-mek.2.3.3.424,ref-mek.2.3.3.486,נעשו אבותינו על הים אחת אומרת נפול לים ואחת אומרת נחזור למצרים ואחת אומרת נעשה עמהן מלחמה ואחת אומרת נצווח כנגרן זו שאמרה נפול לים אמר להן משה התייצבו וראו את ישועת יי' וגו' וזו שאמרה נחזור למצרים אמר להן משה ב את אשר ראיתם את מצרי' היום הזה וגו' וזו שאמרה נעשה עמהן מלחמה אמר להן משה יי' ילחם לכם וזו שאמרה נצווח כנגדן אמר להן משה ואת' תחרישון ,נעשו עוד על הים אחת אומרת ליפול אל הים ואחת אומרת לשוב למצרים ואחת אומרת לעשות מלחמה כנגדו ואחת אומרת נצווח כנגדן זאת שאמרה ליפול אל הים נאמר להם התיצבו וראו את ישועת ה' זו שאמרה נשוב למצרים נאמר להם כי אשר ראיתם את מצרים זו שאמרה נעשה מלחמה כנגדו נאמר להם ה' ילחם לכם זו שאמרה נצווח כנגדן נאמר להם ואתם תחרישון ,66,58,599.0,393.0,0.2956521739130435,0.42105263157894735,4050000301
301,394,ref-y.2.4.5.1.9.5-ref-y.2.4.5.1.9.15,ref-mek.2.3.3.433-ref-mek.2.3.3.447,1537319,1537384,228945,228955,ref-y.2.4.5.1.9.5,ref-y.2.4.5.1.9.15,108075,108164,17260,17274,ref-mek.2.3.3.433,ref-mek.2.3.3.447,אחת אומרת לעינתי ואחת אומרת לימתי ואחת אומרת לזיבתי זו שאמרה ,ואחת אומרת לשוב למצרים ואחת אומרת לעשות מלחמה כנגדו ואחת אומרת נצווח כנגדן זאת שאמרה ,10,14,501.0,393.0,0.4470588235294118,0.8,4050000302
302,395,ref-y.2.6.5.1.4.11-ref-y.2.6.5.1.4.19,ref-mek.2.3.3.460-ref-mek.2.3.3.468,1621635,1621678,241518,241524,ref-y.2.6.5.1.4.11,ref-y.2.6.5.1.4.19,108223,108266,17286,17293,ref-mek.2.3.3.460,ref-mek.2.3.3.468,לשוב ארץ מצרים שנאמר כי אשר ראיתם את מצרים ,נשוב למצרים נאמר להם כי אשר ראיתם את מצרים ,6,7,551.0,393.0,0.23255813953488372,0.5,4050000303
303,396,ref-y.3.1.1.1.10.1-ref-y.3.1.1.1.10.12,ref-mek.2.4.1.630-ref-mek.2.4.1.636,2050790,2050841,306850,306859,ref-y.3.1.1.1.10.1,ref-y.3.1.1.1.10.12,112138,112172,17917,17923,ref-mek.2.4.1.630,ref-mek.2.4.1.636,אמרה תורה ואשה אל אחותה לא תקח אין לי אלא היא צרתה ,ואומר ואשה אל אחותה לא תקח לצרור ,9,6,717.0,396.0,0.45098039215686275,0.375,4050000304
304,397,ref-y.3.1.11.1.4.82-ref-y.3.1.11.1.4.87,ref-mek.2.4.1.631-ref-mek.2.4.1.636,2184358,2184385,326458,326463,ref-y.3.1.11.1.4.82,ref-y.3.1.11.1.4.87,112145,112172,17918,17923,ref-mek.2.4.1.631,ref-mek.2.4.1.636,ואשה אל אחותה לא תקח לצרור ,ואשה אל אחותה לא תקח לצרור ,5,5,759.0,396.0,0.0,0.0,4050000305
305,398,ref-y.3.3.10.7.1.81-ref-y.3.3.10.7.1.89,ref-mek.2.5.3.24-ref-mek.2.5.3.41,2596403,2596450,388900,388907,ref-y.3.3.10.7.1.81,ref-y.3.3.10.7.1.89,115131,115213,18424,18438,ref-mek.2.5.3.24,ref-mek.2.5.3.41,אישה יקימנו ואישה יפירינו את שבא לכלל הקם בא ,איש את אחיו ולא קמו איש מתחתיו שלשת ימים וכן את מוצא לעתיד לבוא קומו אורי כי בא ,7,14,956.0,398.0,0.65,0.8235294117647058,4050000306
306,399,ref-y.1.1.2.8.9.30-ref-y.1.1.2.8.9.49,ref-mek.2.5.3.192-ref-mek.2.5.3.206,58594,58675,9575,9594,ref-y.1.1.2.8.9.30,ref-y.1.1.2.8.9.49,116005,116077,18573,18584,ref-mek.2.5.3.192,ref-mek.2.5.3.206,ולא קביל עילוי סב לך ע' ולא קביל עילוי סב לך פ' סב לך צ' עד דמטא מאה ולא קביל ,ולא קבל עליו הראהו המטה ולא קבל עליו משל למה הדבר דומה למלך שהיו לו ,19,11,73.0,399.0,0.5641025641025641,0.8333333333333334,4050000307
307,400,ref-y.4.8.1.10.1.47-ref-y.4.8.1.10.1.52,ref-mek.2.5.3.205-ref-mek.2.5.3.213,3429310,3429341,516730,516735,ref-y.4.8.1.10.1.47,ref-y.4.8.1.10.1.52,116069,116112,18583,18591,ref-mek.2.5.3.205,ref-mek.2.5.3.213,היו שתים זו לפנים מזו הפנימית ,שהיו לו שתי גנות זו לפנים מזו מכר הפנימי ,5,8,1509.0,399.0,0.34146341463414637,0.625,4050000308
308,401,ref-y.3.4.4.1.3.30-ref-y.3.4.4.1.3.43,ref-mek.2.5.4.34-ref-mek.2.5.4.44,2748124,2748191,411745,411756,ref-y.3.4.4.1.3.30,ref-y.3.4.4.1.3.43,117013,117071,18749,18759,ref-mek.2.5.4.34,ref-mek.2.5.4.44,שהנשמה תלויה בו נדר נדר מה נדר שנאמר להלן דבר שהנשמה תלויה בו אף ,מנשמת אלוה יאבדו ומרוח אפו יכלו מנשמת אלוה יאבדו זה דור ,11,10,982.0,401.0,0.676923076923077,0.8461538461538461,4050000309
309,402,ref-y.2.9.3.4.5.19-ref-y.2.9.3.4.5.31,ref-mek.2.6.1.82-ref-mek.2.6.1.95,1785737,1785795,266326,266335,ref-y.2.9.3.4.5.19,ref-y.2.9.3.4.5.31,119150,119214,19104,19112,ref-mek.2.6.1.82,ref-mek.2.6.1.95,משל למה הדבר דומה למלך שהיו לו שתי בנות אחת ח צופה ואחת ,משל למה הדבר דומה למלך בשר ודם שהיו לו שני בנים אחד גדול ואחד ,9,8,608.0,402.0,0.2903225806451613,0.5333333333333333,4050000310
310,403,ref-y.1.1.1.1.35.204-ref-y.1.1.1.1.35.215,ref-mek.2.6.1.104-ref-mek.2.6.1.110,14631,14686,2320,2330,ref-y.1.1.1.1.35.204,ref-y.1.1.1.1.35.215,119259,119300,19121,19127,ref-mek.2.6.1.104,ref-mek.2.6.1.110,הנץ החמה ור' יהושע או' עד שלש שעות שכן דרך מלכים לעמוד ,הנץ החמה ואמר לגדול העמידני בשלש שעות ,10,6,24.0,403.0,0.6181818181818182,0.7142857142857143,4050000311
311,404,ref-y.2.1.6.2.12.49-ref-y.2.1.6.2.12.55,ref-mek.2.6.1.206-ref-mek.2.6.1.211,973632,973671,145786,145792,ref-y.2.1.6.2.12.49,ref-y.2.1.6.2.12.55,119789,119829,19217,19222,ref-mek.2.6.1.206,ref-mek.2.6.1.211,ודניאל לוסר והמניכא די דהבא על צואריה ,לדניאל ארגונא והמניכא דדהבא על צואריה ,6,5,300.0,404.0,0.21052631578947367,0.5555555555555556,4050000312
312,405,ref-y..6.7.1.134-ref-y..6.7.1.147,ref-mek.2.6.2.193-ref-mek.2.6.2.204,142934,143013,22485,22493,ref-y..6.7.1.134,ref-y..6.7.1.147,121337,121401,19482,19492,ref-mek.2.6.2.193,ref-mek.2.6.2.204,השותה מים לצמאו אומר שהכל נהיה בדברו רבי יהודה אומר בורא נפשות רבו' וחסרונן ,השותה מים לצמאו כיצד הוא מברך אמר להם בורא נפשות רבות וחסרונן ,8,10,111.0,405.0,0.3684210526315789,0.5,4050000313
313,406,ref-y.3.5.9.6.2.61-ref-y.3.5.9.6.2.68,ref-mek.2.6.2.265-ref-mek.2.6.2.270,2350341,2350380,351883,351890,ref-y.3.5.9.6.2.61,ref-y.3.5.9.6.2.68,121708,121742,19545,19550,ref-mek.2.6.2.265,ref-mek.2.6.2.270,אמרה תמר ב ויכר יהודה ויאמר צדקה ממני ,שאמר ויכר יהודה ויאמר צדקה ממני ,7,5,868.0,406.0,0.21052631578947367,0.2857142857142857,4050000314
314,407,ref-y.2.9.4.2.8.62-ref-y.2.9.4.2.8.73,ref-mek.2.6.3.286-ref-mek.2.6.3.294,1805892,1805962,269422,269432,ref-y.2.9.4.2.8.62,ref-y.2.9.4.2.8.73,123898,123953,19920,19928,ref-mek.2.6.3.286,ref-mek.2.6.3.294,פליטיהם אותי והיו אל ההרים כיוני הגיאיות כולם הומיות אמר ליה,ופלטו פליטיהם והיו אל ההרים כיוני הגאיות כלם הומות,11,9,610.0,407.0,0.36666666666666664,0.30000000000000004,4050000315
315,409,ref-y.3.5.8.3.1.82-ref-y.3.5.8.3.1.96,ref-mek.2.6.3.386-ref-mek.2.6.3.395,2329277,2329351,348698,348710,ref-y.3.5.8.3.1.82,ref-y.3.5.8.3.1.96,124472,124523,20012,20021,ref-mek.2.6.3.386,ref-mek.2.6.3.395,אין לשון הזה ויהמם אלא לשון מגיפה כמה דאת אמר והמם מהומה גדולה עד השמדם ,אין הממה אלא מגפה שנאמר והמם מהומה גדולה עד השמדם ,12,9,856.0,409.0,0.3611111111111111,0.41666666666666663,4050000316
316,410,ref-y.1.1.9.1.1.4-ref-y.1.1.9.1.1.15,ref-mek.2.6.4.107-ref-mek.2.6.4.122,169697,169759,26553,26564,ref-y.1.1.9.1.1.4,ref-y.1.1.9.1.1.15,125154,125233,20119,20133,ref-mek.2.6.4.107,ref-mek.2.6.4.122,בו נסים לישראל מו' מתני בנסי ישראל אבל בנסי יחידי שנעשו לו ,שבהם היו אומרים אנוסה מפני ישראל כי ה' נלחם להם במצרים אמרו מי שעשה להם נסים ,11,14,127.0,410.0,0.6623376623376623,0.7333333333333334,4050000317
317,411,ref-y.4.4.7.1.1.20-ref-y.4.4.7.1.1.32,ref-mek.2.7.2.14-ref-mek.2.7.2.26,3223698,3223772,485168,485180,ref-y.4.4.7.1.1.20,ref-y.4.4.7.1.1.32,127008,127074,20448,20458,ref-mek.2.7.2.14,ref-mek.2.7.2.26,שנאמר באש ישרפו אותו ואתהן הרג נאמר כאן נקימה ונאמר להלן והבאתי עליכם ,שנאמר איתן מושבך ר' נתן אומר איתן לשון קשה שנאמר הנני מביא עליכם ,12,10,1269.0,411.0,0.5571428571428572,0.7894736842105263,4050000318
318,412,ref-y.2.2.6.10.2.115-ref-y.2.2.6.10.2.124,ref-mek.2.7.2.132-ref-mek.2.7.2.138,1187185,1187245,176657,176666,ref-y.2.2.6.10.2.115,ref-y.2.2.6.10.2.124,127637,127677,20555,20561,ref-mek.2.7.2.132,ref-mek.2.7.2.138,העליונים לירד למטן אין דרך התחתונים לעלות למעלן הדרן עלך,התחתון שלה עומד למעלה ועליון יורד למטה,10,7,338.0,412.0,0.7678571428571429,0.7692307692307692,4050000319
319,414,ref-y.2.3.3.1.10.72-ref-y.2.3.3.1.10.97,ref-mek.2.7.3.64-ref-mek.2.7.3.75,1265389,1265512,187786,187807,ref-y.2.3.3.1.10.72,ref-y.2.3.3.1.10.97,128223,128284,20649,20660,ref-mek.2.7.3.64,ref-mek.2.7.3.75,אמר לון שנייא היא דכתיב לחם ואילו אינן לחם התיב רבי יוסה והתני כל עצמו אינו קרוי לחם אלא מצה שבעת ימים תאכל עליו מצות לחם ,הים נתמלא עליהם חמה שנאמר והמים להם חומה אל תיקרי חומה אלא ,21,11,394.0,414.0,0.7459016393442623,0.8636363636363636,4050000320
320,415,ref-y.2.3.10.1.6.25-ref-y.2.3.10.1.6.29,ref-mek.2.7.5.67-ref-mek.2.7.5.74,1375681,1375712,204264,204268,ref-y.2.3.10.1.6.25,ref-y.2.3.10.1.6.29,129987,130030,20960,20967,ref-mek.2.7.5.67,ref-mek.2.7.5.74,והוצאתי אתכם וגו' ולקחתי אתכם ,ואתכם לקח ה' ויוציא אתכם מכור הברזל וגו' ,4,7,457.0,415.0,0.6829268292682927,0.7777777777777778,4050000321
321,416,ref-y.3.2.5.8.1.124-ref-y.3.2.5.8.1.133,ref-mek.2.7.5.154-ref-mek.2.7.5.169,2445857,2445902,366143,366152,ref-y.3.2.5.8.1.124,ref-y.3.2.5.8.1.133,130462,130541,21042,21057,ref-mek.2.7.5.154,ref-mek.2.7.5.169,למות הוא קצרה נפשו למות היא לא קצרה נפשה למות ,מתים היו אלא מתים ולא מתים כענין שנאמר ויהי בצאת נפשה כי מתה וכי מתה היתה ,9,15,926.0,416.0,0.6891891891891891,0.8888888888888888,4050000322
322,417,ref-y.4.4.9.7.3.88-ref-y.4.4.9.7.3.101,ref-mek.2.7.5.157-ref-mek.2.7.5.171,3270261,3270336,492202,492215,ref-y.4.4.9.7.3.88,ref-y.4.4.9.7.3.101,130475,130549,21045,21059,ref-mek.2.7.5.157,ref-mek.2.7.5.171,מות יומת ונאמר להלן ווזר הקרב יומת מוטב שילמד יומת מיומת ואל ילמד יומת,מתים ולא מתים כענין שנאמר ויהי בצאת נפשה כי מתה וכי מתה היתה אלא מתה,14,15,1372.0,416.0,0.7142857142857143,0.9333333333333333,4050000323
323,419,ref-y.1.1.5.1.21.264-ref-y.1.1.5.1.21.268,ref-mek.3.1.1.161-ref-mek.3.1.1.165,116854,116876,18646,18650,ref-y.1.1.5.1.21.264,ref-y.1.1.5.1.21.268,134199,134218,21642,21646,ref-mek.3.1.1.161,ref-mek.3.1.1.165,ה' ויאמר ה' אלהי וגו' ,ה' ביום תת ה' וגו' ,4,4,100.0,419.0,0.4090909090909091,0.6666666666666667,4050000324
324,420,ref-y.1.1.5.1.2.158-ref-y.1.1.5.1.2.175,ref-mek.3.1.1.167-ref-mek.3.1.1.182,110094,110178,17598,17612,ref-y.1.1.5.1.2.158,ref-y.1.1.5.1.2.175,134225,134320,21648,21663,ref-mek.3.1.1.167,ref-mek.3.1.1.182,אמר ודברת בם רבי יודה בן פזי אמר בבריאת עולם היו עוסקין חי כמה דאמ' בדבר ה' שמים ,שאמרה דבורה וברק שנאמר ותשר דבורה וברק בן אבינועם השביעית שאמר דוד שנאמר וידבר דוד לה' ,14,15,97.0,420.0,0.6781609195402298,0.8636363636363636,4050000325
325,421,ref-y.1.1.5.3.6.40-ref-y.1.1.5.3.6.44,ref-mek.3.1.1.317-ref-mek.3.1.1.321,123761,123784,19618,19622,ref-y.1.1.5.3.6.40,ref-y.1.1.5.3.6.44,134989,135012,21786,21790,ref-mek.3.1.1.317,ref-mek.3.1.1.321,תורת ה' תמימה משיבת נפש ,תורת ה' תמימה משיבת נפש ,4,4,108.0,421.0,0.0,0.0,4050000326
326,422,ref-y.1.1.9.1.8.74-ref-y.1.1.9.1.8.83,ref-mek.3.1.1.377-ref-mek.3.1.1.388,172012,172052,26938,26947,ref-y.1.1.9.1.8.74,ref-y.1.1.9.1.8.83,135272,135329,21842,21853,ref-mek.3.1.1.377,ref-mek.3.1.1.388,אלהים ה' אל אלהים ה' הוא יודע אמר להן הם ,ה' הם שנאמר והם עמך ונחלתך ואומר באמרו להם עם ה' אלה ,9,11,128.0,422.0,0.6792452830188679,0.6,4050000327
327,423,ref-y.4.6.6.6.1.191-ref-y.4.6.6.6.1.201,ref-mek.3.1.1.442-ref-mek.3.1.1.460,3396549,3396605,511617,511627,ref-y.4.6.6.6.1.191,ref-y.4.6.6.6.1.201,135600,135699,21903,21919,ref-mek.3.1.1.442,ref-mek.3.1.1.460,לאומר לחבירו תן לי מאתים זחים שאמרת ליתן לי ולא נתתה ,שנאמר שופטים ושוטרים תתן לך בכל שעריך והלא משפט לאלהים הוא מה תלמוד לומר תתן לך אלא מתוך שנתן ,10,16,1484.0,423.0,0.648936170212766,0.8888888888888888,4050000328
328,424,ref-y.4.5.1.8.1.23-ref-y.4.5.1.8.1.28,ref-mek.3.1.1.443-ref-mek.3.1.1.448,3322578,3322611,500556,500561,ref-y.4.5.1.8.1.23,ref-y.4.5.1.8.1.28,135607,135640,21904,21909,ref-mek.3.1.1.443,ref-mek.3.1.1.448,שופטים ושוטרים תתן לך בכל שעריך ,שופטים ושוטרים תתן לך בכל שעריך ,5,5,1414.0,423.0,0.0,0.0,4050000329
329,425,ref-y.4.5.1.8.1.61-ref-y.4.5.1.8.1.71,ref-mek.3.1.1.443-ref-mek.3.1.1.457,3322782,3322836,500592,500602,ref-y.4.5.1.8.1.61,ref-y.4.5.1.8.1.71,135607,135684,21904,21916,ref-mek.3.1.1.443,ref-mek.3.1.1.457,שופטים ושוטרים תתן לך בכל שעריך אשר יי' אלהיך נתן לך ,שופטים ושוטרים תתן לך בכל שעריך והלא משפט לאלהים הוא מה תלמוד לומר תתן לך ,10,12,1415.0,423.0,0.3783783783783784,0.5384615384615384,4050000330
330,426,ref-y.2.5.3.3.2.100-ref-y.2.5.3.3.2.110,ref-mek.3.1.1.526-ref-mek.3.1.1.532,1419267,1419316,210991,211001,ref-y.2.5.3.3.2.100,ref-y.2.5.3.3.2.110,136073,136102,21985,21991,ref-mek.3.1.1.526,ref-mek.3.1.1.532,והודו ליי' כי טוב ר' מנא מוסיף עד כי לעולם חסדו ,הודו לה' כי טוב כי לעולם חסדו ,10,6,476.0,426.0,0.3958333333333333,0.4444444444444444,4050000331
331,427,ref-y.4.8.4.1.2.233-ref-y.4.8.4.1.2.243,ref-mek.3.1.1.526-ref-mek.3.1.1.532,3480361,3480409,524339,524349,ref-y.4.8.4.1.2.233,ref-y.4.8.4.1.2.243,136073,136102,21985,21991,ref-mek.3.1.1.526,ref-mek.3.1.1.532,הודו ליי' כי טוב רבי מנא מוסיף על כי לעולם חסדו ,הודו לה' כי טוב כי לעולם חסדו ,10,6,1516.0,426.0,0.3958333333333333,0.4444444444444444,4050000332
332,428,ref-y.6.7.3.2.4.26-ref-y.6.7.3.2.4.35,ref-mek.3.1.1.534-ref-mek.3.1.1.544,3579466,3579528,539184,539193,ref-y.6.7.3.2.4.26,ref-y.6.7.3.2.4.35,136108,136174,21993,22003,ref-mek.3.1.1.534,ref-mek.3.1.1.544,משונה היא הלידה הזאת מכל הלידות שבתורה כל הלידות שבתורה ,נשתנית הודיה זו מכל הודיות שבתורה שבכל הודיות שבתורה נאמר הודו ,9,10,1525.0,428.0,0.42857142857142855,0.8181818181818181,4050000333
333,429,ref-y.2.5.3.3.2.100-ref-y.2.5.3.3.2.110,ref-mek.3.1.1.544-ref-mek.3.1.1.550,1419267,1419316,210991,211001,ref-y.2.5.3.3.2.100,ref-y.2.5.3.3.2.110,136170,136199,22003,22009,ref-mek.3.1.1.544,ref-mek.3.1.1.550,והודו ליי' כי טוב ר' מנא מוסיף עד כי לעולם חסדו ,הודו לה' כי טוב כי לעולם חסדו ,10,6,476.0,428.0,0.3958333333333333,0.4444444444444444,4050000334
334,430,ref-y.4.8.4.1.2.233-ref-y.4.8.4.1.2.243,ref-mek.3.1.1.544-ref-mek.3.1.1.550,3480361,3480409,524339,524349,ref-y.4.8.4.1.2.233,ref-y.4.8.4.1.2.243,136170,136199,22003,22009,ref-mek.3.1.1.544,ref-mek.3.1.1.550,הודו ליי' כי טוב רבי מנא מוסיף על כי לעולם חסדו ,הודו לה' כי טוב כי לעולם חסדו ,10,6,1516.0,428.0,0.3958333333333333,0.4444444444444444,4050000335
335,431,ref-y.1.5.6.1.4.109-ref-y.1.5.6.1.4.114,ref-mek.3.1.1.629-ref-mek.3.1.1.634,479052,479077,73531,73536,ref-y.1.5.6.1.4.109,ref-y.1.5.6.1.4.114,136618,136643,22083,22088,ref-mek.3.1.1.629,ref-mek.3.1.1.634,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,5,5,210.0,431.0,0.0,0.0,4050000336
336,432,ref-y.3.7.1.8.4.111-ref-y.3.7.1.8.4.116,ref-mek.3.1.1.629-ref-mek.3.1.1.634,2881615,2881640,432021,432026,ref-y.3.7.1.8.4.111,ref-y.3.7.1.8.4.116,136618,136643,22083,22088,ref-mek.3.1.1.629,ref-mek.3.1.1.634,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,5,5,1072.0,431.0,0.0,0.0,4050000337
