baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.2.5.2.145-ref-mek.2.5.2.151,ref-b.3.5.9.49a.2.38-ref-b.3.5.9.49a.2.43,114827,114858,ref-mek.2.5.2.145,ref-mek.2.5.2.151,4078849,4078878,ref-b.3.5.9.49a.2.38,ref-b.3.5.9.49a.2.43,ויאמר לה מלאך ה' וירא מלאך ה' ,שנאמר ה' שמעתי שמעך יראתי ה' ,7,6,1589,1589.0,846,846.0,0.6,0.875,2,ה' ה',3080000682,7,6
ref-mek.2.5.3.51-ref-mek.2.5.3.61,ref-b.4.4.11.99a.1.27-ref-b.4.4.11.99a.1.37,115253,115314,ref-mek.2.5.3.51,ref-mek.2.5.3.61,6336801,6336862,ref-b.4.4.11.99a.1.27,ref-b.4.4.11.99a.1.37,החשך יכסה ארץ וערפל לאומים ועליך יזרח ה' וכבודו עליך יראה ,החשך יכסה ארץ וערפל לאומים ועליך יזרח ה' וכבודו עליך יראה ,11,11,2552,2552.0,847,847.0,0.0,0.0,11,החשך יכסה ארץ וערפל לאומים ועליך יזרח ה' וכבודו עליך יראה,3080000683,11,11
ref-mek.2.5.3.189-ref-mek.2.5.3.206,ref-b.4.3.8.132b.3.15-ref-b.4.3.8.132b.3.25,115988,116077,ref-mek.2.5.3.189,ref-mek.2.5.3.206,5828427,5828480,ref-b.4.3.8.132b.3.15,ref-b.4.3.8.132b.3.25,"בשם הקב""ה שיבקע ולא קבל עליו הראהו המטה ולא קבל עליו משל למה הדבר דומה למלך שהיו לו ",וקבלה עליה אבל היתה שם ולא קבלה עליה קבלה עליה ולא ,18,11,2170,2170.0,848,848.0,0.6190476190476191,0.6923076923076923,2,ולא ולא,3080000684,18,11
ref-mek.2.5.4.22-ref-mek.2.5.4.28,ref-b.4.2.4.48a.1.24-ref-b.4.2.4.48a.1.32,116944,116986,ref-mek.2.5.4.22,ref-mek.2.5.4.28,5253685,5253740,ref-b.4.2.4.48a.1.24,ref-b.4.2.4.48a.1.32,נפרע המקום מאנשי דור המבול ומאנשי סדום ,שפרע מאנשי דור המבול ומאנשי דור הפלגה ומאנשי סדום ,7,9,2011,2011.0,849,849.0,0.36,0.4444444444444444,5,מאנשי דור המבול ומאנשי סדום,3080000685,7,9
ref-mek.2.5.4.114-ref-mek.2.5.4.126,ref-b.3.6.3.31b.14.10-ref-b.3.6.3.31b.14.22,117425,117486,ref-mek.2.5.4.114,ref-mek.2.5.4.126,4168813,4168876,ref-b.3.6.3.31b.14.10,ref-b.3.6.3.31b.14.22,כי הוא בין אחים יפריא יבא קדים רוח ה' ממדבר עולה ויבש מקורו ,כי הוא בין אחים יפריא יבוא קדים רוח ה' ממדבר עולה ויבוש מקורו ,13,13,1597,1597.0,850,850.0,0.032258064516129,0.0,11,כי הוא בין אחים יפריא קדים רוח ה' ממדבר עולה מקורו,3080000686,13,13
ref-mek.2.5.4.128-ref-mek.2.5.4.134,ref-b.3.6.3.31b.14.37-ref-b.3.6.3.31b.14.44,117494,117526,ref-mek.2.5.4.128,ref-mek.2.5.4.134,4168937,4168973,ref-b.3.6.3.31b.14.37,ref-b.3.6.3.31b.14.44,מעיינו הוא ישסה אוצר כל כלי חמדה ,שבמעי אשה הוא ישסה אוצר כל כלי חמדה ,7,8,1598,1598.0,851,851.0,0.1666666666666666,0.4285714285714286,6,הוא ישסה אוצר כל כלי חמדה,3080000687,7,8
ref-mek.2.5.4.207-ref-mek.2.5.4.216,ref-b.5.2.11.100a.2.8-ref-b.5.2.11.100a.2.22,117921,117972,ref-mek.2.5.4.207,ref-mek.2.5.4.216,7452256,7452329,ref-b.5.2.11.100a.2.8,ref-b.5.2.11.100a.2.22,גם היא למלך הוכן העמיק הרחיב מדורתה אש ועצים הרבה ,גם היא למלך הוכן ושמא תאמר אין בה עצים תלמוד לאמר מדורתה אש ועצים הרבה ,10,15,3028,3028.0,852,852.0,0.380281690140845,0.5,8,גם היא למלך הוכן מדורתה אש ועצים הרבה,3080000688,10,15
ref-mek.2.6.1.39-ref-mek.2.6.1.54,ref-b.3.5.7.36b.23.31-ref-b.3.5.7.37a.1.24,118932,119011,ref-mek.2.6.1.39,ref-mek.2.6.1.54,4024413,4024535,ref-b.3.5.7.36b.23.31,ref-b.3.5.7.37a.1.24,קפץ שבטו של בנימן וירד לים תחלה שנאמר שם בנימן צעיר רודם שרי יהודה רגמתם שרי ,קפץ שבטו של בנימין וירד לים תחילה שנאמר שם בנימין צעיר רדם אל תקרי רדם אלא רד ים והיו שרי יהודה רוגמים אותם שנאמר שרי ,16,25,1493,1493.0,853,853.0,0.3559322033898305,0.2777777777777778,11,קפץ שבטו של וירד לים שנאמר שם צעיר שרי יהודה שרי,3080000689,16,25
ref-mek.2.6.1.66-ref-mek.2.6.1.80,ref-b.3.5.7.37a.1.11-ref-b.3.5.7.37a.1.25,119065,119143,ref-mek.2.6.1.66,ref-mek.2.6.1.80,4024471,4024541,ref-b.3.5.7.37a.1.11,ref-b.3.5.7.37a.1.25,אל תקרי רדם אלא רד ים והיו שרי יהודה רוגמים אותם שנאמר שרי יהודה,רדם אל תקרי רדם אלא רד ים והיו שרי יהודה רוגמים אותם שנאמר שרי יהודה,14,15,1494,1494.0,854,854.0,0.0588235294117647,0.0,14,אל תקרי רדם אלא רד ים והיו שרי יהודה רוגמים אותם שנאמר שרי יהודה,3080000690,14,15
ref-mek.2.6.1.175-ref-mek.2.6.1.181,ref-b.4.3.1.17a.5.40-ref-b.4.3.1.17a.5.46,119614,119650,ref-mek.2.6.1.175,ref-mek.2.6.1.181,5569974,5570011,ref-b.4.3.1.17a.5.40,ref-b.4.3.1.17a.5.46,לבנימן אמר ידיד ה' ישכון לבטח עליו ,ולבנימין אמר ידיד ה' ישכן לבטח עליו ,7,7,2112,2112.0,858,856.0,0.0833333333333333,0.25,5,אמר ידיד ה' לבטח עליו,3080000691,7,7
ref-mek.2.6.1.170-ref-mek.2.6.1.181,ref-b.5.2.5.53b.2.5-ref-b.5.2.5.53b.2.13,119585,119650,ref-mek.2.6.1.170,ref-mek.2.6.1.181,7305919,7305969,ref-b.5.2.5.53b.2.5,ref-b.5.2.5.53b.2.13,שנאמר לבנימין אמר ידיד ה' ישכן לבטח עליו,בנימין שנאמר לבנימין אמר ידיד ה' ישכן לבטח עליו,8,9,2955,2955.0,856,856.0,0.1489361702127659,0.1111111111111111,8,שנאמר לבנימין אמר ידיד ה' ישכן לבטח עליו,3080000692,8,9
ref-mek.2.6.1.187-ref-mek.2.6.1.196,ref-b.3.5.7.37a.1.18-ref-b.3.5.7.37a.2.2,119673,119731,ref-mek.2.6.1.187,ref-mek.2.6.1.196,4024497,4024557,ref-b.3.5.7.37a.1.18,ref-b.3.5.7.37a.2.2,והיו שרי יהודה רוגמים אותם שנאמר שרי יהודה רוגמים אותם שנאמר שרי יהודה רגמתם לפיכך זכה,והיו שרי יהודה רוגמים אותם שנאמר שרי יהודה רוגמים אותם שנאמר שרי יהודה רגמתם לפיכך זכה,16,16,1496,1496.0,859,859.0,0.0,0.0,16,והיו שרי יהודה רוגמים אותם שנאמר שרי יהודה רוגמים אותם שנאמר שרי יהודה רגמתם לפיכך זכה,3080000693,16,16
ref-mek.2.6.1.205-ref-mek.2.6.1.211,ref-b.5.9.4.32a.11.21-ref-b.5.9.4.32a.11.27,119780,119829,ref-mek.2.6.1.205,ref-mek.2.6.1.211,8505305,8505351,ref-b.5.9.4.32a.11.21,ref-b.5.9.4.32a.11.27,והלבישו לדניאל ארגונא והמניכא דדהבא על צואריה ,לבושין דארגוון ושדי מניכא דדהבא על צואריהון ,7,7,3281,3281.0,861,861.0,0.4130434782608695,0.8333333333333334,2,דדהבא על,3080000694,7,7
ref-mek.2.6.1.287-ref-mek.2.6.1.299,ref-b.2.10.1.6a.6.25-ref-b.2.10.1.6a.7.1,120232,120301,ref-mek.2.6.1.287,ref-mek.2.6.1.299,2511882,2511950,ref-b.2.10.1.6a.6.25,ref-b.2.10.1.6a.7.1,שנאמר זבולון עם חרף נפשו למות מה טעם משום דנפתלי על מרומי שדה אמר,שנאמר זבולון עם חרף נפשו למות מה טעם משום דנפתלי על מרומי שדה אמר,14,14,963,963.0,862,862.0,0.0,0.0,14,שנאמר זבולון עם חרף נפשו למות מה טעם משום דנפתלי על מרומי שדה אמר,3080000695,14,14
ref-mek.2.6.2.23-ref-mek.2.6.2.71,ref-b.3.5.7.37a.3.24-ref-b.3.5.7.37a.4.23,120422,120698,ref-mek.2.6.2.23,ref-mek.2.6.2.71,4024721,4024942,ref-b.3.5.7.37a.3.24,ref-b.3.5.7.37a.4.23,קפץ נחשון בן עמינדב וירד לים תחילה שנאמר סבבני בכחש אפרים ובמרמה בית ישראל ויהודה עד רד עם אל ועליו מפרש בקבלה הושיעני אלהים כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד וגו' אל תשטפני שבלת מים ואל תבלעני מצולה,קפץ נחשון בן עמינדב וירד לים תחילה שנאמר סבבני בכחש אפרים ובמרמה בית ישראל ויהודה עד רד עם אל ועליו מפרש בקבלה הושיעני אלהים כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד וגו' אל תשטפני שבלת מים ואל תבלעני מצולה,42,42,1500,1500.0,864,864.0,0.0,0.0,42,קפץ נחשון בן עמינדב וירד לים תחילה שנאמר סבבני בכחש אפרים ובמרמה בית ישראל ויהודה עד רד עם אל ועליו מפרש בקבלה הושיעני אלהים כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד וגו' אל תשטפני שבלת מים ואל תבלעני מצולה,3080000696,42,42
ref-mek.2.6.2.91-ref-mek.2.6.2.105,ref-b.3.5.7.37a.5.17-ref-b.3.5.7.37a.5.37,120802,120874,ref-mek.2.6.2.91,ref-mek.2.6.2.105,4025033,4025133,ref-b.3.5.7.37a.5.17,ref-b.3.5.7.37a.5.37,בתפלה אמר לפניו ריבונו של עולם ומה בידי לעשות אמר לו ואתה הרם את מטך ,בתפלה לפני אמר לפניו רבונו של עולם ומה בידי לעשות אמר לו דבר אל בני ישראל ויסעו ואתה הרם את מטך ,15,21,1503,1502.0,866,866.0,0.3229166666666667,0.3076923076923077,10,בתפלה ומה בידי לעשות אמר לו ואתה הרם את מטך,3080000697,15,21
ref-mek.2.6.2.127-ref-mek.2.6.2.140,ref-b.3.7.1.40b.8.1-ref-b.3.7.1.40b.8.13,120978,121047,ref-mek.2.6.2.127,ref-mek.2.6.2.140,4530664,4530734,ref-b.3.7.1.40b.8.1,ref-b.3.7.1.40b.8.13,כבר היה ר' טרפון וזקנים יושבין בצלו של שובך של יבנה ונשאלה שאלה זו ,וכבר היה רבי טרפון וזקנים מסובין בעלית בית נתזה בלוד נשאלה שאילה זו ,14,13,1772,1772.0,867,867.0,0.3529411764705882,0.7777777777777778,4,היה טרפון וזקנים זו,3080000698,14,13
ref-mek.2.6.2.198-ref-mek.2.6.2.205,ref-b.1.1.6.38b.11.55-ref-b.1.1.6.38b.12.6,121364,121404,ref-mek.2.6.2.198,ref-mek.2.6.2.205,211513,211551,ref-b.1.1.6.38b.11.55,ref-b.1.1.6.38b.12.6,מברך דילמא בורא נפשות רבות וחסרונן על,מברך דילמא בורא נפשות רבות וחסרונן על,7,7,146,146.0,870,870.0,0.0,0.0,7,מברך דילמא בורא נפשות רבות וחסרונן על,3080000699,7,7
ref-mek.2.6.2.193-ref-mek.2.6.2.205,ref-b.2.3.1.14b.20.5-ref-b.2.3.1.14b.20.19,121337,121404,ref-mek.2.6.2.193,ref-mek.2.6.2.205,975738,975819,ref-b.2.3.1.14b.20.5,ref-b.2.3.1.14b.20.19,השותה מים לצמאו אומר שהכל נהיה בדברו רבי טרפון אומר בורא נפשות רבות וחסרונן על,השותה מים לצמאו אומר שהכל נהיה בדברו רבי טרפון אומר בורא נפשות רבות וחסרונן על,15,15,377,377.0,868,868.0,0.0,0.0,10,השותה מים לצמאו אומר_שהכל_נהיה_בדברו רבי_טרפון_אומר בורא נפשות רבות וחסרונן על,3080000700,15,15
ref-mek.2.6.2.236-ref-mek.2.6.2.244,ref-b.4.4.1.6b.5.10-ref-b.4.4.1.6b.5.20,121556,121597,ref-mek.2.6.2.236,ref-mek.2.6.2.244,5945987,5946039,ref-b.4.4.1.6b.5.10,ref-b.4.4.1.6b.5.20,אמרו בזכות שאמר מה בצע כי נהרוג את אחינו ,שנאמר ויאמר יהודה אל אחיו מה בצע כי נהרוג את אחינו ,9,11,2183,2183.0,872,872.0,0.3529411764705882,0.5454545454545454,6,מה בצע כי נהרוג את אחינו,3080000701,9,11
ref-mek.2.6.2.266-ref-mek.2.6.2.270,ref-b.3.5.1.7b.8.6-ref-b.3.5.1.7b.8.10,121714,121742,ref-mek.2.6.2.266,ref-mek.2.6.2.270,3922137,3922165,ref-b.3.5.1.7b.8.6,ref-b.3.5.1.7b.8.10,ויכר יהודה ויאמר צדקה ממני ,ויכר יהודה ויאמר צדקה ממני ,5,5,1360,1360.0,873,873.0,0.0,0.0,5,ויכר יהודה ויאמר צדקה ממני,3080000702,5,5
ref-mek.2.6.2.266-ref-mek.2.6.2.270,ref-b.3.5.1.10b.9.1-ref-b.3.5.1.10b.9.5,121714,121742,ref-mek.2.6.2.266,ref-mek.2.6.2.270,3935992,3936020,ref-b.3.5.1.10b.9.1,ref-b.3.5.1.10b.9.5,ויכר יהודה ויאמר צדקה ממני ,ויכר יהודה ויאמר צדקה ממני ,5,5,1377,1377.0,874,873.0,0.0,0.0,5,ויכר יהודה ויאמר צדקה ממני,3080000703,5,5
ref-mek.2.6.2.266-ref-mek.2.6.2.270,ref-b.4.5.3.23b.12.26-ref-b.4.5.3.23b.12.30,121714,121742,ref-mek.2.6.2.266,ref-mek.2.6.2.270,6495658,6495686,ref-b.4.5.3.23b.12.26,ref-b.4.5.3.23b.12.30,ויכר יהודה ויאמר צדקה ממני ,ויכר יהודה ויאמר צדקה ממני ,5,5,2676,2676.0,875,873.0,0.0,0.0,5,ויכר יהודה ויאמר צדקה ממני,3080000704,5,5
ref-mek.2.6.2.317-ref-mek.2.6.2.337,ref-b.3.5.7.37a.3.24-ref-b.3.5.7.37a.3.36,121963,122077,ref-mek.2.6.2.317,ref-mek.2.6.2.337,4024721,4024800,ref-b.3.5.7.37a.3.24,ref-b.3.5.7.37a.3.36,קפץ נחשון בן עמינדב וירד לים תחילה שנאמר סבבני בכחש אפרים ובמרמה בית ישראל,קפץ נחשון בן עמינדב וירד לים תחילה שנאמר סבבני בכחש אפרים ובמרמה בית ישראל,14,14,1498,1498.0,876,876.0,0.0,0.0,14,קפץ נחשון בן עמינדב וירד לים תחילה שנאמר סבבני בכחש אפרים ובמרמה בית ישראל,3080000705,14,14
ref-mek.2.6.3.26-ref-mek.2.6.3.37,ref-b.1.1.4.27a.11.14-ref-b.1.1.4.27a.11.27,122505,122573,ref-mek.2.6.3.26,ref-mek.2.6.3.37,142077,142147,ref-b.1.1.4.27a.11.14,ref-b.1.1.4.27a.11.27,ושניהם השכימו בבקר בקרו של יעקב מנין שנאמר וישכם יעקב בבקר בקרו ,אמר קרא בבקר בבקר חלקהו לשני בקרים ואי בעית אימא רבי יהודה האי בקר ,12,14,105,105.0,878,878.0,0.7164179104477612,0.8571428571428572,2,בבקר בבקר,3080000706,12,14
ref-mek.2.6.3.72-ref-mek.2.6.3.80,ref-b.1.1.1.6b.28.24-ref-b.1.1.1.6b.28.32,122766,122809,ref-mek.2.6.3.72,ref-mek.2.6.3.80,25021,25063,ref-b.1.1.1.6b.28.24,ref-b.1.1.1.6b.28.32,שנאמר ה' בקר תשמע קולי בקר אערוך לך ואצפה ,שנאמר ה' בקר תשמע קולי בקר אערך לך ואצפה ,9,9,47,47.0,879,879.0,0.0238095238095238,0.0,8,שנאמר ה' בקר תשמע קולי בקר לך ואצפה,3080000707,9,9
ref-mek.2.6.3.85-ref-mek.2.6.3.89,ref-b.2.12.2.14a.3.30-ref-b.2.12.2.14a.3.34,122828,122859,ref-mek.2.6.3.85,ref-mek.2.6.3.89,2803171,2803202,ref-b.2.12.2.14a.3.30,ref-b.2.12.2.14a.3.34,שנאמר חדשים לבקרים רבה אמונתך ,שנאמר חדשים לבקרים רבה אמונתך ,5,5,1068,1068.0,880,880.0,0.0,0.0,5,שנאמר חדשים לבקרים רבה אמונתך,3080000708,5,5
ref-mek.2.6.3.95-ref-mek.2.6.3.104,ref-b.3.5.9.49a.1.4-ref-b.3.5.9.49a.1.15,122886,122947,ref-mek.2.6.3.95,ref-mek.2.6.3.104,4078571,4078635,ref-b.3.5.9.49a.1.4,ref-b.3.5.9.49a.1.15,עתיד ליפרע מן הרשעים בגיהינום לעתיד לבא אלא לבקרים שנאמר ,לעתיד לבוא אומרים לפניו רבונו של עולם מאחר שאתה עתיד ליפרע מהן ,10,12,1587,1587.0,881,881.0,0.7142857142857143,0.6923076923076923,2,עתיד ליפרע,3080000709,10,12
ref-mek.2.6.3.193-ref-mek.2.6.3.207,ref-b.1.1.9.60a.28.18-ref-b.1.1.9.60a.28.32,123396,123474,ref-mek.2.6.3.193,ref-mek.2.6.3.207,328844,328918,ref-b.1.1.9.60a.28.18,ref-b.1.1.9.60a.28.32,כרפואת בשר ודם רפואת בשר ודם במה שהוא מכה אינו מרפא אלא מכה באזמל ומרפא ,ותרפאני כי אל רופא נאמן אתה ורפואתך אמת לפי שאין דרכן של בני אדם לרפאות ,15,15,201,201.0,882,882.0,0.7916666666666666,0.8235294117647058,0,,3080000710,15,15
ref-mek.2.6.3.227-ref-mek.2.6.3.232,ref-b.4.3.1.16a.16.16-ref-b.4.3.1.16a.16.21,123571,123604,ref-mek.2.6.3.227,ref-mek.2.6.3.232,5564464,5564497,ref-b.4.3.1.16a.16.16,ref-b.4.3.1.16a.16.21,אשר בשערה ישופני והרבה פצעי חנם ,אשר בשערה ישופני והרבה פצעי חנם ,6,6,2110,2110.0,883,883.0,0.0,0.0,6,אשר בשערה ישופני והרבה פצעי חנם,3080000711,6,6
ref-mek.2.6.3.227-ref-mek.2.6.3.232,ref-b.6.7.6.52a.25.5-ref-b.6.7.6.52a.25.10,123571,123604,ref-mek.2.6.3.227,ref-mek.2.6.3.232,8683927,8683960,ref-b.6.7.6.52a.25.5,ref-b.6.7.6.52a.25.10,אשר בשערה ישופני והרבה פצעי חנם ,אשר בשערה ישופני והרבה פצעי חנם ,6,6,3292,3292.0,884,883.0,0.0,0.0,6,אשר בשערה ישופני והרבה פצעי חנם,3080000712,6,6
ref-mek.2.6.3.237-ref-mek.2.6.3.244,ref-b.4.3.1.16a.17.22-ref-b.4.3.1.16a.17.30,123627,123667,ref-mek.2.6.3.237,ref-mek.2.6.3.244,5564648,5564696,ref-b.4.3.1.16a.17.22,ref-b.4.3.1.16a.17.30,בסערה שנאמר ויען ה' את איוב מן הסערה ,בסערה השיבוהו דכתיב ויען ה' את איוב מן הסערה ,8,9,2111,2111.0,885,885.0,0.2666666666666666,0.3333333333333333,7,בסערה ויען ה' את איוב מן הסערה,3080000713,8,9
ref-mek.2.6.3.237-ref-mek.2.6.3.244,ref-b.6.7.6.52a.25.33-ref-b.6.7.6.52b.1.3,123627,123667,ref-mek.2.6.3.237,ref-mek.2.6.3.244,8684082,8684123,ref-b.6.7.6.52a.25.33,ref-b.6.7.6.52b.1.3,בסערה שנאמר ויען ה' את איוב מן הסערה ,בסערה השיבוהו ויען ה' את איוב מן הסערה ,8,8,3293,3293.0,886,885.0,0.1538461538461538,0.25,7,בסערה ויען ה' את איוב מן הסערה,3080000714,8,8
ref-mek.2.6.3.270-ref-mek.2.6.3.279,ref-b.4.3.5.75b.6.8-ref-b.4.3.5.75b.6.14,123802,123861,ref-mek.2.6.3.270,ref-mek.2.6.3.279,5702084,5702123,ref-b.4.3.5.75b.6.8,ref-b.4.3.5.75b.6.14,מי אלה כעב תעופינה וכיונים אל ארבתיהם,מי אלה כעב תעופינה וכיונים אל ארבתיהם,7,7,2129,2129.0,887,887.0,0.0,0.0,7,מי אלה כעב תעופינה וכיונים אל ארבתיהם,3080000715,7,7
ref-mek.2.6.3.314-ref-mek.2.6.3.318,ref-b.2.12.2.12b.9.26-ref-b.2.12.2.12b.9.30,124074,124109,ref-mek.2.6.3.314,ref-mek.2.6.3.318,2795454,2795489,ref-b.2.12.2.12b.9.26,ref-b.2.12.2.12b.9.30,שנאמר השקיפה ממעון קדשך מן השמים ,שנאמר השקיפה ממעון קדשך מן השמים ,6,6,1059,1059.0,891,889.0,0.0,0.0,6,שנאמר השקיפה ממעון קדשך מן השמים,3080000716,6,6
ref-mek.2.6.3.313-ref-mek.2.6.3.318,ref-b.3.5.7.39b.1.3-ref-b.3.5.7.39b.1.6,124066,124109,ref-mek.2.6.3.313,ref-mek.2.6.3.318,4032715,4032743,ref-b.3.5.7.39b.1.3,ref-b.3.5.7.39b.1.6,בהשקפה שנאמר השקיפה ממעון קדשך מן השמים ,השקיפה ממעון קדשך מן השמים ,7,5,1528,1528.0,890,889.0,0.325,0.1666666666666666,5,השקיפה ממעון קדשך מן השמים,3080000717,7,5
ref-mek.2.6.3.301-ref-mek.2.6.3.314,ref-b.4.4.3.25b.9.9-ref-b.4.4.3.25b.10.5,123992,124080,ref-mek.2.6.3.301,ref-mek.2.6.3.314,6026836,6026924,ref-b.4.4.3.25b.9.9,ref-b.4.4.3.25b.10.5,כיונים שנאמר וכיונים אל ארובותיהם וכשהוא מברך את ישראל אינו מברכן אלא בהשקפה שנאמר ,"יונך ליון היינו דמשכחת לה בהמה אלא למ""ד ארא בהמה בת הכי היא אין בשור הבר וכמאן דאמר ",14,18,2212,2212.0,889,889.0,0.7619047619047619,0.8636363636363636,1,אלא,3080000718,14,18
ref-mek.2.6.3.324-ref-mek.2.6.3.336,ref-b.1.1.1.9a.25.7-ref-b.1.1.1.9a.25.17,124126,124199,ref-mek.2.6.3.324,ref-mek.2.6.3.336,42556,42619,ref-b.1.1.1.9a.25.7,ref-b.1.1.1.9a.25.17,ישראל וכשנפרע ממצרים לא נפרע אלא בהשקפה שנאמר וישקף ה' את מחנה מצרים ,ישראל ממצרים לא נגאלו אלא בערב שנאמר הוציאך ה' אלהיך ממצרים ,13,11,56,56.0,892,892.0,0.4202898550724637,0.6666666666666667,6,ישראל ממצרים לא אלא שנאמר ה',3080000719,13,11
ref-mek.2.6.4.40-ref-mek.2.6.4.54,ref-b.1.1.9.59a.7.9-ref-b.1.1.9.59a.7.15,124744,124825,ref-mek.2.6.4.40,ref-mek.2.6.4.54,320572,320610,ref-b.1.1.9.59a.7.9,ref-b.1.1.9.59a.7.15,אומר מקול רעם של מעלן נתזו צנורות מלמטן שנאמר קול רעמך כגלגל האירו ברקיו תבל ,שנאמר קול רעמך בגלגל האירו ברקים תבל ,15,7,199,199.0,893,893.0,0.5454545454545454,0.6,5,שנאמר קול רעמך האירו תבל,3080000720,15,7
ref-mek.2.6.4.180-ref-mek.2.6.4.184,ref-b.4.8.1.5a.20.17-ref-b.4.8.1.5a.20.21,125530,125559,ref-mek.2.6.4.180,ref-mek.2.6.4.184,6518367,6518393,ref-b.4.8.1.5a.20.17,ref-b.4.8.1.5a.20.21,למו ואומר כמעט אויביהם אכניע ,לי וגו' כמעט אויביהם אכניע ,5,5,2693,2693.0,894,894.0,0.1724137931034483,0.5,3,כמעט אויביהם אכניע,3080000721,5,5
ref-mek.2.7.1.62-ref-mek.2.7.1.69,ref-b.4.3.9.145b.10.12-ref-b.4.3.9.145b.10.19,126224,126263,ref-mek.2.7.1.62,ref-mek.2.7.1.69,5861974,5862011,ref-b.4.3.9.145b.10.12,ref-b.4.3.9.145b.10.19,מסיע אבנים יעצב בהם ובוקע עצים יסכן בם ,מסיע אבנים יעצב בהם בוקע עצים יסכן בם ,8,8,2176,2176.0,895,895.0,0.0256410256410256,0.25,7,מסיע אבנים יעצב בהם עצים יסכן בם,3080000722,8,8
ref-mek.2.7.1.62-ref-mek.2.7.1.69,ref-b.4.3.9.145b.10.20-ref-b.4.3.9.145b.10.30,126224,126263,ref-mek.2.7.1.62,ref-mek.2.7.1.69,5862012,5862063,ref-b.4.3.9.145b.10.20,ref-b.4.3.9.145b.10.30,מסיע אבנים יעצב בהם ובוקע עצים יסכן בם ,מסיע אבנים יעצב בהן אלו בעלי משנה בוקע עצים יסכן בם ,8,11,2177,2177.0,896,895.0,0.2692307692307692,0.4,6,מסיע אבנים יעצב עצים יסכן בם,3080000723,8,11
ref-mek.2.7.1.62-ref-mek.2.7.1.69,ref-b.4.4.11.100b.14.12-ref-b.4.4.11.100b.14.22,126224,126263,ref-mek.2.7.1.62,ref-mek.2.7.1.69,6348914,6348967,ref-b.4.4.11.100b.14.12,ref-b.4.4.11.100b.14.22,מסיע אבנים יעצב בהם ובוקע עצים יסכן בם ,מסיע אבנים יעצב בהם אלו בעלי משנה ובוקע עצים יסכן בם ,8,11,2561,2561.0,897,895.0,0.2641509433962264,0.125,8,מסיע אבנים יעצב בהם ובוקע עצים יסכן בם,3080000724,8,11
ref-mek.2.7.1.111-ref-mek.2.7.1.128,ref-b.4.8.1.18a.5.9-ref-b.4.8.1.18a.5.31,126477,126579,ref-mek.2.7.1.111,ref-mek.2.7.1.128,6565451,6565568,ref-b.4.8.1.18a.5.9,ref-b.4.8.1.18a.5.31,ואומר ומדותי פעולתם וגו' וכן הנביא ירמיה אומר גדול העצה ורב העליליה אשר עיניך פקוחות על כל דרכי ,אמר הצור תמים פעלו וגו' ואשתו אמרה אל אמונה ואין עול בתו אמרה גדול העצה ורב העליליה אשר עיניך פקוחות על כל דרכי ,18,23,2709,2708.0,898,898.0,0.3482142857142857,0.5,11,וגו' גדול העצה ורב העליליה אשר עיניך פקוחות על כל דרכי,3080000725,18,23
ref-mek.2.7.1.159-ref-mek.2.7.1.171,ref-b.2.1.9.87a.7.8-ref-b.2.1.9.87a.8.16,126725,126780,ref-mek.2.7.1.159,ref-mek.2.7.1.171,646959,647082,ref-b.2.1.9.87a.7.8,ref-b.2.1.9.87a.8.16,העם אל ה' וכתיב ויגד משה את דברי העם אל ה' מה אמר לו הקדוש ברוך הוא למשה ומה אמר להם משה לישראל ומה אמרו ישראל למשה,העם אל ה' וכתיב ויגד משה את דברי העם אל ה' מה אמר לו הקדוש ברוך הוא למשה ומה אמר להם משה לישראל ומה אמרו ישראל למשה,27,27,294,294.0,899,899.0,0.0,0.0,22,העם אל ה' וכתיב ויגד משה את דברי העם אל ה' מה אמר_לו_הקדוש_ברוך_הוא_למשה ומה אמר להם משה לישראל ומה אמרו ישראל למשה,3080000726,27,27
ref-mek.2.7.2.13-ref-mek.2.7.2.21,ref-b.2.8.1.11a.7.22-ref-b.2.8.1.11a.8.10,127003,127047,ref-mek.2.7.2.13,ref-mek.2.7.2.21,2273903,2273969,ref-b.2.8.1.11a.7.22,ref-b.2.8.1.11a.8.10,איתני עולם מאי משמע דהאי איתן לישנא דתקיפי הוא כדכתיב איתן מושבך,איתני עולם מאי משמע דהאי איתן לישנא דתקיפי הוא כדכתיב איתן מושבך,12,12,851,851.0,903,903.0,0.0,0.0,10,איתני עולם מאי_משמע_דהאי איתן לישנא דתקיפי הוא כדכתיב איתן מושבך,3080000727,12,12
