baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifre-d,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.76,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,2206411,2206479,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.76,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף ,1,1,1598,1588.0,823,806.0,0.4776119402985074,0.5833333333333333,5,כאן להלן מה להלן אף,6070000661,12,14
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.3.5.2.1.8.8-ref-y.3.5.2.1.8.22,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,2267819,2267892,ref-y.3.5.2.1.8.8,ref-y.3.5.2.1.8.22,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,מה מנחת שנאמר להלן שעורין אף בן שעורין אמר רבי לעזר נאמר כאן אביב ונאמר ,1,1,1665,1658.0,824,806.0,0.7638888888888888,0.5833333333333333,3,מה להלן אף,6070000662,12,15
ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,ref-y.3.5.7.3.3.36-ref-y.3.5.7.3.3.54,131038,131119,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,2318253,2318351,ref-y.3.5.7.3.3.36,ref-y.3.5.7.3.3.54,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,נאמר כאן אלוני מורה ונאמר להלן אלוני מורה מה אלוני מורה האמור להלן שכם אף אילוני מורה האמור כאן ,1,1,1727,1720.0,837,806.0,0.46875,0.4444444444444444,6,כאן להלן מה להלן אף כאן,6070000663,15,19
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.3.5.8.1.1.42-ref-y.3.5.8.1.1.57,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,2327493,2327580,ref-y.3.5.8.1.1.42,ref-y.3.5.8.1.1.57,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,נאמר כאן נגישה ונאמר להלן ונגשו הכחנים בני לוי מה נגישה שנאמר להלן בלשון הקודש אף ,1,1,1780,1764.0,825,806.0,0.5,0.6153846153846154,5,כאן להלן מה להלן אף,6070000664,12,16
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.3.5.8.1.1.82-ref-y.3.5.8.1.1.97,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,2327701,2327785,ref-y.3.5.8.1.1.82,ref-y.3.5.8.1.1.97,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,נאמר כאן נגישה ונאמר להלן ונגש משה אל הערפל מה נגישה שנאמר להלן בלשון הקודש אף ,1,1,1813,1799.0,826,806.0,0.4810126582278481,0.6666666666666667,5,כאן להלן מה להלן אף,6070000665,12,16
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.139,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,2879134,2879195,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.139,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף ,1,1,2134,2120.0,827,806.0,0.1935483870967742,0.5,6,כאן להלן מה האמורה להלן אף,6070000666,12,12
ref-sifre-d.86.6.4-ref-sifre-d.86.6.19,ref-y.4.1.4.4.5.133-ref-y.4.1.4.4.5.144,131038,131127,ref-sifre-d.86.6.4,ref-sifre-d.86.6.19,2983586,2983647,ref-y.4.1.4.4.5.133,ref-y.4.1.4.4.5.144,נאמר כאן השור יסקל ונאמר להלן השור יסקל מה שור שנאמר להלן,נאמר כאן השור יסקל ונאמר להלן השור יסקל מה שור שנאמר להלן,1,1,2226,2221.0,841,841.0,0.0,0.0,12,נאמר כאן השור יסקל ונאמר להלן השור יסקל מה שור שנאמר להלן,6070000667,12,12
ref-sifre-d.86.6.4-ref-sifre-d.86.6.13,ref-y.4.4.1.3.2.4-ref-y.4.4.1.3.2.16,131038,131091,ref-sifre-d.86.6.4,ref-sifre-d.86.6.13,3154598,3154667,ref-y.4.4.1.3.2.4,ref-y.4.4.1.3.2.16,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן ,נאמר כאן זדון ונאמר להלן זדון בזדון דברו הנביא מה זדון שנאמר להלן ,2,1,2330,2326.0,813,806.0,0.4696969696969697,0.5555555555555556,4,כאן להלן מה להלן,6070000668,10,13
ref-sifre-d.86.6.4-ref-sifre-d.86.6.13,ref-y.4.4.1.3.2.32-ref-y.4.4.1.3.2.45,131038,131091,ref-sifre-d.86.6.4,ref-sifre-d.86.6.13,3154751,3154821,ref-y.4.4.1.3.2.32,ref-y.4.4.1.3.2.45,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן ,נאמר כאג דיבר ונאמר להלן אשר ידבר הנביא בשם יי' מה דיבר שנאמר להלן ,2,1,2355,2351.0,814,806.0,0.5223880597014925,0.75,3,להלן מה להלן,6070000669,10,14
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.4.4.1.3.8.127-ref-y.4.4.1.3.8.146,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,3157857,3157958,ref-y.4.4.1.3.8.127,ref-y.4.4.1.3.8.146,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,נאמר כאן בני ישראל ונאמר להלן בני ישראל ויבואו בני ישראל לשבר וגו' מה בני ישראל שנאמר להלן עשר' אף ,1,1,2392,2381.0,828,806.0,0.6666666666666666,0.6153846153846154,5,כאן להלן מה להלן אף,6070000670,12,20
ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,ref-y.4.4.6.1.1.29-ref-y.4.4.6.1.1.49,131038,131119,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,3211011,3211117,ref-y.4.4.6.1.1.29,ref-y.4.4.6.1.1.49,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,נאמ' כאן בשעריך ונאמ' להלן כי ימצא בקרבך בא' שעריך מה שעריך האמור להלן שער שנמצא בו אף שעריך האמור כאן ,1,2,2471,2456.0,838,806.0,0.5533980582524272,0.7333333333333334,6,כאן להלן מה להלן אף כאן,6070000671,15,21
ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,ref-y.4.4.7.1.1.26-ref-y.4.4.7.1.1.45,131038,131119,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,3223732,3223837,ref-y.4.4.7.1.1.26,ref-y.4.4.7.1.1.45,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה האמורה להלן חרב אף נקימה האמורה כאן ,1,1,2513,2508.0,839,806.0,0.4705882352941176,0.6153846153846154,8,כאן להלן מה האמורה להלן אף האמורה כאן,6070000672,15,20
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.4.4.7.3.1.37-ref-y.4.4.7.3.1.53,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,3226750,3226838,ref-y.4.4.7.3.1.37,ref-y.4.4.7.3.1.53,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה שנאמר להלן בחרב אף ,1,1,2549,2539.0,829,806.0,0.5529411764705883,0.6428571428571428,5,כאן להלן מה להלן אף,6070000673,12,17
ref-sifre-d.86.6.4-ref-sifre-d.86.6.13,ref-y.4.4.7.5.3.14-ref-y.4.4.7.5.3.28,131038,131091,ref-sifre-d.86.6.4,ref-sifre-d.86.6.13,3229067,3229139,ref-y.4.4.7.5.3.14,ref-y.4.4.7.5.3.28,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן ,נאמר כאן דודתו ונאמר להלן או דודו או בן דודו יגאלנו מה דודו שנאמר להלן ,2,1,2571,2564.0,815,806.0,0.5211267605633803,0.5555555555555556,4,כאן להלן מה להלן,6070000674,10,15
ref-sifre-d.86.6.10-ref-sifre-d.86.6.19,ref-y.4.4.7.13.1.45-ref-y.4.4.7.13.1.57,131071,131127,ref-sifre-d.86.6.10,ref-sifre-d.86.6.19,3249457,3249523,ref-y.4.4.7.13.1.45,ref-y.4.4.7.13.1.57,מה לא יחיה שנאמר להלן בסקילה אף כאן בסקילה מה טעמון דרבנין מאמר,מה לא יחיה שנאמר להלן בסקילה אף כאן בסקילה מה טעמון דרבנין מאמר,13,13,2637,2637.0,843,843.0,0.0,0.0,11,מה לא יחיה שנאמר להלן בסקילה אף כאן בסקילה מה_טעמון_דרבנין מאמר,6070000675,13,13
ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.69,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,3323464,3323533,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.69,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן נשירה אף ,1,1,2733,2724.0,830,806.0,0.4411764705882353,0.5454545454545454,5,כאן להלן מה להלן אף,6070000676,12,14
ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,ref-y.4.6.1.2.4.39-ref-y.4.6.1.2.4.58,131038,131119,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,3336498,3336604,ref-y.4.6.1.2.4.39,ref-y.4.6.1.2.4.58,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,נאמר כאן בהמה טמאה ונאב' להלן בחמה טמאה מה בהמה טמאה האמורה להלן בטומאת הקודש אף בהמה טמאה האמורה כאן ,1,1,2780,2765.0,840,806.0,0.4117647058823529,0.6923076923076923,8,כאן להלן מה האמורה להלן אף האמורה כאן,6070000677,15,20
ref-sifre-d.87.3.3-ref-sifre-d.87.3.10,ref-y.4.4.3.9.8.2-ref-y.4.4.3.9.8.25,131519,131556,ref-sifre-d.87.3.3,ref-sifre-d.87.3.10,3188277,3188391,ref-y.4.4.3.9.8.2,ref-y.4.4.3.9.8.25,"לא יומתו אבות על בנים והלא כבר נאמ' איש בחטאו יומת מה ת""ל לא יומתו אבו' על בני' לא יומתו אבו' בעדות בני' ובנים","לא יומתו אבות על בנים והלא כבר נאמ' איש בחטאו יומת מה ת""ל לא יומתו אבו' על בני' לא יומתו אבו' בעדות בני' ובנים",24,24,2437,2437.0,845,845.0,0.0,0.0,24,"לא יומתו אבות על בנים והלא כבר נאמ' איש בחטאו יומת מה ת""ל לא יומתו אבו' על בני' לא יומתו אבו' בעדות בני' ובנים",6070000678,24,24
ref-sifre-d.87.3.3-ref-sifre-d.87.3.10,ref-y.4.6.4.1.9.2-ref-y.4.6.4.1.9.24,131519,131556,ref-sifre-d.87.3.3,ref-sifre-d.87.3.10,3368895,3369004,ref-y.4.6.4.1.9.2,ref-y.4.6.4.1.9.24,לא יומתו אבות על בנים ובנים לא יומתו ,לא יומתו אבות על בנים וגו' והלא כבר נאמר איש בחטאו יונית מה תלמוד לומר לא יומתו אבות על בנים אלא שלא יומתו ,8,23,2827,2827.0,847,845.0,0.6542056074766355,0.6923076923076923,7,לא יומתו אבות על בנים לא יומתו,6070000679,8,23
ref-sifre-d.87.4.1-ref-sifre-d.87.6.4,ref-y.3.1.2.4.2.110-ref-y.3.1.2.4.2.124,131617,131667,ref-sifre-d.87.4.1,ref-sifre-d.87.6.4,2072378,2072442,ref-y.3.1.2.4.2.110,ref-y.3.1.2.4.2.124,אמו אשת בן בנו ואשת בן בתו אשת אחי אמו ואשת אחי אביו מאמו,אבי אמו אשת בן בנו ואשת בן בתו אשת אחי אמו ואשת אחי אביו מאמו,4,5,1463,1463.0,848,848.0,0.0655737704918032,0.0,14,אמו אשת בן בנו ואשת בן בתו אשת אחי אמו ואשת אחי אביו מאמו,6070000680,14,15
ref-sifre-d.87.4.1-ref-sifre-d.87.6.5,ref-y.4.3.8.1.5.25-ref-y.4.3.8.1.5.38,131617,131677,ref-sifre-d.87.4.1,ref-sifre-d.87.6.5,3108743,3108803,ref-y.4.3.8.1.5.25,ref-y.4.3.8.1.5.38,אחיך זה אחיך מאביך בן אמך זה בן אמך או בנך זה בנך מכל מקום ,בן בן מניין תלמוד לומר בת מכל מקום אחים אין לי אלא אחים בני ,15,14,2301,2294.0,850,848.0,0.85,0.75,4,בן בן מכל מקום,6070000681,15,14
ref-sifre-d.87.4.4-ref-sifre-d.87.7.2,ref-y.4.3.8.2.4.56-ref-y.4.3.8.2.4.74,131630,131684,ref-sifre-d.87.4.4,ref-sifre-d.87.7.2,3110480,3110579,ref-y.4.3.8.2.4.56,ref-y.4.3.8.2.4.74,מאביך בן אמך זה בן אמך או בנך זה בנך מכל מקום או בתך ,לזה תשעה בנים ולזה בן אחד ונטלו בית י' קבין החזירום לאבותיהן וחלקום נמצא בן זה נוטל מחצה ובני ,14,19,2308,2308.0,851,848.0,0.7021276595744681,0.9130434782608696,3,בן בן זה,6070000682,14,19
ref-sifre-d.89.1.8-ref-sifre-d.89.1.13,ref-y.3.5.1.5.4.49-ref-y.3.5.1.5.4.57,132323,132356,ref-sifre-d.89.1.8,ref-sifre-d.89.1.13,2256048,2256093,ref-y.3.5.1.5.4.49,ref-y.3.5.1.5.4.57,שנאמר ואהבת לרעך כמוך יכול אתה ,אמרין הכין תמן ואהבת לרעך כמוך יבור לו מיתה ,6,9,1647,1647.0,852,852.0,0.4318181818181818,0.6,3,ואהבת לרעך כמוך,6070000683,6,9
ref-sifre-d.89.1.8-ref-sifre-d.89.1.13,ref-y.4.4.6.6.1.50-ref-y.4.4.6.6.1.58,132323,132356,ref-sifre-d.89.1.8,ref-sifre-d.89.1.13,3215555,3215600,ref-y.4.4.6.6.1.50,ref-y.4.4.6.6.1.58,שנאמר ואהבת לרעך כמוך יכול אתה ,אמרין הכין הכא ואהבת לרעך כמוך ברור לו מיתה ,6,9,2496,2496.0,853,852.0,0.4545454545454545,0.6,3,ואהבת לרעך כמוך,6070000684,6,9
ref-sifre-d.89.4.3-ref-sifre-d.89.6.6,ref-y.4.4.4.3.1.17-ref-y.4.4.4.3.1.37,132554,132657,ref-sifre-d.89.4.3,ref-sifre-d.89.6.6,3198956,3199062,ref-y.4.4.4.3.1.17,ref-y.4.4.4.3.1.37,לא תלמוד עליו זכות ולא תכסה עליו אם אתה יודע לו חובה אין אתה רשאי לשתוק ומנין שאם יצא מבית דין חייב ,לו חובה שומע אני שיחזירוהו תלמוד לומ' צדיק אל תהרוג הרי שיצא מבית דין חייב ומצאו לו זכות שומע אני שלא ,22,21,2448,2445.0,854,854.0,0.7745098039215687,0.7307692307692308,5,לו חובה מבית דין חייב,6070000685,22,21
ref-sifre-d.89.6.14-ref-sifre-d.89.7.10,ref-y.4.4.4.3.1.12-ref-y.4.4.4.3.1.29,132695,132758,ref-sifre-d.89.6.14,ref-sifre-d.89.7.10,3198928,3199028,ref-y.4.4.4.3.1.12,ref-y.4.4.4.3.1.29,זכאי ומצאו לו חובה שומע אני שיחזירוהו תלמוד לומ' צדיק אל תהרוג הרי שיצא מבית דין זכאי ומצאו לו חובה שומע אני שיחזירוהו תלמוד לומ' צדיק אל תהרוג,שיצא מבית דין זכאי ומצאו לו חובה שומע אני שיחזירוהו תלמוד לומ' צדיק אל תהרוג הרי שיצא מבית דין,28,19,2446,2446.0,855,855.0,0.5384615384615384,0.0,16,זכאי ומצאו לו חובה שומע אני שיחזירוהו תלמוד לומ' צדיק אל תהרוג הרי שיצא מבית דין,6070000686,28,19
ref-sifre-d.90.2.4-ref-sifre-d.90.2.16,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,133022,133088,ref-sifre-d.90.2.4,ref-sifre-d.90.2.16,14071,14133,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.105,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן,1,1,26,12.0,865,865.0,0.0,0.0,13,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן,6070000687,13,13
ref-sifre-d.90.2.4-ref-sifre-d.90.2.14,ref-y.1.1.7.3.5.67-ref-y.1.1.7.3.5.82,133022,133077,ref-sifre-d.90.2.4,ref-sifre-d.90.2.14,152037,152114,ref-y.1.1.7.3.5.67,ref-y.1.1.7.3.5.82,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן ,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה בני ישראל שנאמר להלן עשרה אף כאן ,1,5,123,106.0,866,857.0,0.5131578947368421,0.5,6,נאמר כאן ונאמר להלן מה כאן,6070000688,11,16
ref-sifre-d.90.2.4-ref-sifre-d.90.2.16,ref-y.1.4.8.1.2.5-ref-y.1.4.8.1.2.20,133022,133088,ref-sifre-d.90.2.4,ref-sifre-d.90.2.16,427265,427339,ref-y.1.4.8.1.2.5,ref-y.1.4.8.1.2.20,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף ,נאמר כאן פן תקדש ונאמר להלן פן תוקדש בו מה פן האמור להלן אסור בחנייה אף ,3,1,262,244.0,878,857.0,0.4027777777777778,0.5454545454545454,7,נאמר כאן ונאמר להלן מה להלן אף,6070000689,13,16
ref-sifre-d.90.2.4-ref-sifre-d.90.2.16,ref-y.1.7.2.4.9.110-ref-y.1.7.2.4.9.128,133022,133088,ref-sifre-d.90.2.4,ref-sifre-d.90.2.16,665158,665252,ref-y.1.7.2.4.9.110,ref-y.1.7.2.4.9.128,נאמר כאן נפשו ונאמר להלן נפשו דכתיב ואליו הוא נושא את נפשו מה נפשו האמורה להלן שכרו אף כאן,נאמר כאן נפשו ונאמר להלן נפשו דכתיב ואליו הוא נושא את נפשו מה נפשו האמורה להלן שכרו אף כאן,1,1,402,389.0,867,867.0,0.0,0.0,19,נאמר כאן נפשו ונאמר להלן נפשו דכתיב ואליו הוא נושא את נפשו מה נפשו האמורה להלן שכרו אף כאן,6070000690,19,19
ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,ref-y.1.9.2.1.11.70-ref-y.1.9.2.1.11.87,133022,133105,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,779725,779810,ref-y.1.9.2.1.11.70,ref-y.1.9.2.1.11.87,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,נאמר כאן חלה ונאמר להלן חלת להם שמן מה חלה שנאמר להלן עשויה בשמן אף חלה שנאמר כאן ,1,1,489,481.0,892,857.0,0.4268292682926829,0.6153846153846154,8,נאמר כאן ונאמר להלן מה להלן אף כאן,6070000691,16,18
ref-sifre-d.90.2.4-ref-sifre-d.90.2.16,ref-y.1.11.2.3.5.3-ref-y.1.11.2.3.5.14,133022,133088,ref-sifre-d.90.2.4,ref-sifre-d.90.2.16,873523,873582,ref-y.1.11.2.3.5.3,ref-y.1.11.2.3.5.14,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף ,נאמ' כאן שמחה ונאמר להלן שמחה מה שמחה שנאמר להלן שלמים אף ,3,1,594,585.0,880,857.0,0.3125,0.6363636363636364,6,כאן ונאמר להלן מה להלן אף,6070000692,13,12
ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,ref-y.2.3.5.1.1.35-ref-y.2.3.5.1.1.55,133022,133105,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,1290200,1290313,ref-y.2.3.5.1.1.35,ref-y.2.3.5.1.1.55,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,נאמר כאן בין הערבים ונאמר להלן בין הערבים מה בין הערבים שנאמר להלן משש שעות ולמעלן אף כין הערכים שנאמר כאן ,1,2,718,706.0,893,857.0,0.5420560747663551,0.5454545454545454,8,נאמר כאן ונאמר להלן מה להלן אף כאן,6070000693,16,21
ref-sifre-d.90.2.4-ref-sifre-d.90.2.13,ref-y.2.5.2.4.3.22-ref-y.2.5.2.4.3.33,133022,133073,ref-sifre-d.90.2.4,ref-sifre-d.90.2.13,1416081,1416145,ref-y.2.5.2.4.3.22,ref-y.2.5.2.4.3.33,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן ,נאמר כאן עריכה ונאמר להלן וערך הכהן אותם מה עריכה שנאמר להלן ,4,1,785,779.0,857,857.0,0.4098360655737705,0.5555555555555556,6,נאמר כאן ונאמר להלן מה להלן,6070000694,10,12
ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,ref-y.2.5.8.1.2.162-ref-y.2.5.8.1.2.180,133022,133105,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,1477978,1478084,ref-y.2.5.8.1.2.162,ref-y.2.5.8.1.2.180,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,נאמר כאן תענו את נפשותיכם ונאמר להלן ויענך וירעיבך מה עינוי שנאמר להלן עינוי רעבון אף עינוי שנאמר כאן ,1,1,829,814.0,894,857.0,0.5686274509803921,0.6153846153846154,8,נאמר כאן ונאמר להלן מה להלן אף כאן,6070000695,16,19
ref-sifre-d.90.2.4-ref-sifre-d.90.2.13,ref-y.2.4.1.1.1.117-ref-y.2.4.1.1.1.126,133022,133073,ref-sifre-d.90.2.4,ref-sifre-d.90.2.13,1493692,1493742,ref-y.2.4.1.1.1.117,ref-y.2.4.1.1.1.126,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן ,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן ,4,1,853,846.0,858,857.0,0.26,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,6070000696,10,10
ref-sifre-d.90.2.4-ref-sifre-d.90.2.16,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.17,133022,133088,ref-sifre-d.90.2.4,ref-sifre-d.90.2.16,1561422,1561488,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.17,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף ,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף ,3,1,904,891.0,881,857.0,0.3076923076923077,0.5,8,נאמר כאן ונאמר להלן מה האמורה להלן אף,6070000697,13,13
ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,ref-y.2.6.2.7.1.6-ref-y.2.6.2.7.1.29,133022,133105,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,1595673,1595797,ref-y.2.6.2.7.1.6,ref-y.2.6.2.7.1.29,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,נאמר כאן תשבו ונאמר להלן ופתח אוהר' מועד ישבו יומם ולילה מה ישיבה שנאמר להלן עשה בה את הלילות כימים אף ישיבה שנאמר כאן ,1,5,951,943.0,895,857.0,0.5546218487394958,0.7222222222222222,8,נאמר כאן ונאמר להלן מה להלן אף כאן,6070000698,16,24
ref-sifre-d.90.2.4-ref-sifre-d.90.2.13,ref-y.2.8.1.1.12.202-ref-y.2.8.1.1.12.211,133022,133073,ref-sifre-d.90.2.4,ref-sifre-d.90.2.13,1641869,1641919,ref-y.2.8.1.1.12.202,ref-y.2.8.1.1.12.211,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן ,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן ,4,1,1001,991.0,859,857.0,0.26,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,6070000699,10,10
ref-sifre-d.90.2.4-ref-sifre-d.90.2.13,ref-y.2.8.1.1.12.263-ref-y.2.8.1.1.12.272,133022,133073,ref-sifre-d.90.2.4,ref-sifre-d.90.2.13,1642172,1642222,ref-y.2.8.1.1.12.263,ref-y.2.8.1.1.12.272,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן ,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמ' להלן ,4,1,1024,1017.0,860,857.0,0.28,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,6070000700,10,10
ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,ref-y.2.10.1.1.3.68-ref-y.2.10.1.1.3.89,133022,133105,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,1836010,1836122,ref-y.2.10.1.1.3.68,ref-y.2.10.1.1.3.89,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,נאמר כאן פרזות ונאמר להלן לבד מערי הפרזי הרבה מאות מה פרזי שנאמ' להלן מימות יהושע בן נון אף פרזות שנאמר כאן ,1,3,1114,1106.0,896,857.0,0.5555555555555556,0.6875,8,נאמר כאן ונאמר להלן מה להלן אף כאן,6070000701,16,22
ref-sifre-d.90.2.4-ref-sifre-d.90.2.14,ref-y.2.10.4.4.5.15-ref-y.2.10.4.4.5.31,133022,133077,ref-sifre-d.90.2.4,ref-sifre-d.90.2.14,1912984,1913065,ref-y.2.10.4.4.5.15,ref-y.2.10.4.4.5.31,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן ,נאמר כאן עדה ונאמר להלן עד מתי לעדה הרעה הזאת מה עדה האמורה להלן עשרה אף כאן ,1,1,1174,1174.0,868,868.0,0.4025974025974026,0.6,7,נאמר כאן ונאמר להלן מה האמורה כאן,6070000702,11,17
ref-sifre-d.90.2.4-ref-sifre-d.90.2.14,ref-y.2.10.4.4.5.36-ref-y.2.10.4.4.5.53,133022,133077,ref-sifre-d.90.2.4,ref-sifre-d.90.2.14,1913084,1913174,ref-y.2.10.4.4.5.36,ref-y.2.10.4.4.5.53,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן ,נאמר כאן תוך ונאמר להלן ויבאו בני ישראל לשבור בתוך הבאים מה תוך שנאמר להלן עשרה אף כאן ,1,3,1184,1184.0,869,868.0,0.5747126436781609,0.6666666666666667,6,נאמר כאן ונאמר להלן מה כאן,6070000703,11,18
ref-sifre-d.90.2.4-ref-sifre-d.90.2.14,ref-y.2.10.4.4.5.69-ref-y.2.10.4.4.5.81,133022,133077,ref-sifre-d.90.2.4,ref-sifre-d.90.2.14,1913238,1913298,ref-y.2.10.4.4.5.69,ref-y.2.10.4.4.5.81,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן ,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה להלן עשר' אף כאן ,1,1,1192,1192.0,870,868.0,0.5166666666666667,0.5,7,נאמר כאן ונאמר להלן מה להלן כאן,6070000704,11,13
