baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.2.5.2.12.86-ref-t.2.5.2.12.103,ref-y.2.5.5.1.8.62-ref-y.2.5.5.1.8.75,399418,399509,ref-t.2.5.2.12.86,ref-t.2.5.2.12.103,1447919,1447991,ref-y.2.5.5.1.8.62,ref-y.2.5.5.1.8.75,והבדילה הפרכת לכם וגומר מה עבד לה רבי יסי בין קודש קדשים שלמעלן לקדש,והבדילה הפרכת לכם וגומר מה עבד לה רבי יסי בין קודש קדשים שלמעלן לקדש,17,14,3817,3817.0,3266,3266.0,0.0,0.0,2070002327
ref-t.2.5.2.13.4-ref-t.2.5.2.13.18,ref-y.2.2.5.1.13.59-ref-y.2.2.5.1.13.70,399579,399667,ref-t.2.5.2.13.4,ref-t.2.5.2.13.18,1161824,1161881,ref-y.2.2.5.1.13.59,ref-y.2.2.5.1.13.70,הדרום והפנימית מן הצפון מהלך ביניהן עד שהגיע לצפון הגיע לצפון הפך פניו לדרום מהלך ,צפון ודרום הדא הוא דכתיב הולך אל דרום וסוב אל צפון הולך ,15,12,2984,2984.0,3268,3268.0,0.7073170731707317,0.8,2070002328
ref-t.2.5.2.13.8-ref-t.2.5.2.13.17,ref-y.2.5.5.2.1.28-ref-y.2.5.5.2.1.46,399606,399662,ref-t.2.5.2.13.8,ref-t.2.5.2.13.17,1448236,1448341,ref-y.2.5.5.2.1.28,ref-y.2.5.5.2.1.46,מהלך ביניהן עד שהגיע לצפון הגיע לצפון הפך פניו לדרום ,מהלך ביניהן עד שהוא מגיע לצפון דוחק היה באצילי ידיו כדי שלא ישרפו הפרכות הגיע לצפון והפך פניו לדרום ,10,19,3819,3819.0,3269,3268.0,0.47,0.5,2070002329
ref-t.2.5.2.13.53-ref-t.2.5.2.13.65,ref-y.2.5.5.2.4.139-ref-y.2.5.5.2.5.10,399856,399929,ref-t.2.5.2.13.53,ref-t.2.5.2.13.65,1449667,1449734,ref-y.2.5.5.2.4.139,ref-y.2.5.5.2.5.10,בבית החיצון ולא היה מאריך שלא להבעית את ישראל מעשה בכהן גדול שהאריך ,בתיהן קבריהך ולא היה מאריך שלא להבעית את ישראל מעשה באחד שהאריך ,13,12,3820,3820.0,3270,3270.0,0.23529411764705882,0.4666666666666667,2070002330
ref-t.2.5.2.13.70-ref-t.2.5.2.13.80,ref-y.2.5.5.2.5.21-ref-y.2.5.5.2.5.30,399946,400005,ref-t.2.5.2.13.70,ref-t.2.5.2.13.80,1449789,1449841,ref-y.2.5.5.2.5.21,ref-y.2.5.5.2.5.30,להאריך אמ' להן מתפלל אני עליכם ועל מקדש אבותיכם שלא יחרב ,הארכתה אמר להן מתפלל הייתי על מקדש אלהיכם שלא ייחרב ,11,10,3821,3821.0,3271,3271.0,0.2982456140350877,0.5714285714285714,2070002331
ref-t.2.5.2.15.1-ref-t.2.5.2.15.27,ref-y.2.4.6.1.5.1-ref-y.2.4.6.1.5.20,400241,400395,ref-t.2.5.2.15.1,ref-t.2.5.2.15.27,1548753,1548878,ref-y.2.4.6.1.5.1,ref-y.2.4.6.1.5.20,צנצנת המן וצלוחית שמן המשחה ומקלו של אהרן ופרחיו ושקידיו וארגז שהשיבו פלשתים אשם לאלהי ישראל,משנגנז הארון נגנז עמו צנצנת המן וצלוחית שמן המשחה ומקלו של אהרן ופרחיו ושקידיו וארגז שהשיבו פלשתים אשם לאלהי ישראל,18,20,4170,4170.0,3272,3272.0,0.19298245614035087,0.1578947368421053,2070002332
ref-t.2.5.2.15.1-ref-t.2.5.2.15.27,ref-y.3.5.8.3.3.1-ref-y.3.5.8.3.3.20,400241,400395,ref-t.2.5.2.15.1,ref-t.2.5.2.15.27,2330168,2330293,ref-y.3.5.8.3.3.1,ref-y.3.5.8.3.3.20,צנצנת המן וצלוחית שמן המשחה ומקלו של אהרן ופרחיו ושקידיו וארגז שהשיבו פלשתים אשם לאלהי ישראל,משנגנז הארון נגנז עמו צנצנת המן וצלוחית שמן המשחה ומקלו של אהרן ופרחיו ושקידיו וארגז שהשיבו פלשתים אשם לאלהי ישראל,18,20,6441,6441.0,3273,3273.0,0.19298245614035087,0.1578947368421053,2070002333
ref-t.2.5.2.15.46-ref-t.2.5.2.15.57,ref-y.2.4.6.1.1.72-ref-y.2.4.6.1.1.84,400497,400560,ref-t.2.5.2.15.46,ref-t.2.5.2.15.57,1547529,1547598,ref-y.2.4.6.1.1.72,ref-y.2.4.6.1.1.84,ולא יראו החוצה יכול לא היו נראין מתוכה ת'ל ויראו ראשי הבדים ,ויראו ראשי הבדים אל הקדש אל פני הדביר ולא יראו החוצה בתיב ויראו ,12,13,4160,4158.0,3276,3276.0,0.6875,0.5833333333333333,2070002334
ref-t.2.5.2.16.38-ref-t.2.5.2.16.67,ref-y.1.9.1.3.11.40-ref-y.1.9.1.3.11.60,400896,401038,ref-t.2.5.2.16.38,ref-t.2.5.2.16.67,768714,768831,ref-y.1.9.1.3.11.40,ref-y.1.9.1.3.11.60,אחת אחת ואחת אחת ושתים אחת ושלש אחת וארבע אחת וחמש אחת ושש אחת ושבע ר' יהודה אמ' משם ר' ליעזר כך היה מונה אחת אחת ואחת שתים ואחת שלש ,שליש ואחת פחות משליש לחלה אחת למעשרות שתים אחת פחות משליש ואחת עשבים לחלה שתים למעשרות אחת אחת הביאה שליש ואחת ,30,21,2117,2115.0,3277,3277.0,0.5939849624060151,0.8421052631578947,2070002335
ref-t.2.5.2.16.40-ref-t.2.5.2.16.50,ref-y.1.11.2.1.7.63-ref-y.1.11.2.1.7.71,400904,400960,ref-t.2.5.2.16.40,ref-t.2.5.2.16.50,866535,866594,ref-y.1.11.2.1.7.63,ref-y.1.11.2.1.7.71,ואחת אחת ושתים אחת ושלש אחת וארבע אחת וחמש אחת ושש ,באחד בשנים בשלשה בהיכרת לארבעה לחמשה מיתה הדופה לששה ,11,9,2348,2348.0,3278,3278.0,0.6792452830188679,0.6363636363636364,2070002336
ref-t.2.5.2.16.63-ref-t.2.5.2.16.73,ref-y.1.11.2.1.7.63-ref-y.1.11.2.1.7.71,401014,401068,ref-t.2.5.2.16.63,ref-t.2.5.2.16.73,866535,866594,ref-y.1.11.2.1.7.63,ref-y.1.11.2.1.7.71,אחת ואחת שתים ואחת שלש ואחת ארבע ואחת חמש ואחת שש ,באחד בשנים בשלשה בהיכרת לארבעה לחמשה מיתה הדופה לששה ,11,9,2349,2348.0,3280,3280.0,0.6981132075471698,0.6363636363636364,2070002337
ref-t.2.5.2.16.42-ref-t.2.5.2.16.50,ref-y.4.4.3.9.20.205-ref-y.4.4.3.9.20.212,400914,400960,ref-t.2.5.2.16.42,ref-t.2.5.2.16.50,3191523,3191576,ref-y.4.4.3.9.20.205,ref-y.4.4.3.9.20.212,ושתים אחת ושלש אחת וארבע אחת וחמש אחת ושש ,שנייה ושלישית ואחד מעיד שאכלה רביעית חמישית וששית ,9,8,9172,9172.0,3279,3279.0,0.66,1.0,2070002338
ref-t.2.5.2.16.65-ref-t.2.5.2.16.73,ref-y.4.4.3.9.20.205-ref-y.4.4.3.9.20.212,401024,401068,ref-t.2.5.2.16.65,ref-t.2.5.2.16.73,3191523,3191576,ref-y.4.4.3.9.20.205,ref-y.4.4.3.9.20.212,שתים ואחת שלש ואחת ארבע ואחת חמש ואחת שש ,שנייה ושלישית ואחד מעיד שאכלה רביעית חמישית וששית ,9,8,9173,9172.0,3281,3281.0,0.64,1.0,2070002339
ref-t.2.5.2.16.95-ref-t.2.5.2.16.105,ref-y.2.5.5.4.6.36-ref-y.2.5.5.4.6.46,401169,401226,ref-t.2.5.2.16.95,ref-t.2.5.2.16.105,1452993,1453048,ref-y.2.5.5.4.6.36,ref-y.2.5.5.4.6.46,אני ראיתיה ברומי והיו עליה טיפי דמים ואמ' לי אילו מדמים ,אני ראיתיה ברומי מליאה טיפין של דם אמרתי אילו מן הדמי' ,11,11,3830,3830.0,3282,3282.0,0.35714285714285715,0.4545454545454546,2070002340
ref-t.2.5.3.1.8-ref-t.2.5.3.1.12,ref-y.2.5.5.5.1.3-ref-y.2.5.5.5.1.17,401275,401307,ref-t.2.5.3.1.8,ref-t.2.5.3.1.12,1455901,1455988,ref-y.2.5.5.5.1.3,ref-y.2.5.5.5.1.17,מתחיל מקרן מזרחית צפונית מערבית ,ויתחיל בקרן מזרחית דרומית אמר רבי הילא ימנית אין זו ימנית ויתחיל מקרן צפונית מערבית ,5,15,3835,3835.0,3283,3283.0,0.6428571428571429,0.5454545454545454,2070002341
ref-t.2.5.3.1.37-ref-t.2.5.3.2.1,ref-y.2.5.5.5.2.6-ref-y.2.5.5.5.2.23,401452,401705,ref-t.2.5.3.1.37,ref-t.2.5.3.2.1,1456225,1456324,ref-y.2.5.5.5.2.6,ref-y.2.5.5.5.2.23,היה עומד ומחטא ועל כולן הוא נותן מלמעלן למטן חוץ מזו שהיה לפניו לוכסן שהיה נותן מלמטן למעלן,היה עומד ומחטא ועל כולן הוא נותן מלמעלן למטן חוץ מזו שהיה לפניו לוכסן שהיה נותן מלמטן למעלן,45,18,3836,3836.0,3284,3284.0,0.0,0.0,2070002342
ref-t.2.5.3.2.51-ref-t.2.5.3.2.60,ref-y.2.2.10.14.2.3-ref-y.2.2.10.14.2.28,401935,401980,ref-t.2.5.3.2.51,ref-t.2.5.3.2.60,1222134,1222272,ref-y.2.2.10.14.2.3,ref-y.2.2.10.14.2.28,מתן שבע למתן ארבע יחזור ויתן מתן שבע על מתן ,הניתנין במתן אחת שנתערבו בניתנין מתנה אחת ינתנו מתנה אחת מתן ארבע במתן ארבע ינתם מתן ארבע מתן ארבע כמתן אחת רבי אליעז' או' ינתנו מתן ,10,26,3172,3169.0,3286,3286.0,0.7443609022556391,0.7692307692307692,2070002343
ref-t.2.5.3.3.7-ref-t.2.5.3.4.22,ref-y.2.5.5.6.10.93-ref-y.2.5.5.6.10.129,402302,402526,ref-t.2.5.3.3.7,ref-t.2.5.3.4.22,1460186,1460392,ref-y.2.5.5.6.10.93,ref-y.2.5.5.6.10.129,הנעשות בפנים בבגדי לבן אבל בעבודות הנעשות בחוץ בבגדי זהב אם הקדים מעשה לחבירו מה שעשה עשוי ו,הנעשות בפנים בבגדי לבן אבל בעבודות הנעשות בחוץ בבגדי זהב אם הקדים מעשה לחבירו מה שעשה עשוי ו,35,18,3859,3859.0,3287,3287.0,0.0,0.0,2070002344
ref-t.2.5.3.4.24-ref-t.2.5.3.5.7,ref-y.2.5.5.7.3.60-ref-y.2.5.5.7.4.9,402533,402599,ref-t.2.5.3.4.24,ref-t.2.5.3.5.7,1461148,1461195,ref-y.2.5.5.7.3.60,ref-y.2.5.5.7.4.9,מכל המעשים מה שעשה עשוי נתן מקצת המתנות בפנים ונשפך הדם יביא ,כלה אמר ר' לעזר נתן מקצת מתנות ונשפך הדם מביא ,12,10,3862,3862.0,3290,3290.0,0.4098360655737705,0.6666666666666667,2070002345
ref-t.2.5.3.5.1-ref-t.2.5.3.5.7,ref-y.2.5.5.7.4.27-ref-y.2.5.5.7.4.34,402559,402599,ref-t.2.5.3.5.1,ref-t.2.5.3.5.7,1461293,1461333,ref-y.2.5.5.7.4.27,ref-y.2.5.5.7.4.34,נתן מקצת המתנות בפנים ונשפך הדם יביא ,נתן מקצת מתנות ונשפך הדם שמא אינו מביא ,7,8,3867,3867.0,3291,3290.0,0.41025641025641024,0.4444444444444444,2070002346
ref-t.2.5.3.5.24-ref-t.2.5.3.5.33,ref-y.2.5.5.7.4.4-ref-y.2.5.5.7.4.10,402694,402748,ref-t.2.5.3.5.24,ref-t.2.5.3.5.33,1461164,1461201,ref-y.2.5.5.7.4.4,ref-y.2.5.5.7.4.10,ונתן מקצת מתנות שבחוץ על המזבח ונשפך הדם יביא אחר ,נתן מקצת מתנות ונשפך הדם מביא אחרים ,10,7,3863,3862.0,3292,3292.0,0.38,0.4,2070002347
ref-t.2.5.3.5.24-ref-t.2.5.3.5.33,ref-y.2.5.5.7.4.27-ref-y.2.5.5.7.4.35,402694,402748,ref-t.2.5.3.5.24,ref-t.2.5.3.5.33,1461293,1461338,ref-y.2.5.5.7.4.27,ref-y.2.5.5.7.4.35,ונתן מקצת מתנות שבחוץ על המזבח ונשפך הדם יביא אחר ,נתן מקצת מתנות ונשפך הדם שמא אינו מביא אחרי ,10,9,3868,3867.0,3293,3292.0,0.44,0.5,2070002348
ref-t.2.5.3.5.46-ref-t.2.5.3.5.57,ref-y.1.6.8.4.5.126-ref-y.1.6.8.4.5.142,402815,402880,ref-t.2.5.3.5.46,ref-t.2.5.3.5.57,616587,616668,ref-y.1.6.8.4.5.126,ref-y.1.6.8.4.5.142,המתנות שעל גבי הפרכות שבחוץ ונתן מקצת מתנות על המזבח ר' לעזר ,נתונ' על גבי גחלים אמר ליה לכשיתננה אמר רבי מנא לר' שמי אתון אמרין יודי ר' ליעזר ,12,17,1635,1635.0,3294,3294.0,0.6666666666666666,0.75,2070002349
ref-t.2.5.3.7.4-ref-t.2.5.3.7.23,ref-y.2.5.5.6.2.4-ref-y.2.5.5.6.2.22,403137,403248,ref-t.2.5.3.7.4,ref-t.2.5.3.7.23,1456740,1456845,ref-y.2.5.5.6.2.4,ref-y.2.5.5.6.2.22,זה סימן כל הניטל מכחוץ להינתן בפנים ניטל מן הסמוך לפנים וכל היוצא מבפנים להינתן בחוץ ניתן מן הסמוך,זה סימן כל הניטל מכחוץ להינתן בפנים ניטל מן הסמוך לפנים וכל היוצא מבפנים להינתן בחוץ ניתן מן הסמוך,19,19,3839,3839.0,3295,3295.0,0.0,0.0,2070002350
ref-t.2.5.3.7.40-ref-t.2.5.3.7.47,ref-y.2.5.5.7.4.4-ref-y.2.5.5.7.4.10,403340,403385,ref-t.2.5.3.7.40,ref-t.2.5.3.7.47,1461164,1461201,ref-y.2.5.5.7.4.4,ref-y.2.5.5.7.4.10,נתן מקצת המתנות שבפנים ונשפך הדם יביא אחר ,נתן מקצת מתנות ונשפך הדם מביא אחרים ,8,7,3864,3862.0,3297,3297.0,0.2619047619047619,0.25,2070002351
ref-t.2.5.3.7.40-ref-t.2.5.3.7.49,ref-y.2.5.5.7.4.27-ref-y.2.5.5.7.4.37,403340,403396,ref-t.2.5.3.7.40,ref-t.2.5.3.7.49,1461293,1461354,ref-y.2.5.5.7.4.27,ref-y.2.5.5.7.4.37,נתן מקצת המתנות שבפנים ונשפך הדם יביא אחר ויתחיל על ,נתן מקצת מתנות ונשפך הדם שמא אינו מביא אחרי תחתיהן ומועלין ,10,11,3869,3867.0,3298,3297.0,0.4576271186440678,0.5714285714285714,2070002352
ref-t.2.5.3.8.8-ref-t.2.5.3.8.20,ref-y.3.2.13.4.2.135-ref-y.3.2.13.4.2.143,403477,403534,ref-t.2.5.3.8.8,ref-t.2.5.3.8.20,2521237,2521295,ref-y.3.2.13.4.2.135,ref-y.3.2.13.4.2.143,וכלה מכפר אם כיפר כלה דברי ר' עקיבא ר' יהודה או' אם כילה ,בכלים וכפר בקרקעו' בקרקעות וכפר בכלים אם כלים בכלים ,13,9,6986,6984.0,3299,3299.0,0.7017543859649122,0.6666666666666667,2070002353
ref-t.2.5.3.9.6-ref-t.2.5.3.9.14,ref-y.2.3.9.6.11.3-ref-y.2.3.9.6.11.14,403565,403628,ref-t.2.5.3.9.6,ref-t.2.5.3.9.14,1372038,1372104,ref-y.2.3.9.6.11.3,ref-y.2.3.9.6.11.14,שאבדו והפריש אחרים תחתיהן ולא הספיק להקריבן שנמצאו הראשנים ,ואבד והפריש אחר תחתיו לא חספיק להקריב את השני עד שנמצא הראשון ,9,12,3583,3573.0,3300,3300.0,0.3709677419354839,0.75,2070002354
ref-t.2.5.3.11.2-ref-t.2.5.3.11.25,ref-y.2.8.1.1.6.260-ref-y.2.8.1.1.6.267,403988,404124,ref-t.2.5.3.11.2,ref-t.2.5.3.11.25,1637628,1637676,ref-y.2.8.1.1.6.260,ref-y.2.8.1.1.6.267,חגיגה שלא קרבה בראשון תיקרב בשיני ומתירין לו,חגיגה שלא קרבה בראשון תיקרב בשיני ומתירין לו,22,8,4428,4428.0,3303,3303.0,0.0,0.0,2070002355
ref-t.2.5.3.10.36-ref-t.2.5.3.12.34,ref-y.4.6.1.4.1.179-ref-y.4.6.1.4.1.203,403974,404385,ref-t.2.5.3.10.36,ref-t.2.5.3.12.34,3339537,3339668,ref-y.4.6.1.4.1.179,ref-y.4.6.1.4.1.203,שלא ישתנה שעיר שלא קרב ברגל ייקרב בראש חדש לא קרב בראש חדש יקרב להבא שמתחילה לא הוקדשו קרבנות ציבור אלא ליקרב על מזבח החיצון,שלא ישתנה שעיר שלא קרב ברגל ייקרב בראש חדש לא קרב בראש חדש יקרב להבא שמתחילה לא הוקדשו קרבנות ציבור אלא ליקרב על מזבח החיצון,74,25,9579,9579.0,3301,3301.0,0.0,0.0,2070002356
ref-t.2.5.3.12.4-ref-t.2.5.3.12.15,ref-y.4.6.1.5.1.56-ref-y.4.6.1.5.1.69,404216,404281,ref-t.2.5.3.12.4,ref-t.2.5.3.12.15,3341464,3341545,ref-y.4.6.1.5.1.56,ref-y.4.6.1.5.1.69,קריבין בראשי חדשים שמכפרין כפרתן וכפרת ראשי חדשים אבל של ראשי חדשים אין קריבין בראשי חדשים שמכפרין כפרתן וכפרת ראשי חדשים אבל של ראשי חדשים אין קריבין,קריבין בראשי חדשים שמכפרין כפרתן וכפרת ראשי חדשים אבל של ראשי חדשים אין קריבין בראשי חדשים שמכפרין כפרתן וכפרת ראשי חדשים אבל של ראשי חדשים אין קריבין,10,14,9591,9591.0,3308,3308.0,0.0,0.0,2070002357
ref-t.2.5.3.11.2-ref-t.2.5.3.11.37,ref-y.4.10.3.2.16.31-ref-y.4.10.3.2.16.51,403988,404193,ref-t.2.5.3.11.2,ref-t.2.5.3.11.37,3533654,3533779,ref-y.4.10.3.2.16.31,ref-y.4.10.3.2.16.51,לו בראשון ומביא קרבן בשני ומביא קרבן בשלישי ומקריב קרבן ברביעי ומקריב קרבן בחמישי ומקריב קרבן ר' יוחנן אמר נתכפר לו בראשון ומביא קרבן בשני ומביא קרבן בשלישי ומקריב קרבן ברביעי ומקריב קרבן בחמישי ומקריב קרבן ר' יוחנן אמר נתכפר לו,לו בראשון ומביא קרבן בשני ומביא קרבן בשלישי ומקריב קרבן ברביעי ומקריב קרבן בחמישי ומקריב קרבן ר' יוחנן אמר נתכפר לו בראשון ומביא קרבן בשני ומביא קרבן בשלישי ומקריב קרבן ברביעי ומקריב קרבן בחמישי ומקריב קרבן ר' יוחנן אמר נתכפר לו,13,21,9977,9974.0,3302,3302.0,0.0,0.0,2070002358
ref-t.2.5.3.12.50-ref-t.2.5.3.12.62,ref-y.4.6.1.7.2.1-ref-y.4.6.1.7.2.14,404458,404513,ref-t.2.5.3.12.50,ref-t.2.5.3.12.62,3346479,3346541,ref-y.4.6.1.7.2.1,ref-y.4.6.1.7.2.14,יעמד חי עד מתי יהא זקוק להיות חי עד וכלה מכפר את הקדש ,יעמד חי מלמד שעתיד למות עד מתי הוא חי עד וכלה מכפר את הקודש ,13,14,9617,9617.0,3310,3310.0,0.3333333333333333,0.36363636363636365,2070002359
ref-t.2.5.3.12.78-ref-t.2.5.3.12.82,ref-y.2.5.3.7.5.85-ref-y.2.5.3.7.5.111,404580,404603,ref-t.2.5.3.12.78,ref-t.2.5.3.12.82,1427316,1427465,ref-y.2.5.3.7.5.85,ref-y.2.5.3.7.5.111,אמר חטאנו עם אבותינו העוינו והרשענו שלמה בנו אמ' חטאנו העוינו רשענו דניאל אמר חטאנו עוינו הרשענו ומרדנו אף הוא כך היה מתודה חטאתי עויתי פשעתי לפניך,אמר חטאנו עם אבותינו העוינו והרשענו שלמה בנו אמ' חטאנו העוינו רשענו דניאל אמר חטאנו עוינו הרשענו ומרדנו אף הוא כך היה מתודה חטאתי עויתי פשעתי לפניך,5,27,3757,3757.0,3311,3311.0,0.0,0.0,2070002360
ref-t.2.5.3.13.15-ref-t.2.5.3.13.64,ref-y.2.5.6.4.3.1-ref-y.2.5.6.4.4.3,404698,404946,ref-t.2.5.3.13.15,ref-t.2.5.3.13.64,1465243,1465478,ref-y.2.5.6.4.3.1,ref-y.2.5.6.4.4.3,יקירי ירושלם היו מלוין אותו עד ס' כה הראשונה תני עשר סוכות בתוך שנים עשר מיל דברי רבי מאיר רבי יהודה אומר עשר סוכות בתוך עשרה מיל ר' יוסי אומר חמש וכולן על ידי עירוב וכן אמר לי אליעזר בני יכול אני לעשותן שתים על ידי עירוב על כל סוכה,יקירי ירושלם היו מלוין אותו עד ס' כה הראשונה תני עשר סוכות בתוך שנים עשר מיל דברי רבי מאיר רבי יהודה אומר עשר סוכות בתוך עשרה מיל ר' יוסי אומר חמש וכולן על ידי עירוב וכן אמר לי אליעזר בני יכול אני לעשותן שתים על ידי עירוב על כל סוכה,31,31,3885,3885.0,3313,3313.0,0.0,0.0,2070002361
ref-t.2.5.3.14.6-ref-t.2.5.3.14.36,ref-y.2.5.6.3.3.47-ref-y.2.5.6.3.3.62,404969,405126,ref-t.2.5.3.14.6,ref-t.2.5.3.14.36,1462793,1462881,ref-y.2.5.6.3.3.47,ref-y.2.5.6.3.3.62,משלחו ביד אחר חלה המשתלח מרכיבו על החמור דחייו ולא מת יורד אחריו וממיתו,חלה השליח משלחו ביד אחר חלה המשתלח מרכיבו על החמור דחייו ולא מת יורד אחריו וממיתו,31,16,3877,3877.0,3315,3315.0,0.12345679012345678,0.0,2070002362
ref-t.2.5.3.14.17-ref-t.2.5.3.14.37,ref-y.3.6.9.1.1.68-ref-y.3.6.9.1.1.82,405027,405134,ref-t.2.5.3.14.17,ref-t.2.5.3.14.37,2707941,2708009,ref-y.3.6.9.1.1.68,ref-y.3.6.9.1.1.82,אחרים חלה משלחו מהו לשלחו ביד אחר אמ' להם כך תהי בשלום ואם דחאו ולא מת מהו שירד אחריו וימיתנו אמ' להם ,מה המיתה יציאתה אין לה יציאה אצל אחר אף הוייתה אין לה הוייה אצל אחר ,22,15,7541,7541.0,3317,3315.0,0.6764705882352942,0.8888888888888888,2070002363
ref-t.2.5.3.14.45-ref-t.2.5.3.14.56,ref-y.2.5.6.3.3.47-ref-y.2.5.6.3.3.62,405167,405228,ref-t.2.5.3.14.45,ref-t.2.5.3.14.56,1462793,1462881,ref-y.2.5.6.3.3.47,ref-y.2.5.6.3.3.62,חלה מרכיבו חלה משלחו ביד אחר דחאו ולא מת ירד אחריו וימיתנו ,חלה השליח משלחו ביד אחר חלה המשתלח מרכיבו על החמור דחייו ולא מת יורד אחריו וממיתו ,12,16,3878,3877.0,3318,3318.0,0.43902439024390244,0.3571428571428571,2070002364
ref-t.2.5.3.16.6-ref-t.2.5.3.16.25,ref-y.2.1.7.2.17.53-ref-y.2.1.7.2.17.64,405517,405640,ref-t.2.5.3.16.6,ref-t.2.5.3.16.25,1000805,1000877,ref-y.2.1.7.2.17.53,ref-y.2.1.7.2.17.64,שאין מטמין בגדים מטמין אוכלין ומשקין דברי ר' מאיר וחכמים אומ' פרה ופרים הנשרפין מטמין אוכלין ומשקין ושעיר המשתלח אין ,הטומאה אינו מטמא אלא אוכלין ומשקין וכלי חרש אוכלין ומשקין וכלי אינן ,20,12,2662,2660.0,3324,3319.0,0.6153846153846154,0.8333333333333334,2070002365
ref-t.2.5.3.16.1-ref-t.2.5.3.16.7,ref-y.2.5.6.6.2.7-ref-y.2.5.6.6.2.11,405480,405528,ref-t.2.5.3.16.1,ref-t.2.5.3.16.7,1466927,1466967,ref-y.2.5.6.6.2.7,ref-y.2.5.6.6.2.11,פרים הנשרפין ושעירים הנשרפים אע'פ שאין מטמין ,פרים הנשרפין ושעירין הנשרפין שניטמאו ,7,5,3887,3887.0,3320,3319.0,0.28888888888888886,0.5714285714285714,2070002366
ref-t.2.5.3.16.1-ref-t.2.5.3.16.8,ref-y.2.5.6.6.4.9-ref-y.2.5.6.6.4.20,405480,405534,ref-t.2.5.3.16.1,ref-t.2.5.3.16.8,1467511,1467588,ref-y.2.5.6.6.4.9,ref-y.2.5.6.6.4.20,פרים הנשרפין ושעירים הנשרפים אע'פ שאין מטמין בגדים ,פרים הנשרפין ושעירים הנשרפין שיצאו וחזרו פשיטה דרך חזירה אינו מטמא בגדים ,8,12,3890,3890.0,3322,3319.0,0.410958904109589,0.5833333333333333,2070002367
ref-t.2.5.3.16.1-ref-t.2.5.3.16.7,ref-y.2.5.6.6.5.7-ref-y.2.5.6.6.5.11,405480,405528,ref-t.2.5.3.16.1,ref-t.2.5.3.16.7,1467924,1467963,ref-y.2.5.6.6.5.7,ref-y.2.5.6.6.5.11,פרים הנשרפין ושעירים הנשרפים אע'פ שאין מטמין ,פרים הנשרפין ושעירין הנשרפין שניטמו ,7,5,3893,3893.0,3321,3319.0,0.28888888888888886,0.5714285714285714,2070002368
ref-t.2.5.3.16.1-ref-t.2.5.3.16.8,ref-y.2.5.6.6.5.120-ref-y.2.5.6.6.5.126,405480,405534,ref-t.2.5.3.16.1,ref-t.2.5.3.16.8,1468515,1468563,ref-y.2.5.6.6.5.120,ref-y.2.5.6.6.5.126,פרים הנשרפין ושעירים הנשרפים אע'פ שאין מטמין בגדים ,פרים הנשרפין ושעירים הנשרפין מהו שיטמו בגדים ,8,7,3900,3895.0,3323,3319.0,0.21568627450980393,0.5,2070002369
ref-t.2.5.3.16.1-ref-t.2.5.3.16.6,ref-y.2.10.1.11.5.1-ref-y.2.10.1.11.5.5,405480,405522,ref-t.2.5.3.16.1,ref-t.2.5.3.16.6,1878329,1878365,ref-y.2.10.1.11.5.1,ref-y.2.10.1.11.5.5,פרים הנשרפין ושעירים הנשרפים אע'פ שאין ,פרים הנשרפים ושעירים הנשרפין איכן ,6,5,4908,4908.0,3319,3319.0,0.23076923076923078,0.5,2070002370
ref-t.2.5.3.17.34-ref-t.2.5.3.17.40,ref-y.2.5.6.6.9.12-ref-y.2.5.6.6.9.26,406010,406054,ref-t.2.5.3.17.34,ref-t.2.5.3.17.40,1469700,1469781,ref-y.2.5.6.6.9.12,ref-y.2.5.6.6.9.26,השורף ואחד המסייע בשעת שריפה מטמין בגדים ,השורף זהו המסייע בשעת שריפה אמר רבי יוסי הדא אמרה מסייע בשעת שריפה מטמא בגדים ,7,15,3919,3919.0,3325,3325.0,0.5256410256410257,0.5833333333333333,2070002371
ref-t.2.5.3.18.1-ref-t.2.5.3.18.16,ref-y.2.5.7.1.5.1-ref-y.2.5.7.1.5.10,406114,406206,ref-t.2.5.3.18.1,ref-t.2.5.3.18.16,1471247,1471305,ref-y.2.5.7.1.5.1,ref-y.2.5.7.1.5.10,שמנה ברכות מברך עליהן באותו היום על התורה כדרך שמברכין על התורה בבית הכנסת על העבדה ,ומברך עליה שמונה ברכות על התורה הבוחר בתורה על העבודה ,16,10,3922,3922.0,3326,3326.0,0.5476190476190477,0.6666666666666667,2070002372
ref-t.2.5.3.18.1-ref-t.2.5.3.18.16,ref-y.3.5.7.6.3.1-ref-y.3.5.7.6.3.10,406114,406206,ref-t.2.5.3.18.1,ref-t.2.5.3.18.16,2326277,2326335,ref-y.3.5.7.6.3.1,ref-y.3.5.7.6.3.10,שמנה ברכות מברך עליהן באותו היום על התורה כדרך שמברכין על התורה בבית הכנסת על העבדה ,ומברך עליה שמונה ברכות על התורה הבוחר בתורה על העבודה ,16,10,6413,6413.0,3327,3326.0,0.5476190476190477,0.6666666666666667,2070002373
