baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-m,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-m.3.1.12.2.16-ref-m.3.1.12.2.27,ref-sifre-d.291.3.24-ref-sifre-d.291.3.34,306007,306066,ref-m.3.1.12.2.16,ref-m.3.1.12.2.27,275969,276025,ref-sifre-d.291.3.24,ref-sifre-d.291.3.34,בגדול שהוא יכול להלוך בו או בקטן שהוא חופה את רוב רגלו ,לגדול שאין יכול לילך בו ולקטן שאין חופה את רוב הרגל ,12,11,841,841.0,264,264.0,0.2545454545454545,0.3636363636363636,5,יכול בו חופה את רוב,1060000195,12,11
ref-m.3.1.12.2.39-ref-m.3.1.12.3.29,ref-sifre-d.291.5.15-ref-sifre-d.291.5.40,306135,306312,ref-m.3.1.12.2.39,ref-m.3.1.12.3.29,276306,276448,ref-sifre-d.291.5.15,ref-sifre-d.291.5.40,"קראה חליצתה כשרה קראה ורקקה ולא חלצה חליצתה פסולה חלצה וקראה אבל לא רקקה ר' אליעזר אומר חליצתה פסולה ור""ע אומר חליצתה כשרה","חלצה ורקקה ולא קראה חליצתה כשרה קראה ורקקה ולא חלצה חליצתה פסולה חלצה וקראה אבל לא רקקה ר' אליעזר אומר חליצתה פסולה ור""ע אומר חליצתה כשרה",23,26,844,844.0,267,267.0,0.1094890510948905,0.0,21,"קראה חליצתה כשרה קראה ורקקה ולא חלצה חליצתה פסולה חלצה וקראה אבל לא רקקה ר'_אליעזר_אומר חליצתה פסולה ור""ע אומר חליצתה כשרה",1060000196,23,26
ref-m.3.1.12.2.34-ref-m.3.1.12.4.2,ref-sifre-d.291.7.3-ref-sifre-d.291.7.51,306103,306436,ref-m.3.1.12.2.34,ref-m.3.1.12.4.2,276574,276823,ref-sifre-d.291.7.3,ref-sifre-d.291.7.51,"חלצה ורקקה ולא קראה חליצתה כשרה קראה ורקקה ולא חלצה חליצתה פסולה חלצה וקראה אבל לא רקקה ר""א אומר חליצתה פסולה ור""ע אומר חליצתה כשרה א""ל ר""א ככה יעשה כל דבר שהוא מעשה מעכב א""ל ר""ע משם ראיה ככה יעשה לאיש כל דבר שהוא מעשה באיש","לאיש מכאן אמרו חלצה ורקקה ולא קראה חליצתה כשרה קראה ורקקה ולא חלצה חליצתה פסולה חלצה וקראה אבל לא רקקה ר""א אומר חליצתה פסולה ור""ע אומר חליצתה כשרה א""ל ר""א ככה יעשה כל דבר שהוא מעשה מעכב א""ל ר""ע משם ראיה ככה יעשה לאיש כל דבר שהוא מעשה באיש",46,49,852,852.0,265,265.0,0.0630252100840336,0.05,46,"חלצה ורקקה ולא קראה חליצתה כשרה קראה ורקקה ולא חלצה חליצתה פסולה חלצה וקראה אבל לא רקקה ר""א אומר חליצתה פסולה ור""ע אומר חליצתה כשרה א""ל ר""א ככה יעשה כל דבר שהוא מעשה מעכב א""ל ר""ע משם ראיה ככה יעשה לאיש כל דבר שהוא מעשה באיש",1060000197,46,49
ref-m.3.1.12.6.21-ref-m.3.1.12.6.28,ref-sifre-d.289.8.10-ref-sifre-d.289.9.6,306817,306861,ref-m.3.1.12.6.21,ref-m.3.1.12.6.28,274852,274900,ref-sifre-d.289.8.10,ref-sifre-d.289.9.6,והיא אומרת מאן יבמי להקים לאחיו שם בישראל ,ושיהיה בזקנים מאן יבמי להקים לאחיו שם בישראל ,8,8,831,831.0,271,269.0,0.2,0.3333333333333333,6,מאן יבמי להקים לאחיו שם בישראל,1060000198,8,8
ref-m.3.1.12.6.15-ref-m.3.1.12.6.31,ref-sifre-d.289.10.21-ref-sifre-d.290.2.2,306785,306873,ref-m.3.1.12.6.15,ref-m.3.1.12.6.31,275271,275388,ref-sifre-d.289.10.21,ref-sifre-d.290.2.2,וקראו לו זקני עירו מצוה בזקני עירו ולא בשלוחם ודברו אליו,בישראל ולא בגרים לא אבה יבמי ולא שלא אבה בה המקום וקראו לו זקני עירו מצוה בזקני עירו ולא בשלוחם ודברו אליו,11,22,837,837.0,269,269.0,0.4716981132075472,0.4615384615384615,11,וקראו לו זקני עירו מצוה בזקני עירו ולא בשלוחם ודברו אליו,1060000199,11,22
ref-m.3.1.12.6.41-ref-m.3.1.12.6.45,ref-sifre-d.291.1.1-ref-sifre-d.291.1.5,306925,306957,ref-m.3.1.12.6.41,ref-m.3.1.12.6.45,275698,275730,ref-sifre-d.291.1.1,ref-sifre-d.291.1.5,ונגשה יבמתו אליו לעיני הזקנים ,ונגשה יבמתו אליו לעיני הזקנים ,5,5,839,839.0,272,272.0,0.0,0.0,5,ונגשה יבמתו אליו לעיני הזקנים,1060000200,5,5
ref-m.3.1.12.6.44-ref-m.3.1.12.6.53,ref-sifre-d.291.2.5-ref-sifre-d.291.3.6,306943,307002,ref-m.3.1.12.6.44,ref-m.3.1.12.6.53,275789,275882,ref-sifre-d.291.2.5,ref-sifre-d.291.3.6,לעיני הזקנים וחלצה נעלו מעל רגלו וירקה בפניו רוק הנראה ,וירקה רוק הנראה לעיני הזקנים מלמד שמתיחדת עמו לעיני הזקנים וחלצה נעלו אין לי אלא נעלו ,10,16,840,840.0,273,272.0,0.6976744186046512,0.5,4,לעיני הזקנים וחלצה נעלו,1060000201,10,16
ref-m.3.1.12.6.57-ref-m.3.1.12.6.65,ref-sifre-d.291.7.44-ref-sifre-d.291.8.6,307026,307064,ref-m.3.1.12.6.57,ref-m.3.1.12.6.65,276785,276847,ref-sifre-d.291.7.44,ref-sifre-d.291.8.6,ככה יעשה לאיש אשר לא יבנה את בית אחיו ,ככה יעשה לאיש כל דבר שהוא מעשה באיש אשר לא יבנה את בית אחיו ,2,14,854,852.0,274,274.0,0.3666666666666666,0.2222222222222222,9,ככה יעשה לאיש אשר לא יבנה את בית אחיו,1060000202,9,14
ref-m.3.1.12.6.87-ref-m.3.1.12.6.109,ref-sifre-d.291.10.1-ref-sifre-d.291.10.21,307180,307305,ref-m.3.1.12.6.87,ref-m.3.1.12.6.109,276992,277104,ref-sifre-d.291.10.1,ref-sifre-d.291.10.21,מצוה בדיינים ולא מצוה בתלמידים ר' יהודה אומר מצוה על כל העומדים שם לומר חלוץ הנעל חלוץ הנעל,בית חלוץ הנעל מצוה בדיינים ולא מצוה בתלמידים ר' יהודה אומר מצוה על כל העומדים שם לומר חלוץ הנעל חלוץ הנעל,18,21,855,855.0,275,275.0,0.1333333333333333,0.0833333333333333,16,מצוה בדיינים ולא מצוה בתלמידים ר'_יהודה_אומר מצוה על כל העומדים שם לומר חלוץ הנעל חלוץ הנעל,1060000203,18,21
ref-m.3.1.12.6.105-ref-m.3.1.12.6.109,ref-sifre-d.291.10.37-ref-sifre-d.291.10.41,307279,307305,ref-m.3.1.12.6.105,ref-m.3.1.12.6.109,277178,277206,ref-sifre-d.291.10.37,ref-sifre-d.291.10.41,לומר חלוץ הנעל חלוץ הנעל ,ואמרו חלוץ הנעל חלוץ הנעל ,5,5,857,857.0,277,275.0,0.1153846153846153,0.0,4,חלוץ הנעל חלוץ הנעל,1060000204,5,5
ref-m.3.1.13.2.8-ref-m.3.1.13.2.13,ref-sifre-d.17.7.75-ref-sifre-d.17.7.83,307767,307803,ref-m.3.1.13.2.8,ref-m.3.1.13.2.13,21789,21837,ref-sifre-d.17.7.75,ref-sifre-d.17.7.83,אמה ואחיה לדעתה השיאוה שלא לדעתה ,חייך שאני מודיעך שאין אתה רואה ואימתי הודיע לו ,6,9,19,19.0,278,278.0,0.7021276595744681,1.0,0,,1060000205,6,9
ref-m.3.1.13.4.9-ref-m.3.1.13.4.28,ref-sifre-d.270.7.27-ref-sifre-d.270.8.6,308161,308269,ref-m.3.1.13.4.9,ref-m.3.1.13.4.28,258536,258594,ref-sifre-d.270.7.27,ref-sifre-d.270.8.6,ולא פסלה מן הכהונה נתן לה גט הוא אסור בקרובותיה והיא אסורה בקרוביו ופסלה מן הכהונה נתן לה גט והחזירה ,תהיה אסורה לחזור לו ומנין לנותן גט ליבמתו שאסורה לחזור ,20,10,696,694.0,279,279.0,0.7425742574257426,0.8,2,אסורה גט,1060000206,20,10
ref-m.3.1.13.4.41-ref-m.3.1.13.4.60,ref-sifre-d.270.7.6-ref-sifre-d.270.8.3,308335,308437,ref-m.3.1.13.4.41,ref-m.3.1.13.4.60,258429,258572,ref-sifre-d.270.7.6,ref-sifre-d.270.8.3,"לאחר שנתגרשה תהא אסורה לחזור לו ת""ל וכתב לה ויצאה היוצאה בגט תהא אסורה לחזור לו ולא שקלקלה על בעלה תהיה אסורה לחזור לו ומנין לנותן גט","לאחר שנתגרשה תהא אסורה לחזור לו ת""ל וכתב לה ויצאה היוצאה בגט תהא אסורה לחזור לו ולא שקלקלה על בעלה תהיה אסורה לחזור לו ומנין לנותן גט",27,27,695,694.0,280,280.0,0.0,0.0,27,"לאחר שנתגרשה תהא אסורה לחזור לו ת""ל וכתב לה ויצאה היוצאה בגט תהא אסורה לחזור לו ולא שקלקלה על בעלה תהיה אסורה לחזור לו ומנין לנותן גט",1060000207,27,27
ref-m.3.1.15.1.1-ref-m.3.1.15.1.15,ref-sifre-d.270.8.14-ref-sifre-d.270.8.23,312359,312447,ref-m.3.1.15.1.1,ref-m.3.1.15.1.15,258630,258682,ref-sifre-d.270.8.14,ref-sifre-d.270.8.23,האשה שהלכה היא ובעלה למדינת הים שלום בינו לבינה ושלום בעולם ובאתה ואמרה מת בעלי ,לאשה שהלך בעלה למדינת הים ואמרו לה הרי מת בעליך ,10,3,699,697.0,282,282.0,0.5,0.5333333333333333,3,למדינת הים מת,1060000208,15,10
ref-m.3.1.15.4.31-ref-m.3.1.15.4.44,ref-sifre-d.190.3.20-ref-sifre-d.190.3.36,313368,313430,ref-m.3.1.15.4.31,ref-m.3.1.15.4.44,201409,201492,ref-sifre-d.190.3.20,ref-sifre-d.190.3.36,עד אומר מת ושנים אומרים לא מת אף על פי שנשאת תצא שנים אומרים ,לעדות נאמר כאן שני ונאמר להלן שני מה שני האמור כאן אנשים ולא נשים אף שני האמור ,14,2,446,444.0,283,283.0,0.6329113924050633,0.9411764705882352,0,,1060000209,14,17
ref-m.3.1.15.5.64-ref-m.3.1.15.6.10,ref-sifre-d.270.8.14-ref-sifre-d.270.8.23,313779,313863,ref-m.3.1.15.5.64,ref-m.3.1.15.6.10,258630,258682,ref-sifre-d.270.8.14,ref-sifre-d.270.8.23,לאשה שהלך בעלה למדינת הים ואמרו לה הרי מת בעליך,לאשה שהלך בעלה למדינת הים ואמרו לה הרי מת בעליך,3,3,700,697.0,284,284.0,0.0,0.0,10,לאשה שהלך בעלה למדינת הים ואמרו לה הרי מת בעליך,1060000210,10,10
ref-m.3.1.15.8.1-ref-m.3.1.15.8.12,ref-sifre-d.270.8.14-ref-sifre-d.270.8.23,314611,314679,ref-m.3.1.15.8.1,ref-m.3.1.15.8.12,258630,258682,ref-sifre-d.270.8.14,ref-sifre-d.270.8.23,האשה שהלכה היא ובעלה למדינת הים ובנה עמהם ובאה ואמרה מת בעלי ,לאשה שהלך בעלה למדינת הים ואמרו לה הרי מת בעליך ,7,3,701,697.0,286,286.0,0.3770491803278688,0.4615384615384615,3,למדינת הים מת,1060000211,12,10
ref-m.3.1.15.10.18-ref-m.3.1.15.10.26,ref-sifre-d.270.8.15-ref-sifre-d.270.8.23,314985,315033,ref-m.3.1.15.10.18,ref-m.3.1.15.10.26,258636,258682,ref-sifre-d.270.8.15,ref-sifre-d.270.8.23,הלכה היא ובעלה ויבמה למדינת הים אמרה מת בעלי ,שהלך בעלה למדינת הים ואמרו לה הרי מת בעליך ,9,2,704,697.0,287,287.0,0.5111111111111111,0.5454545454545454,3,למדינת הים מת,1060000212,9,9
ref-m.3.1.16.1.1-ref-m.3.1.16.1.11,ref-sifre-d.270.8.14-ref-sifre-d.270.8.23,315215,315276,ref-m.3.1.16.1.1,ref-m.3.1.16.1.11,258630,258682,ref-sifre-d.270.8.14,ref-sifre-d.270.8.23,האשה שהלך בעלה וצרתה למדינת הים ובאו ואמרו לה מת בעליך ,לאשה שהלך בעלה למדינת הים ואמרו לה הרי מת בעליך ,1,3,702,697.0,288,288.0,0.2909090909090909,0.2727272727272727,8,שהלך בעלה למדינת הים ואמרו לה מת בעליך,1060000213,11,10
ref-m.3.1.16.4.49-ref-m.3.1.16.4.61,ref-sifre-d.291.4.1-ref-sifre-d.291.4.7,316226,316299,ref-m.3.1.16.4.49,ref-m.3.1.16.4.61,276069,276106,ref-sifre-d.291.4.1,ref-sifre-d.291.4.7,עלה בידם אלא רגלו אמרו חכמים מן הארכובה ולמעלה תנשא מן הארכובה ולמטה ,מעל רגלו מכאן אמרו מן הארכובה ולמטה ,13,7,843,842.0,289,289.0,0.5507246376811594,0.5,5,רגלו אמרו מן הארכובה ולמטה,1060000214,13,7
ref-m.3.2.3.1.36-ref-m.3.2.3.1.47,ref-sifre-d.116.5.1-ref-sifre-d.116.6.1,322072,322127,ref-m.3.2.3.1.36,ref-m.3.2.3.1.47,153549,153640,ref-sifre-d.116.5.1,ref-sifre-d.116.6.1,אחיך זה אחיך מאביך מאמך כשהוא אומר מאחד אחיך מלמד שאחיך מאביך קודם לאחיך מאמך באחת,אחיך זה אחיך מאביך מאמך כשהוא אומר מאחד אחיך מלמד שאחיך מאביך קודם לאחיך מאמך באחת,4,4,282,282.0,292,292.0,0.0,0.0,16,אחיך זה אחיך מאביך מאמך כשהוא אומר מאחד אחיך מלמד שאחיך מאביך קודם לאחיך מאמך באחת,1060000215,16,16
ref-m.3.2.3.1.32-ref-m.3.2.3.1.48,ref-sifre-d.280.2.10-ref-sifre-d.280.2.23,322052,322132,ref-m.3.2.3.1.32,ref-m.3.2.3.1.48,264589,264663,ref-sifre-d.280.2.10,ref-sifre-d.280.2.23,אביו ואחי אמו ובעל אחותו ובעל אחות אביו ובעל אחות אמו ובעל,אחיו ואחי אביו ואחי אמו ובעל אחותו ובעל אחות אביו ובעל אחות אמו ובעל,3,5,732,732.0,290,290.0,0.1470588235294117,0.0,12,אביו ואחי אמו ובעל אחותו ובעל אחות אביו ובעל אחות אמו ובעל,1060000216,12,14
ref-m.3.2.3.2.39-ref-m.3.2.3.2.51,ref-sifre-d.194.2.2-ref-sifre-d.194.2.16,322396,322440,ref-m.3.2.3.2.39,ref-m.3.2.3.2.51,206010,206084,ref-sifre-d.194.2.2,ref-sifre-d.194.2.16,בתו על בת בנו על בת אשתו על בת בנה על בת בתה ,בנה בית אין לי אלא בית מנין לרבות בית התבן ובית הבקר ובית העצים ובית ,13,1,477,472.0,294,294.0,0.6666666666666666,0.8181818181818181,1,בנה,1060000217,13,15
ref-m.3.2.3.5.2-ref-m.3.2.3.5.31,ref-sifre-d.238.8.3-ref-sifre-d.238.8.35,322909,323071,ref-m.3.2.3.5.2,ref-m.3.2.3.5.31,237835,238014,ref-sifre-d.238.8.3,ref-sifre-d.238.8.35,"לאשה מלמד ששותה בעציצו ואפילו היא חיגרת ואפי' היא סומא ואפי' היא מוכת שחין נמצא בה דבר זימה או שאינה ראויה לבא בישראל יכול יהיה רשאי לקיימה ת""ל ולו תהיה לאשה אשה הראויה","לאשה מלמד ששותה בעציצו ואפילו היא חיגרת ואפי' היא סומא ואפי' היא מוכת שחין נמצא בה דבר זימה או שאינה ראויה לבא בישראל יכול יהיה רשאי לקיימה ת""ל ולו תהיה לאשה אשה הראויה",33,33,629,629.0,295,295.0,0.0,0.0,33,"לאשה מלמד ששותה בעציצו ואפילו היא חיגרת ואפי' היא סומא ואפי' היא מוכת שחין נמצא בה דבר זימה או שאינה ראויה לבא בישראל יכול יהיה רשאי לקיימה ת""ל ולו תהיה לאשה אשה הראויה",1060000218,33,33
ref-m.3.2.3.5.2-ref-m.3.2.3.5.32,ref-sifre-d.245.5.3-ref-sifre-d.245.5.36,322909,323074,ref-m.3.2.3.5.2,ref-m.3.2.3.5.32,243762,243945,ref-sifre-d.245.5.3,ref-sifre-d.245.5.36,"לאשה מלמד ששותה בעציצו ואפילו היא חיגרת ואפילו היא סומא ואפילו היא מוכת עץ שחין נמצא בה דבר זימה או שאינה ראויה לבא בישראל יכול יהיה רשאי לקיימה ת""ל ולו תהיה לאשה הראויה לו","לאשה מלמד ששותה בעציצו ואפילו היא חיגרת ואפילו היא סומא ואפילו היא מוכת עץ שחין נמצא בה דבר זימה או שאינה ראויה לבא בישראל יכול יהיה רשאי לקיימה ת""ל ולו תהיה לאשה הראויה לו",34,34,640,640.0,297,297.0,0.0,0.0,34,"לאשה מלמד ששותה בעציצו ואפילו היא חיגרת ואפילו היא סומא ואפילו היא מוכת עץ שחין נמצא בה דבר זימה או שאינה ראויה לבא בישראל יכול יהיה רשאי לקיימה ת""ל ולו תהיה לאשה הראויה לו",1060000219,34,34
ref-m.3.2.3.6.1-ref-m.3.2.3.6.8,ref-sifre-d.245.6.9-ref-sifre-d.245.6.17,323075,323125,ref-m.3.2.3.6.1,ref-m.3.2.3.6.8,243985,244046,ref-sifre-d.245.6.9,ref-sifre-d.245.6.17,יתומה שנתארסה ונתגרשה רבי אלעזר אומר המפתה פטור ,יתומה שנתארסה שנתארמלה או שנתגרשה האונס חייב והמפתה פטור ,8,9,642,642.0,299,299.0,0.4210526315789473,0.6,3,יתומה שנתארסה פטור,1060000220,8,9
ref-m.3.2.4.3.15-ref-m.3.2.4.3.23,ref-sifre-d.238.6.4-ref-sifre-d.238.6.12,324387,324439,ref-m.3.2.4.3.15,ref-m.3.2.4.3.23,237678,237736,ref-sifre-d.238.6.4,ref-sifre-d.238.6.12,ולא מאה סלע היתה הורתה שלא בקדושה ולידתה בקדושה ,ולא לאבי גיורת שהיתה הורתה שלא בקדושה ולידתה בקדושה ,9,9,628,628.0,300,300.0,0.173076923076923,0.5,6,ולא הורתה שלא בקדושה ולידתה בקדושה,1060000221,9,9
ref-m.3.2.4.3.18-ref-m.3.2.4.3.23,ref-sifre-d.289.10.9-ref-sifre-d.289.10.14,324400,324439,ref-m.3.2.4.3.18,ref-m.3.2.4.3.23,275192,275233,ref-sifre-d.289.10.9,ref-sifre-d.289.10.14,היתה הורתה שלא בקדושה ולידתה בקדושה ,שהיתה הורתן שלא בקדושה ולידתן בקדושה ,6,6,836,836.0,301,300.0,0.081081081081081,0.75,3,שלא בקדושה בקדושה,1060000222,6,6
ref-m.3.2.4.3.46-ref-m.3.2.4.3.61,ref-sifre-d.239.2.4-ref-sifre-d.239.2.26,324546,324607,ref-m.3.2.4.3.46,ref-m.3.2.4.3.61,238257,238342,ref-sifre-d.239.2.4,ref-sifre-d.239.2.26,פתח בית אביה אין לי אלא שיש לה אב ויש לה פתח בית אב יש לה פתח בית אב ואין לה אב,אל פתח בית אביה אין לי אלא שיש לה אב ויש לה פתח בית אב יש לה פתח בית אב ואין לה אב,22,23,631,631.0,302,302.0,0.0365853658536585,0.125,20,פתח בית אביה אין_לי_אלא שיש לה אב ויש לה פתח בית אב יש לה פתח בית אב ואין לה אב,1060000223,22,23
ref-m.3.2.5.1.21-ref-m.3.2.5.1.40,ref-sifre-d.270.9.9-ref-sifre-d.270.9.17,326325,326428,ref-m.3.2.5.1.21,ref-m.3.2.5.1.40,258884,258948,ref-sifre-d.270.9.9,ref-sifre-d.270.9.17,מן הנשואים לנשואים לארוסים מן האירוסים מן האירוסים לנשואים,מן הנשואים לנשואים לארוסים מן האירוסים מן האירוסים לנשואים,9,9,709,709.0,304,304.0,0.0,0.0,9,מן הנשואים לנשואים לארוסים מן האירוסים מן האירוסים לנשואים,1060000224,9,9
ref-m.3.2.5.9.26-ref-m.3.2.5.9.34,ref-sifre-d.166.6.12-ref-sifre-d.166.6.18,328930,328978,ref-m.3.2.5.9.26,ref-m.3.2.5.9.34,188682,188720,ref-sifre-d.166.6.12,ref-sifre-d.166.6.18,משקל חמש סלעים שתי ביהודה שהן עשר סלעים בגליל ,משקל ה' סלעים ביהודה שהם עשרה בגליל ,9,7,401,396.0,306,306.0,0.3043478260869565,0.5,4,משקל סלעים ביהודה בגליל,1060000225,9,7
ref-m.3.2.5.9.36-ref-m.3.2.5.9.44,ref-sifre-d.166.6.12-ref-sifre-d.166.6.18,328982,329032,ref-m.3.2.5.9.36,ref-m.3.2.5.9.44,188682,188720,ref-sifre-d.166.6.12,ref-sifre-d.166.6.18,משקל עשר סלעים ערב ביהודה שהן עשרים סלעים בגליל ,משקל ה' סלעים ביהודה שהם עשרה בגליל ,9,7,402,396.0,307,307.0,0.3333333333333333,0.5,4,משקל סלעים ביהודה בגליל,1060000226,9,7
ref-m.3.2.8.4.6-ref-m.3.2.8.4.16,ref-sifre-d.283.4.42-ref-sifre-d.283.4.52,333985,334048,ref-m.3.2.8.4.6,ref-m.3.2.8.4.16,266872,266916,ref-sifre-d.283.4.42,ref-sifre-d.283.4.52,כחו בכניסתה הורע כחו ביציאתה מקום שהורע כחו בכניסתה יפה כחו ,כחו של בעל הבית או הורע כחו אמרו לו יופי כחו ,11,11,766,762.0,308,308.0,0.55,0.6666666666666667,4,כחו הורע כחו כחו,1060000227,11,11
ref-m.3.2.10.1.14-ref-m.3.2.10.2.10,ref-sifre-d.190.2.1-ref-sifre-d.190.2.16,338604,338730,ref-m.3.2.10.1.14,ref-m.3.2.10.2.10,201201,201271,ref-sifre-d.190.2.1,ref-sifre-d.190.2.16,שני האנשים אין לי אלא בזמן שהם שני אנשים איש עם אשה ואשה עם איש שתי,שני האנשים אין לי אלא בזמן שהם שני אנשים איש עם אשה ואשה עם איש שתי,16,16,441,441.0,310,310.0,0.0,0.0,13,שני האנשים אין_לי_אלא_בזמן שהם שני אנשים איש עם אשה ואשה עם איש שתי,1060000228,16,16
ref-m.3.2.10.1.4-ref-m.3.2.10.1.20,ref-sifre-d.289.4.9-ref-sifre-d.289.4.17,338536,338639,ref-m.3.2.10.1.4,ref-m.3.2.10.1.20,274332,274370,ref-sifre-d.289.4.9,ref-sifre-d.289.4.17,שתי נשים ומת הראשונה קודמת לשניה ויורשי הראשונה קודמים ליורשי שניה נשא את הראשונה ומתה נשא שניה ,אשת שנים מנין מת ראשון ייבם שני מת שני ,17,9,830,829.0,309,309.0,0.6875,0.6923076923076923,0,,1060000229,17,9
ref-m.3.2.10.4.7-ref-m.3.2.10.4.26,ref-sifre-d.38.10.131-ref-sifre-d.38.11.12,339153,339243,ref-m.3.2.10.4.7,ref-m.3.2.10.4.26,60936,61006,ref-sifre-d.38.10.131,ref-sifre-d.38.11.12,כתובתה של זו מנה ושל זו מאתים ושל זו שלש מאות ואין שם אלא מנה חולקות בשוה היו שם מאתים ,שהייתם אתם שם אתה אומר לכך בא הכתוב להקיש ביאתה של זו לביאתה של זו ,20,15,61,61.0,312,312.0,0.7241379310344828,0.7058823529411764,3,של זו זו,1060000230,20,15
ref-m.3.2.11.2.6-ref-m.3.2.11.3.1,ref-sifre-d.118.4.18-ref-sifre-d.118.4.35,340152,340337,ref-m.3.2.11.2.6,ref-m.3.2.11.3.1,156362,156448,ref-sifre-d.118.4.18,ref-sifre-d.118.4.35,"מנין כשמוכר עצמו לא ימכר אלא לך ת""ל ונמכר לך מנין כשב""ד מוכרים אותו אינו נמכר אלא לך","מנין כשמוכר עצמו לא ימכר אלא לך ת""ל ונמכר לך מנין כשב""ד מוכרים אותו אינו נמכר אלא לך",18,18,297,297.0,313,313.0,0.0,0.0,18,"מנין כשמוכר עצמו לא ימכר אלא לך ת""ל ונמכר לך מנין כשב""ד מוכרים אותו אינו נמכר אלא לך",1060000231,18,18
ref-m.3.2.12.4.65-ref-m.3.2.13.1.10,ref-sifre-d.105.19.5-ref-sifre-d.105.19.13,342572,342633,ref-m.3.2.12.4.65,ref-m.3.2.13.1.10,144050,144096,ref-sifre-d.105.19.5,ref-sifre-d.105.19.13,שנים שני דייני גזירות היו בירושלם אדמון וחנן בן אבישלום חנן ,חנויות בני חנן שתי שנים קודם לארץ ישראל שהיו ,11,9,243,243.0,315,315.0,0.7166666666666667,0.8,1,חנן,1060000232,11,9
ref-m.3.3.5.5.27-ref-m.3.3.5.5.43,ref-sifre-d.357.28.6-ref-sifre-d.357.28.26,354004,354102,ref-m.3.3.5.5.27,ref-m.3.3.5.5.43,385629,385729,ref-sifre-d.357.28.6,ref-sifre-d.357.28.26,לנשיא רבי יהודה אומר אחד כותב לנשיא ואחד כותב להדיוט מה בין כותב לנשיא לכותב להדיוט שהכותב ,משה וכתיב וימת שם משה אלא עד כאן כתב משה ומכאן ואילך כתב יהושע ר' מאיר אומר הרי הוא אומר ויכתוב ,17,21,963,963.0,316,316.0,0.7708333333333334,0.8235294117647058,0,,1060000233,17,21
ref-m.3.3.5.6.55-ref-m.3.3.5.6.67,ref-sifre-d.11.1.87-ref-sifre-d.11.1.100,354543,354598,ref-m.3.3.5.6.55,ref-m.3.3.5.6.67,14970,15028,ref-sifre-d.11.1.87,ref-sifre-d.11.1.100,לא נתתי את שלי שתקדישם לשמים אמר לו לא נתתה לי את שלך ,משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך אלא משלי ,13,14,10,5.0,317,317.0,0.603448275862069,0.75,3,אמר לו לא,1060000234,13,14
ref-m.3.3.9.4.18-ref-m.3.3.9.4.34,ref-sifre-d.186.2.24-ref-sifre-d.186.2.42,361875,361955,ref-m.3.3.9.4.18,ref-m.3.3.9.4.34,197875,197967,ref-sifre-d.186.2.24,ref-sifre-d.186.2.42,ואהבת לרעך כמוך סופו לעבור על לא תשנא ועל לא תקום ולא תטור וסופו לעבור על וחי אחיך עמך,ואהבת לרעך כמוך סופו לעבור על לא תשנא ועל לא תקום ולא תטור וסופו לעבור על וחי אחיך עמך,19,19,432,432.0,318,318.0,0.0,0.0,19,ואהבת לרעך כמוך סופו לעבור על לא תשנא ועל לא תקום ולא תטור וסופו לעבור על וחי אחיך עמך,1060000235,19,19
ref-m.3.3.9.4.18-ref-m.3.3.9.4.34,ref-sifre-d.235.3.15-ref-sifre-d.235.3.37,361875,361955,ref-m.3.3.9.4.18,ref-m.3.3.9.4.34,235349,235461,ref-sifre-d.235.3.15,ref-sifre-d.235.3.37,כמוך סופו לעבור על לא תקום ולא תטור ועל לא תשנא את אחיך ואהבת לרעך כמוך וחי אחיך אמך אולי עמך ע,ואהבת לרעך כמוך סופו לעבור על לא תקום ולא תטור ועל לא תשנא את אחיך ואהבת לרעך כמוך וחי אחיך אמך אולי עמך ע,22,24,625,625.0,319,319.0,0.1037735849056603,0.0,22,כמוך סופו לעבור על לא תקום ולא תטור ועל לא תשנא את אחיך ואהבת לרעך כמוך וחי אחיך אמך אולי עמך ע,1060000236,22,24
ref-m.3.3.10.4.24-ref-m.3.3.10.4.39,ref-sifre-d.273.5.7-ref-sifre-d.273.5.17,364411,364500,ref-m.3.3.10.4.24,ref-m.3.3.10.4.39,260569,260639,ref-sifre-d.273.5.7,ref-sifre-d.273.5.17,שיכניסנו לרשותו ר' יהודה אומר עד שיכניסנו לרשותו וישתמש בו שנאמר,שיכניסנו לרשותו ר' יהודה אומר עד שיכניסנו לרשותו וישתמש בו שנאמר,11,11,718,718.0,322,322.0,0.0,0.0,9,שיכניסנו לרשותו ר'_יהודה_אומר עד שיכניסנו לרשותו וישתמש בו שנאמר,1060000237,11,11
