baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.2.3.10.4.11-ref-t.2.3.10.4.20,ref-bible.0301.104.15.1-ref-bible.301.104.15.7,371432,371480,ref-t.2.3.10.4.11,ref-t.2.3.10.4.20,1224635,1224672,ref-bible.0301.104.15.1,ref-bible.0301.104.15.7,ביין דכת' ויין ישמח לבב אנוש ר' יהודה או' נשים ,ויין ישמח לבב אנוש להצהיל פנים משמן ,10,7,974,974.0,150,150.0,0.5106382978723404,0.6,4,ויין ישמח לבב אנוש,2090000128,10,7
ref-t.2.3.10.5.14-ref-t.2.3.10.5.20,ref-bible.0208.4.3.8-ref-bible.208.4.3.14,371584,371616,ref-t.2.3.10.5.14,ref-t.2.3.10.5.20,872667,872699,ref-bible.0208.4.3.8,ref-bible.0208.4.3.14,נירו לכם ניר ואל תזרעו אל קוצים ,נירו לכם ניר ואל תזרעו אל קוצים ,7,7,808,808.0,151,151.0,0.0,0.0,7,נירו לכם ניר ואל תזרעו אל קוצים,2090000129,7,7
ref-t.2.3.10.9.65-ref-t.2.3.10.9.74,ref-bible.0105.16.3.10-ref-bible.105.16.3.23,372357,372411,ref-t.2.3.10.9.65,ref-t.2.3.10.9.74,372936,373005,ref-bible.0105.16.3.10,ref-bible.0105.16.3.23,בית שמיי לבית הלל וכי כבר יצאו שמזכירין יציאת מצרים ,לחם עני כי בחפזון יצאת מארץ מצרים למען תזכר את יום צאתך מארץ מצרים ,10,14,478,478.0,152,152.0,0.6716417910447762,0.8125,1,מצרים,2090000130,10,14
ref-t.2.4.1.10.22-ref-t.2.4.1.10.30,ref-bible.0103.5.15.19-ref-bible.103.5.16.5,375454,375504,ref-t.2.4.1.10.22,ref-t.2.4.1.10.30,199090,199134,ref-bible.0103.5.15.19,ref-bible.0103.5.16.5,חטאתו ואשמו מן ההקדש השוקל שקלו זוזיו מן ההקדש ,שקלים בשקל הקדש לאשם ואת אשר חטא מן הקדש ,9,9,204,204.0,153,153.0,0.6170212765957447,0.6,1,מן,2090000131,9,9
ref-t.2.4.2.2.46-ref-t.2.4.2.2.52,ref-bible.0302.3.4.1-ref-bible.302.3.4.7,376870,376906,ref-t.2.4.2.2.46,ref-t.2.4.2.2.52,1258072,1258109,ref-bible.0302.3.4.1,ref-bible.0302.3.4.7,ומצא חן ושכל טוב בעיני אלים ואדם ,ומצא חן ושכל טוב בעיני אלהים ואדם ,7,1,984,984.0,154,154.0,0.0294117647058823,0.0,6,ומצא חן ושכל טוב בעיני ואדם,2090000132,7,7
ref-t.2.4.2.6.22-ref-t.2.4.2.6.27,ref-bible.0102.27.3.2-ref-bible.102.27.3.9,377832,377882,ref-t.2.4.2.6.22,ref-t.2.4.2.6.27,158698,158756,ref-bible.0102.27.3.2,ref-bible.0102.27.3.9,הסירות והיעים והמזמרות והמזרקות וכלים שהכלים ,סירתיו לדשנו ויעיו ומזרקתיו ומזלגתיו ומחתתיו לכל כליו ,6,8,126,126.0,155,155.0,0.5555555555555556,0.8333333333333334,0,,2090000133,6,8
ref-t.2.4.2.6.42-ref-t.2.4.2.6.46,ref-bible.0103.14.4.9-ref-bible.103.14.4.13,377963,377988,ref-t.2.4.2.6.42,ref-t.2.4.2.6.46,218486,218512,ref-bible.0103.14.4.9,ref-bible.0103.14.4.13,עץ ארז ואזוב ושני תולעת ,ועץ ארז ושני תולעת ואזב ,5,5,236,236.0,157,156.0,0.5,0.0,3,ארז ושני תולעת,2090000134,5,5
ref-t.2.4.2.6.42-ref-t.2.4.2.6.46,ref-bible.0103.14.49.7-ref-bible.103.14.49.11,377963,377988,ref-t.2.4.2.6.42,ref-t.2.4.2.6.46,222055,222081,ref-bible.0103.14.49.7,ref-bible.0103.14.49.11,עץ ארז ואזוב ושני תולעת ,ועץ ארז ושני תולעת ואזב ,5,5,243,243.0,158,156.0,0.5,0.0,3,ארז ושני תולעת,2090000135,5,5
ref-t.2.4.2.6.42-ref-t.2.4.2.6.46,ref-bible.0103.14.51.3-ref-bible.103.14.51.9,377963,377988,ref-t.2.4.2.6.42,ref-t.2.4.2.6.46,222135,222171,ref-bible.0103.14.51.3,ref-bible.0103.14.51.9,עץ ארז ואזוב ושני תולעת ,עץ הארז ואת האזב ואת שני התולעת ,5,7,248,248.0,159,156.0,0.3125,0.1666666666666666,1,עץ,2090000136,5,7
ref-t.2.4.2.6.42-ref-t.2.4.2.6.46,ref-bible.0103.14.52.10-ref-bible.103.14.52.14,377963,377988,ref-t.2.4.2.6.42,ref-t.2.4.2.6.46,222311,222344,ref-bible.0103.14.52.10,ref-bible.0103.14.52.14,עץ ארז ואזוב ושני תולעת ,ובעץ הארז ובאזב ובשני התולעת ,5,5,252,252.0,160,156.0,0.2413793103448276,0.75,0,,2090000137,5,5
ref-t.2.4.2.6.38-ref-t.2.4.2.6.46,ref-bible.0104.19.6.2-ref-bible.104.19.6.7,377941,377988,ref-t.2.4.2.6.38,ref-t.2.4.2.6.46,298261,298292,ref-bible.0104.19.6.2,ref-bible.0104.19.6.7,כהנים ובגדי כהן גדול עץ ארז ואזוב ושני תולעת ,הכהן עץ ארז ואזוב ושני תולעת ,9,6,379,379.0,156,156.0,0.3555555555555555,0.5,5,עץ ארז ואזוב ושני תולעת,2090000138,9,6
ref-t.2.4.2.6.107-ref-t.2.4.2.7.16,ref-bible.0103.1.2.9-ref-bible.103.1.3.3,378298,378390,ref-t.2.4.2.6.107,ref-t.2.4.2.7.16,191612,191693,ref-bible.0103.1.2.9,ref-bible.0103.1.3.3,קריבין כל קרבנות צבור קריבין באחד בניסן בא החדש בזמנו קריבין מן החדש ואם לאו קריבין מן ,יקריב מכם קרבן ליהוה מן הבהמה מן הבקר ומן הצאן תקריבו את קרבנכם אם עלה קרבנו ,17,16,181,181.0,161,161.0,0.6666666666666666,0.85,2,מן מן,2090000139,17,16
ref-t.2.4.2.18.24-ref-t.2.4.2.18.35,ref-bible.0313.36.10.1-ref-bible.313.36.10.11,381382,381448,ref-t.2.4.2.18.24,ref-t.2.4.2.18.35,1587552,1587616,ref-bible.0313.36.10.1,ref-bible.0313.36.10.11,ולתשובת השנה שלח המלך נבוכד נצר ויביאהו בבלה עם כלי חמדת בית ,ולתשובת השנה שלח המלך נבוכדנאצר ויבאהו בבלה עם כלי חמדת בית ,7,11,1223,1223.0,162,162.0,0.0491803278688524,0.2307692307692307,9,ולתשובת השנה שלח המלך בבלה עם כלי חמדת בית,2090000140,12,11
ref-t.2.4.2.18.54-ref-t.2.4.2.18.68,ref-bible.0205.8.8.1-ref-bible.205.8.8.15,381530,381615,ref-t.2.4.2.18.54,ref-t.2.4.2.18.68,666603,666686,ref-bible.0205.8.8.1,ref-bible.0205.8.8.15,ויאריכו הבדים ויראו ראשי הבדים מן הקודש אל פני הדביר ולא יראו החוצה ויהיו שם ,ויארכו הבדים ויראו ראשי הבדים מן הקדש על פני הדביר ולא יראו החוצה ויהיו שם ,15,15,682,682.0,163,163.0,0.0389610389610389,0.0833333333333333,12,הבדים ויראו ראשי הבדים מן פני הדביר ולא יראו החוצה ויהיו שם,2090000141,15,15
ref-t.2.4.2.18.54-ref-t.2.4.2.18.68,ref-bible.0313.5.9.1-ref-bible.313.5.9.15,381530,381615,ref-t.2.4.2.18.54,ref-t.2.4.2.18.68,1522481,1522565,ref-bible.0313.5.9.1,ref-bible.0313.5.9.15,ויאריכו הבדים ויראו ראשי הבדים מן הקודש אל פני הדביר ולא יראו החוצה ויהיו שם ,ויאריכו הבדים ויראו ראשי הבדים מן הארון על פני הדביר ולא יראו החוצה ויהי שם ,15,15,1185,1185.0,164,163.0,0.0779220779220779,0.2307692307692307,12,ויאריכו הבדים ויראו ראשי הבדים מן פני הדביר ולא יראו החוצה שם,2090000142,15,15
ref-t.2.4.3.4.52-ref-t.2.4.3.4.64,ref-bible.0103.27.8.18-ref-bible.103.27.9.10,382544,382618,ref-t.2.4.3.4.52,ref-t.2.4.3.4.64,250425,250479,ref-bible.0103.27.8.18,ref-bible.0103.27.9.10,ממנו ומקריבין אותן לגבי מזבח ואין ניאותין בהן אבל מועלין בהן ואם הקריבן ,הכהן ואם בהמה אשר יקריבו ממנה קרבן ליהוה כל אשר יתן ,13,11,322,322.0,165,165.0,0.7083333333333334,0.7142857142857143,1,ואם,2090000143,13,11
ref-t.2.4.3.13.7-ref-t.2.4.3.13.26,ref-bible.0102.26.1.8-ref-bible.0102.26.2.9,383859,383963,ref-t.2.4.3.13.7,ref-t.2.4.3.13.26,155907,156011,ref-bible.0102.26.1.8,ref-bible.0102.26.2.9,ותכלת וארגמן ותלעת שני כרבים מעשה חשב תעשה אתם ארך היריעה האחת שמנה ועשרים באמה ורחב ארבע באמה,ותכלת וארגמן ותלעת שני כרבים מעשה חשב תעשה אתם ארך היריעה האחת שמנה ועשרים באמה ורחב ארבע באמה,18,18,120,120.0,167,167.0,0.0,0.0,18,ותכלת וארגמן ותלעת שני כרבים מעשה חשב תעשה אתם ארך היריעה האחת שמנה ועשרים באמה ורחב ארבע באמה,2090000144,18,18
ref-t.2.4.3.13.10-ref-t.2.4.3.13.16,ref-bible.0102.28.5.6-ref-bible.102.28.6.1,383876,383915,ref-t.2.4.3.13.10,ref-t.2.4.3.13.16,160357,160409,ref-bible.0102.28.5.6,ref-bible.0102.28.6.1,תכלת וארגמן ותולעת שני ושש משזר מעשה ,התכלת ואת הארגמן ואת תולעת השני ואת השש ועשו ,7,9,129,128.0,171,166.0,0.3555555555555555,0.25,0,,2090000145,7,9
ref-t.2.4.3.13.10-ref-t.2.4.3.13.14,ref-bible.0102.35.25.10-ref-bible.102.35.25.17,383876,383905,ref-t.2.4.3.13.10,ref-t.2.4.3.13.14,178775,178819,ref-bible.0102.35.25.10,ref-bible.0102.35.25.17,תכלת וארגמן ותולעת שני ושש ,התכלת ואת הארגמן את תולעת השני ואת השש ,5,8,152,152.0,169,166.0,0.3333333333333333,0.1666666666666666,0,,2090000146,5,8
ref-t.2.4.3.13.10-ref-t.2.4.3.13.16,ref-bible.0102.35.35.11-ref-bible.102.35.35.17,383876,383915,ref-t.2.4.3.13.10,ref-t.2.4.3.13.16,179407,179452,ref-bible.0102.35.35.11,ref-bible.0102.35.35.17,תכלת וארגמן ותולעת שני ושש משזר מעשה ,בתכלת ובארגמן בתולעת השני ובשש וארג עשי ,7,7,156,155.0,172,166.0,0.275,0.6,0,,2090000147,7,7
ref-t.2.4.3.13.7-ref-t.2.4.3.13.26,ref-bible.0102.36.8.11-ref-bible.0102.36.9.9,383859,383963,ref-t.2.4.3.13.7,ref-t.2.4.3.13.26,180173,180283,ref-bible.0102.36.8.11,ref-bible.0102.36.9.9,שש משזר ותכלת וארגמן ותולעת שני כרבים מעשה חשב עשה אתם ארך היריעה האחת שמנה ועשרים באמה ורחב ארבע באמה,שש משזר ותכלת וארגמן ותולעת שני כרבים מעשה חשב עשה אתם ארך היריעה האחת שמנה ועשרים באמה ורחב ארבע באמה,20,20,158,158.0,168,168.0,0.0,0.0,17,שש משזר ותכלת_וארגמן_ותולעת_שני כרבים מעשה חשב עשה אתם ארך היריעה האחת שמנה ועשרים באמה ורחב ארבע באמה,2090000148,20,20
ref-t.2.4.3.13.10-ref-t.2.4.3.13.14,ref-bible.0102.38.23.10-ref-bible.102.38.23.14,383876,383905,ref-t.2.4.3.13.10,ref-t.2.4.3.13.14,185674,185710,ref-bible.0102.38.23.10,ref-bible.0102.38.23.14,תכלת וארגמן ותולעת שני ושש ,בתכלת ובארגמן ובתולעת השני ובשש ,5,5,161,161.0,170,166.0,0.15625,0.75,0,,2090000149,5,5
ref-t.2.4.3.13.10-ref-t.2.4.3.13.17,ref-bible.0102.39.3.9-ref-bible.102.39.3.18,383876,383919,ref-t.2.4.3.13.10,ref-t.2.4.3.13.17,186611,186672,ref-bible.0102.39.3.9,ref-bible.0102.39.3.18,תכלת וארגמן ותולעת שני ושש משזר מעשה חשב ,התכלת ובתוך הארגמן ובתוך תולעת השני ובתוך השש מעשה חשב ,8,10,165,164.0,173,166.0,0.3636363636363636,0.2222222222222222,2,מעשה חשב,2090000150,8,10
ref-t.2.4.3.13.19-ref-t.2.4.3.13.26,ref-bible.0205.6.2.6-ref-bible.0205.6.3.14,383925,383963,ref-t.2.4.3.13.19,ref-t.2.4.3.13.26,658897,659016,ref-bible.0205.6.2.6,ref-bible.0205.6.3.14,ליהוה ששים אמה ארכו ועשרים רחבו ושלשים אמה קומתו והאולם על פני היכל הבית עשרים אמה ארכו על פני רחב הבית עשר באמה,ליהוה ששים אמה ארכו ועשרים רחבו ושלשים אמה קומתו והאולם על פני היכל הבית עשרים אמה ארכו על פני רחב הבית עשר באמה,17,17,668,668.0,176,176.0,0.0,0.0,23,ליהוה ששים אמה ארכו ועשרים רחבו ושלשים אמה קומתו והאולם על פני היכל הבית עשרים אמה ארכו על פני רחב הבית עשר באמה,2090000151,23,23
ref-t.2.4.3.13.21-ref-t.2.4.3.13.26,ref-bible.0205.6.20.3-ref-bible.0205.6.20.10,383933,383963,ref-t.2.4.3.13.21,ref-t.2.4.3.13.26,660233,660274,ref-bible.0205.6.20.3,ref-bible.0205.6.20.10,עשרים אמה ארך ועשרים אמה רחב ועשרים אמה,עשרים אמה ארך ועשרים אמה רחב ועשרים אמה,8,8,671,671.0,178,178.0,0.0,0.0,8,עשרים אמה ארך ועשרים אמה רחב ועשרים אמה,2090000152,8,8
ref-t.2.4.3.13.21-ref-t.2.4.3.13.26,ref-bible.0209.40.49.1-ref-bible.209.40.49.8,383933,383963,ref-t.2.4.3.13.21,ref-t.2.4.3.13.26,1062399,1062438,ref-bible.0209.40.49.1,ref-bible.0209.40.49.8,ארכה עשרים אמה ורחבה עשר אמות ,ארך האלם עשרים אמה ורחב עשתי עשרה אמה ,6,8,880,880.0,180,166.0,0.3421052631578947,0.375,2,עשרים אמה,2090000153,6,8
ref-t.2.4.3.13.2-ref-t.2.4.3.13.7,ref-bible.0209.41.2.14-ref-bible.209.41.2.19,383830,383862,ref-t.2.4.3.13.2,ref-t.2.4.3.13.7,1062652,1062683,ref-bible.0209.41.2.14,ref-bible.0209.41.2.19,ארכה ארבעי' אמה ורחבה עשרים אמה ,ארכו ארבעים אמה ורחב עשרים אמה ,6,6,881,881.0,166,166.0,0.09375,0.3333333333333333,3,אמה עשרים אמה,2090000154,6,6
ref-t.2.4.3.13.21-ref-t.2.4.3.13.26,ref-bible.0209.41.4.3-ref-bible.209.41.4.8,383933,383963,ref-t.2.4.3.13.21,ref-t.2.4.3.13.26,1062768,1062798,ref-bible.0209.41.4.3,ref-bible.0209.41.4.8,ארכה עשרים אמה ורחבה עשר אמות ,ארכו עשרים אמה ורחב עשרים אמה ,6,6,882,882.0,181,166.0,0.2,0.3333333333333333,2,עשרים אמה,2090000155,6,6
ref-t.2.4.3.13.21-ref-t.2.4.3.13.26,ref-bible.0220.5.2.11-ref-bible.220.5.2.16,383933,383963,ref-t.2.4.3.13.21,ref-t.2.4.3.13.26,1135566,1135599,ref-bible.0220.5.2.11,ref-bible.0220.5.2.16,ארכה עשרים אמה ורחבה עשר אמות ,ארכה עשרים באמה ורחבה עשר באמה ,6,6,918,918.0,182,166.0,0.1290322580645161,0.1666666666666666,4,ארכה עשרים ורחבה עשר,2090000156,6,6
ref-t.2.4.3.13.21-ref-t.2.4.3.13.26,ref-bible.0313.4.1.4-ref-bible.0313.4.1.11,383933,383963,ref-t.2.4.3.13.21,ref-t.2.4.3.13.26,1520014,1520056,ref-bible.0313.4.1.4,ref-bible.0313.4.1.11,עשרים אמה ארכו ועשרים אמה רחבו ועשר אמות,עשרים אמה ארכו ועשרים אמה רחבו ועשר אמות,8,8,1179,1179.0,183,183.0,0.0,0.0,8,עשרים אמה ארכו ועשרים אמה רחבו ועשר אמות,2090000157,8,8
ref-t.2.4.3.13.29-ref-t.2.4.3.13.36,ref-bible.0102.26.1.8-ref-bible.102.26.1.14,383977,384020,ref-t.2.4.3.13.29,ref-t.2.4.3.13.36,155907,155948,ref-bible.0102.26.1.8,ref-bible.0102.26.1.14,תכלת וארגמן ותולעת שני ושש משזר מעשה חשב ,ותכלת וארגמן ותלעת שני כרבים מעשה חשב ,8,7,119,119.0,189,185.0,0.2439024390243902,0.3333333333333333,4,וארגמן שני מעשה חשב,2090000158,8,7
ref-t.2.4.3.13.29-ref-t.2.4.3.13.35,ref-bible.0102.28.5.6-ref-bible.102.28.6.1,383977,384016,ref-t.2.4.3.13.29,ref-t.2.4.3.13.35,160357,160409,ref-bible.0102.28.5.6,ref-bible.0102.28.6.1,תכלת וארגמן ותולעת שני ושש משזר מעשה ,התכלת ואת הארגמן ואת תולעת השני ואת השש ועשו ,7,9,130,128.0,187,185.0,0.3555555555555555,0.25,0,,2090000159,7,9
ref-t.2.4.3.13.29-ref-t.2.4.3.13.33,ref-bible.0102.35.25.10-ref-bible.102.35.25.17,383977,384006,ref-t.2.4.3.13.29,ref-t.2.4.3.13.33,178775,178819,ref-bible.0102.35.25.10,ref-bible.0102.35.25.17,תכלת וארגמן ותולעת שני ושש ,התכלת ואת הארגמן את תולעת השני ואת השש ,5,8,153,152.0,185,185.0,0.3333333333333333,0.1666666666666666,0,,2090000160,5,8
ref-t.2.4.3.13.29-ref-t.2.4.3.13.35,ref-bible.0102.35.35.11-ref-bible.102.35.35.17,383977,384016,ref-t.2.4.3.13.29,ref-t.2.4.3.13.35,179407,179452,ref-bible.0102.35.35.11,ref-bible.0102.35.35.17,תכלת וארגמן ותולעת שני ושש משזר מעשה ,בתכלת ובארגמן בתולעת השני ובשש וארג עשי ,7,7,157,155.0,188,185.0,0.275,0.6,0,,2090000161,7,7
ref-t.2.4.3.13.29-ref-t.2.4.3.13.33,ref-bible.0102.38.23.10-ref-bible.102.38.23.14,383977,384006,ref-t.2.4.3.13.29,ref-t.2.4.3.13.33,185674,185710,ref-bible.0102.38.23.10,ref-bible.0102.38.23.14,תכלת וארגמן ותולעת שני ושש ,בתכלת ובארגמן ובתולעת השני ובשש ,5,5,162,161.0,186,185.0,0.15625,0.75,0,,2090000162,5,5
ref-t.2.4.3.13.29-ref-t.2.4.3.13.36,ref-bible.0102.39.3.9-ref-bible.102.39.3.18,383977,384020,ref-t.2.4.3.13.29,ref-t.2.4.3.13.36,186611,186672,ref-bible.0102.39.3.9,ref-bible.0102.39.3.18,תכלת וארגמן ותולעת שני ושש משזר מעשה חשב ,התכלת ובתוך הארגמן ובתוך תולעת השני ובתוך השש מעשה חשב ,8,10,166,164.0,190,185.0,0.3636363636363636,0.2222222222222222,2,מעשה חשב,2090000163,8,10
ref-t.2.4.3.18.20-ref-t.2.4.3.18.24,ref-bible.0102.27.5.1-ref-bible.102.27.5.6,385246,385275,ref-t.2.4.3.18.20,ref-t.2.4.3.18.24,158843,158876,ref-bible.0102.27.5.1,ref-bible.0102.27.5.6,נותנין תחת כרכב המזבח מלמטה ,ונתתה אתה תחת כרכב המזבח מלמטה ,5,6,127,127.0,191,191.0,0.2258064516129032,0.4285714285714286,4,תחת כרכב המזבח מלמטה,2090000164,5,6
ref-t.2.4.3.24.12-ref-t.2.4.3.24.16,ref-bible.0102.23.19.1-ref-bible.102.23.19.5,385870,385896,ref-t.2.4.3.24.12,ref-t.2.4.3.24.16,151201,151227,ref-bible.0102.23.19.1,ref-bible.0102.23.19.5,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,5,5,114,114.0,192,192.0,0.0,0.0,5,ראשית בכורי אדמתך תביא בית,2090000165,5,5
ref-t.2.4.3.24.12-ref-t.2.4.3.24.16,ref-bible.0102.34.26.1-ref-bible.102.34.26.5,385870,385896,ref-t.2.4.3.24.12,ref-t.2.4.3.24.16,176394,176420,ref-bible.0102.34.26.1,ref-bible.0102.34.26.5,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,5,5,149,149.0,193,192.0,0.0,0.0,5,ראשית בכורי אדמתך תביא בית,2090000166,5,5
ref-t.2.4.3.26.17-ref-t.2.4.3.26.38,ref-bible.0103.27.4.6-ref-bible.0103.27.5.8,386298,386410,ref-t.2.4.3.26.17,ref-t.2.4.3.26.38,250076,250121,ref-bible.0103.27.4.6,ref-bible.0103.27.5.8,שלשים שקל ואם מבן חמש שנים ועד בן עשרים שנה,שלשים שקל ואם מבן חמש שנים ועד בן עשרים שנה,10,10,316,316.0,194,194.0,0.0,0.0,10,שלשים שקל ואם מבן חמש שנים ועד בן עשרים שנה,2090000167,10,10
ref-t.2.4.3.26.19-ref-t.2.4.3.26.49,ref-bible.0309.2.11.2-ref-bible.0309.2.13.1,386307,386465,ref-t.2.4.3.26.19,ref-t.2.4.3.26.49,1373585,1373646,ref-bible.0309.2.11.2,ref-bible.0309.2.13.1,בבי שש מאות עשרים ושלשה בני עזגד אלף מאתים עשרים ושנים בני,בבי שש מאות עשרים ושלשה בני עזגד אלף מאתים עשרים ושנים בני,12,12,1051,1051.0,195,195.0,0.0,0.0,12,בבי שש מאות עשרים ושלשה בני עזגד אלף מאתים עשרים ושנים בני,2090000168,12,12
ref-t.2.5.1.5.32-ref-t.2.5.1.5.46,ref-bible.0103.2.10.1-ref-bible.103.2.10.7,388240,388329,ref-t.2.5.1.5.32,ref-t.2.5.1.5.46,193435,193478,ref-bible.0103.2.10.1,ref-bible.0103.2.10.7,והנותרת מן המנחה לאהרן ולבניו שיהא אהרן שקול כנגד בניו במי דברים אמורים בקדשי מקדש ,והנותרת מן המנחה לאהרן ולבניו קדש קדשים ,15,7,186,186.0,198,198.0,0.5421686746987951,0.4545454545454546,5,והנותרת מן המנחה לאהרן ולבניו,2090000169,15,7
ref-t.2.5.1.8.36-ref-t.2.5.1.8.52,ref-bible.0103.16.13.1-ref-bible.103.16.13.9,389056,389140,ref-t.2.5.1.8.36,ref-t.2.5.1.8.52,225720,225763,ref-bible.0103.16.13.1,ref-bible.0103.16.13.9,שהוא בחוץ שנ' וכסה ענן אמרו להם חכמים והלא כבר נאמ' ונתן את הקטרת את האש לפני ,ונתן את הקטרת על האש לפני יהוה וכסה ענן ,17,9,266,266.0,199,199.0,0.7692307692307693,0.5,5,ונתן את הקטרת האש לפני,2090000170,17,9
ref-t.2.5.1.9.18-ref-t.2.5.1.9.25,ref-bible.0301.127.1.1-ref-bible.301.127.1.8,389557,389594,ref-t.2.5.1.9.18,ref-t.2.5.1.9.25,1244107,1244145,ref-bible.0301.127.1.1,ref-bible.0301.127.1.8,שיר המעלות לשלמה אם ייי לא יבנה בית ,שיר המעלות לשלמה אם יהוה לא יבנה בית ,8,8,977,977.0,200,200.0,0.081081081081081,0.0,7,שיר המעלות לשלמה אם לא יבנה בית,2090000171,8,8
ref-t.2.5.1.12.41-ref-t.2.5.1.12.44,ref-bible.0105.21.2.1-ref-bible.105.21.2.4,390273,390301,ref-t.2.5.1.12.41,ref-t.2.5.1.12.44,381120,381147,ref-bible.0105.21.2.1,ref-bible.0105.21.2.4,ויצאו זקיניך ושפטיך ומדדו ,ויצאו זקניך ושפטיך ומדדו ,4,4,497,497.0,201,201.0,0.0384615384615384,0.0,3,ויצאו ושפטיך ומדדו,2090000172,4,4
ref-t.2.5.1.12.90-ref-t.2.5.1.12.103,ref-bible.0206.21.16.1-ref-bible.206.21.16.14,390533,390591,ref-t.2.5.1.12.90,ref-t.2.5.1.12.103,766277,766335,ref-bible.0206.21.16.1,ref-bible.0206.21.16.14,וגם דם נקי שפך מנשה הרבה מאד עד אשר מלא את ירושלם פה לפה ,וגם דם נקי שפך מנשה הרבה מאד עד אשר מלא את ירושלם פה לפה ,1,1,766,766.0,203,202.0,0.0,0.0,14,וגם דם נקי שפך מנשה הרבה מאד עד אשר מלא את ירושלם פה לפה,2090000173,14,14
ref-t.2.5.1.12.90-ref-t.2.5.1.12.101,ref-bible.0206.24.4.1-ref-bible.206.24.4.8,390533,390583,ref-t.2.5.1.12.90,ref-t.2.5.1.12.101,773315,773353,ref-bible.0206.24.4.1,ref-bible.0206.24.4.8,וגם דם נקי שפך מנשה הרבה מאד עד אשר מלא את ירושלם ,וגם דם הנקי אשר שפך וימלא את ירושלם ,2,8,769,769.0,202,202.0,0.44,0.5714285714285714,5,וגם דם אשר את ירושלם,2090000174,12,8
ref-t.2.5.2.1.36-ref-t.2.5.2.1.54,ref-bible.0103.16.21.11-ref-bible.0103.16.21.22,393234,393333,ref-t.2.5.2.1.36,ref-t.2.5.2.1.54,226485,226544,ref-bible.0103.16.21.11,ref-bible.0103.16.21.22,והתודה עליו את כל עונת בני ישראל ואת כל פשעיהם לכל חטאתם,והתודה עליו את כל עונת בני ישראל ואת כל פשעיהם לכל חטאתם,6,6,270,270.0,205,205.0,0.0,0.0,12,והתודה עליו את כל עונת בני ישראל ואת כל פשעיהם לכל חטאתם,2090000175,12,12
ref-t.2.5.2.1.30-ref-t.2.5.2.1.41,ref-bible.0103.16.30.1-ref-bible.103.16.30.12,393204,393266,ref-t.2.5.2.1.30,ref-t.2.5.2.1.41,227241,227304,ref-bible.0103.16.30.1,ref-bible.0103.16.30.12,כי ביום הזה יכפר עליכם לטהר אתכם מכל חטאתיכם לפני ייי תטהרו ,כי ביום הזה יכפר עליכם לטהר אתכם מכל חטאתיכם לפני יהוה תטהרו ,6,6,272,272.0,204,204.0,0.0491803278688524,0.0,11,כי ביום הזה יכפר עליכם לטהר אתכם מכל חטאתיכם לפני תטהרו,2090000176,12,12
ref-t.2.5.2.1.103-ref-t.2.5.2.1.107,ref-bible.0301.106.6.1-ref-bible.301.106.6.5,393603,393635,ref-t.2.5.2.1.103,ref-t.2.5.2.1.107,1227244,1227274,ref-bible.0301.106.6.1,ref-bible.0301.106.6.5,חטאנו עם אבותינו העוינו והרשענו ,חטאנו עם אבותינו העוינו הרשענו ,5,5,975,975.0,207,207.0,0.03125,0.0,4,חטאנו עם אבותינו העוינו,2090000177,5,5
ref-t.2.5.2.1.111-ref-t.2.5.2.2.2,ref-bible.0102.34.7.4-ref-bible.0102.34.7.9,393651,393793,ref-t.2.5.2.1.111,ref-t.2.5.2.2.2,175029,175058,ref-bible.0102.34.7.4,ref-bible.0102.34.7.9,נשא עון ופשע וחטאה ונקה לא,נשא עון ופשע וחטאה ונקה לא,6,6,145,144.0,208,208.0,0.0,0.0,6,נשא עון ופשע וחטאה ונקה לא,2090000178,6,6
ref-t.2.5.2.1.121-ref-t.2.5.2.2.2,ref-bible.0104.14.17.8-ref-bible.104.14.18.10,393711,393793,ref-t.2.5.2.1.121,ref-t.2.5.2.2.2,286160,286209,ref-bible.0104.14.17.8,ref-bible.0104.14.18.10,אמ' נושא עון ופשע וחטאה ונקה אלא כך היה מתודה חטאתי ועויתי ופשעתי לפניך בא לו ,לאמר יהוה ארך אפים ורב חסד נשא עון ופשע ונקה לא ,16,11,360,360.0,210,208.0,0.717948717948718,0.7333333333333334,3,עון ופשע ונקה,2090000179,16,11
ref-t.2.5.2.8.90-ref-t.2.5.2.8.98,ref-bible.0302.10.7.1-ref-bible.302.10.7.6,397821,397867,ref-t.2.5.2.8.90,ref-t.2.5.2.8.98,1265747,1265778,ref-bible.0302.10.7.1,ref-bible.0302.10.7.6,זכר צדיק לברכה ועל אילו נאמ' ושם רשעים ירקב ,זכר צדיק לברכה ושם רשעים ירקב ,9,6,990,990.0,211,211.0,0.3181818181818182,0.3333333333333333,6,זכר צדיק לברכה ושם רשעים ירקב,2090000180,9,6
