baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifre-d,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-d.47.5.1-ref-sifre-d.47.5.7,ref-b.4.3.1.8b.13.13-ref-b.4.3.1.8b.13.23,88065,88102,ref-sifre-d.47.5.1,ref-sifre-d.47.5.7,5527273,5527336,ref-b.4.3.1.8b.13.13,ref-b.4.3.1.8b.13.23,דבר אחר ומצדיקי הרבים אלו גבאי צדקה ,דין אמת לאמתו ומצדיקי הרבים ככוכבים לעולם ועד אלו גבאי צדקה ,7,11,2343,2343.0,706,706.0,0.4666666666666667,0.5833333333333333,5,ומצדיקי הרבים אלו גבאי צדקה,6080000571,7,11
ref-sifre-d.47.5.18-ref-sifre-d.47.5.22,ref-b.3.6.4.36b.13.17-ref-b.3.6.4.36b.14.1,88150,88182,ref-sifre-d.47.5.18,ref-sifre-d.47.5.22,4183387,4183420,ref-b.3.6.4.36b.13.17,ref-b.3.6.4.36b.14.1,ואוהביו כצאת השמש בגבורתו מי ,ואוהביו כצאת השמש בגבורתו מאי ,5,5,1800,1799.0,707,707.0,0.0333333333333333,0.0,4,ואוהביו כצאת השמש בגבורתו,6080000572,5,5
ref-sifre-d.47.5.26-ref-sifre-d.47.5.33,ref-b.1.1.1.11b.8.19-ref-b.1.1.1.11b.9.20,88200,88256,ref-sifre-d.47.5.26,ref-sifre-d.47.5.33,57455,57565,ref-b.1.1.1.11b.8.19,ref-b.1.1.1.11b.9.20,המאהיבים הוי אומר המאהיבים על האוהבים ואומר ואוהביו ,אהבה רבה תניא נמי הכי אין אומרים אהבת עולם אלא אהבה רבה ורבנן אמרי אהבת עולם וכן הוא אומר ואהבת עולם אהבתיך ,8,17,48,47.0,708,708.0,0.6759259259259259,0.8571428571428572,0,,6080000573,8,17
ref-sifre-d.47.5.30-ref-sifre-d.47.5.36,ref-b.2.1.9.88b.2.67-ref-b.2.1.9.88b.2.73,88229,88277,ref-sifre-d.47.5.30,ref-sifre-d.47.5.36,651976,652021,ref-b.2.1.9.88b.2.67,ref-b.2.1.9.88b.2.73,על האוהבים ואומר ואוהביו כצאת השמש בגבורתו ,עליהן הכתוב אומר ואהביו כצאת השמש בגברתו ,7,7,223,223.0,709,708.0,0.2325581395348837,0.4444444444444444,2,כצאת השמש,6080000574,7,7
ref-sifre-d.47.5.30-ref-sifre-d.47.5.36,ref-b.2.5.2.23a.3.17-ref-b.2.5.2.23a.3.23,88229,88277,ref-sifre-d.47.5.30,ref-sifre-d.47.5.36,1744721,1744768,ref-b.2.5.2.23a.3.17,ref-b.2.5.2.23a.3.23,על האוהבים ואומר ואוהביו כצאת השמש בגבורתו ,עליהן הכתוב אומר ואוהביו כצאת השמש בגבורתו ,7,7,530,530.0,710,708.0,0.1860465116279069,0.4444444444444444,4,ואוהביו כצאת השמש בגבורתו,6080000575,7,7
ref-sifre-d.47.5.30-ref-sifre-d.47.5.36,ref-b.3.6.4.36b.13.14-ref-b.3.6.4.36b.13.20,88229,88277,ref-sifre-d.47.5.30,ref-sifre-d.47.5.36,4183369,4183416,ref-b.3.6.4.36b.13.14,ref-b.3.6.4.36b.13.20,על האוהבים ואומר ואוהביו כצאת השמש בגבורתו ,עליהן הכתוב אומר ואוהביו כצאת השמש בגבורתו ,7,7,1799,1799.0,711,708.0,0.1860465116279069,0.4444444444444444,4,ואוהביו כצאת השמש בגבורתו,6080000576,7,7
ref-sifre-d.47.6.1-ref-sifre-d.47.6.5,ref-b.4.3.1.8b.13.16-ref-b.4.3.1.8b.13.20,88292,88326,ref-sifre-d.47.6.1,ref-sifre-d.47.6.5,5527288,5527322,ref-b.4.3.1.8b.13.16,ref-b.4.3.1.8b.13.20,ומצדיקי הרבים ככוכבים לעולם ועד ,ומצדיקי הרבים ככוכבים לעולם ועד ,5,5,2345,2343.0,713,708.0,0.0,0.0,5,ומצדיקי הרבים ככוכבים לעולם ועד,6080000577,5,5
ref-sifre-d.47.6.1-ref-sifre-d.47.6.5,ref-b.4.3.1.8b.14.15-ref-b.4.3.1.8b.14.19,88292,88326,ref-sifre-d.47.6.1,ref-sifre-d.47.6.5,5527419,5527453,ref-b.4.3.1.8b.14.15,ref-b.4.3.1.8b.14.19,ומצדיקי הרבים ככוכבים לעולם ועד ,ומצדיקי הרבים ככוכבים לעולם ועד ,5,5,2347,2346.0,714,708.0,0.0,0.0,5,ומצדיקי הרבים ככוכבים לעולם ועד,6080000578,5,5
ref-sifre-d.47.5.30-ref-sifre-d.47.6.1,ref-b.4.3.1.8b.14.56-ref-b.4.3.1.8b.16.4,88229,88300,ref-sifre-d.47.5.30,ref-sifre-d.47.6.1,5527639,5527713,ref-b.4.3.1.8b.14.56,ref-b.4.3.1.8b.16.4,"על האוהבים ואומר ואוהביו כצאת השמש בגבורתו ק""ו המאהיבים ומצדיקי ",עלויהו ורבנן מאי אמר רבינא ואהביו כצאת השמש בגברתו תנו רבנן גבאי צדקה ,10,11,2348,2348.0,712,708.0,0.4714285714285714,0.6666666666666667,2,כצאת השמש,6080000579,10,11
ref-sifre-d.47.6.76-ref-sifre-d.47.6.81,ref-b.2.4.8.87b.2.20-ref-b.2.4.8.87b.2.25,88685,88716,ref-sifre-d.47.6.76,ref-sifre-d.47.6.81,1569318,1569348,ref-b.2.4.8.87b.2.20,ref-b.2.4.8.87b.2.25,אבדם מלך ארם וישימם כעפר לדוש ,אבדם מלך ארם וישמם כעפר לדש ,6,6,434,434.0,715,715.0,0.0666666666666666,0.0,4,אבדם מלך ארם כעפר,6080000580,6,6
ref-sifre-d.47.7.8-ref-sifre-d.47.7.12,ref-b.1.1.4.28b.9.57-ref-b.1.1.4.28b.9.61,88753,88788,ref-sifre-d.47.7.8,ref-sifre-d.47.7.12,151686,151717,ref-b.1.1.4.28b.9.57,ref-b.1.1.4.28b.9.61,חיים וקיימים לעולם ולעולמי עולמים ,חי וקיים לעולם ולעולמי עולמים ,5,5,83,83.0,718,716.0,0.1176470588235294,0.5714285714285714,3,לעולם ולעולמי עולמים,6080000581,5,5
ref-sifre-d.47.7.4-ref-sifre-d.47.7.22,ref-b.1.1.5.32a.24.44-ref-b.1.1.5.32a.25.11,88731,88847,ref-sifre-d.47.7.4,ref-sifre-d.47.7.22,174125,174274,ref-b.1.1.5.32a.24.44,ref-b.1.1.5.32a.25.11,שמך הגדול חי וקיים לעולם ולעולמי עולמים כך שבועתך קיימת לעולם ולעולמי עולמים ותדבר אליהם ארבה את זרעכם ככוכבי השמים וכל הארץ הזאת אשר אמרתי,שמך הגדול חי וקיים לעולם ולעולמי עולמים כך שבועתך קיימת לעולם ולעולמי עולמים ותדבר אליהם ארבה את זרעכם ככוכבי השמים וכל הארץ הזאת אשר אמרתי,25,25,96,96.0,716,716.0,0.0,0.0,25,שמך הגדול חי וקיים לעולם ולעולמי עולמים כך שבועתך קיימת לעולם ולעולמי עולמים ותדבר אליהם ארבה את זרעכם ככוכבי השמים וכל הארץ הזאת אשר אמרתי,6080000582,25,25
ref-sifre-d.47.7.41-ref-sifre-d.47.7.45,ref-b.1.1.4.28b.9.57-ref-b.1.1.4.28b.9.61,88935,88970,ref-sifre-d.47.7.41,ref-sifre-d.47.7.45,151686,151717,ref-b.1.1.4.28b.9.57,ref-b.1.1.4.28b.9.61,חיים וקיימים לעולם ולעולמי עולמים ,חי וקיים לעולם ולעולמי עולמים ,5,5,84,83.0,720,720.0,0.1176470588235294,0.5714285714285714,3,לעולם ולעולמי עולמים,6080000583,5,5
ref-sifre-d.47.7.41-ref-sifre-d.47.7.45,ref-b.1.1.5.32a.24.46-ref-b.1.1.5.32a.24.50,88935,88970,ref-sifre-d.47.7.41,ref-sifre-d.47.7.45,174136,174167,ref-b.1.1.5.32a.24.46,ref-b.1.1.5.32a.24.50,חיים וקיימים לעולם ולעולמי עולמים ,חי וקיים לעולם ולעולמי עולמים ,5,5,98,96.0,721,720.0,0.1176470588235294,0.5714285714285714,3,לעולם ולעולמי עולמים,6080000584,5,5
ref-sifre-d.47.9.35-ref-sifre-d.47.9.47,ref-b.2.5.2.22b.4.11-ref-b.2.5.2.22b.5.21,89395,89456,ref-sifre-d.47.9.35,ref-sifre-d.47.9.47,1741798,1742003,ref-b.2.5.2.22b.4.11,ref-b.2.5.2.22b.5.21,והיה מספר בני ישראל כחול הים אשר לא ימד רב נחמן בר יצחק אמר עובר בשני לאוין שנאמר לא ימד ולא יספר אמר רבי שמואל בר נחמני רבי יונתן רמי כתיב והיה מספר בני ישראל כחול הים וכתיב אשר לא ימד ולא יספר,והיה מספר בני ישראל כחול הים אשר לא ימד רב נחמן בר יצחק אמר עובר בשני לאוין שנאמר לא ימד ולא יספר אמר רבי שמואל בר נחמני רבי יונתן רמי כתיב והיה מספר בני ישראל כחול הים וכתיב אשר לא ימד ולא יספר,35,35,525,525.0,722,722.0,0.0,0.0,35,והיה מספר בני ישראל כחול הים אשר לא ימד רב_נחמן_בר_יצחק_אמר עובר בשני לאוין שנאמר לא ימד ולא יספר אמר_רבי_שמואל_בר_נחמני רבי יונתן רמי כתיב והיה מספר בני ישראל כחול הים וכתיב אשר לא ימד ולא יספר,6080000585,35,35
ref-sifre-d.48.1.62-ref-sifre-d.48.1.74,ref-b.2.12.2.15a.11.13-ref-b.2.12.2.15a.11.33,90012,90092,ref-sifre-d.48.1.62,ref-sifre-d.48.1.74,2810847,2810963,ref-b.2.12.2.15a.11.13,ref-b.2.12.2.15a.11.33,יערכנה זהב וזכוכית קשים לקנותם כזהב ונוחים לאבדם ככלי זכוכית ותמורתה כלי פז ,יערכנה זהב וזכוכית ותמורתה כלי פז אמר לו אלו דברי תורה שקשין לקנותן ככלי זהב וכלי פז ונוחין לאבדן ככלי זכוכית ,13,21,1027,1027.0,725,725.0,0.5818181818181818,0.6111111111111112,6,יערכנה זהב וזכוכית ותמורתה כלי פז,6080000586,13,21
ref-sifre-d.48.2.5-ref-sifre-d.48.2.12,ref-b.1.1.5.32b.30.33-ref-b.1.1.5.32b.30.43,90111,90147,ref-sifre-d.48.2.5,ref-sifre-d.48.2.12,178998,179060,ref-b.1.1.5.32b.30.33,ref-b.1.1.5.32b.30.43,רק השמר לך ושמר נפשך וכתיב ונשמרתם מאד לנפשתיכם כשנתתי לך,רק השמר לך ושמר נפשך וכתיב ונשמרתם מאד לנפשתיכם כשנתתי לך,11,11,109,109.0,726,726.0,0.0,0.0,11,רק השמר לך ושמר נפשך וכתיב ונשמרתם מאד לנפשתיכם כשנתתי לך,6080000587,11,11
ref-sifre-d.48.3.17-ref-sifre-d.48.3.33,ref-b.2.12.3.24a.1.10-ref-b.2.12.3.24a.3.1,90393,90490,ref-sifre-d.48.3.17,ref-sifre-d.48.3.33,2838019,2838117,ref-b.2.12.3.24a.1.10,ref-b.2.12.3.24a.3.1,אין כלי מצרפו ואתו רבנן וגזרו דאף על גב דאינו צריך לכלי כלי מצרפו תינח,מצרפו שאין צריך לכלי אין כלי מצרפו ואתו רבנן וגזרו דאף על גב דאינו צריך לכלי כלי מצרפו תינח,13,17,1040,1040.0,728,728.0,0.2307692307692307,0.0833333333333333,13,אין כלי מצרפו ואתו רבנן וגזרו דאף_על_גב דאינו צריך לכלי כלי מצרפו תינח,6080000588,13,17
ref-sifre-d.48.3.93-ref-sifre-d.48.3.105,ref-b.4.4.11.103a.11.12-ref-b.4.4.11.103a.11.20,90781,90835,ref-sifre-d.48.3.93,ref-sifre-d.48.3.105,6363231,6363268,ref-b.4.4.11.103a.11.12,ref-b.4.4.11.103a.11.20,שדה איש עצל עברתי זה שקנה שדה כבר ועל כרם אדם חסר לב ,שדה איש עצל עברתי ועל כרם אדם חסר לב ,13,9,2997,2997.0,731,730.0,0.3018867924528302,0.25,9,שדה איש עצל עברתי ועל כרם אדם חסר לב,6080000589,13,9
ref-sifre-d.48.3.92-ref-sifre-d.48.3.106,ref-b.4.4.11.103a.11.31-ref-b.4.4.11.103a.11.43,90778,90838,ref-sifre-d.48.3.92,ref-sifre-d.48.3.106,6363326,6363376,ref-b.4.4.11.103a.11.31,ref-b.4.4.11.103a.11.43,על שדה איש עצל עברתי זה שקנה שדה כבר ועל כרם אדם חסר לב זה ,על שדה איש עצל עברתי זה אחז ועל כרם אדם חסר לב זה ,15,13,3001,3000.0,730,730.0,0.2033898305084746,0.2307692307692307,12,על שדה איש עצל עברתי זה ועל כרם אדם חסר לב זה,6080000590,15,13
ref-sifre-d.48.3.124-ref-sifre-d.48.3.138,ref-b.4.4.11.103a.11.12-ref-b.4.4.11.103a.11.22,90921,90983,ref-sifre-d.48.3.124,ref-sifre-d.48.3.138,6363231,6363278,ref-b.4.4.11.103a.11.12,ref-b.4.4.11.103a.11.22,שדה איש עצל עברתי ועל כרם אדם חסר לב ולמה נקרא שמו חסר לב על ,שדה איש עצל עברתי ועל כרם אדם חסר לב והנה עלה ,15,11,2998,2997.0,733,732.0,0.2950819672131147,0.3076923076923077,9,שדה איש עצל עברתי ועל כרם אדם חסר לב,6080000591,15,11
ref-sifre-d.48.3.123-ref-sifre-d.48.3.132,ref-b.4.4.11.103a.11.31-ref-b.4.4.11.103a.11.42,90918,90958,ref-sifre-d.48.3.123,ref-sifre-d.48.3.132,6363326,6363373,ref-b.4.4.11.103a.11.31,ref-b.4.4.11.103a.11.42,על שדה איש עצל עברתי ועל כרם אדם חסר לב ,על שדה איש עצל עברתי זה אחז ועל כרם אדם חסר לב ,10,12,3000,3000.0,732,732.0,0.1489361702127659,0.1818181818181817,10,על שדה איש עצל עברתי ועל כרם אדם חסר לב,6080000592,10,12
ref-sifre-d.48.3.165-ref-sifre-d.48.3.173,ref-b.4.4.11.103a.11.25-ref-b.4.4.11.103a.11.30,91128,91176,ref-sifre-d.48.3.165,ref-sifre-d.48.3.173,6363292,6363325,ref-b.4.4.11.103a.11.25,ref-b.4.4.11.103a.11.30,כסו פניו חרולים ועוד הוא אומר וגדר אבניו נהרסה ,כסו פניו חרולים וגדר אבניו נהרסה ,9,6,2999,2999.0,734,734.0,0.2978723404255319,0.25,6,כסו פניו חרולים וגדר אבניו נהרסה,6080000593,9,6
ref-sifre-d.48.3.165-ref-sifre-d.48.3.173,ref-b.4.4.11.103a.11.51-ref-b.4.4.11.103a.11.58,91128,91176,ref-sifre-d.48.3.165,ref-sifre-d.48.3.173,6363413,6363457,ref-b.4.4.11.103a.11.51,ref-b.4.4.11.103a.11.58,כסו פניו חרולים ועוד הוא אומר וגדר אבניו נהרסה ,כסו פניו חרולים זה יהויקים וגדר אבניו נהרסה ,9,8,3002,3002.0,735,734.0,0.2340425531914893,0.4,6,כסו פניו חרולים וגדר אבניו נהרסה,6080000594,9,8
ref-sifre-d.48.4.9-ref-sifre-d.48.4.25,ref-b.4.1.8.92b.11.17-ref-b.4.1.8.92b.12.1,91425,91503,ref-sifre-d.48.4.9,ref-sifre-d.48.4.25,4988208,4988251,ref-b.4.1.8.92b.11.17,ref-b.4.1.8.92b.12.1,נפש שבעה תבוס נופת זה תלמיד שלא למד מתחילתו ונפש רעבה כל מר מתוק לא היה אלא ,נפש שבעה תבוס נופת ונפש רעבה כל מר מתוק אל ,17,10,2155,2155.0,736,736.0,0.4342105263157895,0.3571428571428571,9,נפש שבעה תבוס נופת ונפש רעבה כל מר מתוק,6080000595,17,10
ref-sifre-d.48.5.116-ref-sifre-d.48.5.125,ref-b.2.3.5.54a.3.18-ref-b.2.3.5.54a.3.26,92284,92336,ref-sifre-d.48.5.116,ref-sifre-d.48.5.125,1109092,1109138,ref-b.2.3.5.54a.3.18,ref-b.2.3.5.54a.3.26,חיים לעולם שנא' כי חיים הם למוצאיהם ולכל בשרו מרפא ,חיי שנאמר כי חיים הם למצאיהם ולכל בשרו מרפא ,10,9,307,307.0,737,737.0,0.196078431372549,0.4,6,כי חיים הם ולכל בשרו מרפא,6080000596,10,9
ref-sifre-d.48.5.142-ref-sifre-d.48.5.146,ref-b.3.7.1.2b.8.13-ref-b.3.7.1.2b.8.17,92420,92443,ref-sifre-d.48.5.142,ref-sifre-d.48.5.146,4387335,4387358,ref-b.3.7.1.2b.8.13,ref-b.3.7.1.2b.8.17,תורת ה' תמימה משיבת נפש ,תורת ה' תמימה משיבת נפש ,5,5,1842,1842.0,738,738.0,0.0,0.0,5,תורת ה' תמימה משיבת נפש,6080000597,5,5
ref-sifre-d.48.5.174-ref-sifre-d.48.5.181,ref-b.2.11.1.9b.2.7-ref-b.2.11.1.9b.2.14,92571,92610,ref-sifre-d.48.5.174,ref-sifre-d.48.5.181,2665263,2665302,ref-b.2.11.1.9b.2.7,ref-b.2.11.1.9b.2.14,יקרה היא מפנינים וכל חפצים לא ישוו בה ,יקרה היא מפנינים וכל חפציך לא ישוו בה ,8,8,958,958.0,739,739.0,0.0263157894736842,0.3333333333333333,7,יקרה היא מפנינים וכל לא ישוו בה,6080000598,8,8
ref-sifre-d.48.6.24-ref-sifre-d.48.6.32,ref-b.2.5.7.72b.15.10-ref-b.2.5.7.72b.15.17,92716,92758,ref-sifre-d.48.6.24,ref-sifre-d.48.6.32,1893246,1893284,ref-b.2.5.7.72b.15.10,ref-b.2.5.7.72b.15.17,פקודי ה' ישרים משמחי לב וכתיב אמרת ה',פקודי ה' ישרים משמחי לב וכתיב אמרת ה',8,8,596,595.0,741,741.0,0.0,0.0,8,פקודי ה' ישרים משמחי לב וכתיב אמרת ה',6080000599,8,8
ref-sifre-d.48.6.28-ref-sifre-d.48.6.32,ref-b.2.9.4.30a.11.26-ref-b.2.9.4.30a.11.30,92735,92758,ref-sifre-d.48.6.28,ref-sifre-d.48.6.32,2488915,2488938,ref-b.2.9.4.30a.11.26,ref-b.2.9.4.30a.11.30,פקודי ה' ישרים משמחי לב ,פקודי ה' ישרים משמחי לב ,5,5,884,884.0,744,740.0,0.0,0.0,5,פקודי ה' ישרים משמחי לב,6080000600,5,5
ref-sifre-d.48.6.28-ref-sifre-d.48.6.32,ref-b.2.9.4.30a.12.33-ref-b.2.9.4.30a.12.37,92735,92758,ref-sifre-d.48.6.28,ref-sifre-d.48.6.32,2489124,2489147,ref-b.2.9.4.30a.12.33,ref-b.2.9.4.30a.12.37,פקודי ה' ישרים משמחי לב ,פקודי ה' ישרים משמחי לב ,5,5,885,885.0,745,740.0,0.0,0.0,5,פקודי ה' ישרים משמחי לב,6080000601,5,5
ref-sifre-d.48.6.20-ref-sifre-d.48.6.32,ref-b.5.5.2.11a.11.29-ref-b.5.5.2.11a.11.35,92698,92758,ref-sifre-d.48.6.20,ref-sifre-d.48.6.32,8146862,8146894,ref-b.5.5.2.11a.11.29,ref-b.5.5.2.11a.11.35,פקודי ה' ישרים משמחי לב משמחי לב,פקודי ה' ישרים משמחי לב משמחי לב,7,7,3858,3858.0,740,740.0,0.0,0.0,7,פקודי ה' ישרים משמחי לב משמחי לב,6080000602,7,7
ref-sifre-d.48.6.57-ref-sifre-d.48.6.62,ref-b.2.1.23.152a.10.46-ref-b.2.1.23.152a.10.51,92885,92924,ref-sifre-d.48.6.57,ref-sifre-d.48.6.62,907843,907881,ref-b.2.1.23.152a.10.46,ref-b.2.1.23.152a.10.51,שנאמר בישישים חכמה ואחרית ימים תבונה ,שנאמר בישישים חכמה ואורך ימים תבונה ,6,6,276,276.0,746,746.0,0.081081081081081,0.2857142857142857,5,שנאמר בישישים חכמה ימים תבונה,6080000603,6,6
ref-sifre-d.48.7.40-ref-sifre-d.48.7.51,ref-b.2.3.5.54a.6.14-ref-b.2.3.5.54a.7.8,93273,93338,ref-sifre-d.48.7.40,ref-sifre-d.48.7.51,1109512,1109564,ref-b.2.3.5.54a.6.14,ref-b.2.3.5.54a.7.8,כי לוית חן הם לראשך וענקים לגרגרותיך ואומר תתן לראשך לוית חן ,כי לוית חן הם חש בראשו יעסוק בתורה שנאמר כי לוית חן ,12,10,311,311.0,751,747.0,0.5081967213114754,0.7272727272727273,6,כי לוית חן הם לוית חן,6080000604,12,10
ref-sifre-d.48.7.34-ref-sifre-d.48.7.38,ref-b.2.3.5.54a.7.23-ref-b.2.3.5.54a.7.27,93233,93265,ref-sifre-d.48.7.34,ref-sifre-d.48.7.38,1109651,1109678,ref-b.2.3.5.54a.7.23,ref-b.2.3.5.54a.7.27,רפאות תהיה לשרך ושקוי לעצמותיך ,רפאות תהי לשרך חש בעצמותיו ,5,5,313,313.0,747,747.0,0.2258064516129032,0.5714285714285714,2,רפאות לשרך,6080000605,5,5
ref-sifre-d.48.7.34-ref-sifre-d.48.7.43,ref-b.2.9.1.7a.5.15-ref-b.2.9.1.7a.5.29,93233,93286,ref-sifre-d.48.7.34,ref-sifre-d.48.7.43,2381362,2381439,ref-b.2.9.1.7a.5.15,ref-b.2.9.1.7a.5.29,רפאות תהי לשרך ואומר כי מצאי מצא חיים,שנאמר עץ חיים היא למחזיקים בה ואומר רפאות תהי לשרך ואומר כי מצאי מצא חיים,8,15,830,830.0,748,748.0,0.4931506849315068,0.3333333333333333,8,רפאות תהי לשרך ואומר כי מצאי מצא חיים,6080000606,8,15
ref-sifre-d.48.7.40-ref-sifre-d.48.7.46,ref-b.3.5.9.46b.14.14-ref-b.3.5.9.46b.14.20,93273,93312,ref-sifre-d.48.7.40,ref-sifre-d.48.7.46,4064268,4064306,ref-b.3.5.9.46b.14.14,ref-b.3.5.9.46b.14.20,כי לוית חן הם לראשך וענקים לגרגרותיך ,כי לוית חן הם לראשך וענקים לגרגרתיך ,7,7,1779,1779.0,750,747.0,0.027027027027027,0.0,6,כי לוית חן הם לראשך וענקים,6080000607,7,7
ref-sifre-d.48.8.46-ref-sifre-d.48.8.55,ref-b.4.8.1.19a.17.20-ref-b.4.8.1.19a.18.1,93658,93724,ref-sifre-d.48.8.46,ref-sifre-d.48.8.55,6572631,6572691,ref-b.4.8.1.19a.17.20,ref-b.4.8.1.19a.18.1,"הראשונים מתקיימים בידו כך אין האחרונים מתקיימים בידו ת""ל והיה ",ראשונה כולם מתקיימות בידו ואם לאו אין מתקיימות בידו והיה ,10,8,3204,3204.0,752,752.0,0.4193548387096774,0.9090909090909092,3,בידו בידו והיה,6080000608,10,8
ref-sifre-d.48.9.117-ref-sifre-d.48.9.126,ref-b.2.1.20.138b.10.42-ref-b.2.1.20.138b.11.4,94482,94532,ref-sifre-d.48.9.117,ref-sifre-d.48.9.126,851937,851984,ref-b.2.1.20.138b.10.42,ref-b.2.1.20.138b.11.4,ישוטטו לבקש את דבר ה' ולא ימצאו דבר היתר שהולכים ,ישוטטו לבקש את דבר ה' ולא ימצאו דבר ה' זו הלכה ,10,11,265,265.0,754,753.0,0.1632653061224489,0.3636363636363636,8,ישוטטו לבקש את דבר ה' ולא ימצאו דבר,6080000609,10,11
ref-sifre-d.48.9.117-ref-sifre-d.48.9.122,ref-b.2.1.20.138b.11.9-ref-b.2.1.20.138b.12.6,94482,94508,ref-sifre-d.48.9.117,ref-sifre-d.48.9.122,852000,852043,ref-b.2.1.20.138b.11.9,ref-b.2.1.20.138b.12.6,ישוטטו לבקש את דבר ה' ולא ,דבר ה' זו נבואה ומאי ישוטטו לבקש את דבר ה' ,6,10,266,266.0,753,753.0,0.5813953488372093,0.4444444444444444,5,ישוטטו לבקש את דבר ה',6080000610,6,10
ref-sifre-d.48.9.117-ref-sifre-d.48.9.126,ref-b.2.1.20.138b.17.22-ref-b.2.1.20.139a.1.1,94482,94532,ref-sifre-d.48.9.117,ref-sifre-d.48.9.126,852765,852813,ref-b.2.1.20.138b.17.22,ref-b.2.1.20.139a.1.1,ישוטטו לבקש את דבר ה' ולא ימצאו דבר היתר שהולכים ,ישוטטו לבקש את דבר ה' ולא ימצאו שלא ימצאו הלכה ,10,10,267,267.0,755,753.0,0.2448979591836734,0.3636363636363636,7,ישוטטו לבקש את דבר ה' ולא ימצאו,6080000611,10,10
ref-sifre-d.48.10.91-ref-sifre-d.48.10.106,ref-b.1.1.1.4a.13.2-ref-b.1.1.1.4a.13.20,95181,95254,ref-sifre-d.48.10.91,ref-sifre-d.48.10.106,9521,9610,ref-b.1.1.1.4a.13.2,ref-b.1.1.1.4a.13.20,חכם בני ושמח לבי ואשיבה חורפי דבר ואומר בני אם חכם לבך ישמח לבי גם אני ,אמר שלמה בחכמתו בני אם חכם לבך ישמח לבי גם אני ואומר חכם בני ושמח לבי ואשיבה חרפי דבר ,16,19,2,2.0,756,756.0,0.6511627906976745,0.1538461538461538,8,בני אם חכם לבך ישמח לבי גם אני,6080000612,16,19
ref-sifre-d.48.10.91-ref-sifre-d.48.10.106,ref-b.2.1.1.14b.7.19-ref-b.2.1.1.14b.7.33,95181,95254,ref-sifre-d.48.10.91,ref-sifre-d.48.10.106,396910,396976,ref-b.2.1.1.14b.7.19,ref-b.2.1.1.14b.7.33,חכם בני ושמח לבי ואשיבה חורפי דבר ואומר בני אם חכם לבך ישמח לבי גם אני ,בני אם חכם לבך ישמח לבי גם אני חכם בני ושמח לבי ואשיבה חורפי דבר ,16,15,173,173.0,757,756.0,0.6901408450704225,0.0909090909090909,8,בני אם חכם לבך ישמח לבי גם אני,6080000613,16,15
ref-sifre-d.48.10.91-ref-sifre-d.48.10.106,ref-b.2.3.2.21b.16.16-ref-b.2.3.2.21b.16.31,95181,95254,ref-sifre-d.48.10.91,ref-sifre-d.48.10.106,1005540,1005612,ref-b.2.3.2.21b.16.16,ref-b.2.3.2.21b.16.31,חכם בני ושמח לבי ואשיבה חורפי דבר ואומר בני אם חכם לבך ישמח לבי גם אני ,בני אם חכם לבך ישמח לבי גם אני ואומר חכם בני ושמח לבי ואשיבה חרפי דבר ,16,16,287,287.0,758,756.0,0.676056338028169,0.0,8,בני אם חכם לבך ישמח לבי גם אני,6080000614,16,16
ref-sifre-d.48.12.36-ref-sifre-d.48.12.45,ref-b.2.3.5.54a.3.19-ref-b.2.3.5.54a.3.26,95780,95831,ref-sifre-d.48.12.36,ref-sifre-d.48.12.45,1109096,1109138,ref-b.2.3.5.54a.3.19,ref-b.2.3.5.54a.3.26,שנאמר כי חיים הם למצאיהם ולכל בשרו מרפא,שנאמר כי חיים הם למצאיהם ולכל בשרו מרפא,8,8,309,309.0,759,759.0,0.0,0.0,8,שנאמר כי חיים הם למצאיהם ולכל בשרו מרפא,6080000615,8,8
ref-sifre-d.48.12.42-ref-sifre-d.48.12.50,ref-b.2.9.1.7a.5.15-ref-b.2.9.1.7a.5.21,95814,95866,ref-sifre-d.48.12.42,ref-sifre-d.48.12.50,2381362,2381400,ref-b.2.9.1.7a.5.15,ref-b.2.9.1.7a.5.21,ואו' עץ חיים היא למחזיקים בה ותומכיה מאושר ואומר ,שנאמר עץ חיים היא למחזיקים בה ואומר ,9,7,829,829.0,761,759.0,0.3673469387755102,0.5,6,עץ חיים היא למחזיקים בה ואומר,6080000616,9,7
ref-sifre-d.48.12.42-ref-sifre-d.48.12.50,ref-b.3.3.7.62a.8.15-ref-b.3.3.7.62a.9.6,95814,95866,ref-sifre-d.48.12.42,ref-sifre-d.48.12.50,3726346,3726441,ref-b.3.3.7.62a.8.15,ref-b.3.3.7.62a.9.6,ואו' עץ חיים היא למחזיקים בה ותומכיה מאושר ואומר ,ואומר דרכיה דרכי נועם ואומר עץ חיים היא למחזיקים בה ותמכיה מאשר רבי אליעזר בר רבי צדוק אומר ,9,12,1466,1465.0,762,759.0,0.5217391304347826,0.3333333333333333,5,עץ חיים היא למחזיקים בה,6080000617,9,12
