,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-sifre-n,dam-lev,jac,id
486,654,ref-b.3.4.8.60b.7.1-ref-b.3.4.8.60b.7.9,ref-sifre-n.38.1.304-ref-sifre-n.38.1.312,3888027,3888072,536079,536201,ref-b.3.4.8.60b.7.1,ref-b.3.4.8.60b.7.9,62252,62295,8973,8985,ref-sifre-n.38.1.304,ref-sifre-n.38.1.312,ולא תעלה לו לימי חלוטו ותעלה לו לימי ספרו ולא תעלה לו לימי חלוטו ותעלה לו לימי ספרו,הדבר לא עולה בימי גמרו לא עולה בימי ספרו לא עולה בימי ספרו,83,58,1201.0,646.0,0.5542168674698795,0.75,3070000487
487,656,ref-b.3.5.7.37b.12.47-ref-b.3.5.7.38a.2.24,ref-sifre-n.39.1.55-ref-sifre-n.39.1.100,4027692,4027832,556432,556604,ref-b.3.5.7.37b.12.47,ref-b.3.5.7.38a.2.24,62602,62855,9030,9070,ref-sifre-n.39.1.55,ref-sifre-n.39.1.100,עונין ואומרים אמן תנו רבנן כה תברכו בלשון הקודש אתה אומר בלשון הקודש או אינו אלא ב כה תברכו ונאמר להלן אלה יעמדו לברך עונין ואומרים אמן תנו רבנן כה תברכו בלשון הקודש אתה אומר נאמר כאן כה תברכו ונאמר להלן אלה יעמדו לברך,בלשון הקודש שכל מקום שנאמר עניה ואמירה וככה וכה בלשון הקודש כה תברכו את בני ישראל בעמידה אתה אומר בעמידה או אינו אלא את ישראל נאמר כאן ברכה ונאמר להלן כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף,218,205,1401.0,656.0,0.6467889908256881,0.5217391304347826,3070000488
488,658,ref-b.4.4.2.19a.17.14-ref-b.4.4.2.19a.17.27,ref-sifre-n.39.1.72-ref-sifre-n.39.1.88,5995800,5995871,833532,833541,ref-b.4.4.2.19a.17.14,ref-b.4.4.2.19a.17.27,62700,62792,9046,9058,ref-sifre-n.39.1.72,ref-sifre-n.39.1.88,ולא לפנינו אתה עומד אלא לפני מי שאמר והיה העולם אתה עומד שנאמר ועמדו ,אתה אומר בעמידה או אינו אלא בעמידה ושלא בעמידה תלמוד לומר ואלה יעמדו לברך את ישראל נאמר ,9,12,1817.0,656.0,0.6704545454545454,0.7857142857142857,3070000489
489,659,ref-b.3.5.7.38a.6.5-ref-b.3.5.7.38a.7.15,ref-sifre-n.39.1.72-ref-sifre-n.39.1.180,4028234,4028480,556507,556695,ref-b.3.5.7.38a.6.5,ref-b.3.5.7.38a.7.15,62700,63273,9046,9137,ref-sifre-n.39.1.72,ref-sifre-n.39.1.180,בנשיאות כפים אתה אומר בנשיאות כפים או אינו אלא שלא בנשיאות כפים וישא אהרן את ידיו אל העם ויברכם מה להלן בנשיאות כפים אף כאן בנשיאות כפים קשיא ליה לרבי יונתן אי מה להלן כהן גדול וראש חודש ועבודת צבור אף כאן בנשיאות כפים אתה אומר בנשיאות כפים או אינו אלא שלא בנשיאות כפים נאמר כאן כה תברכו ונאמר להלן וישא אהרן את ידיו אל העם ויברכם מה להלן בנשיאות כפים אף כאן בנשיאות כפים קשיא ליה לרבי יונתן אי מה להלן,אתה אומר בעמידה או אינו אלא בעמידה ושלא בעמידה תלמוד לומר ואלה יעמדו לברך את ישראל נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן ברכה בעמידה כה תברכו את בני ישראל בנשיאת כפים אתה אומר בנשיאת כפים או בנשיאת כפים ושלא בנשיאת כפים תלמוד לומר וישא אהרן את ידיו אל העם ויברכם מה אהרן בנשיאת כפים אף בניו בנשיאת כפים ר' יונתן אומר או מה להלן ראש חודש,402,348,1412.0,656.0,0.5124378109452736,0.43333333333333335,3070000490
490,662,ref-b.3.5.7.38a.4.14-ref-b.3.5.7.38a.5.14,ref-sifre-n.39.1.83-ref-sifre-n.39.1.133,4028015,4028162,556474,556644,ref-b.3.5.7.38a.4.14,ref-b.3.5.7.38a.5.14,62762,63035,9050,9099,ref-sifre-n.39.1.83,ref-sifre-n.39.1.133,נאמר כאן כה תברכו ונאמר להלן אלה יעמדו לברך מה להלן בעמידה אף כאן בעמידה רבי נתן אומר אינו צריך הרי הוא אומר לשרתו ולברך בשמו מה משרת בעמידה אף מברך בעמידה בעמידה או אינו אלא אפילו בישיבה נאמר כאן כה תברכו ונאמר להלן אלה יעמדו לברך מה להלן בעמידה אף כאן בעמידה רבי נתן אומר אינו,ואלה יעמדו לברך את ואלה יעמדו לברך את ישראל נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף ברכה האמורה כאן בעמידה ר' נתן אומר אינו צריך שכבר אמר ונגשו הכהנים בני לוי לשרתו ולברך בשם ה' לעמוד בשמו מקיש ברכה לשירות מה שירות בעמידה אף ברכה,278,249,1407.0,656.0,0.6546762589928058,0.5357142857142857,3070000491
491,664,ref-b.3.5.1.3b.22.12-ref-b.3.5.1.3b.22.38,ref-sifre-n.39.1.88-ref-sifre-n.39.1.99,3908503,3908617,539020,539036,ref-b.3.5.1.3b.22.12,ref-b.3.5.1.3b.22.38,62788,62850,9058,9069,ref-sifre-n.39.1.88,ref-sifre-n.39.1.99,נאמר כאן כי מצא בה ערות דבר ונאמר להלן על פי שני עדים או על פי שלשה עדים יקום דבר מה דבר האמור להלן עדים שנים אף ,נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף ,16,11,1226.0,656.0,0.6017699115044248,0.6666666666666667,3070000492
492,665,ref-b.3.1.2.24a.6.16-ref-b.3.1.2.24a.6.37,ref-sifre-n.39.1.88-ref-sifre-n.39.1.102,2915347,2915449,402168,402185,ref-b.3.1.2.24a.6.16,ref-b.3.1.2.24a.6.37,62788,62867,9058,9072,ref-sifre-n.39.1.88,ref-sifre-n.39.1.102,נאמר כאן יקום על שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן נחלה אף שם האמור כאן ,נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף ברכה האמורה כאן ,17,14,772.0,656.0,0.5151515151515151,0.6666666666666667,3070000493
493,666,ref-b.5.5.2.11a.9.14-ref-b.5.5.2.11a.10.9,ref-sifre-n.39.1.115-ref-sifre-n.39.1.126,8146599,8146702,1145590,1145754,ref-b.5.5.2.11a.9.14,ref-b.5.5.2.11a.10.9,62931,62994,9077,9095,ref-sifre-n.39.1.115,ref-sifre-n.39.1.126,ה' אלהיו איזהו שירות שבשם הוי אומר זה שירה ואימא נשיאות כפים מדכתיב לשרתו ולברך בשמו מכלל דברכת שירה מן התורה שנאמר ושרת בשם ה' אלהיו איזהו שירות שבשם הוי אומר זה שירה ואימא נשיאות כפים מדכתיב לשרתו,לשרתו ולברך בשם ה' לעמוד לפני ה' לשרתו ולברך בשם ה' לעמוד לפני ה' לשרתו ולברך בשמו מקיש ברכה,198,92,2662.0,656.0,0.7171717171717171,0.8181818181818181,3070000494
494,668,ref-b.2.6.3.38b.8.6-ref-b.2.6.3.38b.8.14,ref-sifre-n.39.1.116-ref-sifre-n.39.1.124,2064397,2064437,285139,285147,ref-b.2.6.3.38b.8.6,ref-b.2.6.3.38b.8.14,62938,62984,9109,9117,ref-sifre-n.39.1.116,ref-sifre-n.39.1.124,ברוך הבא והדר בשם ה' אלא ברוך הבא בשם ,ולברך בשם ה' לעמוד לפני ה' לשרתו ולברך בשמו ,8,8,496.0,656.0,0.6590909090909091,0.8,3070000495
495,669,ref-b.2.5.5.58b.7.8-ref-b.2.5.5.58b.7.13,ref-sifre-n.39.1.118-ref-sifre-n.39.1.122,1849958,1849985,253599,255336,ref-b.2.5.5.58b.7.8,ref-b.2.5.5.58b.7.13,62949,62972,9080,9115,ref-sifre-n.39.1.118,ref-sifre-n.39.1.122,אשר באהל מועד מזבח לפני ה' ואין כהן לפני ה' לפני ה' אשר באהל מועד מזבח לפני ה',ה' לעמוד לפני ה' לשרתו ה' לעמוד לפני ה' לשרתו,78,45,421.0,656.0,0.6282051282051282,0.7777777777777778,3070000496
496,671,ref-b.5.1.2.16a.13.7-ref-b.5.1.2.16a.13.12,ref-sifre-n.39.1.118-ref-sifre-n.39.1.122,6858510,6858538,961748,961753,ref-b.5.1.2.16a.13.7,ref-b.5.1.2.16a.13.12,62949,62972,9080,9091,ref-sifre-n.39.1.118,ref-sifre-n.39.1.122,לעמוד לפני ה' לשרתו לפני ה',ה' לעמוד לפני ה' לשרתו לעמוד לפני ה' לשרתו,27,42,2132.0,656.0,0.35714285714285715,0.0,3070000497
497,674,ref-b.3.5.7.38a.8.18-ref-b.3.5.7.38a.8.29,ref-sifre-n.39.1.125-ref-sifre-n.39.1.144,4028592,4028665,556708,556718,ref-b.3.5.7.38a.8.18,ref-b.3.5.7.38a.8.29,62985,63092,9091,9106,ref-sifre-n.39.1.125,ref-sifre-n.39.1.144,בנשיאות כפים אף בניו בנשיאות כפים וכתיב כל הימים ואיתקש ברכה לשירות ,מקיש ברכה לשירות מה שירות בעמידה אף ברכה בעמידה כה תברכו את בני ישראל בנשיאת כפים אתה אומר בנשיאת כפים ,10,15,1417.0,656.0,0.7087378640776699,0.75,3070000498
498,676,ref-b.5.7.6.26a.21.3-ref-b.5.7.6.26a.22.8,ref-sifre-n.39.1.139-ref-sifre-n.39.1.149,8447096,8447162,1189173,1189182,ref-b.5.7.6.26a.21.3,ref-b.5.7.6.26a.22.8,63058,63122,9104,9114,ref-sifre-n.39.1.139,ref-sifre-n.39.1.149,נשיא ונייתי הנך מנשיא יחיד מנשיא לא אתי דאיכא למיפרך מה לנשיא ,בנשיאת כפים אתה אומר בנשיאת כפים או בנשיאת כפים ושלא בנשיאת ,9,10,2754.0,656.0,0.6774193548387096,0.9166666666666666,3070000499
499,679,ref-b.2.10.2.18a.3.9-ref-b.2.10.2.18a.3.15,ref-sifre-n.39.1.153-ref-sifre-n.39.1.159,2576558,2576592,357443,357448,ref-b.2.10.2.18a.3.9,ref-b.2.10.2.18a.3.15,63139,63173,9141,9146,ref-sifre-n.39.1.153,ref-sifre-n.39.1.159,וישא אהרן את ידיו אל העם ויברכם ,וישא אהרן את ידיו אל העם ויברכם ,5,5,672.0,656.0,0.0,0.0,3070000500
500,680,ref-b.3.5.7.38b.7.15-ref-b.3.5.7.38b.7.21,ref-sifre-n.39.1.153-ref-sifre-n.39.1.159,4030139,4030173,556916,556921,ref-b.3.5.7.38b.7.15,ref-b.3.5.7.38b.7.21,63139,63173,9114,9119,ref-sifre-n.39.1.153,ref-sifre-n.39.1.159,וישא אהרן את ידיו אל העם ויברכם ,וישא אהרן את ידיו אל העם ויברכם ,5,5,1438.0,656.0,0.0,0.0,3070000501
501,681,ref-b.3.5.7.38a.8.13-ref-b.3.5.7.38a.8.22,ref-sifre-n.39.1.194-ref-sifre-n.39.1.203,4028572,4028622,556705,556712,ref-b.3.5.7.38a.8.13,ref-b.3.5.7.38a.8.22,63335,63383,9148,9155,ref-sifre-n.39.1.194,ref-sifre-n.39.1.203,מקיש בניו לו מה הוא בנשיאות כפים אף בניו בנשיאות ,מקיש בניו לו מה הוא בנשיאת כפים אף בניו בנשיאת ,7,7,1417.0,681.0,0.04081632653061224,0.4,3070000502
502,682,ref-b.3.5.7.38a.6.5-ref-b.3.5.7.38a.6.11,ref-sifre-n.39.1.199-ref-sifre-n.39.1.216,4028234,4028283,556656,556662,ref-b.3.5.7.38a.6.5,ref-b.3.5.7.38a.6.11,63355,63455,9151,9164,ref-sifre-n.39.1.199,ref-sifre-n.39.1.216,בנשיאות כפים אתה אומר בנשיאות כפים או אינו אלא ש,בנשיאת כפים אף בניו בנשיאת כפים כה תברכו את בני ישראל בשם המפורש אתה אומר בשם המפורש או אינו אלא ,6,13,1412.0,681.0,0.6185567010309279,0.5833333333333333,3070000503
503,683,ref-b.3.5.7.38a.9.8-ref-b.3.5.7.38a.9.23,ref-sifre-n.39.1.210-ref-sifre-n.39.1.228,4028700,4028780,556722,556733,ref-b.3.5.7.38a.9.8,ref-b.3.5.7.38a.9.23,63411,63503,9158,9171,ref-sifre-n.39.1.210,ref-sifre-n.39.1.228,בשם המפורש אתה אומר בשם המפורש או אינו אלא בכינוי תלמוד לומר ושמו את שמי שמי ,בשם המפורש אתה אומר בשם המפורש או אינו אלא בכנוי תלמוד לומר ושמו את שמי על בני ישראל בשם ,11,13,1419.0,681.0,0.1797752808988764,0.19999999999999996,3070000504
504,684,ref-b.5.1.1.2b.8.5-ref-b.5.1.1.2b.8.14,ref-sifre-n.39.1.210-ref-sifre-n.39.1.228,6813200,6813252,955296,955305,ref-b.5.1.1.2b.8.5,ref-b.5.1.1.2b.8.14,63411,63503,9154,9167,ref-sifre-n.39.1.210,ref-sifre-n.39.1.228,לשמן ושלא לשמן לשם פסח ולשם שלמים טעמא דאמר לשם ,בשם המפורש אתה אומר בשם המפורש או אינו אלא בכנוי תלמוד לומר ושמו את שמי על בני ישראל בשם ,9,13,2120.0,681.0,0.6966292134831461,0.9411764705882353,3070000505
505,685,ref-b.5.1.1.2b.10.4-ref-b.5.1.1.2b.10.12,ref-sifre-n.39.1.210-ref-sifre-n.39.1.228,6813382,6813429,955325,955333,ref-b.5.1.1.2b.10.4,ref-b.5.1.1.2b.10.12,63411,63503,9154,9167,ref-sifre-n.39.1.210,ref-sifre-n.39.1.228,לשמן ולשמן לשם שלמים ולשם פסח טעמא דאמר לשם ,בשם המפורש אתה אומר בשם המפורש או אינו אלא בכנוי תלמוד לומר ושמו את שמי על בני ישראל בשם ,8,13,2121.0,681.0,0.7415730337078652,0.9411764705882353,3070000506
506,686,ref-b.3.5.7.38a.10.5-ref-b.3.5.7.38a.11.36,ref-sifre-n.39.1.241-ref-sifre-n.39.1.281,4028812,4029076,556591,556777,ref-b.3.5.7.38a.10.5,ref-b.3.5.7.38a.11.36,63569,63764,9173,9208,ref-sifre-n.39.1.241,ref-sifre-n.39.1.281,נאמר כאן ושמו את שמי ונאמר להלן לשום את שמו שם מה להלן בית הבחירה אף כאן בבית הבחירה רבי יאשיה אומר אינו צריך הרי הוא אומר בכל המקום אשר אזכיר את שמי אבוא אליך בכל מקום סלקא דעתך אלא מקרא זה מסורס הוא בכל מקום אשר אבוא אליך וברכתיך שם אזכיר את שמי והיכן אבוא אליך וברכתיך בבית הבחירה שם אזכיר את שמי בבית בכל המקום אשר אזכיר את שמי אבוא אליך בכל מקום סלקא דעתך אלא מקרא זה מסורס הוא בכל מקום אשר,בכל המקום אשר אזכיר בכל המקום אשר אזכיר את שמי זה מקרא מסורס בכל מקום שאני נגלה עליך שם תהיה מזכיר את שמי היכן הבחירה אף אתה לא תזכיר את שמי כי אם בבית הבחירה מכאן,395,163,1419.0,686.0,0.6784810126582278,0.5757575757575757,3070000507
507,688,ref-b.5.3.3.49a.16.23-ref-b.5.3.3.49a.17.5,ref-sifre-n.39.1.291-ref-sifre-n.39.1.311,7625943,7626040,1071489,1071579,ref-b.5.3.3.49a.16.23,ref-b.5.3.3.49a.17.5,63807,63930,9212,9235,ref-sifre-n.39.1.291,ref-sifre-n.39.1.311,ואני אברכם הוי אומר כהנים מברכין לישראל והקדוש ברוך הוא מברך ואני אברכם הוי אומר כהנים מברכין לישראל והקדוש ברוך הוא מברך לכהנים רבי,ברכה לישראל ברכה לגרים מנין לעבדים ולנשים מנין תלמוד לומר ואני אברכם אמור להם ברכה לכהנים לומר ואני אברכם אמור להם ברכה לכהנים מנין,132,131,2552.0,688.0,0.6212121212121212,0.5714285714285714,3070000508
508,690,ref-b.3.5.7.38a.12.13-ref-b.3.5.7.38a.13.22,ref-sifre-n.39.1.294-ref-sifre-n.39.1.352,4029193,4029357,556643,556816,ref-b.3.5.7.38a.12.13,ref-b.3.5.7.38a.13.22,63825,64124,9215,9261,ref-sifre-n.39.1.294,ref-sifre-n.39.1.352,גרים נשים ועבדים משוחררים מנין תלמוד לומר אמור להם לכולהו תניא אידך כה תברכו פנים כנגד פנים אתה אומר פנים כנגד פנים או אינו אלא פנים כנגד עורף תלמוד לומר אמור להם גרים נשים ועבדים משוחררים מנין תלמוד לומר אמור להם לכולהו תניא אידך כה תברכו פנים כנגד פנים אתה אומר פנים כנגד פנים או אינו אלא,לגרים מנין לעבדים ולנשים לגרים מנין לעבדים ולנשים מנין תלמוד לומר ואני אברכם אמור להם ברכה לכהנים מנין תלמוד לומר ואני אברכם כה תברכו את בני ישראל פנים כנגד פנים אתה אומר פנים כנגד פנים או מול כנגד פנים תלמוד לומר אמור להם תברכו את בני ישראל,290,241,1431.0,688.0,0.6379310344827587,0.5,3070000509
509,692,ref-b.3.5.7.38b.3.16-ref-b.3.5.7.38b.3.35,ref-sifre-n.39.1.297-ref-sifre-n.39.1.311,4029764,4029865,556721,556883,ref-b.3.5.7.38b.3.16,ref-b.3.5.7.38b.3.35,63845,63930,9218,9232,ref-sifre-n.39.1.297,ref-sifre-n.39.1.311,שמי על בני ישראל ואני אברכם ואמר רבי יהושע בן לוי כל כהן שמברך מתברך ושאינו מברך אין מתברך שנאמר ואברכה שמי על בני ישראל ואני אברכם ואמר רבי יהושע בן לוי כל כהן שמברך,ולנשים מנין תלמוד לומר ולנשים מנין תלמוד לומר ואני אברכם אמור להם ברכה לכהנים מנין,166,82,1434.0,688.0,0.6927710843373494,0.8421052631578947,3070000510
510,695,ref-b.1.1.9.58a.14.9-ref-b.1.1.9.58a.14.22,ref-sifre-n.39.1.362-ref-sifre-n.40.1.2,314605,314676,43775,43784,ref-b.1.1.9.58a.14.9,ref-b.1.1.9.58a.14.22,64173,64206,9266,9271,ref-sifre-n.39.1.362,ref-sifre-n.40.1.2,לך ה' הגדלה והגבורה וגו' אמרי ליה מאי קאמרת אמר להו הכי קאמינא בריך ,אמרו תלמוד לומר אמור להם יברכך ה' ,9,5,65.0,695.0,0.7352941176470589,0.8333333333333334,3070000511
511,696,ref-b.3.5.5.30b.17.10-ref-b.3.5.5.31a.1.4,ref-sifre-n.39.1.362-ref-sifre-n.40.1.2,4002852,4002891,552657,552663,ref-b.3.5.5.30b.17.10,ref-b.3.5.5.31a.1.4,64173,64206,9266,9271,ref-sifre-n.39.1.362,ref-sifre-n.40.1.2,אמרו שירה שנאמר במקהלות ברכו אלהים ה' ,אמרו תלמוד לומר אמור להם יברכך ה' ,6,5,1382.0,695.0,0.5789473684210527,0.8,3070000512
512,697,ref-b.4.2.9.107a.12.15-ref-b.4.2.9.107a.12.24,ref-sifre-n.40.1.8-ref-sifre-n.40.1.14,5461312,5461366,758188,758487,ref-b.4.2.9.107a.12.15,ref-b.4.2.9.107a.12.24,64237,64273,9275,9284,ref-sifre-n.40.1.8,ref-sifre-n.40.1.14,ברוך אתה בעיר וברוך אתה בשדה ברוך אתה בבואך וברוך ברוך אתה בעיר וברוך אתה בשדה ברוך אתה,ברוך אתה בעיר וברוך ברוך אתה בעיר וברוך אתה בשדה,87,48,1688.0,697.0,0.4482758620689655,0.16666666666666663,3070000513
513,699,ref-b.3.6.9.88a.20.27-ref-b.3.6.9.88a.21.1,ref-sifre-n.40.1.20-ref-sifre-n.40.1.33,4378284,4378353,604009,604208,ref-b.3.6.9.88a.20.27,ref-b.3.6.9.88a.21.1,64304,64378,9285,9302,ref-sifre-n.40.1.20,ref-sifre-n.40.1.33,ה' אלהינו משום דצדיק ה' אלהינו וישקוד ה' על הרעה ויביאה עלינו אלא כי צדיק ה' אלהינו משום דצדיק ה' אלהינו וישקוד ה' על הרעה ויביאה עלינו אלא,ובאו עליך כל הברכות ובאו עליך כל הברכות האלה והשיגוך אימתי כי תשמע בקול ה' אלהיך יברכך ה',139,89,1505.0,699.0,0.7050359712230215,0.8421052631578947,3070000514
514,701,ref-b.4.4.4.38a.4.22-ref-b.4.4.4.38a.4.28,ref-sifre-n.40.1.27-ref-sifre-n.40.1.33,6076094,6076126,845294,845300,ref-b.4.4.4.38a.4.22,ref-b.4.4.4.38a.4.28,64347,64378,9296,9302,ref-sifre-n.40.1.27,ref-sifre-n.40.1.33,כי צדיק ה' אלהינו משום דצדיק ה' ,כי תשמע בקול ה' אלהיך יברכך ה' ,6,6,1832.0,699.0,0.625,0.8888888888888888,3070000515
515,702,ref-b.4.4.11.105b.19.16-ref-b.4.4.11.105b.19.24,ref-sifre-n.40.1.27-ref-sifre-n.40.1.33,6379466,6379505,891230,891237,ref-b.4.4.11.105b.19.16,ref-b.4.4.11.105b.19.24,64347,64378,9296,9302,ref-sifre-n.40.1.27,ref-sifre-n.40.1.33,ה' אלהיך לך את הקללה לברכה כי אהבך ה' ,כי תשמע בקול ה' אלהיך יברכך ה' ,7,6,1994.0,699.0,0.6578947368421053,0.8,3070000516
516,703,ref-b.3.5.9.48a.7.33-ref-b.3.5.9.48a.7.39,ref-sifre-n.40.1.82-ref-sifre-n.40.1.88,4073333,4073365,563064,563070,ref-b.3.5.9.48a.7.33,ref-b.3.5.9.48a.7.39,64647,64679,9342,9348,ref-sifre-n.40.1.82,ref-sifre-n.40.1.88,הנה לא ינום ולא יישן שומר ישראל ,הנה לא ינום ולא יישן שומר ישראל ,6,6,1485.0,703.0,0.0,0.0,3070000517
517,704,ref-b.5.2.3.33b.3.30-ref-b.5.2.3.33b.3.39,ref-sifre-n.40.1.87-ref-sifre-n.40.1.96,7242030,7242077,1016868,1016876,ref-b.5.2.3.33b.3.30,ref-b.5.2.3.33b.3.39,64669,64714,9350,9358,ref-sifre-n.40.1.87,ref-sifre-n.40.1.96,משמרן מבחוץ שנאמר ה' שומרך ה' צלך על יד ימינך ,שומר ישראל ואומר ה' שומרך ה' צלך על יד ימינך ,8,8,2304.0,703.0,0.2391304347826087,0.5,3070000518
518,705,ref-b.4.8.1.11a.5.20-ref-b.4.8.1.11a.5.26,ref-sifre-n.40.1.87-ref-sifre-n.40.1.106,6540081,6540120,915038,915427,ref-b.4.8.1.11a.5.20,ref-b.4.8.1.11a.5.26,64669,64765,9343,9365,ref-sifre-n.40.1.87,ref-sifre-n.40.1.106,משמרן מבחוץ שנאמר ה' ישמר צאתך ובואך משמרן מבחוץ שנאמר ה' ישמר צאתך ובואך,שומר ישראל ואומר ה' שומרך ה' צלך על יד ימינך ואומר ה' ישמרך מכל רע ואומר ה' ישמר צאתך ובואך ישמר צאתך ובואך,73,107,2067.0,703.0,0.5794392523364486,0.75,3070000519
519,707,ref-b.2.12.2.16a.17.38-ref-b.2.12.2.16a.17.44,ref-sifre-n.40.1.115-ref-sifre-n.40.1.121,2817497,2817531,391495,391501,ref-b.2.12.2.16a.17.38,ref-b.2.12.2.16a.17.44,64807,64841,9397,9403,ref-sifre-n.40.1.115,ref-sifre-n.40.1.121,כי מלאכיו יצוה לך לשמרך בכל דרכיך ,כי מלאכיו יצוה לך לשמרך בכל דרכיך ,6,6,736.0,707.0,0.0,0.0,3070000520
520,708,ref-b.4.4.11.103a.15.9-ref-b.4.4.11.103a.15.15,ref-sifre-n.40.1.115-ref-sifre-n.40.1.121,6364192,6364226,888779,888785,ref-b.4.4.11.103a.15.9,ref-b.4.4.11.103a.15.15,64807,64841,9370,9376,ref-sifre-n.40.1.115,ref-sifre-n.40.1.121,כי מלאכיו יצוה לך לשמרך בכל דרכיך ,כי מלאכיו יצוה לך לשמרך בכל דרכיך ,6,6,1987.0,707.0,0.0,0.0,3070000521
521,709,ref-b.1.1.1.5a.7.14-ref-b.1.1.1.5a.7.27,ref-sifre-n.40.1.117-ref-sifre-n.40.1.132,14457,14538,2106,2117,ref-b.1.1.1.5a.7.14,ref-b.1.1.1.5a.7.27,64817,64899,9399,9412,ref-sifre-n.40.1.117,ref-sifre-n.40.1.132,ויאמר אם שמוע תשמע לקול ה' אלהיך והישר בעיניו תעשה והאזנת למצותיו ושמרת כל ,יצוה לך לשמרך בכל דרכיך דבר אחר וישמרך ישמור לך ברית אבותיך שנאמר ושמר ה' אלהיך ,11,13,1.0,707.0,0.725,0.92,3070000522
522,710,ref-b.4.4.11.90b.12.6-ref-b.4.4.11.90b.12.12,ref-sifre-n.40.1.131-ref-sifre-n.40.1.145,6284046,6284079,875688,876064,ref-b.4.4.11.90b.12.6,ref-b.4.4.11.90b.12.12,64891,64965,9380,9395,ref-sifre-n.40.1.131,ref-sifre-n.40.1.145,אשר נשבע ה' לאבותיכם לתת להם לכם אשר נשבע ה' לאבותיכם לתת להם לכם,ה' אלהיך לך את הברית ואת החסד אשר נשבע לאבותיך החסד אשר נשבע לאבותיך דבר אחר,65,76,1951.0,707.0,0.7236842105263158,0.8,3070000523
523,712,ref-b.4.4.11.94a.8.1-ref-b.4.4.11.94a.8.10,ref-sifre-n.40.1.151-ref-sifre-n.40.1.160,6306558,6306605,879556,879565,ref-b.4.4.11.94a.8.1,ref-b.4.4.11.94a.8.10,64988,65035,9398,9407,ref-sifre-n.40.1.151,ref-sifre-n.40.1.160,משא דומה אלי קורא משעיר שומר מה מלילה שומר מה ,משא דומה אלי קורא משעיר שומר מה מלילה שומר מה ,9,9,1966.0,712.0,0.0,0.0,3070000524
524,713,ref-b.4.4.11.94a.8.29-ref-b.4.4.11.94a.8.40,ref-sifre-n.40.1.156-ref-sifre-n.40.1.167,6306700,6306755,879583,879594,ref-b.4.4.11.94a.8.29,ref-b.4.4.11.94a.8.40,65013,65069,9403,9414,ref-sifre-n.40.1.156,ref-sifre-n.40.1.167,שומר מה מלילה שומר מה מליל אמר שומר אתא בקר וגם לילה ,שומר מה מלילה שומר מה מליל אמר שומר אתא בוקר וגם לילה ,11,11,1967.0,712.0,0.018518518518518517,0.0,3070000525
525,714,ref-b.2.1.23.152b.6.19-ref-b.2.1.23.152b.6.24,ref-sifre-n.40.1.179-ref-sifre-n.40.1.184,909904,909940,126484,126489,ref-b.2.1.23.152b.6.19,ref-b.2.1.23.152b.6.24,65126,65162,9448,9453,ref-sifre-n.40.1.179,ref-sifre-n.40.1.184,והיתה נפש אדוני צרורה בצרור החיים ,והיתה נפש אדוני צרורה בצרור החיים ,5,5,165.0,714.0,0.0,0.0,3070000526
526,715,ref-b.2.1.23.152b.7.13-ref-b.2.1.23.152b.7.18,ref-sifre-n.40.1.179-ref-sifre-n.40.1.184,910113,910148,126518,126523,ref-b.2.1.23.152b.7.13,ref-b.2.1.23.152b.7.18,65126,65162,9448,9453,ref-sifre-n.40.1.179,ref-sifre-n.40.1.184,והיתה נפש אדני צרורה בצרור החיים ,והיתה נפש אדוני צרורה בצרור החיים ,5,5,170.0,714.0,0.029411764705882353,0.0,3070000527
527,716,ref-b.2.10.1.14b.3.1-ref-b.2.10.1.14b.3.6,ref-sifre-n.40.1.179-ref-sifre-n.40.1.184,2556586,2556622,352007,354360,ref-b.2.10.1.14b.3.1,ref-b.2.10.1.14b.3.6,65126,65162,9417,9453,ref-sifre-n.40.1.179,ref-sifre-n.40.1.184,והיתה נפש אדוני צרורה בצרור החיים הואי והיתה נפש אדוני צרורה בצרור החיים,והיתה נפש אדוני צרורה בצרור החיים והיתה נפש אדוני צרורה בצרור החיים,72,67,658.0,714.0,0.06944444444444445,0.0,3070000528
528,718,ref-b.2.12.2.12b.13.5-ref-b.2.12.2.12b.13.10,ref-sifre-n.40.1.179-ref-sifre-n.40.1.184,2796315,2796351,388261,388266,ref-b.2.12.2.12b.13.5,ref-b.2.12.2.12b.13.10,65126,65162,9448,9453,ref-sifre-n.40.1.179,ref-sifre-n.40.1.184,והיתה נפש אדוני צרורה בצרור החיים ,והיתה נפש אדוני צרורה בצרור החיים ,5,5,726.0,714.0,0.0,0.0,3070000529
