baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.2.5.2.4.3.22-ref-y.2.5.2.4.3.33,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,1416081,1416145,ref-y.2.5.2.4.3.22,ref-y.2.5.2.4.3.33,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאן עריכה ונאמר להלן וערך הכהן אותם מה עריכה שנאמר להלן ,1,1,424,419.0,351,351.0,0.4098360655737705,0.5555555555555556,6,נאמר כאן ונאמר להלן מה להלן,5070000308,10,12
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.2.5.8.1.2.162-ref-y.2.5.8.1.2.180,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,1477978,1478084,ref-y.2.5.8.1.2.162,ref-y.2.5.8.1.2.180,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן תענו את נפשותיכם ונאמר להלן ויענך וירעיבך מה עינוי שנאמר להלן עינוי רעבון אף עינוי שנאמר כאן ,1,1,454,447.0,379,351.0,0.6532258064516129,0.6153846153846154,8,נאמר כאן ונאמר להלן מה להלן אף כאן,5070000309,15,17
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.2.4.1.1.1.117-ref-y.2.4.1.1.1.126,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,1493692,1493742,ref-y.2.4.1.1.1.117,ref-y.2.4.1.1.1.126,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן ,1,1,487,484.0,352,351.0,0.3061224489795918,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,5070000310,10,10
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.17,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,1561422,1561488,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.17,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף ,3,3,564,551.0,363,351.0,0.5596330275229358,0.5,7,נאמר כאן ונאמר להלן מה להלן אף,5070000311,12,13
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.2.6.2.7.1.6-ref-y.2.6.2.7.1.29,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,1595673,1595797,ref-y.2.6.2.7.1.6,ref-y.2.6.2.7.1.29,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן תשבו ונאמר להלן ופתח אוהר' מועד ישבו יומם ולילה מה ישיבה שנאמר להלן עשה בה את הלילות כימים אף ישיבה שנאמר כאן ,1,3,592,587.0,380,351.0,0.6370967741935484,0.7222222222222222,8,נאמר כאן ונאמר להלן מה להלן אף כאן,5070000312,15,22
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.2.8.1.1.12.202-ref-y.2.8.1.1.12.211,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,1641869,1641919,ref-y.2.8.1.1.12.202,ref-y.2.8.1.1.12.211,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן ,1,1,639,636.0,353,351.0,0.3061224489795918,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,5070000313,10,10
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.2.8.1.1.12.263-ref-y.2.8.1.1.12.272,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,1642172,1642222,ref-y.2.8.1.1.12.263,ref-y.2.8.1.1.12.272,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמ' להלן ,1,1,660,657.0,354,351.0,0.3265306122448979,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,5070000314,10,10
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.2.10.1.1.3.68-ref-y.2.10.1.1.3.89,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,1836010,1836122,ref-y.2.10.1.1.3.68,ref-y.2.10.1.1.3.89,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן פרזות ונאמר להלן לבד מערי הפרזי הרבה מאות מה פרזי שנאמ' להלן מימות יהושע בן נון אף פרזות שנאמר כאן ,1,1,719,715.0,381,351.0,0.5645161290322581,0.6875,8,נאמר כאן ונאמר להלן מה להלן אף כאן,5070000315,15,19
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.124,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,1928666,1928726,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.124,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף ,3,1,777,767.0,364,351.0,0.5871559633027523,0.4444444444444444,7,נאמר כאן ונאמר להלן מה להלן אף,5070000316,12,12
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.2.12.1.3.1.51-ref-y.2.12.1.3.1.78,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,1930736,1930868,ref-y.2.12.1.3.1.51,ref-y.2.12.1.3.1.78,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה","נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה",1,1,802,802.0,365,365.0,0.0,0.0,28,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה",5070000317,28,28
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.2.12.1.3.1.92-ref-y.2.12.1.3.1.111,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,1930932,1931033,ref-y.2.12.1.3.1.92,ref-y.2.12.1.3.1.111,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן מסת ונאמר להלן ותרב משאת בנימן מה משאת שנאמר להלן אחת עיקר והשאר טפילה אף מסת שנאמר כאן ,1,1,858,858.0,382,365.0,0.6209677419354839,0.6875,8,נאמר כאן ונאמר להלן מה להלן אף כאן,5070000318,15,20
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.3.1.1.1.23.4-ref-y.3.1.1.1.23.17,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,2056186,2056257,ref-y.3.1.1.1.23.4,ref-y.3.1.1.1.23.17,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאן אחוה ונאמר להלן שני' עשר עבדיך אחים אנחנו מה אחים שנאמר להלן ,1,1,908,908.0,355,355.0,0.4714285714285714,0.6666666666666667,6,נאמר כאן ונאמר להלן מה להלן,5070000319,10,14
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.3.1.1.1.23.35-ref-y.3.1.1.1.23.55,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,2056345,2056456,ref-y.3.1.1.1.23.35,ref-y.3.1.1.1.23.55,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמ' כאן ישיבה ונאמר להלן ישיבה וירשתה וישבת בה מה ישיבה שנאמר להלן ישיבה שיש עמה ירושה אף ישיבה שנאמר כאן ,1,2,938,938.0,383,355.0,0.5967741935483871,0.7333333333333334,7,כאן ונאמר להלן מה להלן אף כאן,5070000320,15,21
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.76,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,2206411,2206479,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.76,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף ,3,3,997,987.0,367,351.0,0.6146788990825688,0.5833333333333333,7,נאמר כאן ונאמר להלן מה להלן אף,5070000321,12,14
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.3.5.2.1.8.8-ref-y.3.5.2.1.8.22,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,2267819,2267892,ref-y.3.5.2.1.8.8,ref-y.3.5.2.1.8.22,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,מה מנחת שנאמר להלן שעורין אף בן שעורין אמר רבי לעזר נאמר כאן אביב ונאמר ,3,1,1048,1048.0,368,351.0,0.6880733944954128,0.5833333333333333,3,מה להלן אף,5070000322,12,13
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.3.5.7.3.3.36-ref-y.3.5.7.3.3.54,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,2318253,2318351,ref-y.3.5.7.3.3.36,ref-y.3.5.7.3.3.54,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן אלוני מורה ונאמר להלן אלוני מורה מה אלוני מורה האמור להלן שכם אף אילוני מורה האמור כאן ,1,1,1100,1093.0,384,351.0,0.6370967741935484,0.4444444444444444,10,נאמר כאן ונאמר להלן מה האמור להלן אף האמור כאן,5070000323,15,19
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.3.5.8.1.1.42-ref-y.3.5.8.1.1.57,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,2327493,2327580,ref-y.3.5.8.1.1.42,ref-y.3.5.8.1.1.57,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן נגישה ונאמר להלן ונגשו הכחנים בני לוי מה נגישה שנאמר להלן בלשון הקודש אף ,3,1,1139,1128.0,369,351.0,0.6146788990825688,0.6153846153846154,7,נאמר כאן ונאמר להלן מה להלן אף,5070000324,12,16
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.3.5.8.1.1.82-ref-y.3.5.8.1.1.97,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,2327701,2327785,ref-y.3.5.8.1.1.82,ref-y.3.5.8.1.1.97,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן נגישה ונאמר להלן ונגש משה אל הערפל מה נגישה שנאמר להלן בלשון הקודש אף ,3,1,1164,1151.0,370,351.0,0.6055045871559633,0.6666666666666667,7,נאמר כאן ונאמר להלן מה להלן אף,5070000325,12,16
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.3.3.1.1.1.135-ref-y.3.3.1.1.1.148,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,2526361,2526438,ref-y.3.3.1.1.1.135,ref-y.3.3.1.1.1.148,מה נדר שנאמר להלן כינוי שבועה כשבועה אף נדר שנאמר כאן כינוי מירות כמזירות,מה נדר שנאמר להלן כינוי שבועה כשבועה אף נדר שנאמר כאן כינוי מירות כמזירות,14,14,1237,1237.0,371,371.0,0.0,0.0,14,מה נדר שנאמר להלן כינוי שבועה כשבועה אף נדר שנאמר כאן כינוי מירות כמזירות,5070000326,14,14
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.139,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,2879134,2879195,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.139,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף ,3,3,1487,1477.0,372,351.0,0.6055045871559633,0.5,7,נאמר כאן ונאמר להלן מה להלן אף,5070000327,12,12
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.4.1.4.4.5.133-ref-y.4.1.4.4.5.144,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,2983586,2983647,ref-y.4.1.4.4.5.133,ref-y.4.1.4.4.5.144,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאן השור יסקל ונאמר להלן השור יסקל מה שור שנאמר להלן ,1,1,1526,1523.0,356,351.0,0.3793103448275862,0.5,6,נאמר כאן ונאמר להלן מה להלן,5070000328,10,12
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.4.4.1.3.2.3-ref-y.4.4.1.3.2.16,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,3154593,3154667,ref-y.4.4.1.3.2.3,ref-y.4.4.1.3.2.16,זירא נאמר כאן זדון ונאמר להלן זדון בזדון דברו הנביא מה זדון שנאמר להלן,זירא נאמר כאן זדון ונאמר להלן זדון בזדון דברו הנביא מה זדון שנאמר להלן,2,2,1594,1594.0,376,376.0,0.0,0.0,14,זירא נאמר כאן זדון ונאמר להלן זדון בזדון דברו הנביא מה זדון שנאמר להלן,5070000329,14,14
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.4.4.1.3.2.32-ref-y.4.4.1.3.2.45,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,3154751,3154821,ref-y.4.4.1.3.2.32,ref-y.4.4.1.3.2.45,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאג דיבר ונאמר להלן אשר ידבר הנביא בשם יי' מה דיבר שנאמר להלן ,1,1,1626,1626.0,357,357.0,0.4477611940298507,0.75,5,נאמר ונאמר להלן מה להלן,5070000330,10,14
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.4.4.1.3.8.127-ref-y.4.4.1.3.8.146,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,3157857,3157958,ref-y.4.4.1.3.8.127,ref-y.4.4.1.3.8.146,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן בני ישראל ונאמר להלן בני ישראל ויבואו בני ישראל לשבר וגו' מה בני ישראל שנאמר להלן עשר' אף ,3,1,1657,1647.0,373,351.0,0.6513761467889908,0.6153846153846154,7,נאמר כאן ונאמר להלן מה להלן אף,5070000331,12,20
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.4.4.6.1.1.29-ref-y.4.4.6.1.1.49,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,3211011,3211117,ref-y.4.4.6.1.1.29,ref-y.4.4.6.1.1.49,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמ' כאן בשעריך ונאמ' להלן כי ימצא בקרבך בא' שעריך מה שעריך האמור להלן שער שנמצא בו אף שעריך האמור כאן ,1,2,1716,1706.0,385,351.0,0.6209677419354839,0.7333333333333334,8,כאן להלן מה האמור להלן אף האמור כאן,5070000332,15,21
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.4.4.7.1.1.26-ref-y.4.4.7.1.1.45,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,3223732,3223837,ref-y.4.4.7.1.1.26,ref-y.4.4.7.1.1.45,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה האמורה להלן חרב אף נקימה האמורה כאן ,1,1,1747,1740.0,386,351.0,0.5806451612903226,0.6153846153846154,8,נאמר כאן ונאמר להלן מה להלן אף כאן,5070000333,15,20
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.4.4.7.3.1.37-ref-y.4.4.7.3.1.53,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,3226750,3226838,ref-y.4.4.7.3.1.37,ref-y.4.4.7.3.1.53,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה שנאמר להלן בחרב אף ,3,1,1778,1767.0,374,351.0,0.6146788990825688,0.6428571428571428,7,נאמר כאן ונאמר להלן מה להלן אף,5070000334,12,17
ref-sifre-n.25.1.643-ref-sifre-n.25.1.652,ref-y.4.4.7.5.3.14-ref-y.4.4.7.5.3.28,42856,42906,ref-sifre-n.25.1.643,ref-sifre-n.25.1.652,3229067,3229139,ref-y.4.4.7.5.3.14,ref-y.4.4.7.5.3.28,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,נאמר כאן דודתו ונאמר להלן או דודו או בן דודו יגאלנו מה דודו שנאמר להלן ,1,1,1799,1793.0,358,351.0,0.5070422535211268,0.5555555555555556,6,נאמר כאן ונאמר להלן מה להלן,5070000335,10,15
ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.69,42856,42966,ref-sifre-n.25.1.643,ref-sifre-n.25.1.664,3323464,3323533,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.69,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף ,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן נשירה אף ,3,3,1912,1901.0,375,351.0,0.6146788990825688,0.5454545454545454,7,נאמר כאן ונאמר להלן מה להלן אף,5070000336,12,14
ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-y.4.6.1.2.4.39-ref-y.4.6.1.2.4.58,42856,42982,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,3336498,3336604,ref-y.4.6.1.2.4.39,ref-y.4.6.1.2.4.58,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן בהמה טמאה ונאב' להלן בחמה טמאה מה בהמה טמאה האמורה להלן בטומאת הקודש אף בהמה טמאה האמורה כאן ,1,1,1945,1934.0,387,351.0,0.6612903225806451,0.6923076923076923,7,נאמר כאן להלן מה להלן אף כאן,5070000337,15,20
ref-sifre-n.25.1.710-ref-sifre-n.25.1.716,ref-y.3.4.1.3.1.67-ref-y.3.4.1.3.1.74,43184,43214,ref-sifre-n.25.1.710,ref-sifre-n.25.1.716,2725780,2725815,ref-y.3.4.1.3.1.67,ref-y.3.4.1.3.1.74,פרע שער ראשו כמה הוא גידול פרע ,פרע שער ראשו כמה הוא גידול שיער פרע ,7,8,1349,1349.0,391,390.0,0.1388888888888889,0.0,7,פרע שער ראשו כמה הוא גידול פרע,5070000338,7,8
ref-sifre-n.25.1.709-ref-sifre-n.25.1.715,ref-y.3.4.6.2.4.83-ref-y.3.4.6.2.4.89,43180,43210,ref-sifre-n.25.1.709,ref-sifre-n.25.1.715,2776379,2776409,ref-y.3.4.6.2.4.83,ref-y.3.4.6.2.4.89,גדל פרע שער ראשו כמה הוא גידול ,גדל פרע שער ראשו כמה הו' גידול ,7,7,1418,1418.0,390,390.0,0.032258064516129,0.1666666666666666,6,גדל פרע שער ראשו כמה גידול,5070000339,7,7
ref-sifre-n.26.1.86-ref-sifre-n.26.1.113,ref-y.3.4.7.1.21.37-ref-y.3.4.7.1.21.48,43700,43848,ref-sifre-n.26.1.86,ref-sifre-n.26.1.113,2792970,2793036,ref-y.3.4.7.1.21.37,ref-y.3.4.7.1.21.48,בכהן גדול ונזיר שיטמא מזיר ואל יטמא כהן גדול הגע עצמך שהקדישו,בכהן גדול ונזיר שיטמא מזיר ואל יטמא כהן גדול הגע עצמך שהקדישו,12,12,1432,1432.0,392,392.0,0.0,0.0,12,בכהן גדול ונזיר שיטמא מזיר ואל יטמא כהן גדול הגע עצמך שהקדישו,5070000340,12,12
ref-sifre-n.26.1.89-ref-sifre-n.26.1.121,ref-y.3.4.7.1.21.91-ref-y.3.4.7.1.21.108,43714,43887,ref-sifre-n.26.1.89,ref-sifre-n.26.1.121,2793255,2793346,ref-y.3.4.7.1.21.91,ref-y.3.4.7.1.21.108,יטמא לקרובים ונזיר בל יטמא לקרובים אם למדתי לכהן גדול שמטמא למת מצוה אף נזיר מטמא למת מצוה ועוד קל וחומר ומה כהן גדול שקדושתו קדושת עולם הרי הוא מטמא למת מצוה נזיר ,עולם יטמא נזיר מאה נזיר עולם ונזיר נזירות אית תניי תני וטמא נזיר עולם ואית תניי תני יטמא ,30,14,1434,1434.0,393,392.0,0.7560975609756098,0.8095238095238095,4,יטמא נזיר עולם נזיר,5070000341,30,14
ref-sifre-n.26.1.158-ref-sifre-n.26.1.187,ref-y.2.3.7.7.7.101-ref-y.2.3.7.7.7.117,44078,44226,ref-sifre-n.26.1.158,ref-sifre-n.26.1.187,1339330,1339423,ref-y.2.3.7.7.7.101,ref-y.2.3.7.7.7.117,יטמא לאביו ולאמו לא יטמא אבל מטמא הוא למת מצוה או לאביו ולאמו לא יטמא אבל מטמא הוא לשאר מתים אמרת קל וחומר ומה כהן הדיוט שמטמא הוא לקרובים אין ,טומאת הגוף אין תימר בטמא טומאת זיבה וטומאת צרעת אנן קיימין לית יכיל דתנינן מטמא טומאת תהום ,24,15,381,381.0,398,395.0,0.7062937062937062,0.8571428571428572,1,אין,5070000342,24,15
ref-sifre-n.26.1.127-ref-sifre-n.26.1.166,ref-y.3.4.7.1.1.63-ref-y.3.4.7.1.1.81,43916,44126,ref-sifre-n.26.1.127,ref-sifre-n.26.1.166,2786496,2786595,ref-y.3.4.7.1.1.63,ref-y.3.4.7.1.1.81,"שיטמא למת מצוה לא אם אמרת בכ""ג שאינו מביא קרבן על טומאתו לפיכך מטמא למת מצוה תאמר בנזיר שמביא קרבן על טומאתו שלא יטמא למת מצוה תלמוד לומר לאביו ולאמו לא יטמא לאביו ולאמו לא יטמא אבל מטמא הוא למת מצוה ",מיטמא מיטמא הו' למת מצוה אית דבעי מישמעינה מן הכא להחלו להחלו אינו מיטמא אבל מיטמא הוא על מת מצוה ,35,18,1431,1431.0,395,395.0,0.66,0.8076923076923077,5,למת מצוה אבל הוא מצוה,5070000343,35,18
ref-sifre-n.26.1.137-ref-sifre-n.26.1.162,ref-y.4.6.1.2.4.66-ref-y.4.6.1.2.4.96,43966,44103,ref-sifre-n.26.1.137,ref-sifre-n.26.1.162,3336642,3336818,ref-y.4.6.1.2.4.66,ref-y.4.6.1.2.4.96,בטמא שאכל טחור או בטהור שאכל טמא תלמוד לומר וטומאתו עליו בטומאת הגוף ולא בטומאת,"טומאת מקדש מניין ת""ל וטומאתו עליו מה חמית מימר בטמא שאכל טחור או בטהור שאכל טמא תלמוד לומר וטומאתו עליו בטומאת הגוף ולא בטומאת בשר ר' אומר ואכל וטומאתו עליו בטומאת",15,29,1968,1968.0,396,396.0,0.5153374233128835,0.4117647058823529,15,בטמא שאכל טחור או בטהור שאכל טמא תלמוד לומר וטומאתו עליו בטומאת הגוף ולא בטומאת,5070000344,15,29
ref-sifre-n.26.1.407-ref-sifre-n.26.1.416,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,45337,45384,ref-sifre-n.26.1.407,ref-sifre-n.26.1.416,14071,14121,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.102,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן ,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,1,1,4,2.0,402,399.0,0.3061224489795918,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,5070000345,10,10
ref-sifre-n.26.1.407-ref-sifre-n.26.1.416,ref-y.1.4.8.1.2.5-ref-y.1.4.8.1.2.17,45337,45384,ref-sifre-n.26.1.407,ref-sifre-n.26.1.416,427265,427323,ref-y.1.4.8.1.2.5,ref-y.1.4.8.1.2.17,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן ,נאמר כאן פן תקדש ונאמר להלן פן תוקדש בו מה פן האמור להלן ,1,2,90,87.0,403,399.0,0.3508771929824561,0.4285714285714286,7,נאמר כאן ונאמר להלן מה האמור להלן,5070000346,10,13
ref-sifre-n.26.1.407-ref-sifre-n.26.1.416,ref-y.1.7.2.4.9.110-ref-y.1.7.2.4.9.125,45337,45384,ref-sifre-n.26.1.407,ref-sifre-n.26.1.416,665158,665240,ref-y.1.7.2.4.9.110,ref-y.1.7.2.4.9.125,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן ,נאמר כאן נפשו ונאמר להלן נפשו דכתיב ואליו הוא נושא את נפשו מה נפשו האמורה להלן ,1,16,141,139.0,404,399.0,0.4810126582278481,0.6,6,נאמר כאן ונאמר להלן מה להלן,5070000347,10,16
ref-sifre-n.26.1.424-ref-sifre-n.26.1.433,ref-y.1.8.2.4.5.3-ref-y.1.8.2.4.5.14,45424,45479,ref-sifre-n.26.1.424,ref-sifre-n.26.1.433,713407,713472,ref-y.1.8.2.4.5.3,ref-y.1.8.2.4.5.14,מטמא בנגעם ובזיבתם לא יטמא להם במותם במותם אין מטמא ,מת שאין בלי חרש מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מיטמא ,10,12,172,167.0,442,399.0,0.6666666666666666,0.9375,0,,5070000348,10,12
