,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-sifre-d,dam-lev,jac,id
435,545,ref-b.04.03.02.25b.7.18-ref-b.04.03.02.25b.7.23,ref-sifre-d.40.12.49-ref-sifre-d.40.12.54,5596748,5596773,778177,778181,ref-b.4.3.2.25b.7.18,ref-b.4.3.2.25b.7.23,67781,67806,11447,11451,ref-sifre-d.40.12.49,ref-sifre-d.40.12.54,יפתח ה' לך את אוצרו הטוב ,יפתח ה' לך את אוצרו הטוב ,4,4,2387.0,543.0,0.0,0.0,3080000436
436,546,ref-b.02.09.01.2a.13.5-ref-b.02.09.01.2a.13.12,ref-sifre-d.40.12.49-ref-sifre-d.40.12.56,2362771,2362806,326075,326080,ref-b.2.9.1.2a.13.5,ref-b.2.9.1.2a.13.12,67781,67816,11476,11481,ref-sifre-d.40.12.49,ref-sifre-d.40.12.56,יפתח ה' לך את אוצרו הטוב את השמים ,יפתח ה' לך את אוצרו הטוב את השמים ,5,5,806.0,543.0,0.0,0.0,3080000437
437,547,ref-b.3.7.3.61b.14.6-ref-b.3.7.3.61b.14.27,ref-sifre-d.40.13.36-ref-sifre-d.40.13.44,4601268,4601381,634459,634677,ref-b.3.7.3.61b.14.6,ref-b.3.7.3.61b.14.27,68057,68107,11471,11491,ref-sifre-d.40.13.36,ref-sifre-d.40.13.44,אם תאבו ושמעתם וגו' ואם תמאנו ומריתם אם תאבו ושמעתם וגו' ואם תמאנו ומריתם וגו' אלא לרבי חנינא בן גמליאל למה,אם תאבו ושמעתם טוב הארץ תאכלו ואם תמאנו ומריתם אם תאבו ושמעתם טוב הארץ תאכלו ואם תמאנו ומריתם,219,21,2058.0,547.0,0.5046728971962616,0.6428571428571428,3080000438
438,549,ref-b.01.01.02.14b.12.23-ref-b.01.01.02.14b.13.7,ref-sifre-d.41.4.1-ref-sifre-d.41.4.23,73000,73052,10320,10329,ref-b.1.1.2.14b.12.23,ref-b.1.1.2.14b.13.7,68948,69085,11614,11635,ref-sifre-d.41.4.1,ref-sifre-d.41.4.23,ללמוד וזה לעשות אטו שמע ללמוד אית ביה ללמד ולעשות ,ולמדתם אותם ושמרתם לעשותם מגיד הכתוב שהמעשה תלוי בתלמוד ואין תלמוד תלוי במעשה וכן מצינו שענש על התלמוד יותר מן המעשה שנא' שמעו ,9,21,59.0,549.0,0.6850393700787402,0.9583333333333334,3080000439
439,550,ref-b.4.4.7.54b.5.1-ref-b.4.4.7.54b.5.19,ref-sifre-d.41.5.2-ref-sifre-d.41.5.10,6147918,6148021,855622,855980,ref-b.4.4.7.54b.5.1,ref-b.4.4.7.54b.5.19,69185,69226,11656,11676,ref-sifre-d.41.5.2,ref-sifre-d.41.5.10,מות יומת בסקילה אתה אומר בסקילה או אינו אלא באחת מכל מיתות האמורות בתורה נאמר כאן תהרגו ונאמר להלן מות יומת בסקילה אתה אומר בסקילה או אינו אלא באחת מכל מיתות האמורות בתורה נאמר,אמת אין דברי אמת נאמר כאן אמת ונאמר להלן אמת שנאמר אמת אין דברי אמת נאמר כאן אמת ונאמר להלן,359,21,2733.0,550.0,0.6704545454545454,0.6428571428571428,3080000440
440,551,ref-b.4.4.7.66a.11.1-ref-b.4.4.7.66a.11.20,ref-sifre-d.41.5.2-ref-sifre-d.41.5.10,6194041,6194146,862322,862686,ref-b.4.4.7.66a.11.1,ref-b.4.4.7.66a.11.20,69185,69226,11656,11676,ref-sifre-d.41.5.2,ref-sifre-d.41.5.10,מות יומת בסקילה אתה אומר בסקילה או אינו אלא באחת מכל מיתות האמורות בתורה נאמר כאן דמיו בו ונאמר להלן מות יומת בסקילה אתה אומר בסקילה או אינו אלא באחת מכל מיתות האמורות בתורה נאמר כאן,אמת אין דברי אמת נאמר כאן אמת ונאמר להלן אמת שנאמר אמת אין דברי אמת נאמר כאן אמת ונאמר להלן,365,21,2793.0,550.0,0.6538461538461539,0.6428571428571428,3080000441
441,554,ref-b.1.1.1.5b.2.17-ref-b.1.1.1.5b.2.33,ref-sifre-d.41.5.5-ref-sifre-d.41.6.8,16981,17068,2435,2474,ref-b.1.1.1.5b.2.17,ref-b.1.1.1.5b.2.33,69198,69295,11659,11721,ref-sifre-d.41.5.5,ref-sifre-d.41.6.8,חסדים שנאמר רודף צדקה וחסד ימצא חיים צדקה וכבוד אמת זו תורה שנאמר אמת קנה ואל תמכר חסד זו גמילות חסדים שנאמר רודף צדקה וחסד ימצא חיים צדקה וכבוד אמת זו תורה שנאמר אמת קנה ואל תמכר,אמת נאמר כאן אמת ונאמר להלן אמת שנאמר אמת קנה ואל תמכור ואין חסד אין דברי חסד נאמרים שנא' חסד אמת שנאמר אמת קנה ואל תמכור ואין חסד אין דברי חסד נאמרים שנא' חסד,40,63,16.0,550.0,0.6759776536312849,0.7,3080000442
442,556,ref-b.03.05.09.49a.4.30-ref-b.03.05.09.49a.4.39,ref-sifre-d.41.7.2-ref-sifre-d.41.7.10,4079274,4079322,563964,563971,ref-b.3.5.9.49a.4.30,ref-b.3.5.9.49a.4.39,69316,69356,11695,11703,ref-sifre-d.41.7.2,ref-sifre-d.41.7.10,דעת ואין דעת אלא תורה שנאמר נדמו עמי מבלי הדעת ,דעת אין דברי דעת שנ' נדמו עמי מבלי הדעת ,7,8,1785.0,556.0,0.2978723404255319,0.5555555555555556,3080000443
443,557,ref-b.4.4.11.92a.14.8-ref-b.4.4.11.92a.15.3,ref-sifre-d.41.7.8-ref-sifre-d.41.8.3,6294238,6294293,877263,877644,ref-b.4.4.11.92a.14.8,ref-b.4.4.11.92a.15.3,69342,69392,11689,11710,ref-sifre-d.41.7.8,ref-sifre-d.41.8.3,"דעה לסוף גולה שנאמר לכן גלה עמי מבלי דעת דעה לסוף גולה שנאמר לכן גלה עמי מבלי דעת ואמר ר""א כל",עמי מבלי הדעת כי אתה הדעת מאסת ואומר לכן עמי מבלי הדעת כי אתה הדעת מאסת ואומר לכן כאכול,382,22,2949.0,556.0,0.7204301075268817,0.6428571428571428,3080000444
444,559,ref-b.03.05.07.41b.14.22-ref-b.03.05.07.41b.14.29,ref-sifre-d.41.8.2-ref-sifre-d.41.8.9,4041336,4041372,558475,558482,ref-b.3.5.7.41b.14.22,ref-b.3.5.7.41b.14.29,69382,69419,11709,11716,ref-sifre-d.41.8.2,ref-sifre-d.41.8.9,לכן כאכל קש לשון אש וחשש להבה ירפה ,לכן כאכול קש לשון אש וחשש להבה ירפה ,7,7,1713.0,556.0,0.027777777777777776,0.0,3080000445
445,560,ref-b.04.02.07.85a.23.1-ref-b.04.02.07.85a.23.23,ref-sifre-d.41.9.1-ref-sifre-d.41.9.15,5381485,5381588,746766,746781,ref-b.4.2.7.85a.23.1,ref-b.4.2.7.85a.23.23,69520,69590,11738,11751,ref-sifre-d.41.9.1,ref-sifre-d.41.9.15,אמר רב יהודה אמר רב מאי דכתיב מי האיש החכם ויבן את זאת ואשר דבר פי ה' אליו ויגידה על מה אבדה הארץ ,ואומר מי חכם ויבין זאת ואשר דבר פי ה' אליו ויגידה על מה אבדה הארץ ,15,13,2278.0,560.0,0.3673469387755102,0.368421052631579,3080000446
446,561,ref-b.04.02.07.85b.1.16-ref-b.04.02.07.85b.1.28,ref-sifre-d.41.9.22-ref-sifre-d.41.9.29,5381685,5381742,746796,746803,ref-b.4.2.7.85b.1.16,ref-b.4.2.7.85b.1.28,69623,69660,11758,11764,ref-sifre-d.41.9.22,ref-sifre-d.41.9.29,על עזבם את תורתי אשר נתתי לפניהם אמר רב יהודה אמר רב שלא ,על עזבם את תורתי אשר נתתי לפניהם ולא ,7,6,2280.0,561.0,0.3508771929824561,0.41666666666666663,3080000447
447,562,ref-b.03.03.10.81a.5.10-ref-b.03.03.10.81a.5.22,ref-sifre-d.41.9.22-ref-sifre-d.41.9.34,3754355,3754414,517745,517756,ref-b.3.3.10.81a.5.10,ref-b.3.3.10.81a.5.22,69623,69685,11758,11769,ref-sifre-d.41.9.22,ref-sifre-d.41.9.34,על עזבם את תורתי וגו' היינו לא שמעו בקולי היינו לא הלכו בה ,על עזבם את תורתי אשר נתתי לפניהם ולא שמעו בקולי ולא הלכו בה ,11,11,1468.0,561.0,0.31666666666666665,0.46153846153846156,3080000448
448,563,ref-b.04.04.01.7a.9.16-ref-b.04.04.01.7a.9.26,ref-sifre-d.41.10.2-ref-sifre-d.41.10.12,5949246,5949295,826728,826736,ref-b.4.4.1.7a.9.16,ref-b.4.4.1.7a.9.26,69693,69742,11771,11779,ref-sifre-d.41.10.2,ref-sifre-d.41.10.12,כה אמר ה' על שלשה פשעי ישראל ועל ארבעה לא אשיבנו ,כה אמר ה' על שלשה פשעי יהודה ועל ארבעה לא אשיבנו ,8,8,2510.0,563.0,0.08163265306122448,0.2222222222222222,3080000449
449,564,ref-b.02.05.08.86b.10.28-ref-b.02.05.08.86b.10.35,ref-sifre-d.41.10.5-ref-sifre-d.41.10.12,1952558,1952597,269805,269812,ref-b.2.5.8.86b.10.28,ref-b.2.5.8.86b.10.35,69703,69742,11803,11810,ref-sifre-d.41.10.5,ref-sifre-d.41.10.12,על שלשה פשעי ישראל ועל ארבעה לא אשיבנו ,על שלשה פשעי יהודה ועל ארבעה לא אשיבנו ,7,7,633.0,563.0,0.10256410256410256,0.2857142857142857,3080000450
450,565,ref-b.04.03.02.22a.8.34-ref-b.04.03.02.22a.8.42,ref-sifre-d.41.10.5-ref-sifre-d.41.10.13,5586603,5586644,776731,776739,ref-b.4.3.2.22a.8.34,ref-b.4.3.2.22a.8.42,69703,69745,11772,11780,ref-sifre-d.41.10.5,ref-sifre-d.41.10.13,על שלשה פשעי מואב ועל ארבעה לא אשיבנו על ,על שלשה פשעי יהודה ועל ארבעה לא אשיבנו על ,8,8,2374.0,563.0,0.09523809523809523,0.2857142857142857,3080000451
451,566,ref-b.03.07.01.40b.8.1-ref-b.03.07.01.40b.9.12,ref-sifre-d.41.11.1-ref-sifre-d.41.12.12,4530664,4530952,625344,625387,ref-b.3.7.1.40b.8.1,ref-b.3.7.1.40b.9.12,69777,69995,11787,11819,ref-sifre-d.41.11.1,ref-sifre-d.41.12.12,וכבר היה רבי טרפון וזקנים מסובין בעלית בית נתזה בלוד נשאלה שאילה זו בפניהם תלמוד גדול או מעשה גדול נענה רבי טרפון ואמר מעשה גדול נענה רבי עקיבא ואמר תלמוד גדול נענו כולם ואמרו תלמוד גדול שהתלמוד מביא לידי מעשה תניא רבי יוסי אומר גדול תלמוד שקדם לחלה ארבעים שנה לתרומות ולמעשרות ,וכבר היה רבי טרפון ור' יוסי הגלילי ור' עקיבא מסובין בבית ערוד נשאלו מי גדול תלמוד גדול או מעשה נענה כולם ואמרו תלמוד גדול שהתלמוד מביא לידי מעשה רבי יוסי הגלילי אומר גדול תלמוד שהתלמוד קודם לחלה מ' שנה ולמעשרות ,43,32,2036.0,566.0,0.48201438848920863,0.4722222222222222,3080000452
452,567,ref-b.4.1.1.17a.7.2-ref-b.4.1.1.17a.7.9,ref-sifre-d.41.11.22-ref-sifre-d.41.12.7,4729365,4729406,652295,652515,ref-b.4.1.1.17a.7.2,ref-b.4.1.1.17a.7.9,69884,69967,11792,11814,ref-sifre-d.41.11.22,ref-sifre-d.41.12.7,מר גדול למוד תורה שהלמוד מביא לידי מעשה והאמר מר גדול למוד תורה שהלמוד מביא לידי מעשה,ואמרו תלמוד גדול שהתלמוד מביא לידי מעשה ואמרו תלמוד גדול שהתלמוד מביא לידי מעשה רבי יוסי הגלילי אומר,221,23,2099.0,566.0,0.46,0.6428571428571428,3080000453
453,569,ref-b.03.07.01.40b.12.9-ref-b.03.07.01.40b.12.19,ref-sifre-d.41.13.29-ref-sifre-d.41.13.39,4531243,4531306,625435,625445,ref-b.3.7.1.40b.12.9,ref-b.3.7.1.40b.12.19,70165,70230,11849,11859,ref-sifre-d.41.13.29,ref-sifre-d.41.13.39,שנאמר ויתן להם ארצות גוים ועמל לאמים יירשו בעבור ישמרו חקיו ,ואומר ויתן להם ארצות גוים ועמל לאומים יירשו בעבור ישמרו חוקיו ,10,10,2037.0,569.0,0.08064516129032258,0.18181818181818177,3080000454
454,570,ref-b.2.12.1.3b.2.5-ref-b.2.12.1.3b.2.43,ref-sifre-d.41.14.18-ref-sifre-d.41.14.49,2758226,2758439,380367,382928,ref-b.2.12.1.3b.2.5,ref-b.2.12.1.3b.2.43,70322,70501,11864,11935,ref-sifre-d.41.14.18,ref-sifre-d.41.14.49,דברי חכמים כדרבנות וכמשמרות נטועים בעלי אספות נתנו מרועה אחד למה נמשלו דברי תורה לדרבן לומר לך מה דרבן זה מכוין את הפרה לתלמיה להוציא חיים לעולם אף דברי תורה מכוונין את לומדיהן מדרכי מיתה לדרכי חיים דברי חכמים כדרבנות וכמשמרות נטועים בעלי אספות נתנו מרועה אחד למה נמשלו דברי תורה לדרבן לומר לך מה דרבן זה מכוין את הפרה לתלמיה להוציא חיים לעולם אף דברי תורה,דברי חכמים כדרבונות וכמסמרות נטועים בעלי אסופות כולם נתנו מרועה אחד מה דרבן זה מכוון את הפרה לתלמיה להביא חיים לעולם כך דברי תורה מכוונים דעתו של אדם מדרכי מיתה לדרכי חיים דברי חכמים כדרבונות וכמסמרות נטועים בעלי אסופות כולם נתנו מרועה אחד מה דרבן זה מכוון את הפרה לתלמיה להביא חיים לעולם כך דברי תורה מכוונים דעתו של אדם,2562,72,979.0,570.0,0.34269662921348315,0.40625,3080000455
455,572,ref-b.03.07.01.32b.8.16-ref-b.03.07.01.32b.8.24,ref-sifre-d.41.15.13-ref-sifre-d.41.15.21,4500367,4500412,621138,621146,ref-b.3.7.1.32b.8.16,ref-b.3.7.1.32b.8.24,70576,70619,11916,11924,ref-sifre-d.41.15.13,ref-sifre-d.41.15.21,אלא חכם שנאמר אספה לי שבעים איש מזקני ישראל ,אלא סנהדרין שנ' אספה לי ע' איש מזקני ישראל ,8,8,1984.0,572.0,0.3181818181818182,0.5454545454545454,3080000456
456,573,ref-b.03.05.07.36b.15.21-ref-b.03.05.07.36b.15.28,ref-sifre-d.41.17.11-ref-sifre-d.41.17.19,4023063,4023107,555871,555878,ref-b.3.5.7.36b.15.21,ref-b.3.5.7.36b.15.28,70824,70875,11960,11968,ref-sifre-d.41.17.11,ref-sifre-d.41.17.19,רועה שנאמר רועה ישראל האזינה נהג כצאן יוסף ,מרועה אחד ואומר רועה ישראל האזינה נוהג כצאן יוסף ,7,8,1663.0,573.0,0.16326530612244897,0.33333333333333337,3080000457
457,574,ref-b.04.04.02.21b.24.37-ref-b.04.04.02.21b.25.12,ref-sifre-d.41.22.23-ref-sifre-d.41.22.36,6010449,6010529,835805,835818,ref-b.4.4.2.21b.24.37,ref-b.4.4.2.21b.25.12,71314,71387,12040,12051,ref-sifre-d.41.22.23,ref-sifre-d.41.22.36,האמור להלן תורה במשה הוא אומר ואותי צוה ה' בעת ההיא ללמד אתכם חקים ומשפטים ,ואומר זכרו תורת משה עבדי אשר צויתי אותו בחורב על כל ישראל חקים ומשפטים ,13,11,2580.0,574.0,0.49333333333333335,0.8181818181818181,3080000458
458,575,ref-b.02.03.04.43b.3.5-ref-b.02.03.04.43b.3.11,ref-sifre-d.41.22.37-ref-sifre-d.41.22.43,1073990,1074021,148304,148309,ref-b.2.3.4.43b.3.5,ref-b.2.3.4.43b.3.11,71388,71421,12084,12089,ref-sifre-d.41.22.37,ref-sifre-d.41.22.43,הנה אנכי שלח לכם את אליה הנביא ,הנה אנכי שולח לכם את אליהו הנביא ,5,5,299.0,575.0,0.06060606060606061,0.0,3080000459
459,576,ref-b.02.01.16.118a.7.39-ref-b.02.01.16.118a.7.48,ref-sifre-d.41.22.37-ref-sifre-d.41.22.46,765976,766021,106929,106937,ref-b.2.1.16.118a.7.39,ref-b.2.1.16.118a.7.48,71388,71434,12084,12092,ref-sifre-d.41.22.37,ref-sifre-d.41.22.46,הנה אנכי שולח לכם את אליה הנביא לפני בוא יום ,הנה אנכי שולח לכם את אליהו הנביא לפני בוא יום ,8,8,244.0,575.0,0.021739130434782608,0.0,3080000460
460,577,ref-b.03.01.04.48b.6.2-ref-b.03.01.04.48b.6.16,ref-sifre-d.41.24.2-ref-sifre-d.41.24.14,2997164,2997225,413341,413353,ref-b.3.1.4.48b.6.2,ref-b.3.1.4.48b.6.16,71647,71707,12100,12110,ref-sifre-d.41.24.2,ref-sifre-d.41.24.14,זה גר תושב אתה אומר זה גר תושב או אינו אלא גר צדק כשהוא אומר ,זה תלמוד אתה אומר זה תלמוד או אינו אלא עבודה ממש כשהוא אומר ,12,10,1210.0,577.0,0.32786885245901637,0.5,3080000461
461,578,ref-b.05.02.03.37b.2.10-ref-b.05.02.03.37b.2.24,ref-sifre-d.41.24.2-ref-sifre-d.41.24.14,7254199,7254263,1018614,1018626,ref-b.5.2.3.37b.2.10,ref-b.5.2.3.37b.2.24,71647,71707,12096,12106,ref-sifre-d.41.24.2,ref-sifre-d.41.24.14,זו גובה שביד אתה אומר זו גובה שביד או אינו אלא על ידך ממש אמרה ,זה תלמוד אתה אומר זה תלמוד או אינו אלא עבודה ממש כשהוא אומר ,12,10,3514.0,577.0,0.47619047619047616,0.5384615384615384,3080000462
462,579,ref-b.05.02.03.37b.5.7-ref-b.05.02.03.37b.5.21,ref-sifre-d.41.24.2-ref-sifre-d.41.24.14,7254756,7254825,1018695,1018707,ref-b.5.2.3.37b.5.7,ref-b.5.2.3.37b.5.21,71647,71707,12096,12106,ref-sifre-d.41.24.2,ref-sifre-d.41.24.14,זו גובה שבראש אתה אומר זו גובה שבראש או אינו אלא בין עיניך ממש נאמר ,זה תלמוד אתה אומר זה תלמוד או אינו אלא עבודה ממש כשהוא אומר ,12,10,3523.0,577.0,0.5147058823529411,0.5,3080000463
463,580,ref-b.04.04.08.74a.15.11-ref-b.04.04.08.74a.15.16,ref-sifre-d.41.25.12-ref-sifre-d.41.25.17,6226076,6226107,867453,867458,ref-b.4.4.8.74a.15.11,ref-b.4.4.8.74a.15.16,71943,71974,12153,12158,ref-sifre-d.41.25.12,ref-sifre-d.41.25.17,בכל לבבך ובכל נפשך ובכל מאדך ,בכל לבבך ובכל נפשך ובכל מאדך ,5,5,2836.0,580.0,0.0,0.0,3080000464
464,581,ref-b.01.01.01.6b.28.8-ref-b.01.01.01.6b.28.15,ref-sifre-d.41.26.5-ref-sifre-d.41.26.12,24947,24986,3623,3630,ref-b.1.1.1.6b.28.8,ref-b.1.1.1.6b.28.15,72054,72094,12206,12213,ref-sifre-d.41.26.5,ref-sifre-d.41.26.12,תכון תפלתי קטרת לפניך משאת כפי מנחת ערב ,תכון תפלתי קטורת לפניך משאת כפי מנחת ערב ,7,7,22.0,581.0,0.024390243902439025,0.0,3080000465
465,582,ref-b.01.01.05.34b.29.18-ref-b.01.01.05.34b.29.23,ref-sifre-d.41.27.10-ref-sifre-d.41.27.15,190739,190774,26680,26685,ref-b.1.1.5.34b.29.18,ref-b.1.1.5.34b.29.23,72142,72180,12223,12228,ref-sifre-d.41.27.10,ref-sifre-d.41.27.15,וכוין פתיחן ליה בעליתה נגד ירושלם ,וכוין פתיחין ליה בעוליתיה נגד ירושלם ,5,5,112.0,582.0,0.08108108108108109,0.33333333333333337,3080000466
466,583,ref-b.2.10.1.15a.17.40-ref-b.2.10.1.15a.17.45,ref-sifre-d.41.27.45-ref-sifre-d.41.27.52,2560777,2560804,352669,355028,ref-b.2.10.1.15a.17.40,ref-b.2.10.1.15a.17.45,72346,72384,12214,12265,ref-sifre-d.41.27.45,ref-sifre-d.41.27.52,אלהך די אנת פלח ליה בתדירא אלהך די אנת פלח ליה בתדירא,אלהא חייא אלהיך די אנת פלח ליה בתדירא אלהיך די אנת פלח ליה בתדירא,2360,52,915.0,583.0,0.18461538461538463,0.2857142857142857,3080000467
467,585,ref-b.02.04.02.26b.2.7-ref-b.02.04.02.26b.2.18,ref-sifre-d.41.27.70-ref-sifre-d.41.28.6,1351066,1351127,184392,184403,ref-b.2.4.2.26b.2.7,ref-b.2.4.2.26b.2.18,72472,72534,12239,12246,ref-sifre-d.41.27.70,ref-sifre-d.41.28.6,וקרינן עבד עד דעביד בה איהו אי כתיב עובד וקרינן עובד אפילו ,קרויה עבודה כך תפלה קרויה עבודה ר' אליעזר בן יעקב אומר ולעבדו ,11,7,371.0,585.0,0.7096774193548387,0.9333333333333333,3080000468
468,586,ref-b.02.09.01.2a.11.23-ref-b.02.09.01.2a.11.28,ref-sifre-d.41.29.34-ref-sifre-d.42.1.6,2362585,2362620,326045,326050,ref-b.2.9.1.2a.11.23,ref-b.2.9.1.2a.11.28,72778,72830,12333,12341,ref-sifre-d.41.29.34,ref-sifre-d.42.1.6,ונתתי מטר ארצכם בעתו יורה ומלקוש ,ונתתי מטר ארצכם ונתתי מטר ארצכם בעתו יורה ומלקוש ,5,8,804.0,586.0,0.32653061224489793,0.0,3080000469
469,587,ref-b.05.03.03.63b.3.19-ref-b.05.03.03.63b.3.25,ref-sifre-d.42.2.16-ref-sifre-d.42.2.21,7677463,7677494,1079055,1079060,ref-b.5.3.3.63b.3.19,ref-b.5.3.3.63b.3.25,73039,73065,12343,12347,ref-sifre-d.42.2.16,ref-sifre-d.42.2.21,למה נאמרה כדי שלא תתן פתחון פה ,למה כדי שלא ליתן פתחון פה ,5,4,3676.0,587.0,0.25806451612903225,0.375,3080000470
470,588,ref-b.02.09.01.2a.11.23-ref-b.02.09.01.2a.11.28,ref-sifre-d.42.2.48-ref-sifre-d.42.2.53,2362585,2362620,326045,326050,ref-b.2.9.1.2a.11.23,ref-b.2.9.1.2a.11.28,73204,73239,12408,12413,ref-sifre-d.42.2.48,ref-sifre-d.42.2.53,ונתתי מטר ארצכם בעתו יורה ומלקוש ,ונתתי מטר ארצכם בעתו יורה ומלקוש ,5,5,804.0,588.0,0.0,0.0,3080000471
471,589,ref-b.04.05.02.10a.16.6-ref-b.04.05.02.10a.16.15,ref-sifre-d.42.3.11-ref-sifre-d.42.3.20,6450773,6450819,902361,902370,ref-b.4.5.2.10a.16.6,ref-b.4.5.2.10a.16.15,73297,73343,12392,12401,ref-sifre-d.42.3.11,ref-sifre-d.42.3.20,אוהב כסף לא ישבע כסף ומי אוהב בהמון לא תבואה ,אוהב כסף לא ישבע כסף ומי אוהב בהמון לא תבואה ,9,9,3094.0,589.0,0.0,0.0,3080000472
472,590,ref-b.2.9.1.6a.2.6-ref-b.2.9.1.6a.2.37,ref-sifre-d.42.4.4-ref-sifre-d.42.4.34,2376704,2376889,325813,328068,ref-b.2.9.1.6a.2.6,ref-b.2.9.1.6a.2.37,73525,73701,12424,12495,ref-sifre-d.42.4.4,ref-sifre-d.42.4.34,הבריות להטיח גגותיהן ולהכניס את פירותיהן ולעשות כל צרכיהן דבר אחר שמרוה את הארץ ומשקה עד תהום שנאמר תלמיה רוה נחת גדודיה יורה שמורה את הבריות להטיח גגותיהן ולהכניס את פירותיהן ולעשות כל צרכיהן דבר אחר שמרוה את הארץ ומשקה עד תהום שנאמר תלמיה רוה נחת גדודיה ברביבים תמגגנה צמחה תברך דבר,"הבריות להכניס פירותיהם ולהטיח גגותיהם ולעשות כל צרכם ד""א יורה שמתכון לארץ ואין יורה בזעף ד""א יורה שמורה ומרוה את הארץ ומשקה עד תהום וכן הוא אומר תלמיה רוה נחת גדודיה ומורה הבריות להכניס פירותיהם ולהטיח גגותיהם ולעשות כל צרכם ד""א יורה שמתכון לארץ ואין יורה בזעף ד""א יורה שמורה ומרוה את הארץ ומשקה עד תהום וכן הוא אומר תלמיה",2256,72,814.0,590.0,0.5217391304347826,0.6285714285714286,3080000473
473,592,ref-b.02.09.01.8b.16.12-ref-b.02.09.01.8b.16.15,ref-sifre-d.42.4.31-ref-sifre-d.42.4.34,2391305,2391325,330152,330155,ref-b.2.9.1.8b.16.12,ref-b.2.9.1.8b.16.15,73681,73701,12492,12495,ref-sifre-d.42.4.31,ref-sifre-d.42.4.34,תלמיה רוה נחת גדודיה ,תלמיה רוה נחת גדודיה ,3,3,844.0,590.0,0.0,0.0,3080000474
474,593,ref-b.03.02.01.10b.11.23-ref-b.03.02.01.10b.11.26,ref-sifre-d.42.4.31-ref-sifre-d.42.4.34,3280749,3280769,452260,452263,ref-b.3.2.1.10b.11.23,ref-b.3.2.1.10b.11.26,73681,73701,12460,12463,ref-sifre-d.42.4.31,ref-sifre-d.42.4.34,תלמיה רוה נחת גדודיה ,תלמיה רוה נחת גדודיה ,3,3,1350.0,590.0,0.0,0.0,3080000475
475,594,ref-b.2.9.1.5a.4.9-ref-b.2.9.1.5a.4.15,ref-sifre-d.42.5.1-ref-sifre-d.42.5.8,2372429,2372474,325164,327397,ref-b.2.9.1.5a.4.9,ref-b.2.9.1.5a.4.15,73702,73753,12452,12503,ref-sifre-d.42.5.1,ref-sifre-d.42.5.8,יורה במרחשון הוא דתנן יורה במרחשון ומלקוש בניסן בניסן יורה במרחשון הוא דתנן יורה במרחשון ומלקוש,יורה במרחשון ומלקוש בניסן אתה אומר יורה במרחשון יורה במרחשון ומלקוש בניסן אתה אומר יורה במרחשון,2234,52,811.0,594.0,0.5894736842105263,0.4285714285714286,3080000476
476,596,ref-b.2.9.1.6a.3.2-ref-b.2.9.1.6a.5.22,ref-sifre-d.42.5.1-ref-sifre-d.42.5.82,2376904,2377397,325844,328146,ref-b.2.9.1.6a.3.2,ref-b.2.9.1.6a.5.22,73702,74171,12452,12573,ref-sifre-d.42.5.1,ref-sifre-d.42.5.82,אינו יורה אלא שמשיר את הפירות ומשטיף את הזרעים ומשטיף את האילנות תלמוד לומר מלקוש מה מלקוש לברכה אף יורה לברכה או אינו מלקוש אלא שמפיל את הבתים ומשבר את האילנות ומעלה את הסקאין תלמוד לומר יורה מה יורה לברכה אף מלקוש לברכה ויורה גופיה מנלן דכתיב ובני ציון גילו ושמחו בה' אלהיכם כי נתן לכם את יורה במרחשון ומלקוש בניסן אתה אומר יורה במרחשון ומלקוש בניסן או אינו אלא יורה בתשרי ומלקוש באייר תלמוד לומר בעתו מלקוש אינו יורה אלא שמשיר את הפירות ומשטיף את הזרעים ומשטיף את האילנות תלמוד לומר מלקוש מה מלקוש לברכה אף יורה לברכה או אינו מלקוש אלא שמפיל את הבתים ומשבר את האילנות ומעלה את הסקאין תלמוד לומר יורה מה יורה לברכה אף מלקוש לברכה ויורה גופיה מנלן דכתיב ובני ציון גילו ושמחו בה' אלהיכם כי נתן לכם את המורה לצדקה ויורד לכם גשם מורה ומלקוש בראשון תנו רבנן יורה במרחשון ומלקוש בניסן אתה אומר יורה במרחשון,"יורה במרחשון ומלקוש בניסן אתה אומר יורה במרחשון ומלקוש בניסן או יורה בתשרי ומלקוש באייר ת""ל בעתו יורה במרחשון ומלקוש אי מה יורה שמשיר הפירות ושוטף הזרעים ואת הגרנות ת""ל ומלקוש מה מלקוש לברכה אף יורה לברכה או מה מלקוש מפיל ומלקוש בניסן אתה אומר יורה במרחשון ומלקוש בניסן או יורה בתשרי ומלקוש באייר ת""ל בעתו יורה במרחשון ומלקוש בניסן וכן הוא אומר והורדתי הגשם בעתו אי מה יורה שמשיר הפירות ושוטף הזרעים ואת הגרנות ת""ל ומלקוש מה מלקוש לברכה אף יורה לברכה או מה מלקוש מפיל בתים עוקר אילנות ומעלה סקי ת""ל יורה ומלקוש מה יורה לברכה אף מלקוש לברכה וכן הוא אומר ובני ציון גילו ושמחו בה' אלהיכם כי נתן לכם המורה לצדקה ויורד לכם",2303,122,816.0,594.0,0.5224438902743143,0.4042553191489362,3080000477
