baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-m,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-m.3.2.13.11.15-ref-m.3.2.13.11.31,ref-sifre-n.22.1.115-ref-sifre-n.22.1.136,344694,344787,ref-m.3.2.13.11.15,ref-m.3.2.13.11.31,33114,33226,ref-sifre-n.22.1.115,ref-sifre-n.22.1.136,האנשים ואחד הנשים נשא אשה בארץ ישראל וגירשה בארץ ישראל נותן לה ממעות ארץ ישראל נשא אשה ,נשים כאנשים תלמוד_לומר_איש_או_אשה לעשות נשים כאנשים איש ולא קטן שהיה_בדין_ומה_אם_במקום שלא עשה נשים כאנשים ,17,14,135,133.0,110,110.0,0.7102803738317757,0.875,44,נשים אנשים שאאשה לוש א יש ון הממו א ש נש אש ,0.5887850467289719,1050000082
ref-m.3.3.7.8.12-ref-m.3.3.7.8.35,ref-sifre-n.70.1.40-ref-sifre-n.70.1.56,358339,358466,ref-m.3.3.7.8.12,ref-m.3.3.7.8.35,95330,95417,ref-sifre-n.70.1.40,ref-sifre-n.70.1.56,פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין וחדל אלא כל שיכול לעשות,עושה פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין וחדל אלא כל שיכול לעשות,16,17,250,250.0,111,111.0,0.06172839506172839,0.09999999999999998,76,פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין וחדל אלא כל שיכול לעשות,0.06172839506172845,1050000083
ref-m.3.3.9.2.22-ref-m.3.3.9.2.37,ref-sifre-n.69.2.41-ref-sifre-n.69.2.53,361284,361363,ref-m.3.3.9.2.22,ref-m.3.3.9.2.37,93745,93810,ref-sifre-n.69.2.41,ref-sifre-n.69.2.53,בנו בקרוב ואמר אילו הייתי יודע שהוא נעשה סופר או שהיה משיא את בנו בקרוב לא ,בו ויאמרו אליו איה שרה אשתך שהיו יודעים היכן היא כיוצא בו ולא ,16,13,247,247.0,113,113.0,0.6133333333333333,0.7857142857142857,39,בו ואמר אלי י שהא שהו ו הי יא א בו ולא ,0.48,1050000084
ref-m.3.3.10.1.13-ref-m.3.3.10.2.11,ref-sifre-n.153.4.254-ref-sifre-n.153.4.265,363909,364027,ref-m.3.3.10.1.13,ref-m.3.3.10.2.11,266664,266721,ref-sifre-n.153.4.254,ref-sifre-n.153.4.265,הבעל ולא הפר האב אינו מופר ואין_צריך_לומר שקיים אחד מהן מת האב לא נתרוקנה רשות לבעל מת הבעל נתרוקנה רשות לאב ,בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית ,21,12,622,621.0,122,114.0,0.7155963302752294,0.75,35,ב אה ב אי  אומר ית אבה רשות בה ו ב ,0.6788990825688073,1050000085
ref-m.3.3.10.1.3-ref-m.3.3.10.1.16,ref-sifre-n.153.7.58-ref-sifre-n.153.7.75,363854,363929,ref-m.3.3.10.1.3,ref-m.3.3.10.1.16,269451,269548,ref-sifre-n.153.7.58,ref-sifre-n.153.7.75,אביה אביה ובעלה מפירים נדריה ניסת אין האב מיפר את נדריה ונדריה עליה נדריה שבאו עמה מבית אביה,אביה אביה ובעלה מפירים נדריה ניסת אין האב מיפר את נדריה ונדריה עליה נדריה שבאו עמה מבית אביה,18,18,630,630.0,115,115.0,0.0,0.0,92,אביה אביה ובעלה מפירים נדריה ניסת אין האב מיפר את נדריה ונדריה עליה נדריה שבאו עמה מבית אביה,0.0,1050000086
ref-m.3.3.10.1.4-ref-m.3.3.10.1.16,ref-sifre-n.153.7.121-ref-sifre-n.153.7.131,363859,363929,ref-m.3.3.10.1.4,ref-m.3.3.10.1.16,269788,269844,ref-sifre-n.153.7.121,ref-sifre-n.153.7.131,ושהופרו הרי_אתה_דן_הואיל והבעל מיפר והאב מיפר מה האב,ושהופרו הרי_אתה_דן_הואיל והבעל מיפר והאב מיפר מה האב,8,8,632,632.0,119,119.0,0.0,0.0,52,ושהופרו הרי_אתה_דן_הואיל והבעל מיפר והאב מיפר מה האב,0.0,1050000087
ref-m.3.3.10.1.5-ref-m.3.3.10.1.17,ref-sifre-n.153.10.1-ref-sifre-n.153.10.10,363866,363934,ref-m.3.3.10.1.5,ref-m.3.3.10.1.17,271015,271068,ref-sifre-n.153.10.1,ref-sifre-n.153.10.10,מפירין נדריה הפר האב ולא הפר הבעל הפר הבעל ולא הפר האב אינו ,והפר את נדרה נדריה שעליה מיפר ולא נדרים שאין עליה ,13,10,636,636.0,121,114.0,0.6666666666666666,0.75,27,פר נדרה רה עלהפר ולא ר א י ,0.55,1050000088
ref-m.3.3.10.1.4-ref-m.3.3.10.1.14,ref-sifre-n.154.3.63-ref-sifre-n.154.3.80,363859,363919,ref-m.3.3.10.1.4,ref-m.3.3.10.1.14,272838,272919,ref-sifre-n.154.3.63,ref-sifre-n.154.3.80,ובעלה מפירין נדריה הפר האב ולא הפר הבעל הפר הבעל ולא ,"לה והפר לה שומע_אני_יהיה_מופר ת""ל אישה הפרם אם הפר הבעל מופר ואם_לאו_אינו מופר ",11,13,647,644.0,118,114.0,0.620253164556962,0.8333333333333334,34,לה פר ניההפר לא הפר  הפר הבעל ולא ,0.5696202531645569,1050000089
ref-m.3.3.10.1.3-ref-m.3.3.10.1.8,ref-sifre-n.155.1.222-ref-sifre-n.155.1.230,363854,363887,ref-m.3.3.10.1.3,ref-m.3.3.10.1.8,274015,274054,ref-sifre-n.155.1.222,ref-sifre-n.155.1.230,אביה ובעלה מפירין נדריה הפר האב ,והאב מפר והבעל מפר מה האב מפר כל נדר ,6,9,654,654.0,116,114.0,0.6486486486486487,0.33333333333333337,19,אב ובעל מפר ה הפר  ,0.4864864864864865,1050000090
ref-m.3.3.9.10.93-ref-m.3.3.10.1.13,ref-sifre-n.156.3.32-ref-sifre-n.156.3.52,363825,363914,ref-m.3.3.9.10.93,ref-m.3.3.10.1.13,276318,276447,ref-sifre-n.156.3.32,ref-sifre-n.156.3.52,אל שאול בכינה נערה המאורסה אביה ובעלה מפירין נדריה הפר האב ולא הפר הבעל הפר הבעל ,אביה אמרתי ולא נעוריה בבית הבעל ר'_ישמעאל_אומר בנעוריה בבית אביה בנערה המאורסה הכתוב מדבר שיהיו אביה ובעלה מפירים נדריה ,16,19,666,664.0,114,114.0,0.6666666666666666,0.6666666666666667,48,א אול נערה המאור ביה ביי נרה הר הב  ה הבעלהפר ה ,0.6,1050000091
ref-m.3.3.10.2.24-ref-m.3.3.10.3.2,ref-sifre-n.153.6.254-ref-sifre-n.153.6.269,364084,364139,ref-m.3.3.10.2.24,ref-m.3.3.10.3.2,268776,268853,ref-sifre-n.153.6.254,ref-sifre-n.153.6.269,האב שהבעל מיפר בבגר והאב אינו מיפר בבגר נדרה והיא ,אביה אותה ואם הפר האב מופר_ואם_לאו אין מופר אמרה יודעת אני שכל נדרים שהיה ,10,14,627,627.0,126,123.0,0.6486486486486487,0.7857142857142857,29,אב ה פר ב וא אי מפר ר נדר הי ,0.6081081081081081,1050000092
ref-m.3.3.10.2.22-ref-m.3.3.10.3.1,ref-sifre-n.153.7.57-ref-sifre-n.153.7.68,364073,364133,ref-m.3.3.10.2.22,ref-m.3.3.10.3.1,269445,269508,ref-sifre-n.153.7.57,ref-sifre-n.153.7.68,הבעל מכח האב שהבעל מיפר בבגר והאב אינו מיפר בבגר נדרה ,בבית אביה אביה ובעלה מפירים נדריה ניסת אין האב מיפר את נדריה ,11,12,629,629.0,123,123.0,0.5573770491803278,0.5833333333333333,31,ב אב הבעל מפר רה אי מיפר  נדרה ,0.4918032786885246,1050000093
ref-m.3.3.10.2.24-ref-m.3.3.10.2.31,ref-sifre-n.153.7.175-ref-sifre-n.153.7.191,364084,364128,ref-m.3.3.10.2.24,ref-m.3.3.10.2.31,270061,270151,ref-sifre-n.153.7.175,ref-sifre-n.153.7.191,באב שאין מפר בבגר לפיכך אין מיפר אלא נדרים_שלא_הוקמו_ושלא_הופרו תאמר בבעל שמיפר בבגר,באב שאין מפר בבגר לפיכך אין מיפר אלא נדרים_שלא_הוקמו_ושלא_הופרו תאמר בבעל שמיפר בבגר,13,13,634,634.0,124,124.0,0.0,0.0,84,באב שאין מפר בבגר לפיכך אין מיפר אלא נדרים_שלא_הוקמו_ושלא_הופרו תאמר בבעל שמיפר בבגר,0.0,1050000094
ref-m.3.3.10.2.24-ref-m.3.3.10.3.1,ref-sifre-n.154.1.20-ref-sifre-n.154.1.27,364084,364133,ref-m.3.3.10.2.24,ref-m.3.3.10.3.1,271585,271626,ref-sifre-n.154.1.20,ref-sifre-n.154.1.27,האב שהבעל מיפר בבגר והאב אינו מיפר בבגר נדרה ,אין אביה מיפר נדריה ואלמנה אין אביה מיפר ,9,8,641,641.0,125,123.0,0.6222222222222222,0.4285714285714286,23,א ב מיפר ר והא אי מיפר ,0.48888888888888893,1050000095
ref-m.3.3.10.2.24-ref-m.3.3.10.3.2,ref-sifre-n.155.1.222-ref-sifre-n.155.1.236,364084,364139,ref-m.3.3.10.2.24,ref-m.3.3.10.3.2,274015,274077,ref-sifre-n.155.1.222,ref-sifre-n.155.1.236,האב שהבעל מיפר בבגר והאב אינו מיפר בבגר נדרה והיא ,והאב מפר והבעל מפר מה האב מפר כל נדר אף הבעל מפר כל נדר הא ,10,15,655,654.0,127,123.0,0.5932203389830508,0.6666666666666667,32,האב הבעל מפר  האב מפר בר נדר הא ,0.4576271186440678,1050000096
ref-m.3.3.10.2.25-ref-m.3.3.10.2.31,ref-sifre-n.155.1.307-ref-sifre-n.155.1.324,364089,364128,ref-m.3.3.10.2.25,ref-m.3.3.10.2.31,274441,274533,ref-sifre-n.155.1.307,ref-sifre-n.155.1.324,שהבעל מיפר בבגר והאב אינו מיפר בבגר ,הבעל שמפר בבגר אין_מפר_אלא_נדרים_שבינו_לבינה_ונדרים_שיש_בהם_ענוי נפש האב שאין מפר בבגר ,7,9,657,657.0,129,123.0,0.6896551724137931,0.7,31,הבעל מפר בבגר והאב אי מפר בבגר ,0.6436781609195402,1050000097
ref-m.3.3.10.3.12-ref-m.3.3.10.3.26,ref-sifre-n.154.1.21-ref-sifre-n.154.1.33,364190,364268,ref-m.3.3.10.3.12,ref-m.3.3.10.3.26,271589,271661,ref-sifre-n.154.1.21,ref-sifre-n.154.1.33,אביה ובעלה האחרון מפירין נדריה זה_הכלל_כל שלא יצאת לרשות עצמה שעה אחת אביה ,אביה מיפר נדריה ואלמנה אין אביה מיפר נדריה מה בעולה שיצאת מרשות אביה ,13,13,642,641.0,130,130.0,0.6533333333333333,0.8235294117647058,41,אביה ולה אן מיר נדריה ה ל יצאת רשות אביה ,0.45333333333333337,1050000098
ref-m.3.3.10.3.28-ref-m.3.3.10.4.4,ref-sifre-n.153.3.148-ref-sifre-n.153.3.164,364276,364321,ref-m.3.3.10.3.28,ref-m.3.3.10.4.4,265208,265296,ref-sifre-n.153.3.148,ref-sifre-n.153.3.164,האחרון מפירין נדריה דרך תלמידי חכמים עד שלא ,אחרים שהיה_בדין_ומה_אם_במקום שאין מפר נדרי עצמו משנודר הרי הוא מיפר נדרי עצמו עד שלא ,8,14,613,613.0,131,131.0,0.6705882352941176,0.8,32,אחרון מפר נדרי דר מידי מ עד שלא ,0.6235294117647059,1050000099
ref-m.3.3.10.6.35-ref-m.3.3.10.6.48,ref-sifre-n.153.3.157-ref-sifre-n.153.3.175,364823,364893,ref-m.3.3.10.6.35,ref-m.3.3.10.6.48,265253,265350,ref-sifre-n.153.3.157,ref-sifre-n.153.3.175,לעצמו הרי הוא מיפר נדריה אשה שהקנו לו מן השמים אינו דין שיפר נדריה ,עצמו משנודר הרי הוא מיפר נדרי עצמו עד שלא ידור מקום שמפר נדרי אשתו משנדרה אינו דין שיפר נדרי ,14,19,614,613.0,132,132.0,0.46236559139784944,0.5625,53,עצמו הרי הוא מיפר נדרי ו לו מ שמי אינו דין שיפר נדרי ,0.4301075268817204,1050000100
ref-m.3.3.10.6.35-ref-m.3.3.10.6.48,ref-sifre-n.153.10.23-ref-sifre-n.153.10.41,364823,364893,ref-m.3.3.10.6.35,ref-m.3.3.10.6.48,271130,271226,ref-sifre-n.153.10.23,ref-sifre-n.153.10.41,לעצמו הרי הוא מיפר נדריה אשה שהקנו לו מן השמים אינו דין שיפר נדריה ,עצמו משנדר הרי זה מיפר נדרי עצמו עד שלא ידור מקום שמיפר נדרי אשתו משנדרה אינו דין שיפר נדרי ,14,19,637,637.0,133,132.0,0.5,0.5882352941176471,51,עצמו הרי ה מיפר נדרי ו לו מ שמי אינו דין שיפר נדרי ,0.44565217391304346,1050000101
ref-m.3.3.10.7.54-ref-m.3.3.10.7.64,ref-sifre-n.126.1.408-ref-sifre-n.126.1.418,365416,365472,ref-m.3.3.10.7.54,ref-m.3.3.10.7.64,220630,220689,ref-sifre-n.126.1.408,ref-sifre-n.126.1.418,שבא לכלל הקם בא לכלל הפר לא בא לכלל הקם לא בא לכלל ,שבא לכלל חטוי בא לכלל טומאה לא בא לכלל חטוי לא בא לכלל ,13,13,475,475.0,144,134.0,0.23636363636363636,0.6666666666666667,43,שבא לכלל  בא לכלל ה לא בא לכלל  לא בא לכלל ,0.21818181818181814,1050000102
ref-m.3.3.10.7.1-ref-m.3.3.10.7.10,ref-sifre-n.153.6.291-ref-sifre-n.153.6.302,365139,365198,ref-m.3.3.10.7.1,ref-m.3.3.10.7.10,268947,269016,ref-sifre-n.153.6.291,ref-sifre-n.153.6.302,האומר לאשתו כל הנדרים שתדורי מכאן עד שאבא ממקום פלוני ,אמר לאפוטרופוס כל נדרים שתהא בתו נודרת מכאן ועד שאבוא ממקום פלוני ,10,12,628,628.0,134,134.0,0.3333333333333333,0.4285714285714286,47,אמר לאו כל נדרים שתור מכאן עד שאבא ממקום פלוני ,0.28787878787878785,1050000103
ref-m.3.3.10.7.32-ref-m.3.3.10.7.67,ref-sifre-n.153.10.65-ref-sifre-n.153.10.83,365303,365477,ref-m.3.3.10.7.32,ref-m.3.3.10.7.67,271336,271425,ref-sifre-n.153.10.65,ref-sifre-n.153.10.83,אישה יקימנו ואישה יפרנו את שבא לכלל הקם בא לכלל הפר לא בא לכלל הקם לא בא לכלל הפר,אישה יקימנו ואישה יפרנו את שבא לכלל הקם בא לכלל הפר לא בא לכלל הקם לא בא לכלל הפר,19,19,638,638.0,138,138.0,0.0,0.0,81,אישה יקימנו ואישה יפרנו את שבא לכלל הקם בא לכלל הפר לא בא לכלל הקם לא בא לכלל הפר,0.0,1050000104
ref-m.3.3.10.7.1-ref-m.3.3.10.7.40,ref-sifre-n.154.3.43-ref-sifre-n.154.3.76,365139,365349,ref-m.3.3.10.7.1,ref-m.3.3.10.7.40,272730,272900,ref-sifre-n.154.3.43,ref-sifre-n.154.3.76,אמר לאפוטרופוס כל נדרים שהיא נודרת אשתי מכאן עד שאבוא ממקום פלוני,"יפר הבעל מופר ואם_לאו_אינו מופר אמר לאפוטרופוס כל נדרים שהיא נודרת אשתי מכאן עד שאבוא ממקום פלוני הפר לה והפר לה שומע_אני_יהיה_מופר ת""ל אישה הפרם אם הפר",12,27,644,644.0,135,135.0,0.5723684210526315,0.368421052631579,65,אמר לאפוטרופוס כל נדרים שהיא נודרת אשתי מכאן עד שאבוא ממקום פלוני,0.5723684210526316,1050000105
ref-m.3.3.10.7.33-ref-m.3.3.10.7.52,ref-sifre-n.155.1.32-ref-sifre-n.155.1.41,365308,365412,ref-m.3.3.10.7.33,ref-m.3.3.10.7.52,273125,273179,ref-sifre-n.155.1.32,ref-sifre-n.155.1.41,נדר וכל שבועת איסר לענות נפש אישה יקימנו ואישה יפרנו,נדר וכל שבועת איסר לענות נפש אישה יקימנו ואישה יפרנו,10,10,648,648.0,139,139.0,0.0,0.0,52,נדר וכל שבועת איסר לענות נפש אישה יקימנו ואישה יפרנו,0.0,1050000106
ref-m.3.3.10.7.49-ref-m.3.3.10.7.52,ref-sifre-n.155.1.382-ref-sifre-n.155.1.385,365387,365412,ref-m.3.3.10.7.49,ref-m.3.3.10.7.52,274806,274830,ref-sifre-n.155.1.382,ref-sifre-n.155.1.385,אישה יקימינו ואישה יפרנו ,אישה יקימנו ואישה יפרנו ,4,4,659,658.0,142,134.0,0.04,0.0,24,אישה יקימנו ואישה יפרנו ,0.040000000000000036,1050000107
ref-m.3.3.10.7.48-ref-m.3.3.10.7.52,ref-sifre-n.155.1.413-ref-sifre-n.155.1.417,365382,365412,ref-m.3.3.10.7.48,ref-m.3.3.10.7.52,274982,275013,ref-sifre-n.155.1.413,ref-sifre-n.155.1.417,אומר אישה יקימינו ואישה יפרנו ,שנאמר אישה יקימנו ואישה יפרנו ,5,5,661,661.0,141,134.0,0.13333333333333333,0.4,28,אמר אישה יקימנו ואישה יפרנו ,0.06666666666666665,1050000108
ref-m.3.3.11.2.6-ref-m.3.3.11.3.1,ref-sifre-n.155.1.131-ref-sifre-n.155.1.154,365792,365965,ref-m.3.3.11.2.6,ref-m.3.3.11.3.1,273589,273699,ref-sifre-n.155.1.131,ref-sifre-n.155.1.154,אמר קונם פירות העולם עלי הרי זה יפר קונם פירות מדינה זו עלי יביא לה מן מדינה אחרת פירות חנוני זה עלי אין יכול,אמר קונם פירות העולם עלי הרי זה יפר קונם פירות מדינה זו עלי יביא לה מן מדינה אחרת פירות חנוני זה עלי אין יכול,24,24,651,650.0,145,145.0,0.0,0.0,109,אמר קונם פירות העולם עלי הרי זה יפר קונם פירות מדינה זו עלי יביא לה מן מדינה אחרת פירות חנוני זה עלי אין יכול,0.0,1050000109
ref-m.3.3.11.5.9-ref-m.3.3.11.5.21,ref-sifre-n.22.1.225-ref-sifre-n.22.1.238,366387,366469,ref-m.3.3.11.5.9,ref-m.3.3.11.5.21,33687,33758,ref-sifre-n.22.1.225,ref-sifre-n.22.1.238,לנדור נדר נזיר להזיר או אפילו נדר בקרבן יהיה נזיר תלמוד לומר לנדור נדר נזיר להזיר או אפילו נדר בקרבן יהיה נזיר תלמוד לומר לנדור נדר,לנדור נדר נזיר להזיר או אפילו נדר בקרבן יהיה נזיר תלמוד לומר לנדור נדר נזיר להזיר או אפילו נדר בקרבן יהיה נזיר תלמוד לומר לנדור נדר,26,26,143,143.0,147,147.0,0.0,0.0,131,לנדור נדר נזיר להזיר או אפילו נדר בקרבן יהיה נזיר תלמוד לומר לנדור נדר נזיר להזיר או אפילו נדר בקרבן יהיה נזיר תלמוד לומר לנדור נדר,0.0,1050000110
ref-m.3.3.11.6.8-ref-m.3.3.11.6.19,ref-sifre-n.155.1.381-ref-sifre-n.155.1.408,366607,366672,ref-m.3.3.11.6.8,ref-m.3.3.11.6.19,274801,274955,ref-sifre-n.155.1.381,ref-sifre-n.155.1.408,יכול אישה יקימנו ואישה יפרנו נדרה מן התאנים ומן הענבים קיים בתאנים כולו קיים היפר לתאנים אין מופר עד שיפר לענבים דברי_ר'_ישמעאל_ר'_עקיבא_אומר קיים,יכול אישה יקימנו ואישה יפרנו נדרה מן התאנים ומן הענבים קיים בתאנים כולו קיים היפר לתאנים אין מופר עד שיפר לענבים דברי_ר'_ישמעאל_ר'_עקיבא_אומר קיים,23,23,658,658.0,149,149.0,0.0,0.0,146,יכול אישה יקימנו ואישה יפרנו נדרה מן התאנים ומן הענבים קיים בתאנים כולו קיים היפר לתאנים אין מופר עד שיפר לענבים דברי_ר'_ישמעאל_ר'_עקיבא_אומר קיים,0.0,1050000111
ref-m.3.3.11.6.31-ref-m.3.3.11.7.14,ref-sifre-n.155.1.167-ref-sifre-n.155.1.180,366735,366811,ref-m.3.3.11.6.31,ref-m.3.3.11.7.14,273752,273817,ref-sifre-n.155.1.167,ref-sifre-n.155.1.180,נדרים יודע אני שיש נדרים אבל איני יודע שיש מפירין יפר יודע אני שיש מפירין ,מפר אין_לי_אלא בעל שאינו מפר אלא נדר שיש בינו לבינה ונדר שיש ,15,12,653,652.0,151,151.0,0.6891891891891891,0.7857142857142857,31,ר אי שינר אלא ד שיש י י ונ שיש ,0.5810810810810811,1050000112
ref-m.3.4.2.6.20-ref-m.3.4.2.6.34,ref-sifre-n.36.1.43-ref-sifre-n.36.1.52,370594,370666,ref-m.3.4.2.6.20,ref-m.3.4.2.6.34,59811,59858,ref-sifre-n.36.1.43,ref-sifre-n.36.1.52,נזיר שלם דברי_רבי_מאיר_וחכמים_אומרים זה מגלח חצי נזיר וזה מגלח חצי נזיר ,הנזיר אחר התגלחו את נזרו זה אחר התגלחו את נזרו ,11,10,202,201.0,152,152.0,0.6944444444444444,0.8,31,נזיר אחר הגלח  נזרוזה גלח  נזר ,0.5694444444444444,1050000113
ref-m.3.4.3.1.5-ref-m.3.4.3.1.13,ref-sifre-n.25.1.89-ref-sifre-n.25.1.97,371431,371476,ref-m.3.4.3.1.5,ref-m.3.4.3.1.13,40055,40100,ref-sifre-n.25.1.89,ref-sifre-n.25.1.97,מגלח יום שלשים ואחד ואם גלח ליום שלשים יצא ,שמגלח יום שלשים ואחד ואם גלח יום שלשים יצא ,9,9,156,153.0,154,154.0,0.046511627906976744,0.16666666666666663,42,מגלח יום שלשים ואחד ואם גלח יום שלשים יצא ,0.023255813953488413,1050000114
ref-m.3.4.3.1.19-ref-m.3.4.3.2.17,ref-sifre-n.25.1.89-ref-sifre-n.25.1.94,371501,371612,ref-m.3.4.3.1.19,ref-m.3.4.3.2.17,40055,40086,ref-sifre-n.25.1.89,ref-sifre-n.25.1.94,גלח ליום שלשים לא יצא מי שנזר שתי נזירות מגלח את הראשונה יום שלשים ואחד ואת השניה יום ששים ואחד ואם גלח ,שמגלח יום שלשים ואחד ואם גלח ,22,6,153,153.0,155,155.0,0.7211538461538461,0.6923076923076923,29,שמגלח יום שלשים ואחד ואם גלח ,0.7211538461538461,1050000115
ref-m.3.4.3.2.21-ref-m.3.4.3.2.32,ref-sifre-n.25.1.89-ref-sifre-n.25.1.95,371629,371684,ref-m.3.4.3.2.21,ref-m.3.4.3.2.32,40055,40090,ref-sifre-n.25.1.89,ref-sifre-n.25.1.95,שלשים מגלח את השניה יום ששים ואם גלח יום ששים חסר אחד ,שמגלח יום שלשים ואחד ואם גלח יום ,12,7,154,153.0,156,156.0,0.5740740740740741,0.5555555555555556,27,שמגלח יום ששים ואם גלח יום ,0.5,1050000116
ref-m.3.4.2.10.25-ref-m.3.4.3.2.35,ref-sifre-n.25.1.136-ref-sifre-n.25.1.148,371407,371698,ref-m.3.4.2.10.25,ref-m.3.4.3.2.35,40284,40350,ref-sifre-n.25.1.136,ref-sifre-n.25.1.148,יום אם גילח ביום שלשים ואחד יצא תלמוד לומר עד_מלאת_הימים ועדיין,יום אם גילח ביום שלשים ואחד יצא תלמוד לומר עד_מלאת_הימים ועדיין,11,11,159,159.0,153,153.0,0.0,0.0,63,יום אם גילח ביום שלשים ואחד יצא תלמוד לומר עד_מלאת_הימים ועדיין,0.0,1050000117
ref-m.3.4.3.2.50-ref-m.3.4.3.2.63,ref-sifre-n.25.1.89-ref-sifre-n.25.1.96,371768,371835,ref-m.3.4.3.2.50,ref-m.3.4.3.2.63,40055,40096,ref-sifre-n.25.1.89,ref-sifre-n.25.1.96,מגלח את השניה יום ששים ואם גלח ליום ששים חסר אחד יצא שיום שלשים ,שמגלח יום שלשים ואחד ואם גלח יום שלשים ,14,8,155,153.0,158,158.0,0.53125,0.6363636363636364,33,מגלח יום ששים ואח ום ח יום שלשים ,0.484375,1050000118
ref-m.3.4.3.4.3-ref-m.3.4.3.4.21,ref-sifre-n.30.1.189-ref-sifre-n.30.1.212,371997,372085,ref-m.3.4.3.4.3,ref-m.3.4.3.4.21,50134,50250,ref-sifre-n.30.1.189,ref-sifre-n.30.1.212,מאה ימים נטמא יום מאה חסר אחד סותר_את_הכל_תלמוד_לומר הימים הראשונים_יפלו_מי_שיש_לו אהרונים סותר או אפילו נטמא יום,מאה ימים נטמא יום מאה חסר אחד סותר_את_הכל_תלמוד_לומר הימים הראשונים_יפלו_מי_שיש_לו אהרונים סותר או אפילו נטמא יום,16,16,183,183.0,161,161.0,0.0,0.0,113,מאה ימים נטמא יום מאה חסר אחד סותר_את_הכל_תלמוד_לומר הימים הראשונים_יפלו_מי_שיש_לו אהרונים סותר או אפילו נטמא יום,0.0,1050000119
ref-m.3.4.3.3.5-ref-m.3.4.3.4.6,ref-sifre-n.30.1.303-ref-sifre-n.30.1.322,371874,372013,ref-m.3.4.3.3.5,ref-m.3.4.3.4.6,50714,50816,ref-sifre-n.30.1.303,ref-sifre-n.30.1.322,נטמא יום שלשים סותר את הכל רבי_אליעזר_אומר אינו סותר אלא שבעה הריני נזיר_שלשים_יום נטמא יום שלשים סותר את הכל הריני נזיר מאה יום נטמא יום ,טמא נזרו הטומאה סותרת הכל ואין התגלחת סותרת הכל אין_לי_אלא ימי טומאתו שאין_עולים_לו_מן_המנין ימי ,25,14,185,185.0,159,159.0,0.6811594202898551,0.7222222222222222,53,טמא ו  סותרת הכל ואי סותר ה י_לי_י טמאו שליםלהני ימי ,0.6159420289855073,1050000120
ref-m.3.4.3.4.3-ref-m.3.4.3.4.21,ref-sifre-n.31.1.43-ref-sifre-n.31.1.66,371997,372085,ref-m.3.4.3.4.3,ref-m.3.4.3.4.21,53876,53992,ref-sifre-n.31.1.43,ref-sifre-n.31.1.66,מאה ימים נטמא יום מאה חסר אחד סותר_את_הכל_תלמוד_לומר הימים הראשונים_יפלו_מי_שיש_לו אהרונים סותר או אפילו נטמא יום,מאה ימים נטמא יום מאה חסר אחד סותר_את_הכל_תלמוד_לומר הימים הראשונים_יפלו_מי_שיש_לו אהרונים סותר או אפילו נטמא יום,16,16,191,191.0,162,162.0,0.0,0.0,113,מאה ימים נטמא יום מאה חסר אחד סותר_את_הכל_תלמוד_לומר הימים הראשונים_יפלו_מי_שיש_לו אהרונים סותר או אפילו נטמא יום,0.0,1050000121
ref-m.3.4.3.3.5-ref-m.3.4.3.4.6,ref-sifre-n.31.1.157-ref-sifre-n.31.1.176,371874,372013,ref-m.3.4.3.3.5,ref-m.3.4.3.4.6,54456,54558,ref-sifre-n.31.1.157,ref-sifre-n.31.1.176,נטמא יום שלשים סותר את הכל רבי_אליעזר_אומר אינו סותר אלא שבעה הריני נזיר_שלשים_יום נטמא יום שלשים סותר את הכל הריני נזיר מאה יום נטמא יום ,טמא נזרו הטומאה סותרת הכל ואין התגלחת סותרת הכל אין_לי_אלא ימי טומאתו שאין_עולים_לו_מן_המנין ימי ,25,14,193,193.0,160,159.0,0.6811594202898551,0.7222222222222222,53,טמא ו  סותרת הכל ואי סותר ה י_לי_י טמאו שליםלהני ימי ,0.6159420289855073,1050000122
ref-m.3.4.3.6.38-ref-m.3.4.3.6.51,ref-sifre-n.112.1.132-ref-sifre-n.112.1.147,372568,372639,ref-m.3.4.3.6.38,ref-m.3.4.3.6.51,164234,164305,ref-sifre-n.112.1.132,ref-sifre-n.112.1.147,שבע שנים ובא בנה מן המלחמה והיתה נזירה שבע שנים ובסוף שבע שנים עלתה ,בת שנתה זה בנין אב כל מקום שנאמר עז צריך שתהיה בת שנתה וכפר הכהן על ,14,16,333,333.0,165,165.0,0.7205882352941176,0.9047619047619048,30,ב שנ  בנן ל ו נר ע י שב שנ על ,0.5588235294117647,1050000123
