baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-y,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-y.1.1.9.1.13.138-ref-y.1.1.9.1.13.143,ref-bible.0302.11.8.1-ref-bible.302.11.8.6,174645,174675,ref-y.1.1.9.1.13.138,ref-y.1.1.9.1.13.143,1267005,1267036,ref-bible.0302.11.8.1,ref-bible.0302.11.8.6,צדיק מצרה נחלץ ויכא רשע תחתיו ,צדיק מצרה נחלץ ויבא רשע תחתיו ,6,6,2712,2712.0,214,214.0,0.0333333333333333,0.2857142857142857,5,צדיק מצרה נחלץ רשע תחתיו,7090000189,6,6
ref-y.1.1.9.1.13.200-ref-y.1.1.9.1.13.207,ref-bible.0102.4.11.4-ref-bible.102.4.11.11,174966,174995,ref-y.1.1.9.1.13.200,ref-y.1.1.9.1.13.207,111629,111658,ref-bible.0102.4.11.4,ref-bible.0102.4.11.11,מי שם פה לאדם או מי ישום אלם ,מי שם פה לאדם או מי ישום אלם ,8,8,216,216.0,215,215.0,0.0,0.0,8,מי שם פה לאדם או מי ישום אלם,7090000190,8,8
ref-y.1.1.9.1.16.30-ref-y.1.1.9.1.16.35,ref-bible.0311.6.23.1-ref-bible.311.6.23.6,175813,175847,ref-y.1.1.9.1.16.30,ref-y.1.1.9.1.16.35,1441365,1441395,ref-bible.0311.6.23.1,ref-bible.0311.6.23.6,אלהי שלח מלאביה וסגר פום אריוותא ,אלהי שלח מלאכה וסגר פם אריותא ,6,6,3002,3002.0,216,216.0,0.1212121212121212,0.2857142857142857,3,אלהי שלח וסגר,7090000191,6,6
ref-y.1.1.9.1.20.48-ref-y.1.1.9.1.20.56,ref-bible.0301.55.22.9-ref-bible.301.55.23.6,177101,177144,ref-y.1.1.9.1.20.48,ref-y.1.1.9.1.20.56,1188878,1188920,ref-bible.0301.55.22.9,ref-bible.0301.55.23.6,"הוא מקבלך הה""ד השלך על ה' יהבך והוא יכלכלך ",והמה פתחות השלך על יהוה יהבך והוא יכלכלך ,9,8,2535,2535.0,217,217.0,0.3488372093023256,0.5555555555555556,5,השלך על יהבך והוא יכלכלך,7090000192,9,8
ref-y.1.1.9.1.20.98-ref-y.1.1.9.1.20.104,ref-bible.0313.18.31.15-ref-bible.313.18.31.21,177347,177388,ref-y.1.1.9.1.20.98,ref-y.1.1.9.1.20.104,1547870,1547914,ref-bible.0313.18.31.15,ref-bible.0313.18.31.21,וזעק והושפט וה' עזרו ויסיתם אלהים ממנו ,ויזעק יהושפט ויהוה עזרו ויסיתם אלהים ממנו ,7,7,3198,3198.0,218,218.0,0.119047619047619,0.1428571428571429,4,עזרו ויסיתם אלהים ממנו,7090000193,7,7
ref-y.1.1.9.1.21.11-ref-y.1.1.9.1.21.21,ref-bible.0301.146.5.1-ref-bible.301.146.6.3,177490,177546,ref-y.1.1.9.1.21.11,ref-y.1.1.9.1.21.21,1253672,1253726,ref-bible.0301.146.5.1,ref-bible.0301.146.6.3,אשרי שאל יעקב בעזרו וגומר מה כתיב בתריה עשה שמים וארץ ,אשרי שאל יעקב בעזרו שברו על יהוה אלהיו עשה שמים וארץ ,11,11,2669,2669.0,219,219.0,0.2962962962962963,0.4166666666666666,7,אשרי שאל יעקב בעזרו עשה שמים וארץ,7090000194,11,11
ref-y.1.1.9.1.25.27-ref-y.1.1.9.1.25.31,ref-bible.0302.11.7.1-ref-bible.302.11.7.5,179634,179656,ref-y.1.1.9.1.25.27,ref-y.1.1.9.1.25.31,1266963,1266985,ref-bible.0302.11.7.1,ref-bible.0302.11.7.5,במות אדם רשע תאבד תקוה ,במות אדם רשע תאבד תקוה ,5,5,2711,2711.0,220,220.0,0.0,0.0,5,במות אדם רשע תאבד תקוה,7090000195,5,5
ref-y.1.1.9.1.32.177-ref-y.1.1.9.1.32.183,ref-bible.0303.36.24.1-ref-bible.303.36.24.7,182139,182173,ref-y.1.1.9.1.32.177,ref-y.1.1.9.1.32.183,1326716,1326748,ref-bible.0303.36.24.1,ref-bible.0303.36.24.7,זכור כי תשגיא פעלו אשר שוררו אנשים ,זכר כי תשגיא פעלו אשר שררו אנשים ,7,7,2833,2833.0,221,221.0,0.0571428571428571,0.0,5,כי תשגיא פעלו אשר אנשים,7090000196,7,7
ref-y.1.1.9.1.32.191-ref-y.1.1.9.1.32.205,ref-bible.0210.10.8.8-ref-bible.210.10.9.1,182216,182304,ref-y.1.1.9.1.32.191,ref-y.1.1.9.1.32.205,1089017,1089077,ref-bible.0210.10.8.8,ref-bible.0210.10.9.1,ועל הרעמים על הרוחות אומר ברוך שכוחו מלא העולמים על ההרים ועל הגבעות ועל הימים ,יעלה על מזבחותם ואמרו להרים כסונו ולגבעות נפלו עלינו מימי ,15,10,2340,2340.0,222,222.0,0.620253164556962,0.8235294117647058,1,על,7090000197,15,10
ref-y.1.1.9.2.3.26-ref-y.1.1.9.2.3.31,ref-bible.0301.104.32.1-ref-bible.301.104.32.6,182972,183010,ref-y.1.1.9.2.3.26,ref-y.1.1.9.2.3.31,1225321,1225359,ref-bible.0301.104.32.1,ref-bible.0301.104.32.6,המביט לארץ ותרעד יגע בהרים ויעשנו ,המביט לארץ ותרעד יגע בהרים ויעשנו ,6,6,2611,2611.0,223,223.0,0.0,0.0,6,המביט לארץ ותרעד יגע בהרים ויעשנו,7090000198,6,6
ref-y.1.1.9.2.3.47-ref-y.1.1.9.2.3.56,ref-bible.0105.11.12.7-ref-bible.105.11.12.16,183106,183155,ref-y.1.1.9.2.3.47,ref-y.1.1.9.2.3.56,363105,363155,ref-bible.0105.11.12.7,ref-bible.0105.11.12.16,תמיד עיני ה' אלהיך בה מראשית השנה ועד אחרית השנה ,תמיד עיני יהוה אלהיך בה מרשית השנה ועד אחרית שנה ,10,10,1166,1166.0,224,224.0,0.1020408163265306,0.125,7,תמיד עיני אלהיך בה השנה ועד אחרית,7090000199,10,10
ref-y.1.1.9.2.3.139-ref-y.1.1.9.2.3.147,ref-bible.0220.14.5.1-ref-bible.220.14.5.9,183613,183651,ref-y.1.1.9.2.3.139,ref-y.1.1.9.2.3.147,1146157,1146194,ref-bible.0220.14.5.1,ref-bible.0220.14.5.9,ונסתם גיא הרי כי יגיע גיא חרים אל אצל ,ונסתם גיא הרי כי יגיע גי הרים אל אצל ,9,9,2443,2443.0,225,225.0,0.0526315789473684,0.25,7,ונסתם גיא הרי כי יגיע אל אצל,7090000200,9,9
ref-y.1.1.9.2.3.159-ref-y.1.1.9.2.3.168,ref-bible.0208.51.29.1-ref-bible.208.51.29.8,183701,183748,ref-y.1.1.9.2.3.159,ref-y.1.1.9.2.3.168,974298,974337,ref-bible.0208.51.29.1,ref-bible.0208.51.29.8,ותרעש הארץ ותחל מפני מה כי קמה על בבל מחשבות ,ותרעש הארץ ותחל כי קמה על בבל מחשבות ,10,8,2204,2204.0,226,226.0,0.1777777777777777,0.125,8,ותרעש הארץ ותחל כי קמה על בבל מחשבות,7090000201,10,8
ref-y.1.1.9.2.9.32-ref-y.1.1.9.2.9.37,ref-bible.0303.1.19.1-ref-bible.303.1.19.6,185216,185247,ref-y.1.1.9.2.9.32,ref-y.1.1.9.2.9.37,1292823,1292854,ref-bible.0303.1.19.1,ref-bible.0303.1.19.6,והנה רוח גדולה באה מעבר המדבר ,והנה רוח גדולה באה מעבר המדבר ,6,6,2781,2781.0,227,227.0,0.0,0.0,6,והנה רוח גדולה באה מעבר המדבר,7090000202,6,6
ref-y.1.1.9.2.9.42-ref-y.1.1.9.2.9.49,ref-bible.0205.19.11.7-ref-bible.205.19.11.14,185271,185310,ref-y.1.1.9.2.9.42,ref-y.1.1.9.2.9.49,701164,701206,ref-bible.0205.19.11.7,ref-bible.0205.19.11.14,והנה ה' עובר ורוח גדולה חזק מפרק הרים ,והנה יהוה עבר ורוח גדולה וחזק מפרק הרים ,8,8,1870,1870.0,228,228.0,0.125,0.125,5,והנה ורוח גדולה מפרק הרים,7090000203,8,8
ref-y.1.1.9.2.9.78-ref-y.1.1.9.2.9.83,ref-bible.0205.19.11.22-ref-bible.0205.19.12.5,185445,185471,ref-y.1.1.9.2.9.78,ref-y.1.1.9.2.9.83,701244,701296,ref-bible.0205.19.11.22,ref-bible.0205.19.12.5,ואחר הרוח רעש לא ברעש יהוה ואחר הרעש אש לא באש,ואחר הרוח רעש לא ברעש יהוה ואחר הרעש אש לא באש,11,11,1871,1871.0,229,229.0,0.0,0.0,11,ואחר הרוח רעש לא ברעש יהוה ואחר הרעש אש לא באש,7090000204,11,11
ref-y.1.1.9.2.10.4-ref-y.1.1.9.2.10.15,ref-bible.0214.1.9.12-ref-bible.214.1.10.5,185490,185557,ref-y.1.1.9.2.10.4,ref-y.1.1.9.2.10.15,1110668,1110726,ref-bible.0214.1.9.12,ref-bible.0214.1.10.5,הרואה את הים הגדול אומר בדוך שעשה את הים הגדול בזמן שרואהו ,עשה את הים ואת היבשה וייראו האנשים יראה גדולה ויאמרו ,12,10,2369,2369.0,231,231.0,0.6610169491525424,0.5833333333333333,2,את הים,7090000205,12,10
ref-y.1.1.9.2.10.64-ref-y.1.1.9.2.10.77,ref-bible.0104.34.22.2-ref-bible.104.34.23.6,185806,185862,ref-y.1.1.9.2.10.64,ref-y.1.1.9.2.10.77,333447,333500,ref-bible.0104.34.22.2,ref-bible.0104.34.23.6,בן גרשום בן מנשה נון תלוי אם זכה בן משה ואם לאו בן מנשה ,בני דן נשיא בקי בן יגלי לבני יוסף למטה בני מנשה נשיא ,14,12,1086,1086.0,233,232.0,0.75,0.7692307692307692,2,בן מנשה,7090000206,14,12
ref-y.1.1.9.2.10.63-ref-y.1.1.9.2.10.76,ref-bible.0202.18.30.7-ref-bible.202.18.30.13,185797,185857,ref-y.1.1.9.2.10.63,ref-y.1.1.9.2.10.76,507929,507964,ref-bible.0202.18.30.7,ref-bible.0202.18.30.13,ויהונתן בן גרשום בן מנשה נון תלוי אם זכה בן משה ואם לאו בן ,ויהונתן בן גרשם בן מנשה הוא ובניו ,14,7,1555,1555.0,232,232.0,0.4915254237288136,0.5555555555555556,4,ויהונתן בן בן מנשה,7090000207,14,7
ref-y.1.1.9.2.10.272-ref-y.1.1.9.2.10.278,ref-bible.0312.26.24.2-ref-bible.312.26.24.8,186793,186825,ref-y.1.1.9.2.10.272,ref-y.1.1.9.2.10.278,1507381,1507412,ref-bible.0312.26.24.2,ref-bible.0312.26.24.8,בן גרשום בן משה נגיד על האוצרות ,בן גרשום בן משה נגיד על האצרות ,7,7,3115,3115.0,234,234.0,0.03125,0.0,6,בן גרשום בן משה נגיד על,7090000208,7,7
ref-y.1.1.9.2.14.35-ref-y.1.1.9.2.14.39,ref-bible.0101.1.14.12-ref-bible.101.1.14.16,187700,187739,ref-y.1.1.9.2.14.35,ref-y.1.1.9.2.14.39,883,919,ref-bible.0101.1.14.12,ref-bible.0101.1.14.16,והיו לאותות ולמועדים ולימים ולשנים ,והיו לאתת ולמועדים ולימים ושנים ,5,5,8,8.0,235,235.0,0.0857142857142857,0.4,3,והיו ולמועדים ולימים,7090000209,5,5
ref-y.1.1.9.2.14.112-ref-y.1.1.9.2.14.117,ref-bible.0208.50.12.1-ref-bible.208.50.12.5,188133,188162,ref-y.1.1.9.2.14.112,ref-y.1.1.9.2.14.117,969683,969709,ref-bible.0208.50.12.1,ref-bible.0208.50.12.5,בושה אמכם מאד חפרה אי ולדתכם ,בושה אמכם מאד חפרה יולדתכם ,6,5,2202,2202.0,236,236.0,0.0689655172413793,0.0,4,בושה אמכם מאד חפרה,7090000210,6,5
ref-y.1.1.9.2.18.15-ref-y.1.1.9.2.18.23,ref-bible.0302.25.25.1-ref-bible.302.25.25.9,188813,188856,ref-y.1.1.9.2.18.15,ref-y.1.1.9.2.18.23,1284094,1284138,ref-bible.0302.25.25.1,ref-bible.0302.25.25.9,מים קרים על נפש עייפה שמועה טובה מארץ מרחק ,מים קרים על נפש עיפה ושמועה טובה מארץ מרחק ,9,9,2759,2759.0,237,237.0,0.0465116279069767,0.0,7,מים קרים על נפש טובה מארץ מרחק,7090000211,9,9
ref-y.1.1.9.2.21.46-ref-y.1.1.9.2.21.51,ref-bible.0301.42.8.1-ref-bible.301.42.8.6,190332,190363,ref-y.1.1.9.2.21.46,ref-y.1.1.9.2.21.51,1180204,1180234,ref-bible.0301.42.8.1,ref-bible.0301.42.8.6,תהום אל תהום קורא לקול צינוריך ,תהום אל תהום קורא לקול צנוריך ,6,6,2509,2509.0,238,238.0,0.032258064516129,0.0,5,תהום אל תהום קורא לקול,7090000212,6,6
ref-y.1.1.9.2.22.16-ref-y.1.1.9.2.22.26,ref-bible.0207.45.8.7-ref-bible.207.45.8.13,190451,190509,ref-y.1.1.9.2.22.16,ref-y.1.1.9.2.22.26,838816,838852,ref-bible.0207.45.8.7,ref-bible.0207.45.8.13,פותחת לפני הזכר יפרו ישע זו פריה ורבייה וצדקה תצמיח יחד ,תפתח ארץ ויפרו ישע וצדקה תצמיח יחד ,11,7,2079,2077.0,239,239.0,0.4821428571428571,0.5833333333333333,4,ישע וצדקה תצמיח יחד,7090000213,11,7
ref-y.1.1.9.3.7.35-ref-y.1.1.9.3.7.41,ref-bible.0101.30.21.1-ref-bible.101.30.21.7,193300,193332,ref-y.1.1.9.3.7.35,ref-y.1.1.9.3.7.41,57651,57683,ref-bible.0101.30.21.1,ref-bible.0101.30.21.7,ואחר ילדה בת ותקרא את שמה דינה ,ואחר ילדה בת ותקרא את שמה דינה ,7,7,122,122.0,240,240.0,0.0,0.0,7,ואחר ילדה בת ותקרא את שמה דינה,7090000214,7,7
ref-y.1.1.9.5.2.6-ref-y.1.1.9.5.2.13,ref-bible.0301.101.1.1-ref-bible.301.101.1.8,195236,195276,ref-y.1.1.9.5.2.6,ref-y.1.1.9.5.2.13,1221653,1221695,ref-bible.0301.101.1.1,ref-bible.0301.101.1.8,לדוד מזמור חסד ומשפט אשירה לך ה' אזמרה ,לדוד מזמור חסד ומשפט אשירה לך יהוה אזמרה ,8,8,2597,2597.0,241,241.0,0.073170731707317,0.1428571428571429,7,לדוד מזמור חסד ומשפט אשירה לך אזמרה,7090000215,8,8
ref-y.1.1.9.5.2.19-ref-y.1.1.9.5.2.28,ref-bible.0101.21.23.11-ref-bible.101.21.23.19,195299,195344,ref-y.1.1.9.5.2.19,ref-y.1.1.9.5.2.28,36029,36073,ref-bible.0101.21.23.11,ref-bible.0101.21.23.19,חסד אתה עושה עמי אשירה ואם משפט אתה עושה עמי ,כחסד אשר עשיתי עמך תעשה עמדי ועם הארץ אשר ,10,9,101,101.0,243,242.0,0.6444444444444445,0.75,0,,7090000216,10,9
ref-y.1.1.9.5.2.19-ref-y.1.1.9.5.2.27,ref-bible.0204.2.5.22-ref-bible.204.2.6.9,195299,195340,ref-y.1.1.9.5.2.19,ref-y.1.1.9.5.2.27,589135,589183,ref-bible.0204.2.5.22,ref-bible.0204.2.6.9,חסד אתה עושה עמי אשירה ואם משפט אתה עושה ,אתו ועתה יעש יהוה עמכם חסד ואמת וגם אנכי אעשה ,9,10,1668,1668.0,242,242.0,0.6086956521739131,0.75,1,חסד,7090000217,9,10
ref-y.1.1.9.5.4.9-ref-y.1.1.9.5.4.14,ref-bible.0301.116.3.7-ref-bible.301.116.4.3,195518,195547,ref-y.1.1.9.5.4.9,ref-y.1.1.9.5.4.14,1234764,1234795,ref-bible.0301.116.3.7,ref-bible.0301.116.4.3,צרה ויגון אמצא ובשם ה' אקרא ,צרה ויגון אמצא ובשם יהוה אקרא ,6,6,2634,2634.0,244,244.0,0.1,0.1666666666666666,5,צרה ויגון אמצא ובשם אקרא,7090000218,6,6
ref-y.1.1.9.5.7.8-ref-y.1.1.9.5.7.20,ref-bible.0310.9.8.1-ref-bible.310.9.8.8,196412,196479,ref-y.1.1.9.5.7.8,ref-y.1.1.9.5.7.20,1410296,1410339,ref-bible.0310.9.8.1,ref-bible.0310.9.8.8,ומצאת את לבבו נאמן לפניך אמ' רבי אחא והפסיד אלא וכרות עמו הברית ,ומצאת את לבבו נאמן לפניך וכרות עמו הברית ,13,8,2957,2957.0,245,245.0,0.359375,0.3846153846153846,8,ומצאת את לבבו נאמן לפניך וכרות עמו הברית,7090000219,13,8
ref-y.1.1.9.5.8.59-ref-y.1.1.9.5.8.66,ref-bible.0206.23.25.10-ref-bible.206.23.25.16,196854,196898,ref-y.1.1.9.5.8.59,ref-y.1.1.9.5.8.66,771844,771880,ref-bible.0206.23.25.10,ref-bible.0206.23.25.16,ככל לבבך ובכל נפשך ובכל מאודך רחמתיה בכל ,בכל לבבו ובכל נפשו ובכל מאדו ככל ,8,7,1969,1969.0,246,246.0,0.3170731707317073,0.7777777777777778,2,ובכל ובכל,7090000220,8,7
ref-y.1.1.9.5.12.34-ref-y.1.1.9.5.12.46,ref-bible.0308.4.2.1-ref-bible.308.4.2.13,198070,198127,ref-y.1.1.9.5.12.34,ref-y.1.1.9.5.12.46,1361618,1361677,ref-bible.0308.4.2.1,ref-bible.0308.4.2.13,ויבא עד לפני שער המלך כי אין לבא אל שער המלך בלבוש שק ,ויבוא עד לפני שער המלך כי אין לבוא אל שער המלך בלבוש שק ,13,13,2889,2889.0,247,247.0,0.0357142857142857,0.0,11,עד לפני שער המלך כי אין אל שער המלך בלבוש שק,7090000221,13,13
ref-y.1.1.9.5.15.67-ref-y.1.1.9.5.15.75,ref-bible.0202.6.12.1-ref-bible.202.6.12.10,198835,198882,ref-y.1.1.9.5.15.67,ref-y.1.1.9.5.15.75,476747,476799,ref-bible.0202.6.12.1,ref-bible.0202.6.12.10,וירא אליו מלאך ה' ויאמר אליוה' עמך גבור החיל ,וירא אליו מלאך יהוה ויאמר אליו יהוה עמך גבור החיל ,9,10,1516,1516.0,248,248.0,0.16,0.4,6,וירא אליו מלאך עמך גבור החיל,7090000222,9,10
ref-y.1.1.9.5.19.142-ref-y.1.1.9.5.19.150,ref-bible.0301.34.8.1-ref-bible.301.34.9.2,200823,200873,ref-y.1.1.9.5.19.142,ref-y.1.1.9.5.19.150,1172764,1172809,ref-bible.0301.34.8.1,ref-bible.0301.34.9.2,חונה מלאך ה' סביב ליריאיו ויחלצם נכנס למרחץ ראה ,חנה מלאך יהוה סביב ליראיו ויחלצם טעמו וראו ,9,8,2498,2497.0,249,249.0,0.3333333333333333,0.4444444444444444,3,מלאך סביב ויחלצם,7090000223,9,8
ref-y.1.2.1.1.11.50-ref-y.1.2.1.1.11.56,ref-bible.0302.3.9.1-ref-bible.302.3.9.7,204865,204900,ref-y.1.2.1.1.11.50,ref-y.1.2.1.1.11.56,1258257,1258294,ref-bible.0302.3.9.1,ref-bible.0302.3.9.7,כבד את ה' מהונך ומראשית כל תבואתך ,כבד את יהוה מהונך ומראשית כל תבואתך ,7,7,2678,2678.0,250,250.0,0.0833333333333333,0.1428571428571429,6,כבד את מהונך ומראשית כל תבואתך,7090000224,7,7
ref-y.1.2.1.1.16.5-ref-y.1.2.1.1.16.17,ref-bible.0102.31.2.4-ref-bible.102.31.3.2,205958,206014,ref-y.1.2.1.1.16.5,ref-y.1.2.1.1.16.17,168877,168919,ref-bible.0102.31.2.4,ref-bible.0102.31.3.2,ובצלאל בן אורי בן חור למטה יהודה עשה את כל אשר צוה אותו ,בצלאל בן אורי בן חור למטה יהודה ואמלא אתו ,13,9,467,467.0,251,251.0,0.2857142857142857,0.5384615384615384,6,בן אורי בן חור למטה יהודה,7090000225,13,9
ref-y.1.2.1.1.16.5-ref-y.1.2.1.1.16.17,ref-bible.0102.35.30.10-ref-bible.102.35.31.2,205958,206014,ref-y.1.2.1.1.16.5,ref-y.1.2.1.1.16.17,179133,179175,ref-bible.0102.35.30.10,ref-bible.0102.35.31.2,ובצלאל בן אורי בן חור למטה יהודה עשה את כל אשר צוה אותו ,בצלאל בן אורי בן חור למטה יהודה וימלא אתו ,13,9,509,509.0,252,251.0,0.3035714285714285,0.5384615384615384,6,בן אורי בן חור למטה יהודה,7090000226,13,9
ref-y.1.2.1.1.16.5-ref-y.1.2.1.1.16.17,ref-bible.0102.38.22.1-ref-bible.102.38.23.1,205958,206014,ref-y.1.2.1.1.16.5,ref-y.1.2.1.1.16.17,185563,185632,ref-bible.0102.38.22.1,ref-bible.0102.38.23.1,ובצלאל בן אורי בן חור למטה יהודה עשה את כל אשר צוה אותו ,ובצלאל בן אורי בן חור למטה יהודה עשה את כל אשר צוה יהוה את משה ואתו ,13,16,526,526.0,253,251.0,0.2352941176470588,0.3333333333333333,8,ובצלאל בן אורי בן חור למטה יהודה עשה,7090000227,13,16
ref-y.1.2.1.1.16.46-ref-y.1.2.1.1.16.62,ref-bible.0201.11.15.6-ref-bible.0201.11.15.18,206147,206219,ref-y.1.2.1.1.16.46,ref-y.1.2.1.1.16.62,435712,435768,ref-bible.0201.11.15.6,ref-bible.0201.11.15.18,עבדו כן צוה משה את יהושע וכן עשה יהושע לא הסיר דבר מכל,עבדו כן צוה משה את יהושע וכן עשה יהושע לא הסיר דבר מכל,13,13,1454,1454.0,254,254.0,0.0,0.0,13,עבדו כן צוה משה את יהושע וכן עשה יהושע לא הסיר דבר מכל,7090000228,13,13
ref-y.1.2.1.1.16.62-ref-y.1.2.1.1.16.80,ref-bible.0206.21.8.15-ref-bible.206.21.9.2,206215,206295,ref-y.1.2.1.1.16.62,ref-y.1.2.1.1.16.80,765651,765710,ref-bible.0206.21.8.15,ref-bible.0206.21.9.2,מכל אשר צוה אותו משה אין כתיב כאן אלא את אשר צוה ה' את משה אפילו דברים שלא שמע ,ככל אשר צויתים ולכל התורה אשר צוה אתם עבדי משה ולא שמעו ,19,12,1967,1967.0,256,254.0,0.5949367088607594,0.7058823529411764,4,אשר אשר צוה משה,7090000229,19,12
ref-y.1.2.1.1.16.98-ref-y.1.2.1.1.16.110,ref-bible.0221.2.6.1-ref-bible.221.2.6.8,206379,206449,ref-y.1.2.1.1.16.98,ref-y.1.2.1.1.16.110,1149356,1149399,ref-bible.0221.2.6.1,ref-bible.0221.2.6.8,תורת אמת היתה בפיהו אפילו דברים ששמע מפי רבו ועולה לא נמצא בשפתיו ,תורת אמת היתה בפיהו ועולה לא נמצא בשפתיו ,13,8,2451,2451.0,257,257.0,0.3787878787878788,0.3636363636363636,8,תורת אמת היתה בפיהו ועולה לא נמצא בשפתיו,7090000230,13,8
ref-y.1.2.1.1.17.3-ref-y.1.2.1.1.17.9,ref-bible.0302.3.26.1-ref-bible.302.3.26.7,206494,206527,ref-y.1.2.1.1.17.3,ref-y.1.2.1.1.17.9,1258896,1258931,ref-bible.0302.3.26.1,ref-bible.0302.3.26.7,כי ה' יהיה בכסלך ושמר רגלך מלכד ,כי יהוה יהיה בכסלך ושמר רגלך מלכד ,7,7,2681,2681.0,258,258.0,0.088235294117647,0.1999999999999999,6,כי יהיה בכסלך ושמר רגלך מלכד,7090000231,7,7
ref-y.1.2.1.1.18.14-ref-y.1.2.1.1.18.25,ref-bible.0205.12.11.2-ref-bible.205.12.11.15,206811,206873,ref-y.1.2.1.1.18.14,ref-y.1.2.1.1.18.25,681142,681211,ref-bible.0205.12.11.2,ref-bible.0205.12.11.15,אבותיך הוסיפו על שלהן ועל של אבותיהן ואת ביזבזתה את שלך ואת ,אבי העמיס עליכם על כבד ואני אוסיף על עלכם אבי יסר אתכם בשוטים ואני ,12,14,1827,1827.0,259,259.0,0.6716417910447762,0.8823529411764706,1,על,7090000232,12,14
ref-y.1.2.1.1.18.14-ref-y.1.2.1.1.18.29,ref-bible.0313.10.10.23-ref-bible.0313.10.11.15,206811,206891,ref-y.1.2.1.1.18.14,ref-y.1.2.1.1.18.29,1534130,1534234,ref-bible.0313.10.10.23,ref-bible.0313.10.11.15,אבי העמיס עליכם על כבד ואני אסיף על עלכם אבי יסר אתכם בשוטים ואני,תאמר אלהם קטני עבה ממתני אבי ועתה אבי העמיס עליכם על כבד ואני אסיף על עלכם אבי יסר אתכם בשוטים ואני,14,21,3182,3182.0,260,260.0,0.3434343434343434,0.375,14,אבי העמיס עליכם על כבד ואני אסיף על עלכם אבי יסר אתכם בשוטים ואני,7090000233,14,21
ref-y.1.2.1.1.18.39-ref-y.1.2.1.1.18.44,ref-bible.0301.85.12.1-ref-bible.301.85.12.6,206942,206974,ref-y.1.2.1.1.18.39,ref-y.1.2.1.1.18.44,1212054,1212086,ref-bible.0301.85.12.1,ref-bible.0301.85.12.6,אמת מארץ תצמח וצדק משמים נשקף ,אמת מארץ תצמח וצדק משמים נשקף ,1,1,2589,2589.0,262,262.0,0.0,0.0,6,אמת מארץ תצמח וצדק משמים נשקף,7090000234,6,6
ref-y.1.2.1.1.19.62-ref-y.1.2.1.1.19.71,ref-bible.0301.103.17.1-ref-bible.301.103.17.10,207762,207814,ref-y.1.2.1.1.19.62,ref-y.1.2.1.1.19.71,1223789,1223842,ref-bible.0301.103.17.1,ref-bible.0301.103.17.10,וחסד ה' מעולם ועד עולם על יריאיו וצדקתו לבני בנים ,וחסד יהוה מעולם ועד עולם על יראיו וצדקתו לבני בנים ,10,10,2606,2605.0,263,263.0,0.0784313725490196,0.1111111111111111,8,וחסד מעולם ועד עולם על וצדקתו לבני בנים,7090000235,10,10
ref-y.1.2.1.1.21.14-ref-y.1.2.1.1.21.24,ref-bible.0203.17.8.15-ref-bible.203.17.9.7,208393,208442,ref-y.1.2.1.1.21.14,ref-y.1.2.1.1.21.24,552156,552232,ref-bible.0203.17.8.15,ref-bible.0203.17.9.7,היכן הוא כיבוד אב ואם אמר להן ולי אתם שואלין לכו ,ואתם עבדים לשאול ברו לכם איש וירד אלי אם יוכל להלחם אתי והכני והיינו לכם ,11,15,1611,1611.0,264,264.0,0.684931506849315,0.7777777777777778,0,,7090000236,11,15
ref-y.1.2.1.1.21.19-ref-y.1.2.1.1.21.29,ref-bible.0313.1.7.7-ref-bible.313.1.8.4,208415,208465,ref-y.1.2.1.1.21.19,ref-y.1.2.1.1.21.29,1515885,1515925,ref-bible.0313.1.7.7,ref-bible.0313.1.8.4,אמר להן ולי אתם שואלין לכו ושאלו את דמה בן נתינה ,לו שאל מה אתן לך ויאמר שלמה לאלהים אתה ,11,9,3131,3131.0,265,264.0,0.6938775510204082,0.5833333333333333,0,,7090000237,11,9
ref-y.1.2.1.1.22.42-ref-y.1.2.1.1.22.54,ref-bible.0202.15.11.21-ref-bible.0202.15.12.9,209640,209699,ref-y.1.2.1.1.22.42,ref-y.1.2.1.1.22.54,500308,500399,ref-bible.0202.15.11.21,ref-bible.0202.15.12.9,לנו ויאמר להם כאשר עשו לי כן עשיתי להם ויאמרו לו לאסרך ירדנו לתתך ביד פלשתים ויאמר להם כאשר עשו לי כן עשיתי להם ויאמרו לו,לנו ויאמר להם כאשר עשו לי כן עשיתי להם ויאמרו לו לאסרך ירדנו לתתך ביד פלשתים ויאמר להם כאשר עשו לי כן עשיתי להם ויאמרו לו,26,26,1546,1546.0,266,266.0,0.0,0.0,26,לנו ויאמר להם כאשר עשו לי כן עשיתי להם ויאמרו לו לאסרך ירדנו לתתך ביד פלשתים ויאמר להם כאשר עשו לי כן עשיתי להם ויאמרו לו,7090000238,26,26
ref-y.1.2.1.1.26.35-ref-y.1.2.1.1.26.41,ref-bible.0102.21.15.2-ref-bible.102.21.17.1,211164,211200,ref-y.1.2.1.1.26.35,ref-y.1.2.1.1.26.41,147090,147155,ref-bible.0102.21.15.2,ref-bible.0102.21.17.1,ומקלל אביו ואמו מות יומת ונאמ' איש ,אביו ואמו מות יומת וגנב איש ומכרו ונמצא בידו מות יומת ומקלל ,7,12,324,324.0,268,268.0,0.65,0.4545454545454546,5,אביו ואמו מות יומת איש,7090000239,7,12
