baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.1.18.4.316-ref-mek.1.19.1.1,ref-y.2.2.10.1.7.31-ref-y.2.2.10.1.7.38,77152,77209,ref-mek.1.18.4.316,ref-mek.1.19.1.1,1212563,1212601,ref-y.2.2.10.1.7.31,ref-y.2.2.10.1.7.38,לבדקן עולמית שמאי הזקן אומר אלו תפלין של אבי אימא והיה ,בדיקה הלל הזקן אומר אילו מאבי אמה הן ,11,8,345,345.0,312,312.0,0.509090909090909,0.6153846153846154,2,הזקן אומר,3070000242,11,8
ref-mek.1.19.2.112-ref-mek.1.19.2.124,ref-y.2.10.4.4.5.3-ref-y.2.10.4.4.5.19,78492,78555,ref-mek.1.19.2.112,ref-mek.1.19.2.124,1912928,1913008,ref-y.2.10.4.4.5.3,ref-y.2.10.4.4.5.19,נאמר כאן עבודה ונאמר להלן עבודה מה להלן אין קדושה חלה עליו אלא ,אין קידוש החדש אלא בעשרה רבי בא רבי יסא בשם רבי יוחנן נאמר כאן עדה ונאמר להלן ,13,11,646,646.0,314,313.0,0.782051282051282,0.5384615384615384,4,נאמר כאן ונאמר להלן,3070000243,13,11
ref-mek.1.19.2.108-ref-mek.1.19.2.119,ref-y.4.4.3.9.4.75-ref-y.4.4.3.9.5.16,78474,78532,ref-mek.1.19.2.108,ref-mek.1.19.2.119,3187754,3187833,ref-y.4.4.3.9.4.75,ref-y.4.4.3.9.5.16,לא זכיתי מן הדין נאמר כאן עבודה ונאמר להלן עבודה מה להלן ,ולא מעידה רבי יוסי בי רבי בון בשם רב יוסף נאמר כאן שני ונאמר להלן שני מה להלן ,12,11,1230,1220.0,313,313.0,0.5641025641025641,0.6363636363636364,6,נאמר כאן ונאמר להלן מה להלן,3070000244,12,11
ref-mek.1.19.2.140-ref-mek.1.19.2.146,ref-y.2.4.6.4.4.6-ref-y.2.4.6.4.4.21,78627,78656,ref-mek.1.19.2.140,ref-mek.1.19.2.146,1561427,1561504,ref-y.2.4.6.4.4.6,ref-y.2.4.6.4.4.21,אי מה כאן זכרים אף להלן זכרים ,כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף כאן מלא קומץ אי ,7,6,520,511.0,315,315.0,0.7368421052631579,0.6666666666666667,2,כאן להלן,3070000245,7,16
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,14071,14133,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.105,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,1,1,9,7.0,318,316.0,0.3278688524590163,0.5,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000246,12,13
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.1.2.3.6.1.7-ref-y.1.2.3.6.1.31,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,242024,242138,ref-y.1.2.3.6.1.7,ref-y.1.2.3.6.1.31,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן שדך ונאמר בכלאי' שדך מה שדך שנ' להלן בית רובע אף כאן בית רובע מה טעמ' דר' יהושע נאמר כאן שדך ונאמ' להלן ,1,23,169,169.0,319,316.0,0.672566371681416,0.6666666666666667,7,נאמר כאן ונאמר מה להלן אף כאן,3070000247,12,23
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.18,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,1561422,1561492,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.18,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף כאן ,1,1,512,511.0,320,316.0,0.391304347826087,0.5,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000248,12,14
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.2.10.4.4.5.69-ref-y.2.10.4.4.5.81,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,1913238,1913298,ref-y.2.10.4.4.5.69,ref-y.2.10.4.4.5.81,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה להלן עשר' אף כאן ,1,1,648,647.0,321,316.0,0.4166666666666667,0.4444444444444444,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000249,12,13
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.125,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,1928666,1928730,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.125,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף כאן ,1,1,658,656.0,322,316.0,0.3809523809523809,0.4444444444444444,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000250,12,13
ref-mek.1.19.3.130-ref-mek.1.19.3.147,ref-y.2.12.1.3.1.51-ref-y.2.12.1.3.1.96,79772,79867,ref-mek.1.19.3.130,ref-mek.1.19.3.147,1930736,1930956,ref-y.2.12.1.3.1.51,ref-y.2.12.1.3.1.96,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן מעשר אף כאן מעשר ויביא כולם מן המעשר עולא בר ישמעאל אמר נאמר כאן מסת ונאמר להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה","נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן מעשר אף כאן מעשר ויביא כולם מן",19,8,675,675.0,316,316.0,0.3956043956043956,0.1052631578947368,36,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן מעשר אף כאן מעשר ויביא כולם מן",3070000251,56,36
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.3.1.6.3.1.34-ref-y.3.1.6.3.1.51,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,2123162,2123246,ref-y.3.1.6.3.1.34,ref-y.3.1.6.3.1.51,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן חוייה ונאמר להלן ובת כהן כי תהיה לאיש זר מה הוייה שנ' להלן נישואין אף כאן ,1,3,736,732.0,324,316.0,0.4939759036144578,0.5833333333333333,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000252,12,16
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.77,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,2206411,2206483,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.77,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף כאן ,1,1,767,764.0,325,316.0,0.4084507042253521,0.5833333333333333,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000253,12,15
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.3.2.4.4.6.91-ref-y.3.2.4.4.6.103,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,2418731,2418790,ref-y.3.2.4.4.6.91,ref-y.3.2.4.4.6.103,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן שומה ונאמר להלן שומה מה שומה שנ' להלן ממון אף כאן ,1,1,906,906.0,326,316.0,0.4067796610169492,0.5,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000254,12,13
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.140,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,2879134,2879199,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.140,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף כאן ,1,1,1063,1061.0,327,316.0,0.3492063492063492,0.5,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000255,12,13
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.4.4.7.3.1.63-ref-y.4.4.7.3.1.85,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,3226890,3227015,ref-y.4.4.7.3.1.63,ref-y.4.4.7.3.1.85,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן ובערת הרעמקרבך ונאמר להלן ואתה תבער הדם הנקי מקרבך הבערה הבערה עריפה עריפה מה הבערה שנ' להלן מול העורף אף כאן ,1,23,1288,1288.0,328,316.0,0.6050420168067226,0.6470588235294117,9,נאמר כאן ונאמר להלן עריפה מה להלן אף כאן,3070000256,12,23
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.70,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,3323464,3323537,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.70,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן נשירה אף כאן ,1,1,1418,1416.0,329,316.0,0.4027777777777778,0.5454545454545454,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000257,12,15
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-y.4.6.4.1.6.11-ref-y.4.6.4.1.6.27,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,3368298,3368369,ref-y.4.6.4.1.6.11,ref-y.4.6.4.1.6.27,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן שני ונאמר להלן על פי שנים עדים מה להלן על פי שנים עדים אף כאן ,1,1,1459,1459.0,330,316.0,0.4366197183098591,0.4444444444444444,8,נאמר כאן ונאמר להלן מה להלן אף כאן,3070000258,12,11
ref-mek.1.19.3.180-ref-mek.1.19.3.191,ref-y.1.6.11.2.5.20-ref-y.1.6.11.2.5.34,80030,80090,ref-mek.1.19.3.180,ref-mek.1.19.3.191,633022,633102,ref-y.1.6.11.2.5.20,ref-y.1.6.11.2.5.34,חזר וכלל או כלל בכלל הראשון ואמרת לאו אלא כלל ופרט וכלל ,כלל ופרט הכל בכלל ורובה מדרבי ישמעאל דו אמר אפילו כלל ופרט וחזר וכלל הכל ,12,13,227,227.0,331,331.0,0.589041095890411,0.6666666666666667,5,כלל בכלל כלל ופרט וכלל,3070000259,12,13
ref-mek.1.19.3.440-ref-mek.1.19.3.457,ref-y.3.7.1.7.1.10-ref-y.3.7.1.7.1.26,81292,81390,ref-mek.1.19.3.440,ref-mek.1.19.3.457,2868655,2868752,ref-y.3.7.1.7.1.10,ref-y.3.7.1.7.1.26,חייב אדם למול את בנו ולפדותו וללמדו תורה וללמדו אומנות ולהשיאו אשה ר' עקיבא אומר אף ללמדו שייט ,חייב לעשות לבנו למוהלו לפדותו ללמדו תורה וללמדו אומנות להשיאו אשה רבי עקיבה אומר אף ללמדו לשוט ,16,15,1045,1045.0,333,332.0,0.231578947368421,0.5263157894736843,7,חייב תורה וללמדו אומנות אשה אף ללמדו,3070000260,16,15
ref-mek.1.19.3.441-ref-mek.1.19.3.451,ref-y.3.7.1.7.1.40-ref-y.3.7.1.7.1.59,81297,81362,ref-mek.1.19.3.441,ref-mek.1.19.3.451,2868827,2868938,ref-y.3.7.1.7.1.40,ref-y.3.7.1.7.1.59,אדם בבניך תפדה ללמדו תורה ולמדתם אותם את בניכם ללמדו אומנות תני רבי ישמעאל ובחרת בחיים זו אומנות להשיאו אשה,אדם בבניך תפדה ללמדו תורה ולמדתם אותם את בניכם ללמדו אומנות תני רבי ישמעאל ובחרת בחיים זו אומנות להשיאו אשה,18,18,1046,1046.0,334,334.0,0.0,0.0,18,אדם בבניך תפדה ללמדו תורה ולמדתם אותם את בניכם ללמדו אומנות תני_רבי_ישמעאל ובחרת בחיים זו אומנות להשיאו אשה,3070000261,18,18
ref-mek.1.19.3.432-ref-mek.1.19.3.446,ref-y.3.7.1.7.1.125-ref-y.3.7.1.7.1.135,81251,81329,ref-mek.1.19.3.432,ref-mek.1.19.3.446,2869274,2869335,ref-y.3.7.1.7.1.125,ref-y.3.7.1.7.1.135,אביו הוא יעשה לעצמו מכאן אמרו מן התורה חייב אדם למול את בנו ולפדותו וללמדו ,"אביו שהו' חייב לעשו' לעצמו ת""ל אדם תפדה ונמלתם אותם ולמדתם ",15,11,1050,1050.0,332,332.0,0.6133333333333333,0.8,3,אביו חייב אדם,3070000262,15,11
ref-mek.1.19.4.50-ref-mek.1.19.4.69,ref-y.2.3.10.4.1.18-ref-y.2.3.10.4.1.37,81651,81749,ref-mek.1.19.4.50,ref-mek.1.19.4.69,1380695,1380795,ref-y.2.3.10.4.1.18,ref-y.2.3.10.4.1.37,שאינו יודע לשאול חכם מה הוא אומר מה העדות החקים והמשפטים אשר צוה ה' אלהינו אותנו אף אתה פתח לו ,שאינו יודע לשאל בן חכם מהו אומ' מה העדות והחקים והמשפטי' אשר צוה יי' אלהינו אותנו אף אתה אמור לו ,18,20,458,458.0,336,336.0,0.1752577319587628,0.35,12,שאינו יודע חכם מה העדות אשר צוה אלהינו אותנו אף אתה לו,3070000263,18,20
ref-mek.1.19.4.70-ref-mek.1.19.4.76,ref-y.2.3.10.4.1.102-ref-y.2.3.10.4.1.108,81750,81794,ref-mek.1.19.4.70,ref-mek.1.19.4.76,1381108,1381153,ref-y.2.3.10.4.1.102,ref-y.2.3.10.4.1.108,בהלכות הפסח אין מפטירין אחר הפסח אפיקומין ,הילכות הפסח שאין מפטירין אחר הפסח אפיקימון ,7,7,464,464.0,337,337.0,0.1162790697674418,0.2857142857142857,4,הפסח מפטירין אחר הפסח,3070000264,7,7
ref-mek.1.19.4.83-ref-mek.1.19.4.109,ref-y.2.3.10.4.1.63-ref-y.2.3.10.4.1.77,81822,81947,ref-mek.1.19.4.83,ref-mek.1.19.4.109,1380930,1380993,ref-y.2.3.10.4.1.63,ref-y.2.3.10.4.1.77,שהוציא את עצמו מן הכלל אף אתה אמור לו בעבור זה עשה יי' לי לי,שהוציא את עצמו מן הכלל אף אתה אמור לו בעבור זה עשה יי' לי לי,15,15,463,462.0,338,338.0,0.0,0.0,15,שהוציא את עצמו מן הכלל אף אתה אמור לו בעבור זה עשה יי' לי לי,3070000265,15,15
ref-mek.1.19.4.127-ref-mek.1.19.4.135,ref-y.2.3.10.4.1.36-ref-y.2.3.10.4.1.44,82021,82073,ref-mek.1.19.4.127,ref-mek.1.19.4.135,1380788,1380837,ref-y.2.3.10.4.1.36,ref-y.2.3.10.4.1.44,ואמרת אליו בחוזק יד הוציאנו ה' ממצרים מבית עבדים ,אמור לו בחוזק יד הוציאנו יי' ממצרים מבית עבדים ,9,9,459,458.0,340,340.0,0.1428571428571428,0.3,6,בחוזק יד הוציאנו ממצרים מבית עבדים,3070000266,9,9
ref-mek.2.1.1.59-ref-mek.2.1.1.65,ref-y.2.5.6.3.6.80-ref-y.2.5.6.3.6.86,83008,83048,ref-mek.2.1.1.59,ref-mek.2.1.1.65,1464678,1464720,ref-y.2.5.6.3.6.80,ref-y.2.5.6.3.6.86,ביום ההוא יהיה מזבח לה' בתוך ארץ מצרים ,ביום ההוא יהיה מזבח ליי' בתוך ארץ מצרים ,8,8,482,482.0,341,341.0,0.05,0.0,7,ביום ההוא יהיה מזבח בתוך ארץ מצרים,3070000267,8,8
ref-mek.2.1.1.319-ref-mek.2.1.1.325,ref-y.2.9.2.5.1.54-ref-y.2.9.2.5.1.64,84411,84446,ref-mek.2.1.1.319,ref-mek.2.1.1.325,1772814,1772867,ref-y.2.9.2.5.1.54,ref-y.2.9.2.5.1.64,אמר אלהים וגו' זו מלחמת עמלק שנאמר ,וגו' וזו שאמרה נעשה עמהן מלחמה אמר להן משה יי' ילחם ,7,11,601,599.0,342,342.0,0.7307692307692307,0.7857142857142857,1,וגו',3070000268,7,11
ref-mek.1.19.7.156-ref-mek.1.19.7.161,ref-y.3.5.1.7.1.3-ref-y.3.5.1.7.1.8,86838,86870,ref-mek.1.19.7.156,ref-mek.1.19.7.161,2256481,2256511,ref-y.3.5.1.7.1.3,ref-y.3.5.1.7.1.8,שבמידה שהאדם מודד בה מודדים לו ,במידה שאדם מודד בה מודדין לו ,6,6,781,781.0,343,343.0,0.0967741935483871,0.6666666666666667,3,מודד בה לו,3070000269,6,6
ref-mek.1.19.7.156-ref-mek.1.19.7.161,ref-y.3.5.1.7.1.14-ref-y.3.5.1.7.1.19,86838,86870,ref-mek.1.19.7.156,ref-mek.1.19.7.161,2256533,2256562,ref-y.3.5.1.7.1.14,ref-y.3.5.1.7.1.19,שבמידה שהאדם מודד בה מודדים לו ,במדה שאדם מודד בה מודדין לו ,6,6,786,786.0,344,343.0,0.1290322580645161,0.6666666666666667,3,מודד בה לו,3070000270,6,6
ref-mek.1.19.7.162-ref-mek.1.19.7.193,ref-y.3.5.1.8.10.198-ref-y.3.5.1.8.10.221,86871,87052,ref-mek.1.19.7.162,ref-mek.1.19.7.193,2262456,2262585,ref-y.3.5.1.8.10.198,ref-y.3.5.1.8.10.221,מרים המתינה למשה שעה אחת שנאמר ותתצב אחותו מרחוק לדעה והמקום עכב לה במדבר הארון והשכינה והכהנים והלויים וכל ישראל שבעת ימים עם ענני כבוד שנאמר והעם לא נסע עד האסף מרים ,מרים חמתינה למשה שעה אחת שנאמר ותתצב אחותו מרחוק וגו' לפיכך נתעכבו לה ישדאל שבעת ימים במדבר שנאמר והעם לא נסע עד האסף מרים ,32,24,799,799.0,345,345.0,0.369047619047619,0.5483870967741935,18,מרים למשה שעה אחת שנאמר ותתצב אחותו מרחוק לה שבעת ימים שנאמר והעם לא נסע עד האסף מרים,3070000271,32,24
ref-mek.1.19.7.192-ref-mek.1.19.7.202,ref-y.3.5.1.10.1.2-ref-y.3.5.1.10.1.10,87043,87098,ref-mek.1.19.7.192,ref-mek.1.19.7.202,2262825,2262870,ref-y.3.5.1.10.1.2,ref-y.3.5.1.10.1.10,יוסף זכה לקבור את אביו ואין באחיו גדול ממנו,יוסף זכה לקבור את אביו ואין באחיו גדול ממנו,9,9,801,801.0,346,346.0,0.0,0.0,9,יוסף זכה לקבור את אביו ואין באחיו גדול ממנו,3070000272,9,9
ref-mek.1.19.7.279-ref-mek.1.19.7.323,ref-y.1.1.2.3.5.64-ref-y.1.1.2.3.5.102,87497,87723,ref-mek.1.19.7.279,ref-mek.1.19.7.323,37811,38006,ref-y.1.1.2.3.5.64,ref-y.1.1.2.3.5.102,ארונו של חי העולמי' וארונו של יוסף והיו אומות העולם אומרי' מה טיבן של שני ארונות הללו והיו ישראל אומרין להן זה ארונו של יוסף עם ארונו של חי,אמר דא מילתא שני ארונות היו מהלבין עם ישר' במדבר ארונו של חי העולמי' וארונו של יוסף והיו אומות העולם אומרי' מה טיבן של שני ארונות הללו והיו ישראל אומרין להן זה ארונו של יוסף עם ארונו של חי,29,39,62,62.0,350,350.0,0.2606382978723404,0.2608695652173913,29,ארונו של חי העולמי' וארונו של יוסף והיו אומות העולם אומרי' מה טיבן של שני ארונות הללו והיו ישראל אומרין להן זה ארונו של יוסף עם ארונו של חי,3070000273,29,39
ref-mek.1.19.7.277-ref-mek.1.19.7.317,ref-y.1.1.2.3.5.114-ref-y.1.1.2.3.5.135,87486,87686,ref-mek.1.19.7.277,ref-mek.1.19.7.317,38074,38177,ref-y.1.1.2.3.5.114,ref-y.1.1.2.3.5.135,להיו' מהלך עם ארונו של חי עולמים והיו ישר' אומרי',המת להיו' מהלך עם ארונו של חי עולמים והיו ישר' אומרי' על ידי ששימר זה מה שכתב בזה ולמה הוא אמר דא,10,22,65,65.0,348,348.0,0.4948453608247423,0.4705882352941176,10,להיו' מהלך עם ארונו של חי עולמים והיו ישר' אומרי',3070000274,10,22
ref-mek.1.19.7.439-ref-mek.1.19.7.461,ref-y.3.2.3.1.11.107-ref-y.3.2.3.1.11.120,88310,88413,ref-mek.1.19.7.439,ref-mek.1.19.7.461,2402272,2402339,ref-y.3.2.3.1.11.107,ref-y.3.2.3.1.11.120,לא תענה ברעך עד שקר יצא ועשיתם לו כאשר זמם לעשות לאחיו לא שישלם,לא תענה ברעך עד שקר יצא ועשיתם לו כאשר זמם לעשות לאחיו לא שישלם,12,12,887,887.0,354,354.0,0.0,0.0,12,לא תענה ברעך עד שקר יצא ועשיתם_לו_כאשר זמם לעשות לאחיו לא שישלם,3070000275,12,12
ref-mek.1.19.9.88-ref-mek.1.19.9.106,ref-y.1.1.1.4.3.107-ref-y.1.1.1.4.3.118,90199,90310,ref-mek.1.19.9.88,ref-mek.1.19.9.106,20777,20850,ref-y.1.1.1.4.3.107,ref-y.1.1.1.4.3.118,שנים מלמעלה ושנים מלמטה ואחד שהיה מהלך לפניהם ר' יאשיה אומר ארבעה אחד לפניהם ואחד לאחריהם אחד למעלה ואחד ,לפניה ואחת לאחריה ובערב מברך שתים לפניה ושתים לאחריה אחת ארוכה ואחת ,17,12,26,26.0,356,356.0,0.6285714285714286,1.0,0,,3070000276,17,12
ref-mek.1.19.9.408-ref-mek.1.19.9.415,ref-y.2.12.1.7.2.82-ref-y.2.12.1.7.2.89,91909,91955,ref-mek.1.19.9.408,ref-mek.1.19.9.415,1934088,1934134,ref-y.2.12.1.7.2.82,ref-y.2.12.1.7.2.89,על עבודה זרה ועל גילוי עריות ועל שפיכות דמים ,על עבודה זרה ועל גילוי עריות ועל שפיכות דמים ,9,9,706,706.0,357,357.0,0.0,0.0,9,על עבודה זרה ועל גילוי עריות ועל שפיכות דמים,3070000277,9,9
ref-mek.2.2.1.202-ref-mek.2.2.1.208,ref-y.1.9.2.1.4.149-ref-y.1.9.2.1.4.155,93494,93530,ref-mek.2.2.1.202,ref-mek.2.2.1.208,777028,777064,ref-y.1.9.2.1.4.149,ref-y.1.9.2.1.4.155,ממחרת הפסח יצאו בני ישראל ביד רמה ,ממחרת הפסח יצאו בני ישראל ביד רמה ,7,7,245,245.0,358,358.0,0.0,0.0,7,ממחרת הפסח יצאו בני ישראל ביד רמה,3070000278,7,7
ref-mek.2.2.2.51-ref-mek.2.2.2.57,ref-y.3.5.1.10.5.55-ref-y.3.5.1.10.5.61,94475,94504,ref-mek.2.2.2.51,ref-mek.2.2.2.57,2265345,2265374,ref-y.3.5.1.10.5.55,ref-y.3.5.1.10.5.61,עלה אל הר העברים הזה הר נבו ,עלה אל הר העברים הזה הר נבו ,1,1,806,806.0,359,359.0,0.0,0.0,7,עלה אל הר העברים הזה הר נבו,3070000279,7,7
ref-mek.2.2.2.71-ref-mek.2.2.2.77,ref-y.2.9.4.5.7.85-ref-y.2.9.4.5.7.91,94571,94607,ref-mek.2.2.2.71,ref-mek.2.2.2.77,1817973,1818009,ref-y.2.9.4.5.7.85,ref-y.2.9.4.5.7.91,ותשא כל העדה ויתנו את קולם ויבכו ,ותשא כל העדה ויתנו את קולם ויבכו ,7,7,614,614.0,360,360.0,0.0,0.0,7,ותשא כל העדה ויתנו את קולם ויבכו,3070000280,7,7
ref-mek.2.2.2.127-ref-mek.2.2.2.135,ref-y.1.1.9.1.16.30-ref-y.1.1.9.1.16.36,94870,94919,ref-mek.2.2.2.127,ref-mek.2.2.2.135,175813,175854,ref-y.1.1.9.1.16.30,ref-y.1.1.9.1.16.36,אלהים פלח מלאכיה וסגר פום אריותא ולא אכלוני וגו ,אלהי שלח מלאביה וסגר פום אריוותא וגומר ,9,7,141,141.0,361,361.0,0.3125,0.6666666666666667,2,וסגר פום,3070000281,9,7
ref-mek.2.2.4.236-ref-mek.2.2.4.239,ref-y.1.9.2.1.6.67-ref-y.1.9.2.1.6.70,97478,97501,ref-mek.2.2.4.236,ref-mek.2.2.4.239,777707,777730,ref-y.1.9.2.1.6.67,ref-y.1.9.2.1.6.70,לארם נהרים ולארם צובה ,בארם נהרים ובארם צובה ,4,4,247,247.0,362,362.0,0.0909090909090909,0.5,2,נהרים צובה,3070000282,4,4
ref-mek.2.2.6.82-ref-mek.2.2.6.88,ref-y.3.7.4.11.6.48-ref-y.3.7.4.11.6.54,100684,100721,ref-mek.2.2.6.82,ref-mek.2.2.6.88,2952186,2952225,ref-y.3.7.4.11.6.48,ref-y.3.7.4.11.6.54,שבגוים הרוג טוב שבנחשים רצץ את מוחו ,שבגוים הרוג הטוב שבנחשים רצץ את מוחו ,7,7,1090,1090.0,363,363.0,0.027027027027027,0.0,6,שבגוים הרוג שבנחשים רצץ את מוחו,3070000283,7,7
ref-mek.2.2.6.116-ref-mek.2.2.6.134,ref-y.1.1.7.1.6.4-ref-y.1.1.7.1.6.28,100872,100976,ref-mek.2.2.6.116,ref-mek.2.2.6.134,146832,146962,ref-y.1.1.7.1.6.4,ref-y.1.1.7.1.6.28,אילין שלשה קרויות מה את עביד לון בשלשה שאכלו כאחת או בשלשה שאכלו זה בפני עצמו וזה בפני עצמו וזה בפני עצמו אין תעבדינון כשלשה,אילין שלשה קרויות מה את עביד לון בשלשה שאכלו כאחת או בשלשה שאכלו זה בפני עצמו וזה בפני עצמו וזה בפני עצמו אין תעבדינון כשלשה,15,15,123,122.0,364,364.0,0.0,0.0,15,אילין שלשה קרויות מה_את_עביד לון בשלשה שאכלו כאחת או בשלשה שאכלו זה_בפני_עצמו_וזה_בפני_עצמו_וזה_בפני_עצמו אין תעבדינון כשלשה,3070000284,15,15
ref-mek.2.3.1.40-ref-mek.2.3.1.45,ref-y.4.4.10.2.17.64-ref-y.4.4.10.2.17.69,102436,102466,ref-mek.2.3.1.40,ref-mek.2.3.1.45,3294799,3294829,ref-y.4.4.10.2.17.64,ref-y.4.4.10.2.17.69,ואת בלעם בן בעור הקוסם הרגו ,ואת בלעם בן בעור הקוסם הרגו ,6,6,1403,1403.0,366,366.0,0.0,0.0,6,ואת בלעם בן בעור הקוסם הרגו,3070000285,6,6
ref-mek.2.3.2.51-ref-mek.2.3.2.61,ref-y.2.8.2.4.2.91-ref-y.2.8.2.4.2.103,102833,102900,ref-mek.2.3.2.51,ref-mek.2.3.2.61,1662140,1662211,ref-y.2.8.2.4.2.91,ref-y.2.8.2.4.2.103,מה שהלכו ישראל בשלשת ימים הלכו האקטורים ביום ומחצה ומה שהלכו ,מה שחמה מהלכת לשלשים יום הלבנה מהלכת לשני ימים ומחצה מה שחמה מהלכת ,11,13,573,573.0,367,367.0,0.5373134328358209,0.7692307692307692,3,מה ימים ומחצה,3070000286,11,13
