baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len_char,lcs_str_cahr,id
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.3.10-00.3.7-ref-sifra.3.10-00.3.22,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,136943,137021,ref-sifra.3.10-00.3.7,ref-sifra.3.10-00.3.22,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,נאמר כאן אשמו ונאמר להלן אשמו' מה אשמו' אמור להלן מותרו נדבה אף אשמו אמור כאן ,22,16,157,156.0,144,124.0,0.5045045045045045,0.7,60,נאמר כאן מ ונאמר להלן או מה מ אמור להלן ותר ד אף מ אמור כאן ,3040000090
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.4.4-08.4.31-ref-sifra.4.4-08.4.46,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,185524,185610,ref-sifra.4.4-08.4.31,ref-sifra.4.4-08.4.46,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,נאמר כאן וכפר' ונאמר להלן וכפר' מה וכפר' האמור להלן שלא כפר אף וכפר' האמור כאן ,22,16,188,188.0,145,145.0,0.5135135135135135,0.6842105263157895,58,נאמר כאן  ונאמר להלן ו מה  האמור להלן לא פר אף  האמור כאן ,3040000091
ref-mek.1.18.4.291-ref-mek.1.18.4.304,ref-sifra.4.4-08.4.60-ref-sifra.4.4-08.4.74,77030,77098,ref-mek.1.18.4.291,ref-mek.1.18.4.304,185677,185752,ref-sifra.4.4-08.4.60,ref-sifra.4.4-08.4.74,מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן אין ,מה לכפר בקדש האמור להלן שכבר כפר אף לכפר בקדש האמור כאן שכבר כפר ואם ,14,15,199,199.0,156,145.0,0.6521739130434783,0.7058823529411764,36,מה  האמור להלן  פ  ר דש האמור כאן א ,3040000092
ref-mek.1.18.4.293-ref-mek.1.18.4.303,ref-sifra.4.7-00.4.18-ref-sifra.4.7-00.4.34,77038,77094,ref-mek.1.18.4.293,ref-mek.1.18.4.303,196983,197071,ref-sifra.4.7-00.4.18,ref-sifra.4.7-00.4.34,האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,ונאמר להלן חמץ' בשתי הלחם מה חמץ האמור בשתי הלחם עשרון לחלה אף לחם חמץ האמור כאן ,11,17,212,211.0,158,124.0,0.5679012345679012,0.7894736842105263,39,אמר להלן  יח משים עשר ח אף ם האמור כאן ,3040000093
ref-mek.1.18.4.282-ref-mek.1.18.4.289,ref-sifra.5.1.1.11-ref-sifra.5.1.1.19,76979,77022,ref-mek.1.18.4.282,ref-mek.1.18.4.289,235941,235993,ref-sifra.5.1.1.11,ref-sifra.5.1.1.19,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה ,נאמר כאן ויהי ביום השמיני ונאמר להלן ויהי ביום ,8,9,233,233.0,124,124.0,0.3617021276595745,0.625,32,נאמר כאן יי ימי ונאמר להלן יי י ,3040000094
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.5.1.11.7-ref-sifra.5.1.11.22,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,240024,240109,ref-sifra.5.1.11.7,ref-sifra.5.1.11.22,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,נאמר כאן מלוי' ונאמר להלן מילוי' מה מילוי האמור להלן מלא קומצו אף מילוי' האמור כאן ,22,16,246,243.0,146,124.0,0.45045045045045046,0.6842105263157895,67,נאמר כאן מי ונאמר להלן מילו מה מי האמור להלן לא ומ אף מי האמור כאן ,3040000095
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.7.5-14.9.18-ref-sifra.7.5-14.9.27,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,360387,360434,ref-sifra.7.5-14.9.18,ref-sifra.7.5-14.9.27,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,נאמר כאן נגע ונאמר להלן נגע מה נגע האמור להלן ,13,10,308,308.0,127,124.0,0.4411764705882353,0.5,38,נאמר כאן  ונאמר להלן ג מה  האמור להלן ,3040000096
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.8.3-03.8.8-ref-sifra.8.3-03.8.25,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,377552,377661,ref-sifra.8.3-03.8.8,ref-sifra.8.3-03.8.25,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו האמורה כאן המיומנת שבימין אף אצבעו האמורה להלן המיומנת שבימין,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו האמורה כאן המיומנת שבימין אף אצבעו האמורה להלן המיומנת שבימין,13,18,323,323.0,128,128.0,0.0,0.0,102,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו האמורה כאן המיומנת שבימין אף אצבעו האמורה להלן המיומנת שבימין,3040000097
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.8.6-00.9.21-ref-sifra.8.6-00.9.30,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,386222,386269,ref-sifra.8.6-00.9.21,ref-sifra.8.6-00.9.30,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,נאמר כאן נגע ונאמר להלן נגע מה נגע האמור להלן ,13,10,327,327.0,130,124.0,0.4411764705882353,0.5,38,נאמר כאן  ונאמר להלן ג מה  האמור להלן ,3040000098
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.8.7-00.1.33-ref-sifra.8.7-00.1.48,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,388177,388253,ref-sifra.8.7-00.1.33,ref-sifra.8.7-00.1.48,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,נאמר כאן נגע ונאמר להלן נגע מה נגע האמור להלן כב' גריסין אף נגע האמור כאן ,22,16,331,330.0,147,124.0,0.5045045045045045,0.6842105263157895,56,נאמר כאן  ונאמר להלן ג מה  האמור להלן  יי אף  האמור כאן ,3040000099
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.10.2-03.11.16-ref-sifra.10.2-03.11.35,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,436783,436906,ref-sifra.10.2-03.11.16,ref-sifra.10.2-03.11.35,מה אצבעו האמור להלן הימנית המיומנת שבימין אף אצבעו האמור כאן הימנית המיומנת שבימין,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו האמור להלן הימנית המיומנת שבימין אף אצבעו האמור כאן הימנית המיומנת שבימין,19,20,347,347.0,137,137.0,0.2807017543859649,0.09999999999999998,82,מה אצבעו האמור להלן הימנית המיומנת שבימין אף אצבעו האמור כאן הימנית המיומנת שבימין,3040000100
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.10.5-07.4.5-ref-sifra.10.5-07.4.22,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,451584,451684,ref-sifra.10.5-07.4.5,ref-sifra.10.5-07.4.22,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,נאמר כאן תענו את נפשותיכם ונאמר להלן ויענך וירעיבך מה עינוי האמור להלן רעבון אף עינוי האמור כאן ,22,18,368,366.0,149,124.0,0.5315315315315315,0.6818181818181819,62,נאמר כאן  י ונאמר להלן י ו מה יי האמור להלן ר אף יי האמור כאן ,3040000101
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.11.2-05.6.11-ref-sifra.11.2-05.6.22,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,497925,497980,ref-sifra.11.2-05.6.11,ref-sifra.11.2-05.6.22,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,נאמר כאן איל אשם ונאמר להלן איל אשם מה איל האמור להלן ,13,12,470,461.0,131,124.0,0.36764705882352944,0.5454545454545454,43,נאמר כאן י  ונאמר להלן י א מה י האמור להלן ,3040000102
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.11.4-10.13.19-ref-sifra.11.4-10.13.37,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,517825,517917,ref-sifra.11.4-10.13.19,ref-sifra.11.4-10.13.37,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,אומר כאן זימה ונאמר להלן זימה מה זימה האמורה להלן בתה ובת בתה ובת בנה אף זימה שנאמר כאן ,22,19,564,560.0,150,124.0,0.4864864864864865,0.7,65,אמר כאן ימה ונאמר להלן ימה מה ימ האמור להלן  ות    אף ימהאמר כאן ,3040000103
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.11.4-11.1.31-ref-sifra.11.4-11.1.40,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,518626,518680,ref-sifra.11.4-11.1.31,ref-sifra.11.4-11.1.40,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,נאמר כאן הריגה ונאמר להלן הריגה מה הריגה האמורה להלן ,13,10,575,572.0,132,124.0,0.4117647058823529,0.5,43,נאמר כאן יה ונאמר להלן היג מה י האמור להלן ,3040000104
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.11.4-12.6.134-ref-sifra.11.4-12.6.143,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,524804,524854,ref-sifra.11.4-12.6.134,ref-sifra.11.4-12.6.143,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,נאמר כאן דודו ונאמר להלן דודו מה דודו שנאמר להלן ,13,10,608,607.0,133,124.0,0.47058823529411764,0.6363636363636364,37,נאמר כאן  ונאמר להלן וו מה  אמר להלן ,3040000105
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.11.4-12.10.28-ref-sifra.11.4-12.10.37,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,525997,526047,ref-sifra.11.4-12.10.28,ref-sifra.11.4-12.10.37,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,נאמר כאן עליה ונאמר להלן עליה מה עליה שנאמר להלן ,13,10,613,611.0,134,124.0,0.4264705882352941,0.6363636363636364,40,נאמר כאן יה ונאמר להלן יה מה יהאמר להלן ,3040000106
ref-mek.1.18.4.282-ref-mek.1.18.4.300,ref-sifra.12.4-00.2.3-ref-sifra.12.4-00.2.15,76979,77076,ref-mek.1.18.4.282,ref-mek.1.18.4.300,546517,546584,ref-sifra.12.4-00.2.3,ref-sifra.12.4-00.2.15,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ,אף בפסול זמן נאמר כאן חילול ונאמר להלן חילול מה חילול שנאמר להלן ,19,13,647,646.0,138,124.0,0.6808510638297872,0.736842105263158,40,נאמר כאן י ונאמר להלן ילו מה י אמר להלן ,3040000107
ref-mek.1.18.4.291-ref-mek.1.18.4.303,ref-sifra.12.12-17.5.33-ref-sifra.12.12-17.5.45,77030,77094,ref-mek.1.18.4.291,ref-mek.1.18.4.303,598180,598249,ref-sifra.12.12-17.5.33,ref-sifra.12.12-17.5.45,מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,מה שבעה' האמור באהל מועד עשה בהן לילות כימים אף שבעה' האמורים כאן ,13,13,748,745.0,153,124.0,0.5303030303030303,0.736842105263158,39,מה  האמור הלן ליות מים אף  האמורים כאן ,3040000108
ref-mek.1.18.4.284-ref-mek.1.18.4.303,ref-sifra.12.12-17.8.38-ref-sifra.12.12-17.8.54,76988,77094,ref-mek.1.18.4.284,ref-mek.1.18.4.303,598752,598841,ref-sifra.12.12-17.8.38,ref-sifra.12.12-17.8.54,ימים שבעת ימים שנאמר באהל מועד עשה בהם את הלילות כימים אף תשבו שבעת ימים האמורים כאן,ימים שבעת ימים שנאמר באהל מועד עשה בהם את הלילות כימים אף תשבו שבעת ימים האמורים כאן,20,17,749,749.0,152,152.0,0.0,0.0,84,ימים שבעת ימים שנאמר באהל מועד עשה בהם את הלילות כימים אף תשבו שבעת ימים האמורים כאן,3040000109
ref-mek.1.18.4.291-ref-mek.1.18.4.303,ref-sifra.12.13-18.5.15-ref-sifra.12.13-18.5.25,77030,77094,ref-mek.1.18.4.291,ref-mek.1.18.4.303,605493,605550,ref-sifra.12.13-18.5.15,ref-sifra.12.13-18.5.25,מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,מה מערכת האמור להלן תופס שתים מערכות אף מערכת האמור כאן ,13,11,754,751.0,154,124.0,0.43548387096774194,0.6666666666666667,40,מה מ האמור להלן ת שים ער אף מ האמור כאן ,3040000110
ref-mek.1.18.4.282-ref-mek.1.18.4.303,ref-sifra.14.3-00.11.63-ref-sifra.14.3-00.11.79,76979,77094,ref-mek.1.18.4.282,ref-mek.1.18.4.303,669025,669112,ref-sifra.14.3-00.11.63,ref-sifra.14.3-00.11.79,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן לא יפחות משנים עשר חדש אף ימים האמורים כאן ,נאמר כאן ומעלה ונאמר להלן ומעלה מה ומעלה האמור להלן חדש אחד ויום אחר החדש אף כאן ,22,17,841,839.0,151,124.0,0.4864864864864865,0.631578947368421,61,נאמר כאן מה ונאמר להלן ול מה מ האמור להלן  ח ים ר חדש אף כאן ,3040000111
ref-mek.1.18.4.282-ref-mek.1.18.4.294,ref-sifra.14.4-11.5.6-ref-sifra.14.4-11.5.15,76979,77049,ref-mek.1.18.4.282,ref-mek.1.18.4.294,679876,679929,ref-sifra.14.4-11.5.6,ref-sifra.14.4-11.5.15,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,נאמר כאן וחשב ונאמר להלן וחשב מה וחשב האמור להלן ,13,10,845,845.0,135,124.0,0.4411764705882353,0.5,38,נאמר כאן  ונאמר להלן ו מה  האמור להלן ,3040000112
ref-mek.1.19.1.24-ref-mek.1.19.1.40,ref-sifra.11.4-00.12.16-ref-sifra.11.4-00.13.6,77316,77397,ref-mek.1.19.1.24,ref-mek.1.19.1.40,510268,510301,ref-sifra.11.4-00.12.16,ref-sifra.11.4-00.13.6,"לארץ עמד ופנה מפניהם אמר לו הקב""ה אתה פנית מפני בני אני אקרא הארץ על שמך ואתן ",שירצו ושמתי אני את פני פונה אני ,17,7,501,501.0,159,159.0,0.717948717948718,0.8421052631578947,22,רו מי א את פני פנ אני ,3040000113
ref-mek.1.19.1.34-ref-mek.1.19.1.45,ref-sifra.13.6-09.5.58-ref-sifra.13.6-09.5.71,77366,77420,ref-mek.1.19.1.34,ref-mek.1.19.1.45,643193,643272,ref-sifra.13.6-09.5.58,ref-sifra.13.6-09.5.71,בני אני אקרא הארץ על שמך ואתן לך ארץ יפה כארצך ואי ,תתנו בארצכם להשתחוות עליה בארצכם אי אתם משתחוים על האבנים אבל אתם משתחוים על ,12,14,818,818.0,160,159.0,0.7532467532467533,0.9411764705882353,24,נ אר ה על  את ל אי א אי ,3040000114
ref-mek.1.19.1.81-ref-mek.1.19.1.95,ref-sifra.11.3-08.1.11-ref-sifra.11.3-08.1.38,77589,77664,ref-mek.1.19.1.81,ref-mek.1.19.1.95,505895,506034,ref-sifra.11.3-08.1.11,ref-sifra.11.3-08.1.38,ואתן לכם ארץ יפה כארצכם כאשר נשבע לך והיכן נשבע לו והבאתי אתכם אל הארץ ,לך את שבאו עדים מנין_תלמוד_לומר בארצכם אין_לי_אלא בארץ בחוץ לארץ מנין_תלמוד_לומר_אתכם בכל מקום שאתם אם_כן_למה_נאמר בארצכם אלא בארץ ,15,18,486,486.0,161,161.0,0.7175572519083969,0.9230769230769231,41,את א י ארצכם אר ב ל ין בל ואת אכם אל ארץ ,3040000115
ref-mek.1.19.2.112-ref-mek.1.19.2.130,ref-sifra.3.10-00.1.17-ref-sifra.3.10-00.1.33,78492,78586,ref-mek.1.19.2.112,ref-mek.1.19.2.130,136694,136780,ref-sifra.3.10-00.1.17,ref-sifra.3.10-00.1.33,נאמר כאן עבודה ונאמר להלן עבודה מה להלן אין קדושה חלה עליו אלא בחיי אמו אף עבודה האמורה כאן ,נאמר כאן וידוי ונאמר להלן וידוי מה וידוי האמור להלן וידויו על חי אף וידוי האמור כאן ,19,17,145,143.0,163,162.0,0.43478260869565216,0.5333333333333333,61,נאמר כאן וד ונאמר להלן וד מה ידוה להליו ל חי אף וד האמור כאן ,3040000116
ref-mek.1.19.2.115-ref-mek.1.19.2.130,ref-sifra.5.3-05.3.7-ref-sifra.5.3-05.3.22,78507,78586,ref-mek.1.19.2.115,ref-mek.1.19.2.130,271400,271473,ref-sifra.5.3-05.3.7,ref-sifra.5.3-05.3.22,ונאמר להלן עבודה מה להלן אין קדושה חלה עליו אלא בחיי אמו אף עבודה האמורה כאן ,ונאמר להלן איה' מה איה האמור להלן עשה את הדאה מין איה אף איה האמור כאן ,16,16,271,271.0,164,162.0,0.4805194805194805,0.6666666666666667,48,ונאמר להלן ה מה אי ה לה ע אא י א אף ה האמור כאן ,3040000117
ref-mek.1.19.2.108-ref-mek.1.19.2.119,ref-sifra.11.4-12.6.31-ref-sifra.11.4-12.6.42,78474,78532,ref-mek.1.19.2.108,ref-mek.1.19.2.119,524308,524362,ref-sifra.11.4-12.6.31,ref-sifra.11.4-12.6.42,לא זכיתי מן הדין נאמר כאן עבודה ונאמר להלן עבודה מה להלן ,לא תקרב דדתך  נאמר כאן דודתך ונאמר להלן דודתך מה להלן ,12,12,606,606.0,162,162.0,0.3333333333333333,0.5454545454545454,41,לא ת ד נאמר כאן וד ונאמר להלן וד מה להלן ,3040000118
ref-mek.1.19.2.120-ref-mek.1.19.2.135,ref-sifra.14.3-09.14.7-ref-sifra.14.3-09.14.31,78533,78608,ref-mek.1.19.2.120,ref-mek.1.19.2.135,672363,672495,ref-sifra.14.3-09.14.7,ref-sifra.14.3-09.14.31,אין קדושה חלה עליו אלא בחיי אמו אף עבודה האמורה כאן דין_הוא_שלא תהא קדושה ,שאין קדושה חלה עליו בבעל_מום_קבוע עושה תמורה תמורה שהקדושה חלה עליו בבעל_מום_קבוע אינו דין שיעשה תמורה תלמוד לומר והיה הוא קדש ,14,21,842,842.0,165,162.0,0.6377952755905512,0.8181818181818181,49,אין קדושה חלה עליו במו עוה המורה א דיןהו תהא קדש ,3040000119
ref-mek.1.19.2.120-ref-mek.1.19.2.136,ref-sifra.14.3-09.15.2-ref-sifra.14.3-09.15.35,78533,78612,ref-mek.1.19.2.120,ref-mek.1.19.2.136,672565,672735,ref-sifra.14.3-09.15.2,ref-sifra.14.3-09.15.35,אין קדושה חלה עליו אלא בחיי אמו אף עבודה האמורה כאן דין_הוא_שלא תהא קדושה חלה ,קדש מלמד שהקדושה חלה עליה בבעל_מום_קבוע והלא_דין_הוא_ומה_אם הקדש שהוא עושה תמורה אין קדושה חלה עליו בבעל מקום קבוע תמורה שאינה עושה תמורה אינו_דין_שלא תהא קדושה חלה ,15,26,843,843.0,166,162.0,0.6484848484848484,0.8,60, קדושה חלה עליו לאיאו א עוה מורה אן דיהוא_שלא תהא קדושה חלה ,3040000120
ref-mek.1.19.3.133-ref-mek.1.19.3.147,ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.15,79793,79867,ref-mek.1.19.3.133,ref-mek.1.19.3.147,98077,98153,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.15,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן אסור בהנאה כל ,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן בכלי ,15,14,106,98.0,170,167.0,0.47297297297297297,0.5833333333333333,49,נאמר כאן יה ונאמר להלן יה מה לה אורהה אף כאן בכל ,3040000121
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-sifra.11.2-05.6.11-ref-sifra.11.2-05.6.26,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,497925,497999,ref-sifra.11.2-05.6.11,ref-sifra.11.2-05.6.26,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן איל אשם ונאמר להלן איל אשם מה איל האמור להלן בכסף שקלים אף כאן ,12,16,472,461.0,167,167.0,0.4583333333333333,0.6153846153846154,42,נאמר כאן י ונאמר להלן י מה ל אור ה אף כאן ,3040000122
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-sifra.11.4-11.1.31-ref-sifra.11.4-11.1.43,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,518626,518693,ref-sifra.11.4-11.1.31,ref-sifra.11.4-11.1.43,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה הריגה האמורה להלן סקילה אף כאן ,12,13,577,572.0,168,167.0,0.30303030303030304,0.5454545454545454,47,נאמר כאן ריה ונאמר להלן ריה מה ה אור הה אף כאן ,3040000123
ref-mek.1.19.3.133-ref-mek.1.19.3.144,ref-sifra.12.4-00.2.6-ref-sifra.12.4-00.2.18,79793,79852,ref-mek.1.19.3.133,ref-mek.1.19.3.144,546531,546595,ref-sifra.12.4-00.2.6,ref-sifra.12.4-00.2.18,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,נאמר כאן חילול ונאמר להלן חילול מה חילול שנאמר להלן זמן אף כאן ,12,13,652,646.0,169,167.0,0.3968253968253968,0.5454545454545454,42,נאמר כאן י ונאמר להלן י מה לל אר ה אף כאן ,3040000124
ref-mek.1.19.3.165-ref-mek.1.19.3.175,ref-sifra.1.7.11-ref-sifra.1.8.2,79956,80008,ref-mek.1.19.3.165,ref-mek.1.19.3.175,1640,1690,ref-sifra.1.7.11,ref-sifra.1.8.2,פרט כלל ופרט אין בכלל אלא מה שבפרט וכשהוא אומר כל ,פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט וכלל ,11,11,18,15.0,173,171.0,0.24,0.46153846153846156,42,פרט כלל ופרט אין בכלל אלא מה שבפרט  מר כל ,3040000125
ref-mek.1.19.3.165-ref-mek.1.19.3.170,ref-sifra.10.8-13.14.21-ref-sifra.10.8-13.14.26,79956,79992,ref-mek.1.19.3.165,ref-mek.1.19.3.170,480612,480648,ref-sifra.10.8-13.14.21,ref-sifra.10.8-13.14.26,פרט כלל ופרט אין בכלל אלא מה שבפרט ,פרט כלל ופרט אין בכלל אלא מה שבפרט ,8,8,424,423.0,171,171.0,0.0,0.0,35,פרט כלל ופרט אין בכלל אלא מה שבפרט ,3040000126
ref-mek.1.19.3.165-ref-mek.1.19.3.175,ref-sifra.10.8-13.14.95-ref-sifra.10.8-13.14.104,79956,80008,ref-mek.1.19.3.165,ref-mek.1.19.3.175,480978,481022,ref-sifra.10.8-13.14.95,ref-sifra.10.8-13.14.104,פרט כלל ופרט אין בכלל אלא מה שבפרט וכשהוא אומר כל ,פרט כלל ופרט אין בכלל אלא מה שבפרט פרט כלל ,11,10,431,431.0,174,172.0,0.24,0.30000000000000004,40,פרט כלל ופרט אין בכלל אלא מה שבפרט ר כל ,3040000127
ref-mek.1.19.3.165-ref-mek.1.19.3.170,ref-sifra.10.8-13.14.107-ref-sifra.10.8-13.14.124,79956,79992,ref-mek.1.19.3.165,ref-mek.1.19.3.170,481033,481111,ref-sifra.10.8-13.14.107,ref-sifra.10.8-13.14.124,פרט כלל ופרט אין בכלל אלא מה שבפרט ,"בכלל אלא מה שבפרט אני_ה'_""_אני_דיין_ליפרע_ונאמן_לשלם_שכר ה' פרט כלל ופרט אין ",8,10,434,434.0,172,172.0,0.7662337662337663,0.2222222222222222,21,כלל פרט איןלאל ה פרט ,3040000128
ref-mek.1.19.3.181-ref-mek.1.19.3.194,ref-sifra.1.2.18-ref-sifra.1.2.52,80034,80105,ref-mek.1.19.3.181,ref-mek.1.19.3.194,112,283,ref-sifra.1.2.18,ref-sifra.1.2.52,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא,13,14,2,2.0,176,176.0,0.0,0.0,217,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא,3040000129
ref-mek.1.19.3.180-ref-mek.1.19.3.194,ref-sifra.1.9.21-ref-sifra.1.9.31,80030,80105,ref-mek.1.19.3.180,ref-mek.1.19.3.194,1900,1951,ref-sifra.1.9.21,ref-sifra.1.9.31,חזר וכלל או כלל בכלל הראשון ואמרת לאו אלא כלל ופרט וכלל אלא כעין הפרט ,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט ,15,11,29,20.0,175,175.0,0.4857142857142857,0.5454545454545454,37,חזר וכלל כלל ופרט וכלל אלא כעין הפרט ,3040000130
ref-mek.1.19.3.440-ref-mek.1.19.3.451,ref-sifra.12.1-00.7.22-ref-sifra.12.1-00.7.32,81292,81362,ref-mek.1.19.3.440,ref-mek.1.19.3.451,530607,530675,ref-sifra.12.1-00.7.22,ref-sifra.12.1-00.7.32,חייב אדם למול את בנו ולפדותו וללמדו תורה וללמדו אומנות ולהשיאו אשה ,חייב בו מצוות למולו ולפדותו ללמדו תורה וללמדו אומנות ולהשיאו אשה ,12,11,626,626.0,178,178.0,0.19402985074626866,0.3846153846153846,57,חייב  מות ו ולפדותו ללמדו תורה וללמדו אומנות ולהשיאו אשה ,3040000131
ref-mek.1.19.4.98-ref-mek.1.19.4.112,ref-sifra.3.5-07.1.7-ref-sifra.3.5-07.1.24,81894,81965,ref-mek.1.19.4.98,ref-mek.1.19.4.112,109735,109818,ref-sifra.3.5-07.1.7,ref-sifra.3.5-07.1.24,אמור לו והקהה את שיניו ואמור לו בעבור זה עשה ה' לי בצאתי ממצרים לי ,שאמרו לו אחרים אין_לי_אלא שאמרה לו שפחה מנין_אפילו_אמרה לו אשה אוציא את שאמרה לו ,15,14,140,140.0,179,179.0,0.654320987654321,0.8888888888888888,36,אמרו ו א יי אמר לו ורה  ה י את מר ל ,3040000132
