baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifra,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifra.3.3-00.8.17-ref-sifra.3.3-00.8.28,ref-y.3.7.1.2.31.2-ref-y.3.7.1.2.31.9,98625,98696,ref-sifra.3.3-00.8.17,ref-sifra.3.3-00.8.28,2847488,2847526,ref-y.3.7.1.2.31.2,ref-y.3.7.1.2.31.9,מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן הימנית ,מה אזנו שנאמר להלן ימנית אף כאן ימנית ,7,8,3262,3262.0,523,485.0,0.5294117647058824,0.6,4,מה להלן אף כאן,4070000401,12,8
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.137,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,2879134,2879185,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.137,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן ,1,1,3294,3293.0,501,485.0,0.3076923076923077,0.4285714285714286,6,נאמר כאן ונאמר להלן מה להלן,4070000402,10,10
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.4.1.4.4.5.133-ref-y.4.1.4.4.5.144,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,2983586,2983647,ref-y.4.1.4.4.5.133,ref-y.4.1.4.4.5.144,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן השור יסקל ונאמר להלן השור יסקל מה שור שנאמר להלן ,1,1,3401,3392.0,502,485.0,0.4482758620689655,0.5,6,נאמר כאן ונאמר להלן מה להלן,4070000403,10,12
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.4.4.1.3.2.4-ref-y.4.4.1.3.2.16,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,3154598,3154667,ref-y.4.4.1.3.2.4,ref-y.4.4.1.3.2.16,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן זדון ונאמר להלן זדון בזדון דברו הנביא מה זדון שנאמר להלן ,1,1,3504,3504.0,503,503.0,0.4848484848484848,0.5555555555555556,6,נאמר כאן ונאמר להלן מה להלן,4070000404,10,13
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.4.4.1.3.2.32-ref-y.4.4.1.3.2.45,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,3154751,3154821,ref-y.4.4.1.3.2.32,ref-y.4.4.1.3.2.45,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאג דיבר ונאמר להלן אשר ידבר הנביא בשם יי' מה דיבר שנאמר להלן ,1,1,3532,3532.0,504,503.0,0.4925373134328358,0.75,5,נאמר ונאמר להלן מה להלן,4070000405,10,14
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.4.4.1.3.8.127-ref-y.4.4.1.3.8.144,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,3157857,3157950,ref-y.4.4.1.3.8.127,ref-y.4.4.1.3.8.144,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן בני ישראל ונאמר להלן בני ישראל ויבואו בני ישראל לשבר וגו' מה בני ישראל שנאמר להלן ,1,1,3559,3555.0,505,485.0,0.5934065934065934,0.6,6,נאמר כאן ונאמר להלן מה להלן,4070000406,10,18
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-y.4.4.6.1.1.29-ref-y.4.4.6.1.1.49,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,3211011,3211117,ref-y.4.4.6.1.1.29,ref-y.4.4.6.1.1.49,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמ' כאן בשעריך ונאמ' להלן כי ימצא בקרבך בא' שעריך מה שעריך האמור להלן שער שנמצא בו אף שעריך האמור כאן ,1,2,3647,3636.0,517,485.0,0.5728155339805825,0.7647058823529411,6,כאן להלן מה להלן אף כאן,4070000407,17,21
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-y.4.4.7.1.1.26-ref-y.4.4.7.1.1.45,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,3223732,3223837,ref-y.4.4.7.1.1.26,ref-y.4.4.7.1.1.45,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה האמורה להלן חרב אף נקימה האמורה כאן ,1,1,3697,3681.0,518,485.0,0.5392156862745098,0.6666666666666667,8,נאמר כאן ונאמר להלן מה להלן אף כאן,4070000408,17,20
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.4.4.7.3.1.37-ref-y.4.4.7.3.1.51,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,3226750,3226829,ref-y.4.4.7.3.1.37,ref-y.4.4.7.3.1.51,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה שנאמר להלן ,1,1,3725,3722.0,506,485.0,0.5454545454545454,0.6666666666666667,6,נאמר כאן ונאמר להלן מה להלן,4070000409,10,15
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.4.4.7.5.3.14-ref-y.4.4.7.5.3.28,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,3229067,3229139,ref-y.4.4.7.5.3.14,ref-y.4.4.7.5.3.28,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן דודתו ונאמר להלן או דודו או בן דודו יגאלנו מה דודו שנאמר להלן ,1,1,3768,3764.0,507,485.0,0.4788732394366197,0.5555555555555556,6,נאמר כאן ונאמר להלן מה להלן,4070000410,10,15
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.30,ref-y.4.4.9.7.3.81-ref-y.4.4.9.7.3.94,98592,98713,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.30,3270226,3270297,ref-y.4.4.9.7.3.81,ref-y.4.4.9.7.3.94,נאמר כאן מות יומת ונאמר להלן ווזר הקרב יומת,ימות וגו' מה טעמון דרבנין נאמר כאן מות יומת ונאמר להלן ווזר הקרב יומת,3,8,3947,3947.0,520,520.0,0.3768115942028985,0.1999999999999999,9,נאמר כאן מות יומת ונאמר להלן ווזר הקרב יומת,4070000411,9,14
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.67,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,3323464,3323524,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.67,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן ,1,1,3979,3979.0,508,485.0,0.4406779661016949,0.5,6,נאמר כאן ונאמר להלן מה להלן,4070000412,10,12
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-y.4.6.1.2.4.39-ref-y.4.6.1.2.4.58,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,3336498,3336604,ref-y.4.6.1.2.4.39,ref-y.4.6.1.2.4.58,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן בהמה טמאה ונאב' להלן בחמה טמאה מה בהמה טמאה האמורה להלן בטומאת הקודש אף בהמה טמאה האמורה כאן ,1,1,4062,4043.0,519,485.0,0.5294117647058824,0.7333333333333334,7,נאמר כאן להלן מה להלן אף כאן,4070000413,17,20
ref-sifra.3.3-00.11.51-ref-sifra.3.3-00.11.70,ref-y.2.5.5.4.5.6-ref-y.2.5.5.4.5.25,99267,99377,ref-sifra.3.3-00.11.51,ref-sifra.3.3-00.11.70,1452559,1452663,ref-y.2.5.5.4.5.6,ref-y.2.5.5.4.5.25,אמר ר' נחמיה לפי שמצינו בפר הבא ביום הכפורים שהוא עומד לפנים מן המזבח ומזה על הפרוכת בשעה שהוא מזה ,אמר רבי נחמיה לפי שמצאנו בפר הבא על כל המצות שהוא עומד חוץ למזבח ומזה על הפרוכת בשעה שהוא מזה ,20,20,1414,1414.0,525,525.0,0.2222222222222222,0.3913043478260869,13,אמר נחמיה לפי בפר הבא שהוא עומד ומזה על הפרוכת בשעה שהוא מזה,4070000414,20,20
ref-sifra.3.3-00.12.11-ref-sifra.3.3-00.12.20,ref-y.2.3.5.6.1.40-ref-y.2.3.5.6.1.50,99480,99519,ref-sifra.3.3-00.12.11,ref-sifra.3.3-00.12.20,1305816,1305864,ref-y.2.3.5.6.1.40,ref-y.2.3.5.6.1.50,לשפיכה  ולא יטיף  ולא יזה  ולא יזרק ,שפיכה תני ישפך לא יטיף ישפך לא יזה ישפך לא יזרוק ,7,11,1004,1004.0,526,526.0,0.4081632653061224,0.3333333333333333,2,יטיף יזה,4070000415,7,11
ref-sifra.3.3-04.4.24-ref-sifra.3.3-04.5.1,ref-y.3.5.3.6.4.246-ref-y.3.5.3.6.4.250,100668,100706,ref-sifra.3.3-04.4.24,ref-sifra.3.3-04.5.1,2289089,2289118,ref-y.3.5.3.6.4.246,ref-y.3.5.3.6.4.250,הקשתיו ולא הקשתיו לשלמי כבש והקטירם ,היקשתיה לא הקשתיה לכליל תקטר ,6,5,2699,2699.0,527,527.0,0.3888888888888889,0.8571428571428572,0,,4070000416,6,5
ref-sifra.3.3-05.6.14-ref-sifra.3.3-05.6.30,ref-y.2.5.7.3.4.7-ref-y.2.5.7.3.4.26,102005,102109,ref-sifra.3.3-05.6.14,ref-sifra.3.3-05.6.30,1475294,1475399,ref-y.2.5.7.3.4.7,ref-y.2.5.7.3.4.26,ונאמרה שריפה בפנים ונאמרה שריפה בחוץ מה שריפה אמורה בפנים בעצים כשרים למערכה אף שריפה אמורה בחוץ ,נאמרה כפרה בפנים ונאמר כפרה בחוץ מה כפרה האמורה בפנים בן הבקר מכפר על שופכי דמים אף כפרה אמורה בחוץ ,17,20,1502,1498.0,528,528.0,0.35,0.6875,7,בפנים בחוץ מה בפנים אף אמורה בחוץ,4070000417,17,20
ref-sifra.3.4-00.1.10-ref-sifra.3.4-00.1.21,ref-y.4.10.3.4.1.197-ref-y.4.10.3.4.1.208,102316,102372,ref-sifra.3.4-00.1.10,ref-sifra.3.4-00.1.21,3544231,3544287,ref-y.4.10.3.4.1.197,ref-y.4.10.3.4.1.208,פר משיח ופר עדה עומדין פר משיח קודם לפר עדה לכל מעשיו ,פר משיה ופר עדה עומדים פר משיה קודם לפר עדה לכל מעשיו ,12,12,4442,4442.0,529,529.0,0.0555555555555555,0.4444444444444444,9,פר ופר עדה פר קודם לפר עדה לכל מעשיו,4070000418,12,12
ref-sifra.3.4-00.2.18-ref-sifra.3.4-00.2.26,ref-y.4.4.3.9.19.14-ref-y.4.4.3.9.19.22,102458,102499,ref-sifra.3.4-00.2.18,ref-sifra.3.4-00.2.26,3190490,3190532,ref-y.4.4.3.9.19.14,ref-y.4.4.3.9.19.22,מה עדה' אמורה להלן בית דין אף כאן בית דין ,מה אגדה שנאמר להלן בית דין אף כאן בית דין ,4,4,3618,3618.0,530,530.0,0.1666666666666666,0.4444444444444444,6,מה להלן בית_דין_אף כאן בית דין,4070000419,10,10
ref-sifra.3.4-00.2.18-ref-sifra.3.4-00.2.26,ref-y.4.6.4.1.21.12-ref-y.4.6.4.1.21.20,102458,102499,ref-sifra.3.4-00.2.18,ref-sifra.3.4-00.2.26,3371177,3371219,ref-y.4.6.4.1.21.12,ref-y.4.6.4.1.21.20,מה עדה' אמורה להלן בית דין אף כאן בית דין ,מה הגדה שנאמר להלן בית דין אף כאן בית דין ,4,4,4244,4244.0,531,530.0,0.1666666666666666,0.4444444444444444,6,מה להלן בית_דין_אף כאן בית דין,4070000420,10,10
ref-sifra.3.4-00.2.20-ref-sifra.3.4-00.2.26,ref-y.4.10.1.8.1.75-ref-y.4.10.1.8.1.88,102466,102499,ref-sifra.3.4-00.2.20,ref-sifra.3.4-00.2.26,3516660,3516735,ref-y.4.10.1.8.1.75,ref-y.4.10.1.8.1.88,אמורה להלן בית דין אף כאן בית דין ,ונאמר להלן מעיני מה מעיני שנאמר להלן בית דין אף מעיני שנאמר כאן בית דין ,2,15,4357,4348.0,532,530.0,0.5555555555555556,0.5,5,להלן בית_דין_אף כאן בית דין,4070000421,8,15
ref-sifra.3.4-00.3.25-ref-sifra.3.4-00.3.37,ref-y.2.3.5.1.1.84-ref-y.2.3.5.1.1.98,102750,102815,ref-sifra.3.4-00.3.25,ref-sifra.3.4-00.3.37,1290443,1290518,ref-y.2.3.5.1.1.84,ref-y.2.3.5.1.1.98,מה עדה' אמורה להלן כולם ראוים להוריה אף עדה' אמורה כאן עד שיהיו ,מה ערב שנאמר להלן משש שעות ולמעלןך אף ערב שנאמר כאן משש שעות ולמעלן ויהא ,3,15,964,964.0,538,533.0,0.6301369863013698,0.7857142857142857,4,מה להלן אף כאן,4070000422,13,15
ref-sifra.3.4-00.3.25-ref-sifra.3.4-00.3.35,ref-y.3.5.7.3.3.39-ref-y.3.5.7.3.3.54,102750,102805,ref-sifra.3.4-00.3.25,ref-sifra.3.4-00.3.35,2318268,2318351,ref-y.3.5.7.3.3.39,ref-y.3.5.7.3.3.54,מורה ונאמר להלן אלוני מורה מה אלוני מורה האמור להלן שכם אף אילוני מורה האמור כאן,מורה ונאמר להלן אלוני מורה מה אלוני מורה האמור להלן שכם אף אילוני מורה האמור כאן,2,2,2783,2783.0,533,533.0,0.0,0.0,16,מורה ונאמר להלן אלוני מורה מה אלוני מורה האמור להלן שכם אף אילוני מורה האמור כאן,4070000423,16,16
ref-sifra.3.4-00.3.25-ref-sifra.3.4-00.3.35,ref-y.4.4.7.1.1.37-ref-y.4.4.7.1.1.55,102750,102805,ref-sifra.3.4-00.3.25,ref-sifra.3.4-00.3.35,3223791,3223886,ref-y.4.4.7.1.1.37,ref-y.4.4.7.1.1.55,מה נקימה האמורה להלן חרב אף נקימה האמורה כאן חרב חנק לית משכח ליה אמרת כל מיתה האמורה בתורה,מה נקימה האמורה להלן חרב אף נקימה האמורה כאן חרב חנק לית משכח ליה אמרת כל מיתה האמורה בתורה,13,13,3713,3713.0,535,535.0,0.0,0.0,19,מה נקימה האמורה להלן חרב אף נקימה האמורה כאן חרב חנק לית משכח ליה אמרת כל מיתה האמורה בתורה,4070000424,19,19
ref-sifra.3.4-00.3.25-ref-sifra.3.4-00.3.35,ref-y.4.6.1.2.4.47-ref-y.4.6.1.2.4.58,102750,102805,ref-sifra.3.4-00.3.25,ref-sifra.3.4-00.3.35,3336539,3336604,ref-y.4.6.1.2.4.47,ref-y.4.6.1.2.4.58,מה עדה' אמורה להלן כולם ראוים להוריה אף עדה' אמורה כאן ,מה בהמה טמאה האמורה להלן בטומאת הקודש אף בהמה טמאה האמורה כאן ,1,1,4075,4043.0,537,533.0,0.5,0.6666666666666667,4,מה להלן אף כאן,4070000425,11,12
ref-sifra.3.4-00.6.29-ref-sifra.3.4-00.6.55,ref-y.3.1.4.15.3.55-ref-y.3.1.4.15.3.77,103191,103329,ref-sifra.3.4-00.6.29,ref-sifra.3.4-00.6.55,2111178,2111296,ref-y.3.1.4.15.3.55,ref-y.3.1.4.15.3.77,כאן מעיני ונאמר להלן מעיני מה עיני שנאמר להלן דבר שחייבין על שנגתו חטאת ועל זדונו כרת אף מעיני שנ' כאן,לומר נאמר כאן מעיני ונאמר להלן מעיני מה עיני שנאמר להלן דבר שחייבין על שנגתו חטאת ועל זדונו כרת אף מעיני שנ' כאן מעיני ונאמר להלן מעיני מה עיני שנאמר להלן דבר שחייבין על שנגתו חטאת ועל זדונו כרת אף מעיני שנ' כאן,21,37,2427,2427.0,543,543.0,0.5165876777251185,0.0909090909090909,15,כאן מעיני ונאמר להלן מעיני מה עיני שנאמר_להלן_דבר_שחייבין_על שנגתו חטאת ועל_זדונו_כרת אף מעיני שנ' כאן,4070000426,21,43
ref-sifra.3.4-00.6.33-ref-sifra.3.4-00.6.55,ref-y.3.5.7.3.3.44-ref-y.3.5.7.3.3.54,103217,103329,ref-sifra.3.4-00.6.33,ref-sifra.3.4-00.6.55,2318296,2318351,ref-y.3.5.7.3.3.44,ref-y.3.5.7.3.3.54,מה מעיני האמור להלן בית דין אף כאן בית דין ומה מעיני האמור להלן העלם דבר עם שגגת המעשה אף מעיני האמור כאן ,מה אלוני מורה האמור להלן שכם אף אילוני מורה האמור כאן ,17,11,2806,2758.0,549,539.0,0.660377358490566,0.6666666666666667,6,מה האמור להלן אף האמור כאן,4070000427,23,11
ref-sifra.3.4-00.6.33-ref-sifra.3.4-00.6.41,ref-y.4.4.3.9.19.14-ref-y.4.4.3.9.19.22,103217,103261,ref-sifra.3.4-00.6.33,ref-sifra.3.4-00.6.41,3190490,3190532,ref-y.4.4.3.9.19.14,ref-y.4.4.3.9.19.22,מה מעיני האמור להלן בית דין אף כאן בית דין ,מה אגדה שנאמר להלן בית דין אף כאן בית דין ,4,4,3619,3618.0,547,539.0,0.1860465116279069,0.4444444444444444,6,מה להלן בית_דין_אף כאן בית דין,4070000428,10,10
ref-sifra.3.4-00.6.33-ref-sifra.3.4-00.7.3,ref-y.4.4.7.13.1.45-ref-y.4.4.7.13.1.60,103217,103357,ref-sifra.3.4-00.6.33,ref-sifra.3.4-00.7.3,3249457,3249536,ref-y.4.4.7.13.1.45,ref-y.4.4.7.13.1.60,מה מעיני האמור להלן בית דין אף כאן בית דין ומה מעיני האמור להלן העלם דבר עם שגגת המעשה אף מעיני האמור כאן העלם דבר עם שגגת המעשה   לא ,מה לא יחיה שנאמר להלן בסקילה אף כאן בסקילה מה טעמון דרבנין מאמר כאן מכשפה לא ,23,16,3921,3914.0,551,539.0,0.6492537313432836,0.7333333333333334,5,מה להלן אף כאן לא,4070000429,29,16
ref-sifra.3.4-00.6.33-ref-sifra.3.4-00.6.41,ref-y.4.6.4.1.21.12-ref-y.4.6.4.1.21.20,103217,103261,ref-sifra.3.4-00.6.33,ref-sifra.3.4-00.6.41,3371177,3371219,ref-y.4.6.4.1.21.12,ref-y.4.6.4.1.21.20,מה מעיני האמור להלן בית דין אף כאן בית דין ,מה הגדה שנאמר להלן בית דין אף כאן בית דין ,4,4,4245,4244.0,548,539.0,0.1860465116279069,0.4444444444444444,6,מה להלן בית_דין_אף כאן בית דין,4070000430,10,10
ref-sifra.3.4-00.6.33-ref-sifra.3.4-00.6.55,ref-y.4.6.4.1.22.273-ref-y.4.6.4.1.22.285,103217,103329,ref-sifra.3.4-00.6.33,ref-sifra.3.4-00.6.55,3372538,3372599,ref-y.4.6.4.1.22.273,ref-y.4.6.4.1.22.285,מה מעיני האמור להלן בית דין אף כאן בית דין ומה מעיני האמור להלן העלם דבר עם שגגת המעשה אף מעיני האמור כאן ,מה מפי עצמו שנאמר להלן חוץ לבי' דין אף מפי עצמו שנאמר כאן ,17,13,4252,4248.0,550,539.0,0.660377358490566,0.7142857142857143,5,מה להלן דין אף כאן,4070000431,23,13
ref-sifra.3.4-00.6.29-ref-sifra.3.4-00.6.54,ref-y.4.10.1.8.1.34-ref-y.4.10.1.8.1.88,103191,103325,ref-sifra.3.4-00.6.29,ref-sifra.3.4-00.6.54,3516455,3516735,ref-y.4.10.1.8.1.34,ref-y.4.10.1.8.1.88,נאמר כאן מעיני ונאמר להלן מעיני מה מעיני שנאמר להלן בית דין אף כאן,נאמר כאן מעיני ונאמר להלן מעיני מה מעיני שנאמר להלן בית דין אף כאן,8,8,4348,4348.0,539,539.0,0.0,0.0,9,נאמר כאן מעיני ונאמר להלן מעיני מה_מעיני_שנאמר_להלן בית_דין_אף כאן,4070000432,14,14
ref-sifra.3.4-00.6.29-ref-sifra.3.4-00.6.53,ref-y.4.10.2.4.1.20-ref-y.4.10.2.4.1.25,103191,103318,ref-sifra.3.4-00.6.29,ref-sifra.3.4-00.6.53,3520880,3520914,ref-y.4.10.2.4.1.20,ref-y.4.10.2.4.1.25,נאמר כאן מעיני ונאמר להלן מעיני,נאמר כאן מעיני ונאמר להלן מעיני,1,1,4391,4391.0,541,541.0,0.0,0.0,6,נאמר כאן מעיני ונאמר להלן מעיני,4070000433,6,6
ref-sifra.3.4-00.9.29-ref-sifra.3.4-00.9.34,ref-y.3.1.4.15.3.58-ref-y.3.1.4.15.3.63,103996,104031,ref-sifra.3.4-00.9.29,ref-sifra.3.4-00.9.34,2111192,2111225,ref-y.3.1.4.15.3.58,ref-y.3.1.4.15.3.63,מעיני ונאמר להלן מעיני מה מעיני ,מעיני ונאמר להלן מעיני מה עיני ,6,6,2429,2427.0,552,552.0,0.03125,0.0,5,מעיני ונאמר להלן מעיני מה,4070000434,6,6
ref-sifra.3.4-00.9.29-ref-sifra.3.4-00.9.36,ref-y.4.10.1.8.1.74-ref-y.4.10.1.8.1.87,103996,104040,ref-sifra.3.4-00.9.29,ref-sifra.3.4-00.9.36,3516653,3516727,ref-y.4.10.1.8.1.74,ref-y.4.10.1.8.1.87,מעיני ונאמר להלן מעיני מה מעיני אמור כאן ,מעיני ונאמר להלן מעיני מה מעיני שנאמר להלן בית דין אף מעיני שנאמר כאן ,8,14,4356,4348.0,553,552.0,0.4428571428571428,0.5,6,מעיני ונאמר להלן מעיני מעיני כאן,4070000435,8,14
ref-sifra.3.4-00.12.1-ref-sifra.3.4-00.12.17,ref-y.4.10.1.8.4.27-ref-y.4.10.1.8.4.43,104492,104579,ref-sifra.3.4-00.12.1,ref-sifra.3.4-00.12.17,3518413,3518507,ref-y.4.10.1.8.4.27,ref-y.4.10.1.8.4.43,ונודעה ההטאת לא שיוודעו החוטאין מה נפשך חלב ברבי יהושע אתיא היא בשהורו ולא ידעו מה הורו,ונודעה ההטאת לא שיוודעו החוטאין מה נפשך חלב ברבי יהושע אתיא היא בשהורו ולא ידעו מה הורו,17,17,4380,4380.0,554,554.0,0.0,0.0,17,ונודעה ההטאת לא שיוודעו החוטאין מה נפשך חלב ברבי יהושע אתיא היא בשהורו ולא ידעו מה הורו,4070000436,17,17
ref-sifra.3.4-00.13.8-ref-sifra.3.4-00.13.23,ref-y.1.1.1.1.6.9-ref-y.1.1.1.1.6.25,104620,104699,ref-sifra.3.4-00.13.8,ref-sifra.3.4-00.13.23,1376,1461,ref-y.1.1.1.1.6.9,ref-y.1.1.1.1.6.25,שני פרים חטאו שלשה מביאין שלשה או אינו אלא חטאו שני יחידים מביאין שני פרים חטאו ,שנים מביא אשם תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,16,17,0,0.0,556,556.0,0.6666666666666666,0.9444444444444444,1,שלשה,4070000437,16,17
ref-sifra.3.4-00.13.24-ref-sifra.3.4-00.13.33,ref-y.3.7.4.1.15.42-ref-y.3.7.4.1.15.56,104700,104752,ref-sifra.3.4-00.13.24,ref-sifra.3.4-00.13.33,2941343,2941422,ref-y.3.7.4.1.15.42,ref-y.3.7.4.1.15.56,שלשה יביאו שלשה תלמוד לומר הקהל הקהל חייב וכל קהל ,שלישי יבא להם בקהל יי' בעשה אינון ורבנין אמרין שלשה קהילות הן קהל כחנים קהל ,10,15,3362,3362.0,557,557.0,0.618421052631579,0.8125,2,שלשה קהל,4070000438,10,15
ref-sifra.3.4-00.14.15-ref-sifra.3.4-00.14.29,ref-y.2.12.1.1.19.57-ref-y.2.12.1.1.19.69,104843,104918,ref-sifra.3.4-00.14.15,ref-sifra.3.4-00.14.29,1927168,1927246,ref-y.2.12.1.1.19.57,ref-y.2.12.1.1.19.69,חטאו מביאין על ידיהם פר שאף אלו שלא חטאו מביאין על ידי החוטאים לכך נאמר ,חטאתה ומתה יביאו היורשין עולתה עולתה ומתה לא יביאו היורשין חטאתה שמואל אמ' ,15,13,2077,2076.0,558,558.0,0.7066666666666667,1.0,0,,4070000439,15,13
ref-sifra.3.4-00.15.6-ref-sifra.3.4-00.15.14,ref-y.2.1.7.1.3.118-ref-y.2.1.7.1.3.127,104986,105035,ref-sifra.3.4-00.15.6,ref-sifra.3.4-00.15.14,985704,985756,ref-y.2.1.7.1.3.118,ref-y.2.1.7.1.3.127,שחטאו מביאין שבעה פרים ובית דין מביאים עליהן פר ,יחטא לאשמת העם והביא פר מצות שהמשיח מביא עליהן פר ,9,10,730,730.0,559,559.0,0.52,0.8666666666666667,2,עליהן פר,4070000440,9,10
ref-sifra.3.4-00.15.17-ref-sifra.3.4-00.15.30,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,105050,105112,ref-sifra.3.4-00.15.17,ref-sifra.3.4-00.15.30,14071,14133,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.105,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן בית דין אף כאן ,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,5,1,26,4.0,587,560.0,0.3442622950819672,0.5,6,כאן ונאמר להלן מה להלן כאן,4070000441,14,13
ref-sifra.3.4-00.15.17-ref-sifra.3.4-00.15.26,ref-y.1.4.8.1.2.5-ref-y.1.4.8.1.2.17,105050,105097,ref-sifra.3.4-00.15.17,ref-sifra.3.4-00.15.26,427265,427323,ref-y.1.4.8.1.2.5,ref-y.1.4.8.1.2.17,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן פן תקדש ונאמר להלן פן תוקדש בו מה פן האמור להלן ,1,1,219,214.0,562,560.0,0.3684210526315789,0.5,5,כאן ונאמר להלן מה להלן,4070000442,10,13
ref-sifra.3.4-00.15.17-ref-sifra.3.4-00.15.30,ref-y.1.7.2.4.9.110-ref-y.1.7.2.4.9.128,105050,105112,ref-sifra.3.4-00.15.17,ref-sifra.3.4-00.15.30,665158,665252,ref-y.1.7.2.4.9.110,ref-y.1.7.2.4.9.128,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן בית דין אף כאן ,נאמר כאן נפשו ונאמר להלן נפשו דכתיב ואליו הוא נושא את נפשו מה נפשו האמורה להלן שכרו אף כאן ,5,1,411,391.0,588,560.0,0.5604395604395604,0.7142857142857143,6,כאן ונאמר להלן מה להלן כאן,4070000443,14,19
ref-sifra.3.4-00.15.17-ref-sifra.3.4-00.15.26,ref-y.1.9.2.1.11.70-ref-y.1.9.2.1.11.81,105050,105097,ref-sifra.3.4-00.15.17,ref-sifra.3.4-00.15.26,779725,779780,ref-y.1.9.2.1.11.70,ref-y.1.9.2.1.11.81,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן ,נאמר כאן חלה ונאמר להלן חלת להם שמן מה חלה שנאמר להלן ,1,2,531,531.0,563,560.0,0.3333333333333333,0.5,5,כאן ונאמר להלן מה להלן,4070000444,10,12
