,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifre-d,dam-lev,jac,id
118,145,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.18,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,1561422,1561492,232775,232788,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.18,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,13,11,891.0,143.0,0.43478260869565216,0.5833333333333333,4080000119
119,146,ref-y.2.10.4.4.5.69-ref-y.2.10.4.4.5.81,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,1913238,1913298,285795,285805,ref-y.2.10.4.4.5.69,ref-y.2.10.4.4.5.81,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה להלן עשר' אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,10,11,1172.0,143.0,0.48333333333333334,0.5454545454545454,4080000120
120,147,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.125,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,1928666,1928730,288237,288249,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.125,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,12,11,1215.0,143.0,0.3968253968253968,0.5454545454545454,4080000121
121,148,ref-y.2.12.1.3.1.51-ref-y.2.12.1.3.1.96,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,1930736,1930956,288522,288563,ref-y.2.12.1.3.1.51,ref-y.2.12.1.3.1.96,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה להלן מעשר אף כאן מעשר ויביא כולם מן המעשר עולא בר ישמעאל אמר נאמר כאן",נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף,42,12,1257.0,143.0,0.7807486631016043,0.75,4080000122
122,151,ref-y.3.1.6.3.1.34-ref-y.3.1.6.3.1.51,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,2123162,2123246,317650,317664,ref-y.3.1.6.3.1.34,ref-y.3.1.6.3.1.51,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן חוייה ונאמר להלן ובת כהן כי תהיה לאיש זר מה הוייה שנ' להלן נישואין אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,14,11,1502.0,143.0,0.5060240963855421,0.6666666666666667,4080000123
123,152,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.77,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,2206411,2206483,329792,329806,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.77,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,14,11,1588.0,143.0,0.49295774647887325,0.6428571428571428,4080000124
124,153,ref-y.3.2.4.4.6.91-ref-y.3.2.4.4.6.103,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,2418731,2418790,362123,362135,ref-y.3.2.4.4.6.91,ref-y.3.2.4.4.6.103,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן שומה ונאמר להלן שומה מה שומה שנ' להלן ממון אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,12,11,1918.0,143.0,0.4067796610169492,0.5833333333333333,4080000125
125,154,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.140,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,2879134,2879199,431636,431648,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.140,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,12,11,2120.0,143.0,0.3968253968253968,0.5833333333333333,4080000126
126,155,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.70,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,3323464,3323537,500689,500703,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.70,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן נשירה אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,14,11,2724.0,143.0,0.4583333333333333,0.6153846153846154,4080000127
127,156,ref-y.4.6.4.1.6.11-ref-y.4.6.4.1.6.27,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,3368298,3368369,507438,507448,ref-y.4.6.4.1.6.11,ref-y.4.6.4.1.6.27,51134,51190,8596,8607,ref-sifre-d.36.2.10,ref-sifre-d.36.2.22,נאמר כאן שני ונאמר להלן על פי שנים עדים מה להלן על פי שנים עדים אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,10,11,2818.0,143.0,0.38028169014084506,0.4545454545454546,4080000128
128,157,ref-y.3.5.8.1.1.38-ref-y.3.5.8.1.1.58,ref-sifre-d.36.2.52-ref-sifre-d.36.2.70,2327475,2327584,348414,348432,ref-y.3.5.8.1.1.38,ref-y.3.5.8.1.1.58,51325,51414,8633,8649,ref-sifre-d.36.2.52,ref-sifre-d.36.2.70,לשון אמר רבי חגיי נאמר כאן נגישה ונאמר להלן ונגשו הכחנים בני לוי מה נגישה שנאמר להלן בלשון הקודש אף כאן ,בלשון שבית דין חולק נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,18,16,1764.0,157.0,0.5,0.7142857142857143,4080000129
129,158,ref-y.1.11.1.3.1.46-ref-y.1.11.1.3.1.68,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,854712,854839,128288,128308,ref-y.1.11.1.3.1.46,ref-y.1.11.1.3.1.68,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן ארצך ונאמר כאן ארץ חיטה ושעורה מה ארץ שנאמר להלן בשבעת המינין הכתוב מדבר אף ארץ שנאמר כאן בשבעת המינין הכתוב ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,20,9,551.0,157.0,0.6949152542372882,0.7333333333333334,4080000130
130,159,ref-y.2.5.2.4.3.22-ref-y.2.5.2.4.3.46,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,1416081,1416212,210478,210496,ref-y.2.5.2.4.3.22,ref-y.2.5.2.4.3.46,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן עריכה ונאמר להלן וערך הכהן אותם מה עריכה שנאמר להלן בתמיד של שחר הכתוב מדבר אף עריכה שנאמר כאן בתמיד של שחר הכתוב ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,18,9,779.0,157.0,0.6910569105691057,0.7333333333333334,4080000131
131,160,ref-y.2.4.1.1.1.117-ref-y.2.4.1.1.1.126,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,1493692,1493742,222458,222467,ref-y.2.4.1.1.1.117,ref-y.2.4.1.1.1.126,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,9,9,846.0,157.0,0.30612244897959184,0.4285714285714286,4080000132
132,161,ref-y.2.6.2.7.1.6-ref-y.2.6.2.7.1.20,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,1595673,1595752,237661,237673,ref-y.2.6.2.7.1.6,ref-y.2.6.2.7.1.20,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן תשבו ונאמר להלן ופתח אוהר' מועד ישבו יומם ולילה מה ישיבה שנאמר להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,12,9,943.0,157.0,0.5064935064935064,0.6923076923076923,4080000133
133,162,ref-y.2.8.1.1.12.202-ref-y.2.8.1.1.12.211,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,1641869,1641919,244676,244685,ref-y.2.8.1.1.12.202,ref-y.2.8.1.1.12.211,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,9,9,991.0,157.0,0.30612244897959184,0.4285714285714286,4080000134
134,163,ref-y.2.8.1.1.12.263-ref-y.2.8.1.1.12.272,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,1642172,1642222,244727,244736,ref-y.2.8.1.1.12.263,ref-y.2.8.1.1.12.272,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמ' להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,9,9,1017.0,157.0,0.32653061224489793,0.4285714285714286,4080000135
135,164,ref-y.3.1.1.1.23.4-ref-y.3.1.1.1.23.47,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,2056186,2056416,307668,307707,ref-y.3.1.1.1.23.4,ref-y.3.1.1.1.23.47,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן אחוה ונאמר להלן שני' עשר עבדיך אחים אנחנו מה אחים שנאמר להלן נאמ' כאן ישיבה ונאמר להלן ישיבה וירשתה וישבת בה מה ישיבה שנאמר להלן,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן,40,10,1407.0,157.0,0.7153284671532847,0.7333333333333334,4080000136
136,166,ref-y.4.1.4.4.5.133-ref-y.4.1.4.4.5.146,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,2983586,2983661,447692,447705,ref-y.4.1.4.4.5.133,ref-y.4.1.4.4.5.146,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן השור יסקל ונאמר להלן השור יסקל מה שור שנאמר להלן במועד הכתוב ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,13,9,2220.0,157.0,0.5142857142857142,0.6,4080000137
137,167,ref-y.4.4.1.3.2.4-ref-y.4.4.1.3.2.27,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,3154598,3154731,474171,474192,ref-y.4.4.1.3.2.4,ref-y.4.4.1.3.2.27,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן זדון ונאמר להלן זדון בזדון דברו הנביא מה זדון שנאמר להלן בנביא השקר הכתוב מדבר אף זדון שנאמר כאן בנביא השקר הכתוב ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,21,9,2326.0,157.0,0.7073170731707317,0.6666666666666667,4080000138
138,168,ref-y.4.4.1.3.2.32-ref-y.4.4.1.3.2.45,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,3154751,3154821,474195,474208,ref-y.4.4.1.3.2.32,ref-y.4.4.1.3.2.45,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאג דיבר ונאמר להלן אשר ידבר הנביא בשם יי' מה דיבר שנאמר להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,13,9,2351.0,157.0,0.4626865671641791,0.75,4080000139
139,169,ref-y.4.4.6.1.1.29-ref-y.4.4.6.1.1.42,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,3211011,3211083,483022,483035,ref-y.4.4.6.1.1.29,ref-y.4.4.6.1.1.42,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמ' כאן בשעריך ונאמ' להלן כי ימצא בקרבך בא' שעריך מה שעריך האמור להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,13,9,2456.0,157.0,0.4788732394366197,0.7272727272727273,4080000140
140,170,ref-y.4.4.7.5.3.14-ref-y.4.4.7.5.3.28,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,3229067,3229139,485975,485989,ref-y.4.4.7.5.3.14,ref-y.4.4.7.5.3.28,51347,51394,8636,8645,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן דודתו ונאמר להלן או דודו או בן דודו יגאלנו מה דודו שנאמר להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,14,9,2564.0,157.0,0.49295774647887325,0.5555555555555556,4080000141
141,171,ref-y.1.4.8.1.2.5-ref-y.1.4.8.1.2.47,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,427265,427469,65727,65766,ref-y.1.4.8.1.2.5,ref-y.1.4.8.1.2.47,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן פן תקדש ונאמר להלן פן תוקדש בו מה פן האמור להלן אסור בחנייה אף נאמר כאן פן תקדש ונאמר להלן ולא יהיה קדש מבני ישר' מה קדש שנ' להלן אסור בהנייה אף,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף,40,14,244.0,157.0,0.6601307189542484,0.6470588235294117,4080000142
142,172,ref-y.1.9.2.1.11.70-ref-y.1.9.2.1.11.84,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,779725,779795,117346,117360,ref-y.1.9.2.1.11.70,ref-y.1.9.2.1.11.84,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן חלה ונאמר להלן חלת להם שמן מה חלה שנאמר להלן עשויה בשמן אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,14,12,481.0,157.0,0.4117647058823529,0.6666666666666667,4080000143
143,173,ref-y.1.11.2.3.5.3-ref-y.1.11.2.3.5.14,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,873523,873582,130993,131004,ref-y.1.11.2.3.5.3,ref-y.1.11.2.3.5.14,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמ' כאן שמחה ונאמר להלן שמחה מה שמחה שנאמר להלן שלמים אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,11,12,585.0,157.0,0.4032258064516129,0.6923076923076923,4080000144
144,174,ref-y.2.3.5.1.1.35-ref-y.2.3.5.1.1.51,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,1290200,1290290,191425,191439,ref-y.2.3.5.1.1.35,ref-y.2.3.5.1.1.51,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן בין הערבים ונאמר להלן בין הערבים מה בין הערבים שנאמר להלן משש שעות ולמעלן אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,14,12,706.0,157.0,0.5,0.6428571428571428,4080000145
145,175,ref-y.2.5.8.1.2.162-ref-y.2.5.8.1.2.177,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,1477978,1478067,220139,220152,ref-y.2.5.8.1.2.162,ref-y.2.5.8.1.2.177,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן תענו את נפשותיכם ונאמר להלן ויענך וירעיבך מה עינוי שנאמר להלן עינוי רעבון אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,13,12,814.0,157.0,0.5116279069767442,0.7058823529411764,4080000146
146,176,ref-y.2.10.1.1.3.68-ref-y.2.10.1.1.3.86,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,1836010,1836105,274157,274172,ref-y.2.10.1.1.3.68,ref-y.2.10.1.1.3.86,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן פרזות ונאמר להלן לבד מערי הפרזי הרבה מאות מה פרזי שנאמ' להלן מימות יהושע בן נון אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,15,12,1106.0,157.0,0.532608695652174,0.6875,4080000147
147,177,ref-y.3.5.2.1.8.8-ref-y.3.5.2.1.8.22,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,2267819,2267892,339233,339245,ref-y.3.5.2.1.8.8,ref-y.3.5.2.1.8.22,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,מה מנחת שנאמר להלן שעורין אף בן שעורין אמר רבי לעזר נאמר כאן אביב ונאמר ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,12,12,1658.0,157.0,0.6527777777777778,0.6666666666666667,4080000148
148,178,ref-y.3.5.7.3.3.36-ref-y.3.5.7.3.3.50,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,2318253,2318328,346996,347010,ref-y.3.5.7.3.3.36,ref-y.3.5.7.3.3.50,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן אלוני מורה ונאמר להלן אלוני מורה מה אלוני מורה האמור להלן שכם אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,14,12,1720.0,157.0,0.5405405405405406,0.5454545454545454,4080000149
149,179,ref-y.4.4.7.1.1.26-ref-y.4.4.7.1.1.42,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,3223732,3223819,485174,485190,ref-y.4.4.7.1.1.26,ref-y.4.4.7.1.1.42,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה האמורה להלן חרב אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,16,12,2508.0,157.0,0.5647058823529412,0.6666666666666667,4080000150
150,180,ref-y.4.4.7.3.1.37-ref-y.4.4.7.3.1.53,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,3226750,3226838,485629,485645,ref-y.4.4.7.3.1.37,ref-y.4.4.7.3.1.53,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה שנאמר להלן בחרב אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,16,12,2539.0,157.0,0.5529411764705883,0.6875,4080000151
151,181,ref-y.4.6.1.2.4.39-ref-y.4.6.1.2.4.54,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,3336498,3336582,502694,502707,ref-y.4.6.1.2.4.39,ref-y.4.6.1.2.4.54,51347,51410,8636,8648,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן בהמה טמאה ונאב' להלן בחמה טמאה מה בהמה טמאה האמורה להלן בטומאת הקודש אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,13,12,2765.0,157.0,0.49382716049382713,0.7333333333333334,4080000152
152,182,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,14071,14133,2226,2238,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.105,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,12,13,1.0,157.0,0.4090909090909091,0.5833333333333333,4080000153
153,183,ref-y.1.2.3.6.1.7-ref-y.1.2.3.6.1.31,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,242024,242138,38023,38045,ref-y.1.2.3.6.1.7,ref-y.1.2.3.6.1.31,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן שדך ונאמר בכלאי' שדך מה שדך שנ' להלן בית רובע אף כאן בית רובע מה טעמ' דר' יהושע נאמר כאן שדך ונאמ' להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,22,13,173.0,157.0,0.6371681415929203,0.7222222222222222,4080000154
154,185,ref-y.1.7.2.4.9.110-ref-y.1.7.2.4.9.128,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,665158,665252,100672,100689,ref-y.1.7.2.4.9.110,ref-y.1.7.2.4.9.128,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן נפשו ונאמר להלן נפשו דכתיב ואליו הוא נושא את נפשו מה נפשו האמורה להלן שכרו אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,17,13,379.0,157.0,0.5494505494505495,0.6666666666666667,4080000155
155,186,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.18,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,1561422,1561492,232775,232788,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.18,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,13,13,891.0,157.0,0.3333333333333333,0.5833333333333333,4080000156
156,187,ref-y.2.10.4.4.5.69-ref-y.2.10.4.4.5.81,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,1913238,1913298,285795,285805,ref-y.2.10.4.4.5.69,ref-y.2.10.4.4.5.81,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה להלן עשר' אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,10,13,1172.0,157.0,0.5,0.5454545454545454,4080000157
157,188,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.125,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,1928666,1928730,288237,288249,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.125,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,12,13,1215.0,157.0,0.3333333333333333,0.5454545454545454,4080000158
158,189,ref-y.2.12.1.3.1.51-ref-y.2.12.1.3.1.103,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,1930736,1930993,288522,288570,ref-y.2.12.1.3.1.51,ref-y.2.12.1.3.1.103,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר שמחה מה שמחה האמורה אף כאן מעשר ויביא כולם מן המעשר עולא בר ישמעאל אמר נאמר כאן מסת ונאמר להלן ותרב משאת בנימן מה",נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף,49,14,1257.0,157.0,0.7798165137614679,0.7692307692307692,4080000159
159,192,ref-y.3.1.6.3.1.34-ref-y.3.1.6.3.1.51,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,2123162,2123246,317650,317664,ref-y.3.1.6.3.1.34,ref-y.3.1.6.3.1.51,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן חוייה ונאמר להלן ובת כהן כי תהיה לאיש זר מה הוייה שנ' להלן נישואין אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,14,13,1502.0,157.0,0.46987951807228917,0.6666666666666667,4080000160
160,193,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.77,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,2206411,2206483,329792,329806,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.77,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,14,13,1588.0,157.0,0.49295774647887325,0.6428571428571428,4080000161
161,194,ref-y.3.5.8.1.1.82-ref-y.3.5.8.1.1.98,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,2327701,2327789,348445,348461,ref-y.3.5.8.1.1.82,ref-y.3.5.8.1.1.98,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן נגישה ונאמר להלן ונגש משה אל הערפל מה נגישה שנאמר להלן בלשון הקודש אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,16,13,1799.0,157.0,0.46987951807228917,0.7058823529411764,4080000162
162,195,ref-y.3.2.4.4.6.91-ref-y.3.2.4.4.6.103,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,2418731,2418790,362123,362135,ref-y.3.2.4.4.6.91,ref-y.3.2.4.4.6.103,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן שומה ונאמר להלן שומה מה שומה שנ' להלן ממון אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,12,13,1918.0,157.0,0.42424242424242425,0.5833333333333333,4080000163
163,196,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.140,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,2879134,2879199,431636,431648,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.140,51347,51414,8636,8649,ref-sifre-d.36.2.56,ref-sifre-d.36.2.70,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,12,13,2120.0,157.0,0.3333333333333333,0.5833333333333333,4080000164
