baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.4.1.6.10.5-ref-t.4.1.6.10.15,ref-sifra.5.1.28.50-ref-sifra.5.1.28.58,746754,746818,ref-t.4.1.6.10.5,ref-t.4.1.6.10.15,245432,245481,ref-sifra.5.1.28.50,ref-sifra.5.1.28.58,מכסה ואחד מגלה המגלה חייב כסהו ונתגלה כשהוא עומד ורואה ולא ,נכסים והוא נגלה הם נגלים והוא נכסה ויעשו כדבר ,11,9,1278,1278.0,884,884.0,0.6610169491525424,0.875,0,,2040000661,11,9
ref-t.4.1.6.18.62-ref-t.4.1.6.18.68,ref-sifra.2.12-00.3.14-ref-sifra.2.12-00.3.21,748673,748707,ref-t.4.1.6.18.62,ref-t.4.1.6.18.68,60478,60519,ref-sifra.2.12-00.3.14,ref-sifra.2.12-00.3.21,בכלל היו ולמה יצאו להקיש עליהן מה ,בכלל היתה ולמה יצאת להקיש אליה ולומר מה ,7,3,182,181.0,885,885.0,0.25,0.6666666666666667,4,בכלל ולמה להקיש מה,2040000662,7,8
ref-t.4.1.6.18.62-ref-t.4.1.6.18.68,ref-sifra.4.2-03.1.23-ref-sifra.4.2-03.1.29,748673,748707,ref-t.4.1.6.18.62,ref-t.4.1.6.18.68,172351,172385,ref-sifra.4.2-03.1.23,ref-sifra.4.2-03.1.29,בכלל היו ולמה יצאו להקיש עליהן מה ,בכלל היתה ולמה יצאת להקיש אליה מה ,7,1,722,720.0,886,885.0,0.1470588235294117,0.625,4,בכלל ולמה להקיש מה,2040000663,7,7
ref-t.4.1.6.18.62-ref-t.4.1.6.18.68,ref-sifra.4.8-00.4.34-ref-sifra.4.8-00.4.40,748673,748707,ref-t.4.1.6.18.62,ref-t.4.1.6.18.68,202231,202263,ref-sifra.4.8-00.4.34,ref-sifra.4.8-00.4.40,בכלל היו ולמה יצאו להקיש עליהן מה ,בכלל היתה למה יצאת להקיש אליה מה ,7,1,1019,1018.0,887,885.0,0.1764705882352941,0.7777777777777778,3,בכלל להקיש מה,2040000664,7,7
ref-t.4.1.6.18.62-ref-t.4.1.6.18.68,ref-sifra.13.1-00.6.35-ref-sifra.13.1-00.6.41,748673,748707,ref-t.4.1.6.18.62,ref-t.4.1.6.18.68,613219,613251,ref-sifra.13.1-00.6.35,ref-sifra.13.1-00.6.41,בכלל היו ולמה יצאו להקיש עליהן מה ,בכלל היו ולמה יצאו להקיש להם מה ,7,7,3373,3373.0,888,885.0,0.088235294117647,0.3333333333333333,6,בכלל היו ולמה יצאו להקיש מה,2040000665,7,7
ref-t.4.1.6.18.62-ref-t.4.1.6.18.68,ref-sifra.14.3-09.4.6-ref-sifra.14.3-09.4.12,748673,748707,ref-t.4.1.6.18.62,ref-t.4.1.6.18.68,670449,670481,ref-sifra.14.3-09.4.6,ref-sifra.14.3-09.4.12,בכלל היו ולמה יצאו להקיש עליהן מה ,בכלל היה ולמה יצא להקיש אליו מה ,7,1,3546,3546.0,889,885.0,0.1470588235294117,0.3333333333333333,4,בכלל ולמה להקיש מה,2040000666,7,7
ref-t.4.1.7.5.4-ref-t.4.1.7.5.16,ref-sifra.3.5-00.1.1-ref-sifra.3.5-00.1.25,753822,753887,ref-t.4.1.7.5.4,ref-t.4.1.7.5.16,107592,107707,ref-sifra.3.5-00.1.1,ref-sifra.3.5-00.1.25,אשר נשיא יחטא אמר ר' יוחנן בן זכאי אשרי הדור שהנשיא שלו מביא חטאת על שגגתו אם על שגגתו מביא חטאת צריך לומר מהו על,אשר נשיא יחטא אמר ר' יוחנן בן זכאי אשרי הדור שהנשיא שלו מביא חטאת על שגגתו אם על שגגתו מביא חטאת צריך לומר מהו על,21,21,364,364.0,890,890.0,0.0,0.0,21,אשר נשיא יחטא אמר ר'_יוחנן_בן זכאי אשרי הדור שהנשיא שלו מביא_חטאת_על שגגתו אם על שגגתו מביא חטאת צריך לומר מהו על,2040000667,21,21
ref-t.4.1.7.5.39-ref-t.4.1.7.5.45,ref-sifra.13.5-00.3.90-ref-sifra.13.5-00.3.104,753998,754034,ref-t.4.1.7.5.39,ref-t.4.1.7.5.45,635244,635318,ref-sifra.13.5-00.3.90,ref-sifra.13.5-00.3.104,עליו עול ריבית מקבל עול שמים וכל הפורק ממנו עול ריבית פורק ממנו עול שמים,עליו עול ריבית מקבל עול שמים וכל הפורק ממנו עול ריבית פורק ממנו עול שמים,15,15,3472,3472.0,892,892.0,0.0,0.0,15,עליו עול ריבית מקבל עול שמים וכל הפורק ממנו עול ריבית פורק ממנו עול שמים,2040000668,15,15
ref-t.4.1.7.5.39-ref-t.4.1.7.5.45,ref-sifra.13.5-00.3.116-ref-sifra.13.5-00.3.136,753998,754034,ref-t.4.1.7.5.39,ref-t.4.1.7.5.45,635368,635471,ref-sifra.13.5-00.3.116,ref-sifra.13.5-00.3.136,עליו עול ריבית מקבל עול שמים וכל הפורק ממנו עול ריבית פורק ממנו עול שמים מכאן אמרו כל המקבל עליו עול,עליו עול ריבית מקבל עול שמים וכל הפורק ממנו עול ריבית פורק ממנו עול שמים מכאן אמרו כל המקבל עליו עול,19,19,3475,3475.0,894,894.0,0.0,0.0,19,עליו עול ריבית מקבל עול שמים וכל הפורק ממנו עול ריבית פורק ממנו עול שמים מכאן_אמרו_כל המקבל עליו עול,2040000669,19,19
ref-t.4.1.7.6.53-ref-t.4.1.7.6.59,ref-sifra.11.4-11.6.23-ref-sifra.11.4-11.6.29,754380,754419,ref-t.4.1.7.6.53,ref-t.4.1.7.6.59,519828,519867,ref-sifra.11.4-11.6.23,ref-sifra.11.4-11.6.29,שאינן לא רואות ולא שומעות ולא מדברות ,שאינם לא רואים ולא שומעים ולא מדברים ,7,7,2980,2980.0,897,896.0,0.1891891891891892,0.8888888888888888,3,לא ולא ולא,2040000670,7,7
ref-t.4.1.7.6.53-ref-t.4.1.7.6.60,ref-sifra.11.4-11.6.154-ref-sifra.11.4-11.6.161,754380,754422,ref-t.4.1.7.6.53,ref-t.4.1.7.6.60,520494,520536,ref-sifra.11.4-11.6.154,ref-sifra.11.4-11.6.161,שאינן לא רואות ולא שומעות ולא מדברות על ,שאינם לא רואים ולא שומעים ולא מדברים על ,8,8,2983,2983.0,898,896.0,0.175,0.8,4,לא ולא ולא על,2040000671,8,8
ref-t.4.1.7.6.53-ref-t.4.1.7.6.60,ref-sifra.11.4-11.7.23-ref-sifra.11.4-11.7.30,754380,754422,ref-t.4.1.7.6.53,ref-t.4.1.7.6.60,520793,520835,ref-sifra.11.4-11.7.23,ref-sifra.11.4-11.7.30,שאינן לא רואות ולא שומעות ולא מדברות על ,שאינם לא רואים ולא שומעים ולא מדברים על ,8,8,2986,2986.0,899,896.0,0.175,0.8,4,לא ולא ולא על,2040000672,8,8
ref-t.4.1.7.6.52-ref-t.4.1.7.6.72,ref-sifra.11.4-11.8.27-ref-sifra.11.4-11.8.48,754374,754490,ref-t.4.1.7.6.52,ref-t.4.1.7.6.72,521140,521262,ref-sifra.11.4-11.8.27,ref-sifra.11.4-11.8.48,אבנים שאינן לא רואות ולא שומעות ולא מדברות על שמטילות כפרה בין ישראל לאביהם שבשמי' אמ' הכת' לא תניף עליהן ברזל ,אבנים שאינן לא רואות ולא שומעות ולא מדברות על ידי שמטילות שלום בין ישראל לאביהן שבשמים אמר הכתוב לא תניף עליהם ברזל ,21,22,2991,2989.0,896,896.0,0.1206896551724138,0.52,15,אבנים שאינן לא רואות ולא שומעות ולא מדברות על שמטילות בין ישראל לא תניף ברזל,2040000673,21,22
ref-t.4.1.7.7.21-ref-t.4.1.7.7.28,ref-sifra.11.4-11.6.23-ref-sifra.11.4-11.6.29,754666,754710,ref-t.4.1.7.7.21,ref-t.4.1.7.7.28,519828,519867,ref-sifra.11.4-11.6.23,ref-sifra.11.4-11.6.29,שאינן לא רואות ולא ולא שומעות ולא מדברות ,שאינם לא רואים ולא שומעים ולא מדברים ,8,7,2981,2980.0,902,900.0,0.2682926829268293,0.8888888888888888,3,לא ולא ולא,2040000674,8,7
ref-t.4.1.7.7.21-ref-t.4.1.7.7.29,ref-sifra.11.4-11.6.154-ref-sifra.11.4-11.6.161,754666,754713,ref-t.4.1.7.7.21,ref-t.4.1.7.7.29,520494,520536,ref-sifra.11.4-11.6.154,ref-sifra.11.4-11.6.161,שאינן לא רואות ולא ולא שומעות ולא מדברות על ,שאינם לא רואים ולא שומעים ולא מדברים על ,9,8,2984,2983.0,903,900.0,0.25,0.8,4,לא ולא ולא על,2040000675,9,8
ref-t.4.1.7.7.21-ref-t.4.1.7.7.29,ref-sifra.11.4-11.7.23-ref-sifra.11.4-11.7.30,754666,754713,ref-t.4.1.7.7.21,ref-t.4.1.7.7.29,520793,520835,ref-sifra.11.4-11.7.23,ref-sifra.11.4-11.7.30,שאינן לא רואות ולא ולא שומעות ולא מדברות על ,שאינם לא רואים ולא שומעים ולא מדברים על ,9,8,2987,2986.0,904,900.0,0.25,0.8,4,לא ולא ולא על,2040000676,9,8
ref-t.4.1.7.7.4-ref-t.4.1.7.7.36,ref-sifra.11.4-11.8.11-ref-sifra.11.4-11.8.47,754578,754757,ref-t.4.1.7.7.4,ref-t.4.1.7.7.36,521057,521257,ref-sifra.11.4-11.8.11,ref-sifra.11.4-11.8.47,אבנים שלמות תבנה את מזבח ה' אלקיך אבנים המטילות שלום והרי הדברים קל וחמר ומה אם אבנים שאינן לא רואות ולא שומעות ולא מדברות על ידי שמטילות שלום בין ישראל לאביהן שבשמים אמר הכתוב לא תניף עליהם,אבנים שלמות תבנה את מזבח ה' אלקיך אבנים המטילות שלום והרי הדברים קל וחמר ומה אם אבנים שאינן לא רואות ולא שומעות ולא מדברות על ידי שמטילות שלום בין ישראל לאביהן שבשמים אמר הכתוב לא תניף עליהם,34,34,2989,2989.0,900,900.0,0.0,0.0,34,אבנים שלמות תבנה את מזבח ה' אלקיך אבנים המטילות שלום והרי הדברים קל_וחמר_ומה_אם אבנים שאינן לא רואות ולא שומעות ולא מדברות על ידי שמטילות שלום בין ישראל לאביהן שבשמים אמר הכתוב לא תניף עליהם,2040000677,34,34
ref-t.4.1.7.9.25-ref-t.4.1.7.9.32,ref-sifra.14.1-00.1.53-ref-sifra.14.1-00.1.60,755472,755507,ref-t.4.1.7.9.25,ref-t.4.1.7.9.32,643970,644004,ref-sifra.14.1-00.1.53,ref-sifra.14.1-00.1.60,מי יתן והיה לבבם זה להם ליראה אותי ,מי יתן והיה לבבם זה להם ליראה אתי ,8,8,3495,3495.0,905,905.0,0.0285714285714285,0.0,7,מי יתן והיה לבבם זה להם ליראה,2040000678,8,8
ref-t.4.1.8.8.41-ref-t.4.1.8.8.53,ref-sifra.3.13-00.1.31-ref-sifra.3.13-00.2.14,761284,761347,ref-t.4.1.8.8.41,ref-t.4.1.8.8.53,157139,157211,ref-sifra.3.13-00.1.31,ref-sifra.3.13-00.2.14,כל המשלם קרן משלם חומש ואשם וכל שאין משלם את הקרן אין משלם ,משלם ואין משיב ומשלם      מה תלמוד לומר אשר גזל שיכול ישלם חומש ואשם ,13,11,643,643.0,906,906.0,0.7101449275362319,0.6666666666666667,3,משלם חומש ואשם,2040000679,13,11
ref-t.4.1.8.8.42-ref-t.4.1.8.8.65,ref-sifra.3.13-00.8.26-ref-sifra.3.13-00.9.28,761287,761418,ref-t.4.1.8.8.42,ref-t.4.1.8.8.65,158283,158659,ref-sifra.3.13-00.8.26,ref-sifra.3.13-00.9.28,שאין משלם תשלומי כפל אינו דין שאינו משלם אלא לאחר שבועה לא אם אמרת בטוען טענת גנב שאינו משלם חומש ואשם תאמר בזה שמשלם חומש ואשם הואיל ומשלם חומש ואשם ישלם לפני שבועה ולאחר שבועה תלמוד לומר עליו לשקר ושלם ואין משלם אלא לאחר שבועה אותו הוא משלם ואין משלם תשלומי כפל והלא דין הוא ומה אם הטוען טענת גנב שאין משלם חומש ואשם משלם תשלומי כפל זה שמשלם חומש ואשם,שאין משלם תשלומי כפל אינו דין שאינו משלם אלא לאחר שבועה לא אם אמרת בטוען טענת גנב שאינו משלם חומש ואשם תאמר בזה שמשלם חומש ואשם הואיל ומשלם חומש ואשם ישלם לפני שבועה ולאחר שבועה תלמוד לומר עליו לשקר ושלם ואין משלם אלא לאחר שבועה אותו הוא משלם ואין משלם תשלומי כפל והלא דין הוא ומה אם הטוען טענת גנב שאין משלם חומש ואשם משלם תשלומי כפל זה שמשלם חומש ואשם,57,57,648,648.0,907,907.0,0.0,0.0,57,שאין משלם_תשלומי_כפל אינו דין שאינו משלם אלא לאחר שבועה לא_אם_אמרת בטוען טענת גנב שאינו משלם חומש ואשם תאמר בזה שמשלם חומש ואשם הואיל ומשלם חומש ואשם ישלם לפני שבועה ולאחר שבועה תלמוד_לומר_עליו לשקר ושלם ואין משלם אלא לאחר שבועה אותו הוא משלם ואין משלם_תשלומי_כפל והלא_דין_הוא_ומה_אם הטוען טענת גנב שאין משלם חומש ואשם משלם_תשלומי_כפל זה שמשלם חומש ואשם,2040000680,57,57
ref-t.4.1.8.8.42-ref-t.4.1.8.8.65,ref-sifra.3.13-00.11.6-ref-sifra.3.13-00.11.17,761287,761418,ref-t.4.1.8.8.42,ref-t.4.1.8.8.65,158881,158944,ref-sifra.3.13-00.11.6,ref-sifra.3.13-00.11.17,המשלם קרן משלם חומש ואשם וכל שאין משלם את הקרן אין משלם חומש ואשם ואין משלם תשלומי כפל ותשלומי ארבעה וחמשה מוסיף חומש ואשם ,שישלם חומש ואשם ומה זה שאין משלם תשלומי כפל משלם חומש ואשם ,20,10,651,651.0,910,906.0,0.5609756097560976,0.6666666666666667,6,חומש ואשם שאין משלם_תשלומי_כפל חומש ואשם,2040000681,20,10
ref-t.4.1.9.3.14-ref-t.4.1.9.3.31,ref-sifra.8.1-00.12.15-ref-sifra.8.1-00.12.25,765481,765574,ref-t.4.1.9.3.14,ref-t.4.1.9.3.31,367796,367846,ref-sifra.8.1-00.12.15,ref-sifra.8.1-00.12.25,נותנין לו סלע ביום מנה נותנין לו מנה ביום ונותנין לו כל נזקו ובכולן שמין ונותנין לו מיד ,תן לי סנדלי ונתתי לו פשט ידו לחלון ונתן לי ממנה ,18,11,2094,2092.0,911,911.0,0.6363636363636364,0.9411764705882352,1,לו,2040000682,18,11
ref-t.4.1.9.23.1-ref-t.4.1.9.23.8,ref-sifra.3.12-22.11.35-ref-sifra.3.12-22.11.41,769760,769802,ref-t.4.1.9.23.1,ref-t.4.1.9.23.8,156829,156861,ref-sifra.3.12-22.11.35,ref-sifra.3.12-22.11.41,עבד שאמ' לרבו הפלתה שיני וסמיתה את עיני ,עבדו הפלת את שיני וסמית את עיני ,8,7,642,642.0,912,912.0,0.325,0.25,3,שיני את עיני,2040000683,8,7
ref-t.4.1.10.17.18-ref-t.4.1.10.17.29,ref-sifra.3.11-20.9.15-ref-sifra.3.11-20.9.64,775524,775577,ref-t.4.1.10.17.18,ref-t.4.1.10.17.29,146699,146945,ref-sifra.3.11-20.9.15,ref-sifra.3.11-20.9.64,ולא הביא אשמו לא יצא תלמוד לומר באיל האשם מה תלמוד לומר מנין אתה אומר הביא מעילתו ולא הביא אשמו לא יצא תלמוד לומר מה תלמוד לומר מנין אתה אומר הביא מעילתו ולא הביא אשמו לא יצא תלמוד לומר באיל האשם האשם הביא אשמו עד שלא הביא מעילתולא יצא,ולא הביא אשמו לא יצא תלמוד לומר באיל האשם מה תלמוד לומר מנין אתה אומר הביא מעילתו ולא הביא אשמו לא יצא תלמוד לומר מה תלמוד לומר מנין אתה אומר הביא מעילתו ולא הביא אשמו לא יצא תלמוד לומר באיל האשם האשם הביא אשמו עד שלא הביא מעילתולא יצא,39,39,588,588.0,913,913.0,0.0,0.0,39,ולא הביא אשמו לא יצא תלמוד לומר באיל האשם מה_תלמוד_לומר_מנין_אתה_אומר הביא מעילתו ולא הביא אשמו לא יצא תלמוד לומר מה_תלמוד_לומר_מנין_אתה_אומר הביא מעילתו ולא הביא אשמו לא יצא תלמוד לומר באיל האשם האשם הביא אשמו עד שלא הביא מעילתולא יצא,2040000684,39,39
ref-t.4.1.10.19.103-ref-t.4.1.10.19.113,ref-sifra.3.11-20.9.31-ref-sifra.3.11-20.9.59,776476,776534,ref-t.4.1.10.19.103,ref-t.4.1.10.19.113,146777,146918,ref-sifra.3.11-20.9.31,ref-sifra.3.11-20.9.59,אלא תעבר צורתו ויצא לבית השריפה הביא אשמו ולא הביא מעילתו ,מעילתו ולא הביא אשמו לא יצא תלמוד לומר  מה תלמוד לומר מנין אתה אומר הביא מעילתו ולא הביא אשמו לא יצא תלמוד לומר באיל האשם האשם הביא אשמו ,7,23,590,588.0,915,915.0,0.7299270072992701,0.5555555555555556,4,הביא אשמו הביא מעילתו,2040000685,7,23
ref-t.4.1.10.37.1-ref-t.4.1.10.38.14,ref-sifra.11.2-00.1.18-ref-sifra.11.2-00.2.32,779729,779862,ref-t.4.1.10.37.1,ref-t.4.1.10.38.14,490822,490977,ref-sifra.11.2-00.1.18,ref-sifra.11.2-00.2.32,לא תגנובו על מנת למיקט לא תגנובו על מנת לשלם תשלומי כפל ולא על מנת לשלם תשלומי ארבעה וחמשה בן בג בג אומר לא תגנוב את שלך מאחר הגנב שלא תראה גונב,תגנובו לא תגנובו על מנת למיקט לא תגנובו על מנת לשלם תשלומי כפל ולא על מנת לשלם תשלומי ארבעה וחמשה בן בג בג אומר לא תגנוב את שלך מאחר הגנב שלא תראה גונב,32,33,2850,2850.0,916,916.0,0.0463576158940397,0.0,32,לא תגנובו על מנת למיקט לא תגנובו על מנת לשלם תשלומי כפל ולא על מנת לשלם תשלומי ארבעה וחמשה בן בג בג אומר לא תגנוב את שלך מאחר הגנב שלא תראה גונב,2040000686,32,33
ref-t.4.2.3.5.21-ref-t.4.2.3.5.28,ref-sifra.11.3-06.5.10-ref-sifra.11.3-06.5.20,794065,794102,ref-t.4.2.3.5.21,ref-t.4.2.3.5.28,502274,502331,ref-sifra.11.3-06.5.10,ref-sifra.11.3-06.5.20,לשנים גזלתי את אחד מכם מנה ואחד מכם ,שתים אחד מיכן ואחד מיכן ועל הזקן שתים מיכן ושתים מיכן ,8,11,2896,2893.0,918,918.0,0.6481481481481481,0.9,2,אחד ואחד,2040000687,8,11
ref-t.4.2.3.15.2-ref-t.4.2.3.16.2,ref-sifra.13.3-00.5.4-ref-sifra.13.3-00.5.23,796787,796896,ref-t.4.2.3.15.2,ref-t.4.2.3.16.2,623153,623260,ref-sifra.13.3-00.5.4,ref-sifra.13.3-00.5.23,ארבעה כסף מעשרים וארבעה כסף לסלע שתות למקח עד מתי מותר להחזיר עד כדי שייראה לתגר או לבקי הודה ר' טרפון ,ארבעה כסף מעשרים וארבע כסף לסלע שתות למקח עד מתי מותר להחזיר עד כדי שיראה לתגר או לבקי הורה ר' טרפון ,21,21,3399,3399.0,919,919.0,0.029126213592233,0.0588235294117647,18,ארבעה כסף מעשרים כסף לסלע שתות למקח עד מתי מותר להחזיר עד כדי לתגר או לבקי ר' טרפון,2040000688,21,21
ref-t.4.2.3.15.10-ref-t.4.2.3.15.16,ref-sifra.13.3-00.8.1-ref-sifra.13.3-00.8.8,796834,796867,ref-t.4.2.3.15.10,ref-t.4.2.3.15.16,623760,623800,ref-sifra.13.3-00.8.1,ref-sifra.13.3-00.8.8,עד מתי מותר להחזיר עד כדי שייראה ,עד מתי מותר להחזיר בכרכים עד כדי שיראה ,7,8,3407,3407.0,920,919.0,0.2051282051282051,0.1428571428571429,6,עד מתי מותר להחזיר עד כדי,2040000689,7,8
ref-t.4.2.3.16.53-ref-t.4.2.3.16.66,ref-sifra.13.3-00.6.24-ref-sifra.13.3-00.6.36,797114,797177,ref-t.4.2.3.16.53,ref-t.4.2.3.16.66,623515,623569,ref-sifra.13.3-00.6.24,ref-sifra.13.3-00.6.36,על העליונה רצה אומ' לו תן לי סלעי רצה אומ' הילך מעותיך ותן לי ,עליו ידו על העליונה שהוא אומר לו תן לי מעותי או תן לי ,12,9,3402,3402.0,921,921.0,0.5645161290322581,0.7692307692307692,2,לו_תן_לי לי,2040000690,12,9
ref-t.4.2.3.17.2-ref-t.4.2.3.17.32,ref-sifra.13.3-00.7.1-ref-sifra.13.3-00.7.30,797361,797525,ref-t.4.2.3.17.2,ref-t.4.2.3.17.32,623583,623759,ref-sifra.13.3-00.7.1,ref-sifra.13.3-00.7.30,וכמה תהיה הסלע חסרה ולא יהיה בה אונאה ר' מאיר אומר ד' איסרות מאיסר לדינר ר' יהודה אומר ארבע פונדיונות מפונדיון לדינר ר' שמעון אומר שמונה פונדיונות משני פונדיונים לדינר,וכמה תהיה הסלע חסרה ולא יהיה בה אונאה ר' מאיר אומר ד' איסרות מאיסר לדינר ר' יהודה אומר ארבע פונדיונות מפונדיון לדינר ר' שמעון אומר שמונה פונדיונות משני פונדיונים לדינר,24,24,3404,3403.0,922,922.0,0.0,0.0,24,וכמה תהיה הסלע חסרה ולא יהיה בה אונאה ר'_מאיר_אומר ד' איסרות מאיסר לדינר ר'_יהודה_אומר ארבע פונדיונות מפונדיון לדינר ר'_שמעון_אומר שמונה פונדיונות משני פונדיונים לדינר,2040000691,24,24
ref-t.4.2.3.20.1-ref-t.4.2.3.20.8,ref-sifra.13.3-00.5.12-ref-sifra.13.3-00.5.18,797917,797957,ref-t.4.2.3.20.1,ref-t.4.2.3.20.8,623199,623231,ref-sifra.13.3-00.5.12,ref-sifra.13.3-00.5.18,עד מתי מותר להחזיר בכרכין עד כדי שיראה ,עד מתי מותר להחזיר עד כדי שיראה ,8,7,3400,3399.0,924,924.0,0.1794871794871795,0.1428571428571429,7,עד מתי מותר להחזיר עד כדי שיראה,2040000692,8,7
ref-t.4.2.3.20.1-ref-t.4.2.3.21.1,ref-sifra.13.3-00.8.1-ref-sifra.13.3-00.8.24,797917,798051,ref-t.4.2.3.20.1,ref-t.4.2.3.21.1,623760,623895,ref-sifra.13.3-00.8.1,ref-sifra.13.3-00.8.24,עד מתי מותר להחזיר בכרכין עד כדי שיראה לשלחני ובכפרים עד ערבי שבתות שכן דרך השוק להיות עומד בעיירות מערב שבת לערב שבת ואם היה ,עד מתי מותר להחזיר בכרכים עד כדי שיראה לשולחני ובכפרים עד ערבי שבתות שכן דרך השוק להיות עומד בעיירות מערב שבת לערב שבת ואם היה ,25,25,3408,3407.0,925,924.0,0.0157480314960629,0.1052631578947368,23,עד מתי מותר להחזיר עד כדי שיראה ובכפרים עד ערבי שבתות שכן דרך השוק להיות עומד בעיירות מערב שבת לערב שבת ואם היה,2040000693,25,25
ref-t.4.2.3.23.1-ref-t.4.2.3.23.20,ref-sifra.13.3-05.3.54-ref-sifra.13.3-05.3.68,798231,798332,ref-t.4.2.3.23.1,ref-t.4.2.3.23.20,628561,628637,ref-sifra.13.3-05.3.54,ref-sifra.13.3-05.3.68,ולה היה מוכר לא את היפה בשויהה ולא את הרעה באמונה אלא או שתיהן בשויהן או שתיהן באמונה מחשב עמו ,לשני במאתים מנין שאינו מחשב אלא עם הראשון תלמוד לומר לאשר מכר לו מכר לו ,20,15,3429,3426.0,926,926.0,0.7157894736842105,0.7058823529411764,1,מחשב,2040000694,20,15
ref-t.4.2.3.24.40-ref-t.4.2.3.25.6,ref-sifra.13.3-00.6.7-ref-sifra.13.3-00.6.14,798611,798650,ref-t.4.2.3.24.40,ref-t.4.2.3.25.6,623426,623468,ref-sifra.13.3-00.6.7,ref-sifra.13.3-00.6.14,אונאה כשם שאונאה במקח וממכר כך אונאה ,אונאה וכשם שיש אונאה להדיוט כך יש אונאה ,7,8,3401,3401.0,927,927.0,0.35,0.8,3,אונאה כך אונאה,2040000695,7,8
ref-t.4.2.3.25.40-ref-t.4.2.3.25.52,ref-sifra.13.3-04.2.60-ref-sifra.13.3-04.2.73,798829,798889,ref-t.4.2.3.25.40,ref-t.4.2.3.25.52,625488,625556,ref-sifra.13.3-04.2.60,ref-sifra.13.3-04.2.73,חמרין מבקשין יין ושמן לא יאמר להן לכו אצל פלני והוא לא מכר ,חמרים מבקשים תבואה מבקשים יין לא יאמר להם לכו אצל פלוני והוא לא מכר ,13,14,3414,3414.0,928,928.0,0.25,0.5384615384615384,8,יין לא יאמר לכו אצל והוא לא מכר,2040000696,13,14
ref-t.4.2.3.25.56-ref-t.4.2.3.25.75,ref-sifra.13.3-04.2.26-ref-sifra.13.3-04.2.46,798906,799017,ref-t.4.2.3.25.56,ref-t.4.2.3.25.75,625318,625425,ref-sifra.13.3-04.2.26,ref-sifra.13.3-04.2.46,היו חלאין באין עליו וייסורין באין עליו וקובר את בניו לא יאמר לו כדרך שאמרו חביריו לאיוב הלא יראתך כסלתך ,היו חליים באים עליו יסורין באים עליו היה קובר את בניו לא יאמר לו כדרך שאמרו חבריו לאיוב הלא יראתך כסלתך ,18,21,3413,3413.0,929,929.0,0.125,0.2941176470588235,11,היו עליו עליו את בניו כדרך שאמרו לאיוב הלא יראתך כסלתך,2040000697,18,21
ref-t.4.2.3.25.89-ref-t.4.2.3.25.101,ref-sifra.13.3-04.2.80-ref-sifra.13.3-04.2.93,799070,799129,ref-t.4.2.3.25.89,ref-t.4.2.3.25.101,625585,625651,ref-sifra.13.3-04.2.80,ref-sifra.13.3-04.2.93,לא יתלה את עיניו ויאמר לו בכמה חפץ זה והוא אין רוצה ליקח ,לא יתלה עיניו על המקח ולא יאמר בכמה חפץ זה והוא אינו רוצה ליקח ,13,14,3415,3415.0,930,930.0,0.2857142857142857,0.3076923076923077,9,לא יתלה עיניו בכמה חפץ זה והוא רוצה ליקח,2040000698,13,14
ref-t.4.2.4.7.6-ref-t.4.2.4.7.16,ref-sifra.11.4-12.18.1-ref-sifra.11.4-12.18.17,801805,801854,ref-t.4.2.4.7.6,ref-t.4.2.4.7.16,527793,527874,ref-sifra.11.4-12.18.1,ref-sifra.11.4-12.18.17,אותה עתיד אני ליתנה לכם ירושת עולם שמא תאמרו אין לך ליתן לנו,ואני אתננה לכם לרשת אותה עתיד אני ליתנה לכם ירושת עולם שמא תאמרו אין לך ליתן לנו,13,17,3019,3019.0,931,931.0,0.25,0.0909090909090909,13,אותה עתיד אני ליתנה לכם ירושת עולם שמא תאמרו אין לך ליתן לנו,2040000699,13,17
ref-t.4.2.4.21.18-ref-t.4.2.4.21.43,ref-sifra.13.5-07.1.6-ref-sifra.13.5-07.1.38,804819,804954,ref-t.4.2.4.21.18,ref-t.4.2.4.21.43,636187,636355,ref-sifra.13.5-07.1.6,ref-sifra.13.5-07.1.38,יקח בהן לא כסות ולא עצים הנותן מעות לחבירו ליקח בהן פירות למחצית שכר רשיי הלוקח לו מאותו המין וכשהוא מוכר אין מוכר כולן כאחד אלא ,עצמו ולהניח באפונדתו וליקח לו בהמה וליקח לו כלים וליקח לו בית אלא אם כן העני תלמוד לומר וכי ימוך ונמכר אינו נמכר אלא אם כן העני ומנין כשהוא נמכר אינו נמכר אלא ,19,27,3486,3482.0,933,933.0,0.7044025157232704,0.8076923076923077,2,לו אלא,2040000700,19,27
ref-t.4.2.5.16.13-ref-t.4.2.5.16.23,ref-sifra.10.7-00.5.9-ref-sifra.10.7-00.5.16,808107,808158,ref-t.4.2.5.16.13,ref-t.4.2.5.16.23,465366,465406,ref-sifra.10.7-00.5.9,ref-sifra.10.7-00.5.16,תנם לי ואני נותן לך כדרך שאתה נותנן לו אסור ואם ,ואני נתתיו ואם נתנם במתנה אחת כפר לכם ,11,8,2783,2783.0,936,934.0,0.6458333333333334,0.7857142857142857,2,ואני ואם,2040000701,11,8
