baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.2.12.2.11.66-ref-t.2.12.2.11.78,ref-sifre-n.107.2.431-ref-sifre-n.107.2.441,502773,502853,ref-t.2.12.2.11.66,ref-t.2.12.2.11.78,149951,150000,ref-sifre-n.107.2.431,ref-sifre-n.107.2.441,עולות ושלמים יבוא ויטול ויסמוך באו ונטלו את הבהמה והעלו עולות וסמכו עליהן ,עלי עולה הרי עלי מנחה הרי עלי שלמים שומע אני יביא ,13,11,440,440.0,145,145.0,0.7432432432432432,0.7857142857142857,0,,2050000106,13,11
ref-t.2.12.3.19.32-ref-t.2.12.3.19.40,ref-sifre-n.116.1.164-ref-sifre-n.116.1.173,505712,505760,ref-t.2.12.3.19.32,ref-t.2.12.3.19.40,178518,178569,ref-sifre-n.116.1.164,ref-sifre-n.116.1.173,ואתה ובניך אתך תשמרו את כהנתכם לכל דבר המזבח ,אתה ובניך אתך תשאו את עוון כהונתכם לכל דבר המזבח ,9,10,539,539.0,146,146.0,0.1836734693877551,0.3,6,ובניך אתך את לכל דבר המזבח,2050000107,9,10
ref-t.2.12.3.19.32-ref-t.2.12.3.19.40,ref-sifre-n.116.2.20-ref-sifre-n.116.2.28,505712,505760,ref-t.2.12.3.19.32,ref-t.2.12.3.19.40,181628,181677,ref-sifre-n.116.2.20,ref-sifre-n.116.2.28,ואתה ובניך אתך תשמרו את כהנתכם לכל דבר המזבח ,ואתה ובניך אתך תשמרו את כהונתכם לכל דבר המזבח ,9,9,552,552.0,147,146.0,0.0217391304347826,0.0,8,ואתה ובניך אתך תשמרו את לכל דבר המזבח,2050000108,9,9
ref-t.3.1.1.6.1-ref-t.3.1.1.6.12,ref-sifre-n.2.1.336-ref-sifre-n.2.1.343,509276,509347,ref-t.3.1.1.6.1,ref-t.3.1.1.6.12,6964,7003,ref-sifre-n.2.1.336,ref-sifre-n.2.1.343,כשם שפוטרות מן הנשואין כך פוטרות מן האירוסין במי דברים אמורים באשה ,כשם שפטורים מן האשם כך יהיו פטורים מן ,12,8,34,34.0,148,148.0,0.582089552238806,0.7272727272727273,4,כשם מן כך מן,2050000109,12,8
ref-t.3.1.2.2.14-ref-t.3.1.2.2.35,ref-sifre-n.15.1.90-ref-sifre-n.15.1.111,512131,512240,ref-t.3.1.2.2.14,ref-t.3.1.2.2.35,25990,26101,ref-sifre-n.15.1.90,ref-sifre-n.15.1.111,שלא נטמאתי אמן שלא אטמא דברי רבי מאיר ואין חכמים מודים בדבר אלא אמן שלא נטמאתי ואם נטמאתי יבאו לה אמן שלא נטמאתי אמן שלא אטמא דברי רבי מאיר ואין חכמים מודים בדבר אלא אמן שלא נטמאתי ואם נטמאתי יבאו לה אמן,אמן שלא נטמאתי אמן שלא אטמא דברי רבי מאיר ואין חכמים מודים בדבר אלא אמן שלא נטמאתי ואם נטמאתי יבאו לה אמן,27,12,127,127.0,149,149.0,0.4827586206896552,0.0,22,אמן שלא נטמאתי אמן שלא אטמא דברי רבי מאיר ואין חכמים מודים בדבר אלא אמן שלא נטמאתי ואם נטמאתי יבאו לה אמן,2050000110,42,22
ref-t.3.1.3.1.12-ref-t.3.1.3.1.26,ref-sifre-n.134.2.76-ref-sifre-n.134.2.108,513889,513958,ref-t.3.1.3.1.12,ref-t.3.1.3.1.26,240268,240424,ref-sifre-n.134.2.76,ref-sifre-n.134.2.108,"אחים מן האב שאינן באים אלא מכח אב הרי הם יורשים את האב שאין אחים באים אלא מכח האב ודין הוא שיורש ומנין לעשות את בת הבן כבן אמרת ק""ו הוא ומה בנות","אחים מן האב שאינן באים אלא מכח אב הרי הם יורשים את האב שאין אחים באים אלא מכח האב ודין הוא שיורש ומנין לעשות את בת הבן כבן אמרת ק""ו הוא ומה בנות",33,33,847,847.0,151,151.0,0.0,0.0,30,"אחים מן האב שאינן באים אלא מכח אב הרי הם יורשים את האב שאין אחים באים אלא מכח האב ודין הוא שיורש ומנין לעשות את בת הבן כבן אמרת_ק""ו_הוא_ומה בנות",2050000111,33,33
ref-t.3.1.6.7.210-ref-t.3.1.6.7.220,ref-sifre-n.8.1.453-ref-sifre-n.8.1.459,524849,524903,ref-t.3.1.6.7.210,ref-t.3.1.6.7.220,19756,19792,ref-sifre-n.8.1.453,ref-sifre-n.8.1.459,שלשה חדשים מפני תיקון הולד ר' שמעון בן לעזר היה מביאו ,שלשה חדשים מפני תיקון הולד דברי אבא ,11,7,97,97.0,153,153.0,0.3703703703703703,0.25,5,שלשה חדשים מפני תיקון הולד,2050000112,11,7
ref-t.3.1.10.1.72-ref-t.3.1.10.1.94,ref-sifre-n.117.2.809-ref-sifre-n.117.2.828,532204,532330,ref-t.3.1.10.1.72,ref-t.3.1.10.1.94,188123,188228,ref-sifre-n.117.2.809,ref-sifre-n.117.2.828,אין ארוסה בת ישראל אוכלת בתרומה עד שתכנס לחופה נכנסה לחופה אף על פי שלא נבעלה אוכלת בתרומה ואם מתה,אין ארוסה בת ישראל אוכלת בתרומה עד שתכנס לחופה נכנסה לחופה אף על פי שלא נבעלה אוכלת בתרומה ואם מתה,20,20,581,581.0,154,154.0,0.0,0.0,20,אין ארוסה בת ישראל אוכלת בתרומה עד שתכנס לחופה נכנסה לחופה אף על פי שלא נבעלה אוכלת בתרומה ואם מתה,2050000113,20,20
ref-t.3.1.13.3.19-ref-t.3.1.13.3.33,ref-sifre-n.15.1.90-ref-sifre-n.15.1.110,544916,544995,ref-t.3.1.13.3.19,ref-t.3.1.13.3.33,25990,26097,ref-sifre-n.15.1.90,ref-sifre-n.15.1.110,אין זכיי לא במציאתה ולא במעשה ידיה ולא בהפר נדריה אין יורשה ואין מיטמא לה ,אמן שלא נטמאתי אמן שלא אטמא דברי רבי מאיר ואין חכמים מודים בדבר אלא אמן שלא נטמאתי ואם נטמאתי יבאו לה ,7,11,125,124.0,156,156.0,0.6764705882352942,0.85,2,ואין לה,2050000114,15,21
ref-t.3.1.13.7.190-ref-t.3.1.13.7.205,ref-sifre-n.156.1.23-ref-sifre-n.156.1.36,547497,547569,ref-t.3.1.13.7.190,ref-t.3.1.13.7.205,275591,275661,ref-sifre-n.156.1.23,ref-sifre-n.156.1.36,לחרש ולו אח חרש חרשת לפקח ולו אח פקח חרשת לפקח ולו אח חרש חרשת לחרש ,"והחריש לה הרי חרישה לקיום אמור ומה ת""ל ואם החריש יחריש לה זה חרישה ",16,14,970,970.0,157,157.0,0.6764705882352942,0.9090909090909092,0,,2050000115,16,14
ref-t.3.2.4.3.14-ref-t.3.2.4.3.21,ref-sifre-n.117.2.813-ref-sifre-n.117.2.824,561303,561352,ref-t.3.2.4.3.14,ref-t.3.2.4.3.21,188142,188205,ref-sifre-n.117.2.813,ref-sifre-n.117.2.824,אוכלת בתרומה כיון שנכנסה לחופה אע'פ שלא נבעלה ,אוכלת בתרומה עד שתכנס לחופה נכנסה לחופה אף על פי שלא נבעלה ,8,12,584,578.0,158,158.0,0.3050847457627119,0.6153846153846154,5,אוכלת בתרומה לחופה שלא נבעלה,2050000116,8,12
ref-t.3.2.5.1.96-ref-t.3.2.5.1.111,ref-sifre-n.117.2.809-ref-sifre-n.117.2.830,565597,565683,ref-t.3.2.5.1.96,ref-t.3.2.5.1.111,188123,188239,ref-sifre-n.117.2.809,ref-sifre-n.117.2.830,אין האשה בת ישראל אוכלת בתרומה עד שתכנס לחופה והיבמה עד שתיבעל אם מתה בעלה יורשה ,אין ארוסה בת ישראל אוכלת בתרומה עד שתכנס לחופה נכנסה לחופה אף על פי שלא נבעלה אוכלת בתרומה ואם מתה בעלה יורשה ,16,22,583,578.0,159,159.0,0.3545454545454545,0.4210526315789473,11,אין בת ישראל אוכלת בתרומה עד שתכנס לחופה מתה בעלה יורשה,2050000117,16,22
ref-t.3.2.5.1.139-ref-t.3.2.5.1.222,ref-sifre-n.117.2.742-ref-sifre-n.117.2.830,565819,566266,ref-t.3.2.5.1.139,ref-t.3.2.5.1.222,187761,188239,ref-sifre-n.117.2.742,ref-sifre-n.117.2.830,"אצל ר' יהודה בנציבים אמר לו שמעתי עליך שהיית אומר על בת ישראל המאורסת לכהן שהיא אוכלת בתרומה שלח לו ואתה מוחזקני בך שאתה בקי בחדרי תורה ולדון בק""ו אי אתה יודע ומה שפחה כנענית שאין קונה אותה לאכול בתרומה כספה מאכילה בתרומה בת ישראל שביאתה קונה אותה לאכול בתרומה אינו דין שיהא כסף קונה אותה שתהא אוכלת בתרומה אבל מה אעשה שהרי אמרו חכמים שם וש""נ אין ארוסה","אצל ר' יהודה בנציבים אמר לו שמעתי עליך שהיית אומר על בת ישראל המאורסת לכהן שהיא אוכלת בתרומה שלח לו ואתה מוחזקני בך שאתה בקי בחדרי תורה ולדון בק""ו אי אתה יודע ומה שפחה כנענית שאין קונה אותה לאכול בתרומה כספה מאכילה בתרומה בת ישראל שביאתה קונה אותה לאכול בתרומה אינו דין שיהא כסף קונה אותה שתהא אוכלת בתרומה אבל מה אעשה שהרי אמרו חכמים שם וש""נ אין ארוסה",69,69,578,578.0,160,160.0,0.0,0.0,67,"אצל ר' יהודה בנציבים אמר לו שמעתי עליך שהיית אומר על בת ישראל המאורסת לכהן שהיא אוכלת בתרומה שלח לו ואתה מוחזקני בך שאתה בקי בחדרי תורה ולדון בק""ו אי אתה יודע ומה שפחה כנענית שאין קונה אותה לאכול בתרומה כספה מאכילה בתרומה בת ישראל שביאתה קונה אותה לאכול בתרומה אינו_דין_שיהא כסף קונה אותה שתהא אוכלת בתרומה אבל מה אעשה שהרי אמרו חכמים שם וש""נ אין ארוסה",2050000118,69,69
ref-t.3.2.6.8.119-ref-t.3.2.6.9.1,ref-sifre-n.124.1.263-ref-sifre-n.124.1.272,570452,570500,ref-t.3.2.6.8.119,ref-t.3.2.6.9.1,212064,212116,ref-sifre-n.124.1.263,ref-sifre-n.124.1.272,מה לו אמור להלן זו אשה אף לו אמור כן אשה המשליש ,מה לקיחה האמורה להלן שלשה אף לקיחה האמורה כאן שלשה ,12,10,660,651.0,164,163.0,0.4705882352941176,0.5555555555555556,3,מה להלן אף,2050000119,12,10
ref-t.3.2.6.8.110-ref-t.3.2.6.8.128,ref-sifre-n.142.2.218-ref-sifre-n.142.3.8,570415,570488,ref-t.3.2.6.8.110,ref-t.3.2.6.8.128,253887,253991,ref-sifre-n.142.2.218,ref-sifre-n.142.3.8,לו זו אשה שנ' להלן אעשה לו עזר כנגדו מה לו אמור להלן זו אשה אף לו אמור כן ,"מה מועדו האמור להלן דוחה את השבת אף מועדו האמור כאן דוחה את השבת ואמרת להם הרי זו אזהרה לב""ד זה האשה ",19,22,874,868.0,163,163.0,0.6534653465346535,0.6470588235294117,3,מה להלן אף,2050000120,19,22
ref-t.3.3.1.1.87-ref-t.3.3.1.1.95,ref-sifre-n.30.1.61-ref-sifre-n.30.1.75,587463,587507,ref-t.3.3.1.1.87,ref-t.3.3.1.1.95,49471,49538,ref-sifre-n.30.1.61,ref-sifre-n.30.1.75,וכפר עליו מאשר חטא על הנפש וכי על איזו נפש חטא בה שצריך כפרה על,וכפר עליו מאשר חטא על הנפש וכי על איזו נפש חטא בה שצריך כפרה על,10,10,224,224.0,165,165.0,0.0,0.0,15,וכפר עליו מאשר חטא על הנפש וכי על איזו נפש חטא בה שצריך כפרה על,2050000121,15,15
ref-t.3.3.1.3.37-ref-t.3.3.1.3.63,ref-sifre-n.155.1.425-ref-sifre-n.155.1.445,588339,588457,ref-t.3.3.1.3.37,ref-t.3.3.1.3.63,275056,275168,ref-sifre-n.155.1.425,ref-sifre-n.155.1.445,שלא אוכל לך מותר חולין שאוכל לך אסור חולין שאוכל לך לא יאכל לך מותר לא אוכל לך מותר לא עולה לא אוכל לך ר' יעקב אוסר ,והתיר לה לתאנים ולא לענבים לענבים ולא לתאנים כולו מותר אסר לה לתאנים ולא לענבים לענבים ולא לתאנים אסור הפר לה ,27,21,969,969.0,167,167.0,0.8017241379310345,0.8461538461538461,2,מותר אסור,2050000122,27,21
ref-t.3.3.3.3.43-ref-t.3.3.3.3.78,ref-sifre-n.88.1.42-ref-sifre-n.88.1.48,592750,592939,ref-t.3.3.3.3.43,ref-t.3.3.3.3.78,121694,121723,ref-sifre-n.88.1.42,ref-sifre-n.88.1.48,יוצא מהם אבל המן אין יוצא מהם אבל המן אין יוצא מהם,יוצא מהם אבל המן אין יוצא מהם אבל המן אין יוצא מהם,12,12,392,392.0,168,168.0,0.0,0.0,12,יוצא מהם אבל המן אין יוצא מהם אבל המן אין יוצא מהם,2050000123,12,12
ref-t.3.3.3.4.35-ref-t.3.3.3.4.47,ref-sifre-n.88.1.42-ref-sifre-n.88.1.48,593183,593254,ref-t.3.3.3.4.35,ref-t.3.3.3.4.47,121694,121723,ref-sifre-n.88.1.42,ref-sifre-n.88.1.48,ואין דרך היוצא ממנו להתכסות ונדר הימנו מותר כיוצא בו מן היוצא ממנו ,יוצא מהם אבל המן אין יוצא מהם ,13,7,394,392.0,170,170.0,0.6716417910447762,0.6666666666666667,0,,2050000124,13,7
ref-t.3.3.4.6.15-ref-t.3.3.4.6.32,ref-sifre-n.153.4.55-ref-sifre-n.153.4.67,595520,595603,ref-t.3.3.4.6.15,ref-t.3.3.4.6.32,265714,265772,ref-sifre-n.153.4.55,ref-sifre-n.153.4.67,לא יחל דברו שלא יעשה דבריו חולין דבר אחר לא יחל דברו שאפי' חכם אין מפר נדרו לעצמו ,לא יחל דברו לא יעשה דברו חולין הרי שהיה חכם לא יפר לעצמו ,18,13,917,917.0,172,171.0,0.3780487804878049,0.5,7,לא יחל דברו לא דברו חכם לעצמו,2050000125,18,13
ref-t.3.3.4.6.14-ref-t.3.3.4.6.25,ref-sifre-n.153.4.76-ref-sifre-n.153.4.85,595516,595568,ref-t.3.3.4.6.14,ref-t.3.3.4.6.25,265815,265857,ref-sifre-n.153.4.76,ref-sifre-n.153.4.85,ת'ל לא יחל דברו שלא יעשה דבריו חולין דבר אחר לא יחל ,"ת""ל לא יחל דברו לא יעשה דבריו חולין לא יחל ",12,10,918,918.0,171,171.0,0.1923076923076923,0.5,8,לא יחל דברו יעשה דבריו חולין לא יחל,2050000126,12,10
ref-t.3.3.5.3.4-ref-t.3.3.5.4.2,ref-sifre-n.22.1.17-ref-sifre-n.22.1.35,598307,598400,ref-t.3.3.5.3.4,ref-t.3.3.5.4.2,32625,32709,ref-sifre-n.22.1.17,ref-sifre-n.22.1.35,ונדר בנזיר בקרבן ונדר בשבועה מותר בעולה ונדר בקרבן בחרם ונדר בהקדש אסור נדר בנזיר ,לנדר נדר נזיר להזיר לה' למה נאמרה פרשה זו לפי שהוא אומר איש כי ידור נדר לה' או השבע ,15,19,147,147.0,173,173.0,0.7619047619047619,0.8,1,נדר,2050000127,15,19
ref-t.3.3.6.1.30-ref-t.3.3.6.1.36,ref-sifre-n.154.3.62-ref-sifre-n.154.3.76,598988,599021,ref-t.3.3.6.1.30,ref-t.3.3.6.1.36,272834,272900,ref-sifre-n.154.3.62,ref-sifre-n.154.3.76,מופר כולן מופרין מופר ליך לא היפר ,"הפר לה והפר לה שומע אני יהיה מופר ת""ל אישה הפרם אם הפר הבעל מופר ",7,15,944,943.0,174,174.0,0.676923076923077,0.9,1,מופר,2050000128,7,15
ref-t.3.3.6.2.40-ref-t.3.3.6.3.2,ref-sifre-n.153.4.254-ref-sifre-n.153.4.271,599405,599476,ref-t.3.3.6.2.40,ref-t.3.3.6.3.2,266664,266758,ref-sifre-n.153.4.254,ref-sifre-n.153.4.271,אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית,בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית,32,18,919,919.0,175,175.0,0.4444444444444444,0.0,18,בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית,2050000129,32,18
ref-t.3.3.6.3.33-ref-t.3.3.6.3.43,ref-sifre-n.153.6.257-ref-sifre-n.153.6.273,599621,599682,ref-t.3.3.6.3.33,ref-t.3.3.6.3.43,268791,268871,ref-sifre-n.153.6.257,ref-sifre-n.153.6.273,הפרה אסורה שאין הבעל מיפר אלא בשותפות האב שמע אביה והפר ,הפר האב מופר ואם לאו אין מופר אמרה יודעת אני שכל נדרים שהיה אבא שומע היה מיפר ,11,17,925,925.0,178,177.0,0.6025641025641025,0.8,1,האב,2050000130,11,17
ref-t.3.3.6.3.23-ref-t.3.3.6.3.45,ref-sifre-n.154.3.62-ref-sifre-n.154.3.76,599575,599690,ref-t.3.3.6.3.23,ref-t.3.3.6.3.45,272834,272900,ref-sifre-n.154.3.62,ref-sifre-n.154.3.76,"הפר לה והפר לה שומע אני יהיה מופר ת""ל אישה הפרם אם הפר הבעל מופר","הפר לה והפר לה שומע אני יהיה מופר ת""ל אישה הפרם אם הפר הבעל מופר",15,15,945,943.0,177,177.0,0.0,0.0,12,"הפר לה והפר לה שומע_אני_יהיה_מופר ת""ל אישה הפרם אם הפר הבעל מופר",2050000131,15,15
ref-t.3.3.6.4.3-ref-t.3.3.6.4.10,ref-sifre-n.153.7.58-ref-sifre-n.153.7.66,599833,599878,ref-t.3.3.6.4.3,ref-t.3.3.6.4.10,269451,269499,ref-sifre-n.153.7.58,ref-sifre-n.153.7.66,אביה ובעלה אחרון מפירין נדריה שמע האב והפר ,אביה אביה ובעלה מפירים נדריה ניסת אין האב מיפר ,8,9,927,927.0,180,180.0,0.4042553191489361,0.6,4,אביה ובעלה נדריה האב,2050000132,8,9
ref-t.3.3.6.4.3-ref-t.3.3.6.4.10,ref-sifre-n.154.1.21-ref-sifre-n.154.1.27,599833,599878,ref-t.3.3.6.4.3,ref-t.3.3.6.4.10,271589,271626,ref-sifre-n.154.1.21,ref-sifre-n.154.1.27,אביה ובעלה אחרון מפירין נדריה שמע האב והפר ,אביה מיפר נדריה ואלמנה אין אביה מיפר ,8,7,939,939.0,181,180.0,0.627906976744186,0.6666666666666667,2,אביה נדריה,2050000133,8,7
ref-t.3.3.6.4.3-ref-t.3.3.6.4.10,ref-sifre-n.155.1.222-ref-sifre-n.155.1.235,599833,599878,ref-t.3.3.6.4.3,ref-t.3.3.6.4.10,274015,274074,ref-sifre-n.155.1.222,ref-sifre-n.155.1.235,והאב מפר והבעל מפר מה האב מפר כל נדר אף הבעל מפר כל נדר,והאב מפר והבעל מפר מה האב מפר כל נדר אף הבעל מפר כל נדר,14,14,954,954.0,182,182.0,0.0,0.0,14,והאב מפר והבעל מפר מה האב מפר כל נדר אף הבעל מפר כל נדר,2050000134,14,14
ref-t.3.3.6.4.23-ref-t.3.3.6.4.30,ref-sifre-n.153.7.58-ref-sifre-n.153.7.66,599945,599992,ref-t.3.3.6.4.23,ref-t.3.3.6.4.30,269451,269499,ref-sifre-n.153.7.58,ref-sifre-n.153.7.66,אביה ובעלה האחרון מפירין נדריה שמע אביה והפר ,אביה אביה ובעלה מפירים נדריה ניסת אין האב מיפר ,8,9,928,927.0,184,184.0,0.4468085106382978,0.6,3,אביה ובעלה נדריה,2050000135,8,9
ref-t.3.3.6.4.23-ref-t.3.3.6.4.30,ref-sifre-n.154.1.21-ref-sifre-n.154.1.27,599945,599992,ref-t.3.3.6.4.23,ref-t.3.3.6.4.30,271589,271626,ref-sifre-n.154.1.21,ref-sifre-n.154.1.27,אביה ובעלה האחרון מפירין נדריה שמע אביה והפר ,אביה מיפר נדריה ואלמנה אין אביה מיפר ,8,7,940,939.0,185,184.0,0.5555555555555556,0.6666666666666667,3,אביה נדריה אביה,2050000136,8,7
ref-t.3.3.6.4.23-ref-t.3.3.6.4.30,ref-sifre-n.155.1.222-ref-sifre-n.155.1.235,599945,599992,ref-t.3.3.6.4.23,ref-t.3.3.6.4.30,274015,274074,ref-sifre-n.155.1.222,ref-sifre-n.155.1.235,והאב מפר והבעל מפר מה האב מפר כל נדר אף הבעל מפר כל נדר,והאב מפר והבעל מפר מה האב מפר כל נדר אף הבעל מפר כל נדר,14,14,955,955.0,186,186.0,0.0,0.0,14,והאב מפר והבעל מפר מה האב מפר כל נדר אף הבעל מפר כל נדר,2050000137,14,14
ref-t.3.3.6.5.191-ref-t.3.3.6.5.222,ref-sifre-n.22.1.271-ref-sifre-n.22.1.283,601183,601336,ref-t.3.3.6.5.191,ref-t.3.3.6.5.222,33919,33987,ref-sifre-n.22.1.271,ref-sifre-n.22.1.283,בנדרים כיוצא בהם מה בנדרים האב מפר נדרי בתו והאיש מפר נדרי אשתו,בנדרים כיוצא בהם מה בנדרים האב מפר נדרי בתו והאיש מפר נדרי אשתו,13,13,163,163.0,196,196.0,0.0,0.0,13,בנדרים כיוצא בהם מה בנדרים האב מפר נדרי בתו והאיש מפר נדרי אשתו,2050000138,13,13
ref-t.3.3.6.6.8-ref-t.3.3.6.6.18,ref-sifre-n.126.1.408-ref-sifre-n.126.1.418,601416,601472,ref-t.3.3.6.6.8,ref-t.3.3.6.6.18,220630,220689,ref-sifre-n.126.1.408,ref-sifre-n.126.1.418,שבא לכלל הקם בא לכלל הפר לא בא לכלל הקם לא בא לכלל ,שבא לכלל חטוי בא לכלל טומאה לא בא לכלל חטוי לא בא לכלל ,3,13,700,699.0,204,188.0,0.2363636363636363,0.6666666666666667,10,שבא לכלל בא לכלל לא בא לכלל לא בא לכלל,2050000139,13,13
ref-t.3.3.6.5.181-ref-t.3.3.6.5.207,ref-sifre-n.153.3.154-ref-sifre-n.153.3.179,601139,601265,ref-t.3.3.6.5.181,ref-t.3.3.6.5.207,265238,265368,ref-sifre-n.153.3.154,ref-sifre-n.153.3.179,שאין מפר נדרי עצמו משנודר הרי הוא מיפר נדרי עצמו עד שלא ידור מקום שמפר נדרי אשתו משנדרה אינו דין שיפר נדרי אשתו עד שלא תדור,שאין מפר נדרי עצמו משנודר הרי הוא מיפר נדרי עצמו עד שלא ידור מקום שמפר נדרי אשתו משנדרה אינו דין שיפר נדרי אשתו עד שלא תדור,12,12,911,910.0,188,188.0,0.0,0.0,26,שאין מפר נדרי עצמו משנודר הרי הוא מיפר נדרי עצמו עד שלא ידור מקום שמפר נדרי אשתו משנדרה אינו דין שיפר נדרי אשתו עד שלא תדור,2050000140,26,26
ref-t.3.3.6.5.211-ref-t.3.3.6.5.226,ref-sifre-n.153.3.155-ref-sifre-n.153.3.177,601279,601354,ref-t.3.3.6.5.211,ref-t.3.3.6.5.226,265244,265363,ref-sifre-n.153.3.155,ref-sifre-n.153.3.177,למפר נדרי עצמו עד שלא ידור שאם רצה להקים מקים יפר נדרי אשתו עד שלא תדור ,מפר נדרי עצמו משנודר הרי הוא מיפר נדרי עצמו עד שלא ידור מקום שמפר נדרי אשתו משנדרה אינו דין שיפר נדרי אשתו עד שלא ,16,10,912,910.0,198,198.0,0.5614035087719298,0.5882352941176471,9,נדרי עצמו עד שלא ידור נדרי אשתו עד שלא,2050000141,16,24
ref-t.3.3.6.5.181-ref-t.3.3.6.5.217,ref-sifre-n.153.7.90-ref-sifre-n.153.7.121,601139,601312,ref-t.3.3.6.5.181,ref-t.3.3.6.5.217,269619,269796,ref-sifre-n.153.7.90,ref-sifre-n.153.7.121,"אם נדר שנדרה שלא ברשותו הרי הוא מיפר ק""ו לנדר שנדרה ברשותו ד""א ונדריה עליה נדרים שלא הוקמו ושלא הופרו או אינו אלא נדרים שהוקמו ושהופרו","נדרים שנדרה ברשותו אמרת ק""ו הוא אם נדר שנדרה שלא ברשותו הרי הוא מיפר ק""ו לנדר שנדרה ברשותו ד""א ונדריה עליה נדרים שלא הוקמו ושלא הופרו או אינו אלא נדרים שהוקמו ושהופרו",26,32,930,930.0,189,189.0,0.1927710843373494,0.0588235294117647,20,"אם נדר שנדרה שלא ברשותו הרי הוא מיפר ק""ו לנדר שנדרה ברשותו ד""א ונדריה עליה נדרים_שלא_הוקמו_ושלא_הופרו או_אינו_אלא נדרים שהוקמו ושהופרו",2050000142,26,32
ref-t.3.3.6.5.185-ref-t.3.3.6.6.21,ref-sifre-n.153.9.18-ref-sifre-n.153.10.83,601156,601477,ref-t.3.3.6.5.185,ref-t.3.3.6.6.21,271011,271425,ref-sifre-n.153.9.18,ref-sifre-n.153.10.83,נדר והפר את נדרה נדריה שעליה מיפר ולא נדרים שאין עליה שר' אליעזר אומר יפר והדין נותן ומה אם במקום שאין מיפר נדרי עצמו משנדר הרי זה מיפר נדרי עצמו עד שלא ידור מקום שמיפר נדרי אשתו משנדרה אינו דין שיפר נדרי אשתו עד שלא תדור אמר לו,נדר והפר את נדרה נדריה שעליה מיפר ולא נדרים שאין עליה שר' אליעזר אומר יפר והדין נותן ומה אם במקום שאין מיפר נדרי עצמו משנדר הרי זה מיפר נדרי עצמו עד שלא ידור מקום שמיפר נדרי אשתו משנדרה אינו דין שיפר נדרי אשתו עד שלא תדור אמר לו,37,37,932,932.0,191,191.0,0.0,0.0,43,נדר והפר את נדרה נדריה שעליה מיפר ולא נדרים שאין עליה שר'_אליעזר_אומר יפר והדין נותן ומה_אם_במקום_שאין מיפר נדרי עצמו משנדר הרי זה מיפר נדרי עצמו עד שלא ידור מקום שמיפר נדרי אשתו משנדרה אינו דין שיפר נדרי אשתו עד שלא תדור אמר לו,2050000143,48,48
ref-t.3.3.6.5.185-ref-t.3.3.6.6.6,ref-sifre-n.155.1.38-ref-sifre-n.155.1.50,601156,601412,ref-t.3.3.6.5.185,ref-t.3.3.6.6.6,273155,273222,ref-sifre-n.155.1.38,ref-sifre-n.155.1.50,אישה יקימנו ואישה יפרנו לא אמרתי אלא נדרים שיש בהם ענוי נפש נדרים,אישה יקימנו ואישה יפרנו לא אמרתי אלא נדרים שיש בהם ענוי נפש נדרים,13,13,949,949.0,193,193.0,0.0,0.0,8,אישה יקימנו ואישה יפרנו לא_אמרתי_אלא נדרים שיש_בהם_ענוי_נפש נדרים,2050000144,13,13
ref-t.3.3.6.6.3-ref-t.3.3.6.6.6,ref-sifre-n.155.1.382-ref-sifre-n.155.1.385,601388,601412,ref-t.3.3.6.6.3,ref-t.3.3.6.6.6,274806,274830,ref-sifre-n.155.1.382,ref-sifre-n.155.1.385,אישה יקימנו ואישה יפרנו ,אישה יקימנו ואישה יפרנו ,4,4,958,958.0,203,188.0,0.0,0.0,4,אישה יקימנו ואישה יפרנו,2050000145,4,4
ref-t.3.3.6.5.219-ref-t.3.3.6.6.6,ref-sifre-n.155.1.411-ref-sifre-n.155.1.418,601317,601412,ref-t.3.3.6.5.219,ref-t.3.3.6.6.6,274969,275018,ref-sifre-n.155.1.411,ref-sifre-n.155.1.418,קיים לענבים שנאמר אישה יקימנו ואישה יפרנו נדרה,קיים לענבים שנאמר אישה יקימנו ואישה יפרנו נדרה,8,8,967,966.0,200,200.0,0.0,0.0,8,קיים לענבים שנאמר אישה יקימנו ואישה יפרנו נדרה,2050000146,8,8
